dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.1318359375
A0010_00_01.bmp,A0010.bmp,1397.4428,1.430450439453125
A0010_00_02.bmp,A0010.bmp,1543.2459,1.026824951171875
A0010_00_03.bmp,A0010.bmp,1515.0295,1.319000244140625
A0010_00_04.bmp,A0010.bmp,1467.121,1.488189697265625
A0010_00_05.bmp,A0010.bmp,1611.8061,1.05145263671875
A0010_00_06.bmp,A0010.bmp,1513.7124,1.35113525390625
A0010_00_07.bmp,A0010.bmp,1344.9394,1.51593017578125
A0010_00_08.bmp,A0010.bmp,1564.1514,1.0496826171875
A0010_00_09.bmp,A0010.bmp,1545.7206,1.36309814453125
A0010_00_10.bmp,A0010.bmp,1415.4665,1.526611328125
A0010_00_11.bmp,A0010.bmp,1505.9435,0.995697021484375
A0010_01_00.bmp,A0010.bmp,1582.9888,0.996978759765625
A0010_01_01.bmp,A0010.bmp,1512.4943,1.23956298828125
A0010_01_02.bmp,A0010.bmp,1323.7629,1.357330322265625
A0010_01_03.bmp,A0010.bmp,1614.6601,0.960693359375
A0010_01_04.bmp,A0010.bmp,1422.955,1.28521728515625
A0010_01_05.bmp,A0010.bmp,1411.2205,1.33599853515625
A0010_01_06.bmp,A0010.bmp,1522.4109,0.969451904296875
A0010_01_07.bmp,A0010.bmp,1519.9579,1.27349853515625
A0010_01_08.bmp,A0010.bmp,1388.8629,1.4908447265625
A0010_01_09.bmp,A0010.bmp,1601.2028,0.8176116943359375
A0010_01_10.bmp,A0010.bmp,1557.3595,1.13250732421875
A0010_01_11.bmp,A0010.bmp,1520.3255,1.3118896484375
A0010_01_12.bmp,A0010.bmp,1624.7021,0.81280517578125
A0010_01_13.bmp,A0010.bmp,1611.0104,1.102996826171875
A0010_01_14.bmp,A0010.bmp,1476.5829,1.302825927734375
A0010_01_15.bmp,A0010.bmp,1269.6335,1.69354248046875
A0010_02_00.bmp,A0010.bmp,1491.0261,1.06121826171875
A0010_02_01.bmp,A0010.bmp,1608.3366,1.06121826171875
A0010_02_02.bmp,A0010.bmp,1610.3456,0.945098876953125
A0010_02_03.bmp,A0010.bmp,1561.9819,0.930511474609375
A0010_02_04.bmp,A0010.bmp,1766.5766,1.03021240234375
A0010_02_05.bmp,A0010.bmp,1405.8695,1.431365966796875
A0010_02_06.bmp,A0010.bmp,1475.5644,1.381622314453125
A0010_02_07.bmp,A0010.bmp,1498.3538,1.364471435546875
A0010_02_08.bmp,A0010.bmp,1475.23,1.361175537109375
A0010_02_09.bmp,A0010.bmp,1488.6213,1.380462646484375
A0010_03_00.bmp,A0010.bmp,1408.4934,1.445159912109375
A0010_03_01.bmp,A0010.bmp,1526.7626,1.37677001953125
A0010_03_02.bmp,A0010.bmp,1377.6437,1.47265625
A0010_03_03.bmp,A0010.bmp,1471.8775,1.290008544921875
A0010_03_04.bmp,A0010.bmp,1425.4631,1.290008544921875
A0010_03_05.bmp,A0010.bmp,1479.0004,1.290283203125
A0010_03_06.bmp,A0010.bmp,1580.8948,1.3726806640625
A0010_03_07.bmp,A0010.bmp,1426.1284,1.33514404296875
A0010_03_08.bmp,A0010.bmp,1415.89,1.37030029296875
A0010_03_09.bmp,A0010.bmp,1381.5384,1.38739013671875
A0010_03_10.bmp,A0010.bmp,1506.5598,1.239288330078125
A0010_03_11.bmp,A0010.bmp,1478.4784,1.26910400390625
A0010_03_12.bmp,A0010.bmp,1534.4737,1.367462158203125
A0010_03_13.bmp,A0010.bmp,1440.0787,1.318603515625
A0010_03_14.bmp,A0010.bmp,1536.5628,1.244415283203125
A0010_03_15.bmp,A0010.bmp,1520.6863,1.30731201171875
A0010_03_16.bmp,A0010.bmp,1446.7638,1.27862548828125
A0010_03_17.bmp,A0010.bmp,1489.3506,1.388092041015625
A0010_03_18.bmp,A0010.bmp,1460.723,1.394683837890625
A0010_03_19.bmp,A0010.bmp,1479.9531,1.38726806640625
A0010_03_20.bmp,A0010.bmp,1385.6622,1.59954833984375
A0010_03_21.bmp,A0010.bmp,1465.8225,1.711212158203125
A0010_03_22.bmp,A0010.bmp,1370.8739,1.63092041015625
A0010_03_23.bmp,A0010.bmp,1125.5982,1.731353759765625
A0010_04_00.bmp,A0010.bmp,1509.0292,1.12640380859375
A0010_04_01.bmp,A0010.bmp,1402.8599,1.428375244140625
A0010_04_02.bmp,A0010.bmp,1609.3235,1.064239501953125
A0010_04_03.bmp,A0010.bmp,1501.5939,1.3663330078125
A0010_04_04.bmp,A0010.bmp,1297.2529,1.555511474609375
A0010_04_05.bmp,A0010.bmp,1658.0922,1.051300048828125
A0010_04_06.bmp,A0010.bmp,1373.4376,1.447723388671875
A0010_04_07.bmp,A0010.bmp,1172.6235,1.701934814453125
A0010_04_08.bmp,A0010.bmp,1565.2755,1.073211669921875
A0010_04_09.bmp,A0010.bmp,1426.469,1.3948974609375
A0010_04_10.bmp,A0010.bmp,1292.4061,1.59600830078125
A0010_04_11.bmp,A0010.bmp,1385.4119,1.50439453125
A0010_04_12.bmp,A0010.bmp,1558.8749,1.18670654296875
A0010_05_00.bmp,A0010.bmp,1361.9307,1.554931640625
A0010_05_01.bmp,A0010.bmp,1170.8325,1.76202392578125
A0010_05_02.bmp,A0010.bmp,1207.2384,1.708465576171875
A0010_05_03.bmp,A0010.bmp,1077.6272,1.8382568359375
A0010_05_04.bmp,A0010.bmp,1404.0243,1.468475341796875
A0010_05_05.bmp,A0010.bmp,1221.4828,1.688262939453125
A0010_05_06.bmp,A0010.bmp,1261.8705,1.74383544921875
A0010_05_07.bmp,A0010.bmp,1162.8322,1.82843017578125
A0010_05_08.bmp,A0010.bmp,1172.661,1.783660888671875
A0010_05_09.bmp,A0010.bmp,1306.6648,1.70068359375
A0010_05_10.bmp,A0010.bmp,1450.2316,1.5880126953125
A0010_05_11.bmp,A0010.bmp,1466.0508,1.202545166015625
A0010_05_12.bmp,A0010.bmp,1443.5308,1.32281494140625
A0010_05_13.bmp,A0010.bmp,1311.4694,1.3726806640625
A0010_06_00.bmp,A0010.bmp,1387.61,1.18914794921875
A0010_06_01.bmp,A0010.bmp,1333.7489,1.252960205078125
A0010_06_02.bmp,A0010.bmp,1409.3063,1.208465576171875
A0010_06_03.bmp,A0010.bmp,1469.992,1.171783447265625
A0010_06_04.bmp,A0010.bmp,1300.1184,1.612396240234375
A0010_06_05.bmp,A0010.bmp,1543.7025,1.374725341796875
A0010_06_06.bmp,A0010.bmp,1611.7125,1.1795654296875
A0010_06_07.bmp,A0010.bmp,1574.8528,0.98895263671875
A0010_06_08.bmp,A0010.bmp,1609.7277,0.91748046875
A0010_06_09.bmp,A0010.bmp,1537.3276,1.120880126953125
A0010_06_10.bmp,A0010.bmp,1471.1686,1.428314208984375
