dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.356781005859375
A0010_00_01.bmp,A0010.bmp,1397.4428,1.58831787109375
A0010_00_02.bmp,A0010.bmp,1543.2459,1.25323486328125
A0010_00_03.bmp,A0010.bmp,1515.0295,1.479339599609375
A0010_00_04.bmp,A0010.bmp,1467.121,1.6143798828125
A0010_00_05.bmp,A0010.bmp,1611.8061,1.279327392578125
A0010_00_06.bmp,A0010.bmp,1513.7124,1.507110595703125
A0010_00_07.bmp,A0010.bmp,1344.9394,1.648468017578125
A0010_00_08.bmp,A0010.bmp,1564.1514,1.274932861328125
A0010_00_09.bmp,A0010.bmp,1545.7206,1.51171875
A0010_00_10.bmp,A0010.bmp,1415.4665,1.65069580078125
A0010_00_11.bmp,A0010.bmp,1505.9435,1.234100341796875
A0010_01_00.bmp,A0010.bmp,1582.9888,1.2431640625
A0010_01_01.bmp,A0010.bmp,1512.4943,1.449615478515625
A0010_01_02.bmp,A0010.bmp,1323.7629,1.539520263671875
A0010_01_03.bmp,A0010.bmp,1614.6601,1.218841552734375
A0010_01_04.bmp,A0010.bmp,1422.955,1.46282958984375
A0010_01_05.bmp,A0010.bmp,1411.2205,1.5274658203125
A0010_01_06.bmp,A0010.bmp,1522.4109,1.22027587890625
A0010_01_07.bmp,A0010.bmp,1519.9579,1.460235595703125
A0010_01_08.bmp,A0010.bmp,1388.8629,1.62994384765625
A0010_01_09.bmp,A0010.bmp,1601.2028,1.125091552734375
A0010_01_10.bmp,A0010.bmp,1557.3595,1.346160888671875
A0010_01_11.bmp,A0010.bmp,1520.3255,1.48541259765625
A0010_01_12.bmp,A0010.bmp,1624.7021,1.120452880859375
A0010_01_13.bmp,A0010.bmp,1611.0104,1.329254150390625
A0010_01_14.bmp,A0010.bmp,1476.5829,1.484222412109375
A0010_01_15.bmp,A0010.bmp,1269.6335,1.8028564453125
A0010_02_00.bmp,A0010.bmp,1491.0261,1.307342529296875
A0010_02_01.bmp,A0010.bmp,1608.3366,1.307342529296875
A0010_02_02.bmp,A0010.bmp,1610.3456,1.202484130859375
A0010_02_03.bmp,A0010.bmp,1561.9819,1.197174072265625
A0010_02_04.bmp,A0010.bmp,1766.5766,1.26385498046875
A0010_02_05.bmp,A0010.bmp,1405.8695,1.58636474609375
A0010_02_06.bmp,A0010.bmp,1475.5644,1.54608154296875
A0010_02_07.bmp,A0010.bmp,1498.3538,1.526275634765625
A0010_02_08.bmp,A0010.bmp,1475.23,1.522735595703125
A0010_02_09.bmp,A0010.bmp,1488.6213,1.53656005859375
A0010_03_00.bmp,A0010.bmp,1408.4934,1.573944091796875
A0010_03_01.bmp,A0010.bmp,1526.7626,1.5205078125
A0010_03_02.bmp,A0010.bmp,1377.6437,1.599822998046875
A0010_03_03.bmp,A0010.bmp,1471.8775,1.48291015625
A0010_03_04.bmp,A0010.bmp,1425.4631,1.48291015625
A0010_03_05.bmp,A0010.bmp,1479.0004,1.483062744140625
A0010_03_06.bmp,A0010.bmp,1580.8948,1.51055908203125
