dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.265533447265625
A0010_00_01.bmp,A0010.bmp,1397.4428,1.50189208984375
A0010_00_02.bmp,A0010.bmp,1543.2459,1.17645263671875
A0010_00_03.bmp,A0010.bmp,1515.0295,1.409210205078125
A0010_00_04.bmp,A0010.bmp,1467.121,1.548248291015625
A0010_00_05.bmp,A0010.bmp,1611.8061,1.19378662109375
A0010_00_06.bmp,A0010.bmp,1513.7124,1.43402099609375
A0010_00_07.bmp,A0010.bmp,1344.9394,1.579193115234375
A0010_00_08.bmp,A0010.bmp,1564.1514,1.1939697265625
A0010_00_09.bmp,A0010.bmp,1545.7206,1.44036865234375
A0010_00_10.bmp,A0010.bmp,1415.4665,1.587493896484375
A0010_00_11.bmp,A0010.bmp,1505.9435,1.17388916015625
A0010_01_00.bmp,A0010.bmp,1582.9888,1.156829833984375
A0010_01_01.bmp,A0010.bmp,1512.4943,1.360595703125
A0010_01_02.bmp,A0010.bmp,1323.7629,1.4578857421875
A0010_01_03.bmp,A0010.bmp,1614.6601,1.134124755859375
A0010_01_04.bmp,A0010.bmp,1422.955,1.371826171875
A0010_01_05.bmp,A0010.bmp,1411.2205,1.442352294921875
A0010_01_06.bmp,A0010.bmp,1522.4109,1.1295166015625
A0010_01_07.bmp,A0010.bmp,1519.9579,1.376861572265625
A0010_01_08.bmp,A0010.bmp,1388.8629,1.5609130859375
A0010_01_09.bmp,A0010.bmp,1601.2028,1.0255126953125
A0010_01_10.bmp,A0010.bmp,1557.3595,1.246978759765625
A0010_01_11.bmp,A0010.bmp,1520.3255,1.391021728515625
A0010_01_12.bmp,A0010.bmp,1624.7021,1.020355224609375
A0010_01_13.bmp,A0010.bmp,1611.0104,1.2333984375
A0010_01_14.bmp,A0010.bmp,1476.5829,1.38677978515625
A0010_01_15.bmp,A0010.bmp,1269.6335,1.73187255859375
A0010_02_00.bmp,A0010.bmp,1491.0261,1.2220458984375
A0010_02_01.bmp,A0010.bmp,1608.3366,1.2220458984375
A0010_02_02.bmp,A0010.bmp,1610.3456,1.1103515625
A0010_02_03.bmp,A0010.bmp,1561.9819,1.08367919921875
A0010_02_04.bmp,A0010.bmp,1766.5766,1.12310791015625
A0010_02_05.bmp,A0010.bmp,1405.8695,1.50152587890625
A0010_02_06.bmp,A0010.bmp,1475.5644,1.4560546875
A0010_02_07.bmp,A0010.bmp,1498.3538,1.44366455078125
A0010_02_08.bmp,A0010.bmp,1475.23,1.433380126953125
A0010_02_09.bmp,A0010.bmp,1488.6213,1.438446044921875
A0010_03_00.bmp,A0010.bmp,1408.4934,1.47900390625
A0010_03_01.bmp,A0010.bmp,1526.7626,1.419586181640625
A0010_03_02.bmp,A0010.bmp,1377.6437,1.49798583984375
A0010_03_03.bmp,A0010.bmp,1471.8775,1.3831787109375
A0010_03_04.bmp,A0010.bmp,1425.4631,1.3831787109375
A0010_03_05.bmp,A0010.bmp,1479.0004,1.382965087890625
A0010_03_06.bmp,A0010.bmp,1580.8948,1.41986083984375
A0010_03_07.bmp,A0010.bmp,1426.1284,1.4122314453125
A0010_03_08.bmp,A0010.bmp,1415.89,1.4224853515625
A0010_03_09.bmp,A0010.bmp,1381.5384,1.44256591796875
A0010_03_10.bmp,A0010.bmp,1506.5598,1.327423095703125
A0010_03_11.bmp,A0010.bmp,1478.4784,1.334869384765625
A0010_03_12.bmp,A0010.bmp,1534.4737,1.40338134765625
A0010_03_13.bmp,A0010.bmp,1440.0787,1.363922119140625
A0010_03_14.bmp,A0010.bmp,1536.5628,1.333587646484375
A0010_03_15.bmp,A0010.bmp,1520.6863,1.381622314453125
A0010_03_16.bmp,A0010.bmp,1446.7638,1.360748291015625
A0010_03_17.bmp,A0010.bmp,1489.3506,1.41656494140625
A0010_03_18.bmp,A0010.bmp,1460.723,1.414154052734375
A0010_03_19.bmp,A0010.bmp,1479.9531,1.427947998046875
A0010_03_20.bmp,A0010.bmp,1385.6622,1.6265869140625
A0010_03_21.bmp,A0010.bmp,1465.8225,1.735443115234375
A0010_03_22.bmp,A0010.bmp,1370.8739,1.644012451171875
A0010_03_23.bmp,A0010.bmp,1125.5982,1.742645263671875
A0010_04_00.bmp,A0010.bmp,1509.0292,1.278594970703125
A0010_04_01.bmp,A0010.bmp,1402.8599,1.51605224609375
A0010_04_02.bmp,A0010.bmp,1609.3235,1.232879638671875
A0010_04_03.bmp,A0010.bmp,1501.5939,1.45172119140625
A0010_04_04.bmp,A0010.bmp,1297.2529,1.622314453125
A0010_04_05.bmp,A0010.bmp,1658.0922,1.21063232421875
A0010_04_06.bmp,A0010.bmp,1373.4376,1.521484375
A0010_04_07.bmp,A0010.bmp,1172.6235,1.72711181640625
A0010_04_08.bmp,A0010.bmp,1565.2755,1.25677490234375
A0010_04_09.bmp,A0010.bmp,1426.469,1.510894775390625
A0010_04_10.bmp,A0010.bmp,1292.4061,1.657989501953125
A0010_04_11.bmp,A0010.bmp,1385.4119,1.575439453125
A0010_04_12.bmp,A0010.bmp,1558.8749,1.321044921875
A0010_05_00.bmp,A0010.bmp,1361.9307,1.60650634765625
A0010_05_01.bmp,A0010.bmp,1170.8325,1.78582763671875
A0010_05_02.bmp,A0010.bmp,1207.2384,1.7352294921875
A0010_05_03.bmp,A0010.bmp,1077.6272,1.848388671875
A0010_05_04.bmp,A0010.bmp,1404.0243,1.538055419921875
A0010_05_05.bmp,A0010.bmp,1221.4828,1.726715087890625
A0010_05_06.bmp,A0010.bmp,1261.8705,1.77044677734375
A0010_05_07.bmp,A0010.bmp,1162.8322,1.849365234375
A0010_05_08.bmp,A0010.bmp,1172.661,1.81549072265625
A0010_05_09.bmp,A0010.bmp,1306.6648,1.72930908203125
A0010_05_10.bmp,A0010.bmp,1450.2316,1.635833740234375
A0010_05_11.bmp,A0010.bmp,1466.0508,1.31329345703125
A0010_05_12.bmp,A0010.bmp,1443.5308,1.407867431640625
A0010_05_13.bmp,A0010.bmp,1311.4694,1.41986083984375
A0010_06_00.bmp,A0010.bmp,1387.61,1.330230712890625
A0010_06_01.bmp,A0010.bmp,1333.7489,1.367462158203125
A0010_06_02.bmp,A0010.bmp,1409.3063,1.361083984375
A0010_06_03.bmp,A0010.bmp,1469.992,1.32305908203125
A0010_06_04.bmp,A0010.bmp,1300.1184,1.64178466796875
A0010_06_05.bmp,A0010.bmp,1543.7025,1.443695068359375
A0010_06_06.bmp,A0010.bmp,1611.7125,1.311767578125
A0010_06_07.bmp,A0010.bmp,1574.8528,1.146514892578125
A0010_06_08.bmp,A0010.bmp,1609.7277,1.109893798828125
A0010_06_09.bmp,A0010.bmp,1537.3276,1.25140380859375
A0010_06_10.bmp,A0010.bmp,1471.1686,1.4842529296875
A0010_06_11.bmp,A0010.bmp,1448.703,1.2791748046875
A0010_06_12.bmp,A0010.bmp,1379.718,1.4649658203125
A0010_06_13.bmp,A0010.bmp,1292.3206,1.498992919921875
A0010_06_14.bmp,A0010.bmp,1408.9503,1.43585205078125
A0010_06_15.bmp,A0010.bmp,1262.8769,1.636810302734375
A0010_06_16.bmp,A0010.bmp,1521.1994,1.134063720703125
A0010_06_17.bmp,A0010.bmp,1529.3003,1.4124755859375
A0010_06_18.bmp,A0010.bmp,1495.014,1.54766845703125
A0010_06_19.bmp,A0010.bmp,1545.1425,1.079620361328125
A0010_06_20.bmp,A0010.bmp,1442.0158,1.092437744140625
A0010_06_21.bmp,A0010.bmp,1585.556,1.0577392578125
A0010_06_22.bmp,A0010.bmp,1498.1973,1.021942138671875
A0010_06_23.bmp,A0010.bmp,1511.4752,0.9416961669921875
A0010_06_24.bmp,A0010.bmp,1591.1947,1.133544921875
A0010_06_25.bmp,A0010.bmp,1462.0684,1.302825927734375
A0010_06_26.bmp,A0010.bmp,1463.3668,1.368133544921875
A0027_00_00.bmp,A0027.bmp,1519.3898,1.152069091796875
A0027_00_01.bmp,A0027.bmp,1381.7487,1.383270263671875
A0027_00_02.bmp,A0027.bmp,1604.4955,1.069061279296875
A0027_00_03.bmp,A0027.bmp,1454.7168,1.322784423828125
A0027_00_04.bmp,A0027.bmp,1449.7403,1.480560302734375
A0027_00_05.bmp,A0027.bmp,1537.2687,1.068115234375
A0027_00_06.bmp,A0027.bmp,1520.1301,1.30828857421875
A0027_00_07.bmp,A0027.bmp,1372.4774,1.475433349609375
A0027_00_08.bmp,A0027.bmp,1564.389,1.08551025390625
A0027_00_09.bmp,A0027.bmp,1535.3086,1.329437255859375
A0027_00_10.bmp,A0027.bmp,1463.0032,1.495758056640625
A0027_00_11.bmp,A0027.bmp,1411.7324,1.03271484375
A0027_01_00.bmp,A0027.bmp,1517.0844,1.019134521484375
A0027_01_01.bmp,A0027.bmp,1469.559,1.235748291015625
A0027_01_02.bmp,A0027.bmp,1396.2018,1.400634765625
A0027_01_03.bmp,A0027.bmp,1496.3854,1.01043701171875
A0027_01_04.bmp,A0027.bmp,1483.8521,1.26171875
A0027_01_05.bmp,A0027.bmp,1427.1132,1.3770751953125
A0027_01_06.bmp,A0027.bmp,1414.8166,1.041473388671875
A0027_01_07.bmp,A0027.bmp,1541.448,1.290679931640625
A0027_01_08.bmp,A0027.bmp,1378.4026,1.476226806640625
A0027_01_09.bmp,A0027.bmp,1530.1634,1.017791748046875
A0027_01_10.bmp,A0027.bmp,1436.9101,1.25640869140625
A0027_01_11.bmp,A0027.bmp,1419.4433,1.409393310546875
A0027_01_12.bmp,A0027.bmp,1544.3999,1.017059326171875
A0027_01_13.bmp,A0027.bmp,1504.5788,1.26348876953125
A0027_01_14.bmp,A0027.bmp,1540.6209,1.406341552734375
A0027_01_15.bmp,A0027.bmp,1398.6008,1.71466064453125
A0027_02_00.bmp,A0027.bmp,1427.3251,1.1422119140625
A0027_02_01.bmp,A0027.bmp,1544.2766,1.1422119140625
A0027_02_02.bmp,A0027.bmp,1513.4413,1.05322265625
A0027_02_03.bmp,A0027.bmp,1534.5999,1.0396728515625
