dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.3481616973876953
A0010_00_01.bmp,A0010.bmp,1397.4428,0.4713478088378906
A0010_00_02.bmp,A0010.bmp,1543.2459,0.2963752746582031
A0010_00_03.bmp,A0010.bmp,1515.0295,0.41994476318359375
A0010_00_04.bmp,A0010.bmp,1467.121,0.4922199249267578
A0010_00_05.bmp,A0010.bmp,1611.8061,0.3187255859375
A0010_00_06.bmp,A0010.bmp,1513.7124,0.450042724609375
A0010_00_07.bmp,A0010.bmp,1344.9394,0.5306434631347656
A0010_00_08.bmp,A0010.bmp,1564.1514,0.30797386169433594
A0010_00_09.bmp,A0010.bmp,1545.7206,0.4382762908935547
A0010_00_10.bmp,A0010.bmp,1415.4665,0.5325202941894531
A0010_00_11.bmp,A0010.bmp,1505.9435,0.2953815460205078
A0010_01_00.bmp,A0010.bmp,1582.9888,0.2812833786010742
A0010_01_01.bmp,A0010.bmp,1512.4943,0.389892578125
A0010_01_02.bmp,A0010.bmp,1323.7629,0.43485069274902344
A0010_01_03.bmp,A0010.bmp,1614.6601,0.2686643600463867
A0010_01_04.bmp,A0010.bmp,1422.955,0.38196563720703125
A0010_01_05.bmp,A0010.bmp,1411.2205,0.4218254089355469
A0010_01_06.bmp,A0010.bmp,1522.4109,0.26315975189208984
A0010_01_07.bmp,A0010.bmp,1519.9579,0.3970470428466797
A0010_01_08.bmp,A0010.bmp,1388.8629,0.4811534881591797
A0010_01_09.bmp,A0010.bmp,1601.2028,0.22051334381103516
A0010_01_10.bmp,A0010.bmp,1557.3595,0.32523536682128906
A0010_01_11.bmp,A0010.bmp,1520.3255,0.3837013244628906
A0010_01_12.bmp,A0010.bmp,1624.7021,0.21742820739746094
A0010_01_13.bmp,A0010.bmp,1611.0104,0.3174781799316406
A0010_01_14.bmp,A0010.bmp,1476.5829,0.3795051574707031
A0010_01_15.bmp,A0010.bmp,1269.6335,0.5632457733154297
A0010_02_00.bmp,A0010.bmp,1491.0261,0.32040977478027344
A0010_02_01.bmp,A0010.bmp,1608.3366,0.32040977478027344
A0010_02_02.bmp,A0010.bmp,1610.3456,0.2583589553833008
A0010_02_03.bmp,A0010.bmp,1561.9819,0.24839115142822266
A0010_02_04.bmp,A0010.bmp,1766.5766,0.2709999084472656
A0010_02_05.bmp,A0010.bmp,1405.8695,0.4595832824707031
A0010_02_06.bmp,A0010.bmp,1475.5644,0.4282512664794922
A0010_02_07.bmp,A0010.bmp,1498.3538,0.4164409637451172
A0010_02_08.bmp,A0010.bmp,1475.23,0.412872314453125
A0010_02_09.bmp,A0010.bmp,1488.6213,0.4171714782714844
A0010_03_00.bmp,A0010.bmp,1408.4934,0.448272705078125
A0010_03_01.bmp,A0010.bmp,1526.7626,0.3773956298828125
A0010_03_02.bmp,A0010.bmp,1377.6437,0.45273780822753906
A0010_03_03.bmp,A0010.bmp,1471.8775,0.38433074951171875
A0010_03_04.bmp,A0010.bmp,1425.4631,0.38433074951171875
A0010_03_05.bmp,A0010.bmp,1479.0004,0.38439178466796875
A0010_03_06.bmp,A0010.bmp,1580.8948,0.3944091796875
A0010_03_07.bmp,A0010.bmp,1426.1284,0.40704917907714844
A0010_03_08.bmp,A0010.bmp,1415.89,0.411346435546875
A0010_03_09.bmp,A0010.bmp,1381.5384,0.43996620178222656
A0010_03_10.bmp,A0010.bmp,1506.5598,0.33818817138671875
A0010_03_11.bmp,A0010.bmp,1478.4784,0.3311786651611328
A0010_03_12.bmp,A0010.bmp,1534.4737,0.36156463623046875
A0010_03_13.bmp,A0010.bmp,1440.0787,0.34803199768066406
A0010_03_14.bmp,A0010.bmp,1536.5628,0.34056663513183594
A0010_03_15.bmp,A0010.bmp,1520.6863,0.3604297637939453
A0010_03_16.bmp,A0010.bmp,1446.7638,0.35530662536621094
A0010_03_17.bmp,A0010.bmp,1489.3506,0.38234519958496094
A0010_03_18.bmp,A0010.bmp,1460.723,0.37357139587402344
A0010_03_19.bmp,A0010.bmp,1479.9531,0.39566802978515625
A0010_03_20.bmp,A0010.bmp,1385.6622,0.4793815612792969
A0010_03_21.bmp,A0010.bmp,1465.8225,0.5196189880371094
A0010_03_22.bmp,A0010.bmp,1370.8739,0.4877967834472656
A0010_03_23.bmp,A0010.bmp,1125.5982,0.5292415618896484
A0010_04_00.bmp,A0010.bmp,1509.0292,0.3410758972167969
A0010_04_01.bmp,A0010.bmp,1402.8599,0.47125816345214844
A0010_04_02.bmp,A0010.bmp,1609.3235,0.3213348388671875
A0010_04_03.bmp,A0010.bmp,1501.5939,0.4402637481689453
A0010_04_04.bmp,A0010.bmp,1297.2529,0.515350341796875
A0010_04_05.bmp,A0010.bmp,1658.0922,0.30255603790283203
A0010_04_06.bmp,A0010.bmp,1373.4376,0.44144630432128906
A0010_04_07.bmp,A0010.bmp,1172.6235,0.5451908111572266
A0010_04_08.bmp,A0010.bmp,1565.2755,0.33022499084472656
A0010_04_09.bmp,A0010.bmp,1426.469,0.458251953125
