dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.748504638671875
A0010_00_01.bmp,A0010.bmp,1397.4428,3.003143310546875
A0010_00_02.bmp,A0010.bmp,1543.2459,1.2934341430664062
A0010_00_03.bmp,A0010.bmp,1515.0295,2.49945068359375
A0010_00_04.bmp,A0010.bmp,1467.121,3.2451171875
A0010_00_05.bmp,A0010.bmp,1611.8061,1.3020248413085938
A0010_00_06.bmp,A0010.bmp,1513.7124,2.5397491455078125
A0010_00_07.bmp,A0010.bmp,1344.9394,3.327423095703125
A0010_00_08.bmp,A0010.bmp,1564.1514,1.317657470703125
A0010_00_09.bmp,A0010.bmp,1545.7206,2.568359375
A0010_00_10.bmp,A0010.bmp,1415.4665,3.3589630126953125
A0010_00_11.bmp,A0010.bmp,1505.9435,1.1493911743164062
A0010_01_00.bmp,A0010.bmp,1582.9888,1.1484298706054688
A0010_01_01.bmp,A0010.bmp,1512.4943,2.329833984375
A0010_01_02.bmp,A0010.bmp,1323.7629,3.045013427734375
A0010_01_03.bmp,A0010.bmp,1614.6601,1.0889739990234375
A0010_01_04.bmp,A0010.bmp,1422.955,2.42779541015625
A0010_01_05.bmp,A0010.bmp,1411.2205,2.9503631591796875
A0010_01_06.bmp,A0010.bmp,1522.4109,1.1503715515136719
A0010_01_07.bmp,A0010.bmp,1519.9579,2.4194183349609375
A0010_01_08.bmp,A0010.bmp,1388.8629,3.256256103515625
A0010_01_09.bmp,A0010.bmp,1601.2028,0.8911323547363281
A0010_01_10.bmp,A0010.bmp,1557.3595,1.9796524047851562
A0010_01_11.bmp,A0010.bmp,1520.3255,2.6724090576171875
A0010_01_12.bmp,A0010.bmp,1624.7021,0.8388862609863281
A0010_01_13.bmp,A0010.bmp,1611.0104,1.9182205200195312
A0010_01_14.bmp,A0010.bmp,1476.5829,2.6381378173828125
A0010_01_15.bmp,A0010.bmp,1269.6335,4.48968505859375
A0010_02_00.bmp,A0010.bmp,1491.0261,1.6332550048828125
A0010_02_01.bmp,A0010.bmp,1608.3366,1.6332550048828125
A0010_02_02.bmp,A0010.bmp,1610.3456,1.2069244384765625
A0010_02_03.bmp,A0010.bmp,1561.9819,1.196807861328125
A0010_02_04.bmp,A0010.bmp,1766.5766,1.6638031005859375
A0010_02_05.bmp,A0010.bmp,1405.8695,3.06109619140625
A0010_02_06.bmp,A0010.bmp,1475.5644,2.9014892578125
A0010_02_07.bmp,A0010.bmp,1498.3538,2.86895751953125
A0010_02_08.bmp,A0010.bmp,1475.23,2.85943603515625
A0010_02_09.bmp,A0010.bmp,1488.6213,2.9669036865234375
A0010_03_00.bmp,A0010.bmp,1408.4934,2.766326904296875
A0010_03_01.bmp,A0010.bmp,1526.7626,2.71246337890625
A0010_03_02.bmp,A0010.bmp,1377.6437,2.9430084228515625
A0010_03_03.bmp,A0010.bmp,1471.8775,2.5364837646484375
