dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,2.3443603515625
A0010_00_01.bmp,A0010.bmp,1397.4428,3.362884521484375
A0010_00_02.bmp,A0010.bmp,1543.2459,1.9745635986328125
A0010_00_03.bmp,A0010.bmp,1515.0295,2.952911376953125
A0010_00_04.bmp,A0010.bmp,1467.121,3.63714599609375
A0010_00_05.bmp,A0010.bmp,1611.8061,1.9625091552734375
A0010_00_06.bmp,A0010.bmp,1513.7124,2.95318603515625
A0010_00_07.bmp,A0010.bmp,1344.9394,3.694915771484375
A0010_00_08.bmp,A0010.bmp,1564.1514,1.9951934814453125
A0010_00_09.bmp,A0010.bmp,1545.7206,2.998565673828125
A0010_00_10.bmp,A0010.bmp,1415.4665,3.7337646484375
A0010_00_11.bmp,A0010.bmp,1505.9435,1.8653411865234375
A0010_01_00.bmp,A0010.bmp,1582.9888,1.9420013427734375
A0010_01_01.bmp,A0010.bmp,1512.4943,2.857879638671875
A0010_01_02.bmp,A0010.bmp,1323.7629,3.505828857421875
A0010_01_03.bmp,A0010.bmp,1614.6601,1.8992767333984375
A0010_01_04.bmp,A0010.bmp,1422.955,2.902557373046875
A0010_01_05.bmp,A0010.bmp,1411.2205,3.427398681640625
A0010_01_06.bmp,A0010.bmp,1522.4109,1.891265869140625
A0010_01_07.bmp,A0010.bmp,1519.9579,2.901641845703125
A0010_01_08.bmp,A0010.bmp,1388.8629,3.638153076171875
A0010_01_09.bmp,A0010.bmp,1601.2028,1.7288665771484375
A0010_01_10.bmp,A0010.bmp,1557.3595,2.49658203125
A0010_01_11.bmp,A0010.bmp,1520.3255,3.12371826171875
A0010_01_12.bmp,A0010.bmp,1624.7021,1.672271728515625
A0010_01_13.bmp,A0010.bmp,1611.0104,2.4481964111328125
A0010_01_14.bmp,A0010.bmp,1476.5829,3.094818115234375
A0010_01_15.bmp,A0010.bmp,1269.6335,4.73858642578125
A0010_02_00.bmp,A0010.bmp,1491.0261,2.2990875244140625
A0010_02_01.bmp,A0010.bmp,1608.3366,2.2990875244140625
A0010_02_02.bmp,A0010.bmp,1610.3456,1.9522857666015625
A0010_02_03.bmp,A0010.bmp,1561.9819,1.93182373046875
A0010_02_04.bmp,A0010.bmp,1766.5766,2.4160003662109375
A0010_02_05.bmp,A0010.bmp,1405.8695,3.471160888671875
A0010_02_06.bmp,A0010.bmp,1475.5644,3.31829833984375
A0010_02_07.bmp,A0010.bmp,1498.3538,3.293426513671875
