dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.2994699478149414
A0010_00_01.bmp,A0010.bmp,1397.4428,0.42711925506591797
A0010_00_02.bmp,A0010.bmp,1543.2459,0.22347068786621094
A0010_00_03.bmp,A0010.bmp,1515.0295,0.37978363037109375
A0010_00_04.bmp,A0010.bmp,1467.121,0.4448099136352539
A0010_00_05.bmp,A0010.bmp,1611.8061,0.22089624404907227
A0010_00_06.bmp,A0010.bmp,1513.7124,0.37456321716308594
A0010_00_07.bmp,A0010.bmp,1344.9394,0.4581003189086914
A0010_00_08.bmp,A0010.bmp,1564.1514,0.22633695602416992
A0010_00_09.bmp,A0010.bmp,1545.7206,0.38335227966308594
A0010_00_10.bmp,A0010.bmp,1415.4665,0.4546184539794922
A0010_00_11.bmp,A0010.bmp,1505.9435,0.20858192443847656
A0010_01_00.bmp,A0010.bmp,1582.9888,0.20998477935791016
A0010_01_01.bmp,A0010.bmp,1512.4943,0.36084842681884766
A0010_01_02.bmp,A0010.bmp,1323.7629,0.4303245544433594
A0010_01_03.bmp,A0010.bmp,1614.6601,0.20177841186523438
A0010_01_04.bmp,A0010.bmp,1422.955,0.37117958068847656
A0010_01_05.bmp,A0010.bmp,1411.2205,0.4205770492553711
A0010_01_06.bmp,A0010.bmp,1522.4109,0.20989274978637695
A0010_01_07.bmp,A0010.bmp,1519.9579,0.3810453414916992
A0010_01_08.bmp,A0010.bmp,1388.8629,0.45206451416015625
A0010_01_09.bmp,A0010.bmp,1601.2028,0.18597030639648438
A0010_01_10.bmp,A0010.bmp,1557.3595,0.3220524787902832
A0010_01_11.bmp,A0010.bmp,1520.3255,0.3970918655395508
A0010_01_12.bmp,A0010.bmp,1624.7021,0.17733430862426758
A0010_01_13.bmp,A0010.bmp,1611.0104,0.31325387954711914
A0010_01_14.bmp,A0010.bmp,1476.5829,0.3936653137207031
A0010_01_15.bmp,A0010.bmp,1269.6335,0.5682353973388672
A0010_02_00.bmp,A0010.bmp,1491.0261,0.28786611557006836
A0010_02_01.bmp,A0010.bmp,1608.3366,0.28786611557006836
A0010_02_02.bmp,A0010.bmp,1610.3456,0.21869993209838867
A0010_02_03.bmp,A0010.bmp,1561.9819,0.20946121215820312
A0010_02_04.bmp,A0010.bmp,1766.5766,0.2646632194519043
A0010_02_05.bmp,A0010.bmp,1405.8695,0.43997764587402344
A0010_02_06.bmp,A0010.bmp,1475.5644,0.4219188690185547
A0010_02_07.bmp,A0010.bmp,1498.3538,0.4179201126098633
A0010_02_08.bmp,A0010.bmp,1475.23,0.41797351837158203
A0010_02_09.bmp,A0010.bmp,1488.6213,0.4255552291870117
A0010_03_00.bmp,A0010.bmp,1408.4934,0.39310741424560547
A0010_03_01.bmp,A0010.bmp,1526.7626,0.3789176940917969
A0010_03_02.bmp,A0010.bmp,1377.6437,0.4197254180908203
A0010_03_03.bmp,A0010.bmp,1471.8775,0.3822193145751953
A0010_03_04.bmp,A0010.bmp,1425.4631,0.3822193145751953
A0010_03_05.bmp,A0010.bmp,1479.0004,0.3821592330932617
A0010_03_06.bmp,A0010.bmp,1580.8948,0.3532257080078125
A0010_03_07.bmp,A0010.bmp,1426.1284,0.3971414566040039
A0010_03_08.bmp,A0010.bmp,1415.89,0.38343048095703125
A0010_03_09.bmp,A0010.bmp,1381.5384,0.39486026763916016
A0010_03_10.bmp,A0010.bmp,1506.5598,0.32915306091308594
A0010_03_11.bmp,A0010.bmp,1478.4784,0.3219423294067383
A0010_03_12.bmp,A0010.bmp,1534.4737,0.35680389404296875
A0010_03_13.bmp,A0010.bmp,1440.0787,0.34213924407958984
A0010_03_14.bmp,A0010.bmp,1536.5628,0.3511629104614258
A0010_03_15.bmp,A0010.bmp,1520.6863,0.3705940246582031
A0010_03_16.bmp,A0010.bmp,1446.7638,0.36462974548339844
A0010_03_17.bmp,A0010.bmp,1489.3506,0.3674631118774414
A0010_03_18.bmp,A0010.bmp,1460.723,0.38150787353515625
A0010_03_19.bmp,A0010.bmp,1479.9531,0.37831783294677734
A0010_03_20.bmp,A0010.bmp,1385.6622,0.48365211486816406
A0010_03_21.bmp,A0010.bmp,1465.8225,0.5587921142578125
A0010_03_22.bmp,A0010.bmp,1370.8739,0.5120611190795898
A0010_03_23.bmp,A0010.bmp,1125.5982,0.5853118896484375
A0010_04_00.bmp,A0010.bmp,1509.0292,0.28231143951416016
A0010_04_01.bmp,A0010.bmp,1402.8599,0.4564476013183594
A0010_04_02.bmp,A0010.bmp,1609.3235,0.24922466278076172
A0010_04_03.bmp,A0010.bmp,1501.5939,0.43309879302978516
A0010_04_04.bmp,A0010.bmp,1297.2529,0.5227594375610352
A0010_04_05.bmp,A0010.bmp,1658.0922,0.24108362197875977
A0010_04_06.bmp,A0010.bmp,1373.4376,0.4597444534301758
A0010_04_07.bmp,A0010.bmp,1172.6235,0.5460453033447266
A0010_04_08.bmp,A0010.bmp,1565.2755,0.2491927146911621
A0010_04_09.bmp,A0010.bmp,1426.469,0.41417980194091797
A0010_04_10.bmp,A0010.bmp,1292.4061,0.5198822021484375
A0010_04_11.bmp,A0010.bmp,1385.4119,0.4336271286010742
A0010_04_12.bmp,A0010.bmp,1558.8749,0.22959280014038086
A0010_05_00.bmp,A0010.bmp,1361.9307,0.4818592071533203
A0010_05_01.bmp,A0010.bmp,1170.8325,0.6373558044433594
A0010_05_02.bmp,A0010.bmp,1207.2384,0.6048793792724609
A0010_05_03.bmp,A0010.bmp,1077.6272,0.6559543609619141
A0010_05_04.bmp,A0010.bmp,1404.0243,0.4763307571411133
A0010_05_05.bmp,A0010.bmp,1221.4828,0.6152400970458984
A0010_05_06.bmp,A0010.bmp,1261.8705,0.5915908813476562
A0010_05_07.bmp,A0010.bmp,1162.8322,0.6449928283691406
A0010_05_08.bmp,A0010.bmp,1172.661,0.5970993041992188
A0010_05_09.bmp,A0010.bmp,1306.6648,0.5286598205566406
A0010_05_10.bmp,A0010.bmp,1450.2316,0.4446277618408203
A0010_05_11.bmp,A0010.bmp,1466.0508,0.3369741439819336
A0010_05_12.bmp,A0010.bmp,1443.5308,0.37108516693115234
A0010_05_13.bmp,A0010.bmp,1311.4694,0.3532257080078125
A0010_06_00.bmp,A0010.bmp,1387.61,0.3622875213623047
A0010_06_01.bmp,A0010.bmp,1333.7489,0.36618900299072266
A0010_06_02.bmp,A0010.bmp,1409.3063,0.3753643035888672
A0010_06_03.bmp,A0010.bmp,1469.992,0.3303642272949219
A0010_06_04.bmp,A0010.bmp,1300.1184,0.4075794219970703
A0010_06_05.bmp,A0010.bmp,1543.7025,0.2658195495605469
A0010_06_06.bmp,A0010.bmp,1611.7125,0.3899726867675781
A0010_06_07.bmp,A0010.bmp,1574.8528,0.33293867111206055
A0010_06_08.bmp,A0010.bmp,1609.7277,0.2000422477722168
A0010_06_09.bmp,A0010.bmp,1537.3276,0.25270748138427734
A0010_06_10.bmp,A0010.bmp,1471.1686,0.36261844635009766
A0010_06_11.bmp,A0010.bmp,1448.703,0.33794403076171875
A0010_06_12.bmp,A0010.bmp,1379.718,0.4205331802368164
A0010_06_13.bmp,A0010.bmp,1292.3206,0.4325246810913086
A0010_06_14.bmp,A0010.bmp,1408.9503,0.4441499710083008
A0010_06_15.bmp,A0010.bmp,1262.8769,0.5730667114257812
A0010_06_16.bmp,A0010.bmp,1521.1994,0.18416213989257812
A0010_06_17.bmp,A0010.bmp,1529.3003,0.3024148941040039
A0010_06_18.bmp,A0010.bmp,1495.014,0.3831958770751953
A0010_06_19.bmp,A0010.bmp,1545.1425,0.20907974243164062
A0010_06_20.bmp,A0010.bmp,1442.0158,0.22095632553100586
A0010_06_21.bmp,A0010.bmp,1585.556,0.20532798767089844
A0010_06_22.bmp,A0010.bmp,1498.1973,0.19427967071533203
A0010_06_23.bmp,A0010.bmp,1511.4752,0.14895343780517578
A0010_06_24.bmp,A0010.bmp,1591.1947,0.24238348007202148
A0010_06_25.bmp,A0010.bmp,1462.0684,0.34228992462158203
A0010_06_26.bmp,A0010.bmp,1463.3668,0.38165950775146484
A0027_00_00.bmp,A0027.bmp,1519.3898,0.1963791847229004
A0027_00_01.bmp,A0027.bmp,1381.7487,0.3442859649658203
A0027_00_02.bmp,A0027.bmp,1604.4955,0.14911317825317383
A0027_00_03.bmp,A0027.bmp,1454.7168,0.2865171432495117
A0027_00_04.bmp,A0027.bmp,1449.7403,0.4817056655883789
A0027_00_05.bmp,A0027.bmp,1537.2687,0.14596176147460938
A0027_00_06.bmp,A0027.bmp,1520.1301,0.2819538116455078
A0027_00_07.bmp,A0027.bmp,1372.4774,0.4796333312988281
A0027_00_08.bmp,A0027.bmp,1564.389,0.15342187881469727
A0027_00_09.bmp,A0027.bmp,1535.3086,0.29508399963378906
A0027_00_10.bmp,A0027.bmp,1463.0032,0.4816293716430664
A0027_00_11.bmp,A0027.bmp,1411.7324,0.13911104202270508
A0027_01_00.bmp,A0027.bmp,1517.0844,0.13846397399902344
A0027_01_01.bmp,A0027.bmp,1469.559,0.26222705841064453
A0027_01_02.bmp,A0027.bmp,1396.2018,0.47141265869140625
A0027_01_03.bmp,A0027.bmp,1496.3854,0.13765764236450195
A0027_01_04.bmp,A0027.bmp,1483.8521,0.27802181243896484
A0027_01_05.bmp,A0027.bmp,1427.1132,0.44942665100097656
A0027_01_06.bmp,A0027.bmp,1414.8166,0.14005136489868164
A0027_01_07.bmp,A0027.bmp,1541.448,0.2897176742553711
A0027_01_08.bmp,A0027.bmp,1378.4026,0.48885536193847656
A0027_01_09.bmp,A0027.bmp,1530.1634,0.1348247528076172
A0027_01_10.bmp,A0027.bmp,1436.9101,0.24437999725341797
A0027_01_11.bmp,A0027.bmp,1419.4433,0.36718177795410156
A0027_01_12.bmp,A0027.bmp,1544.3999,0.1359872817993164
A0027_01_13.bmp,A0027.bmp,1504.5788,0.24657344818115234
A0027_01_14.bmp,A0027.bmp,1540.6209,0.3834867477416992
A0027_01_15.bmp,A0027.bmp,1398.6008,0.7100715637207031
A0027_02_00.bmp,A0027.bmp,1427.3251,0.18375444412231445
A0027_02_01.bmp,A0027.bmp,1544.2766,0.18375444412231445
A0027_02_02.bmp,A0027.bmp,1513.4413,0.13994550704956055
A0027_02_03.bmp,A0027.bmp,1534.5999,0.13724851608276367
A0027_02_04.bmp,A0027.bmp,1531.6355,0.18155145645141602
A0027_02_05.bmp,A0027.bmp,1376.5483,0.40590476989746094
A0027_02_06.bmp,A0027.bmp,1489.2767,0.40819358825683594
A0027_02_07.bmp,A0027.bmp,1517.1201,0.40452003479003906
A0027_02_08.bmp,A0027.bmp,1597.522,0.3988380432128906
A0027_02_09.bmp,A0027.bmp,1556.7731,0.3963747024536133
A0027_03_00.bmp,A0027.bmp,1484.4954,0.40697574615478516
A0027_03_01.bmp,A0027.bmp,1512.3753,0.34490013122558594
A0027_03_02.bmp,A0027.bmp,1427.5039,0.39652061462402344
A0027_03_03.bmp,A0027.bmp,1475.099,0.3694610595703125
A0027_03_04.bmp,A0027.bmp,1408.0334,0.3694610595703125
A0027_03_05.bmp,A0027.bmp,1450.9689,0.3694572448730469
A0027_03_06.bmp,A0027.bmp,1594.6571,0.30340576171875
A0027_03_07.bmp,A0027.bmp,1390.6874,0.3604011535644531
A0027_03_08.bmp,A0027.bmp,1518.688,0.3496284484863281
A0027_03_09.bmp,A0027.bmp,1480.4943,0.3735179901123047
A0027_03_10.bmp,A0027.bmp,1436.1714,0.3319988250732422
A0027_03_11.bmp,A0027.bmp,1465.674,0.35221099853515625
A0027_03_12.bmp,A0027.bmp,1493.1533,0.3587226867675781
A0027_03_13.bmp,A0027.bmp,1421.5435,0.36220741271972656
A0027_03_14.bmp,A0027.bmp,1518.8742,0.33138179779052734
A0027_03_15.bmp,A0027.bmp,1543.1873,0.34535694122314453
A0027_03_16.bmp,A0027.bmp,1518.6297,0.3785247802734375
A0027_03_17.bmp,A0027.bmp,1447.8837,0.3517742156982422
A0027_03_18.bmp,A0027.bmp,1558.9987,0.3572072982788086
A0027_03_19.bmp,A0027.bmp,1517.436,0.34622955322265625
A0027_03_20.bmp,A0027.bmp,1397.2318,0.5498924255371094
A0027_03_21.bmp,A0027.bmp,1226.9681,0.7348499298095703
A0027_03_22.bmp,A0027.bmp,1404.8522,0.5547752380371094
A0027_03_23.bmp,A0027.bmp,1412.439,0.7220973968505859
A0027_04_00.bmp,A0027.bmp,1472.7595,0.2211780548095703
A0027_04_01.bmp,A0027.bmp,1440.6901,0.37740421295166016
A0027_04_02.bmp,A0027.bmp,1533.9404,0.1977076530456543
A0027_04_03.bmp,A0027.bmp,1445.5193,0.3606243133544922
A0027_04_04.bmp,A0027.bmp,1405.178,0.4710073471069336
A0027_04_05.bmp,A0027.bmp,1592.6795,0.26531982421875
A0027_04_06.bmp,A0027.bmp,1451.79,0.4743499755859375
A0027_04_07.bmp,A0027.bmp,1290.8582,0.5778980255126953
A0027_04_08.bmp,A0027.bmp,1588.3867,0.22588253021240234
A0027_04_09.bmp,A0027.bmp,1421.994,0.4053688049316406
A0027_04_10.bmp,A0027.bmp,1429.3241,0.5185832977294922
A0027_04_11.bmp,A0027.bmp,1425.6141,0.4141988754272461
A0027_04_12.bmp,A0027.bmp,1567.0086,0.21064186096191406
A0027_05_00.bmp,A0027.bmp,1396.4381,0.47388553619384766
A0027_05_01.bmp,A0027.bmp,1370.835,0.6358795166015625
A0027_05_02.bmp,A0027.bmp,1414.7785,0.5717906951904297
A0027_05_03.bmp,A0027.bmp,1160.0137,0.7228202819824219
A0027_05_04.bmp,A0027.bmp,1516.2494,0.3524942398071289
A0027_05_05.bmp,A0027.bmp,1469.8166,0.5231819152832031
A0027_05_06.bmp,A0027.bmp,1332.9511,0.5296764373779297
A0027_05_07.bmp,A0027.bmp,1345.5565,0.6903114318847656
A0027_05_08.bmp,A0027.bmp,1339.625,0.6414222717285156
A0027_05_09.bmp,A0027.bmp,1362.8717,0.4682178497314453
