dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.31563568115234375
A0010_00_01.bmp,A0010.bmp,1397.4428,0.44144630432128906
A0010_00_02.bmp,A0010.bmp,1543.2459,0.2680954933166504
A0010_00_03.bmp,A0010.bmp,1515.0295,0.4038667678833008
A0010_00_04.bmp,A0010.bmp,1467.121,0.45420169830322266
A0010_00_05.bmp,A0010.bmp,1611.8061,0.2747836112976074
A0010_00_06.bmp,A0010.bmp,1513.7124,0.4066658020019531
A0010_00_07.bmp,A0010.bmp,1344.9394,0.46323299407958984
A0010_00_08.bmp,A0010.bmp,1564.1514,0.2686772346496582
A0010_00_09.bmp,A0010.bmp,1545.7206,0.40076637268066406
A0010_00_10.bmp,A0010.bmp,1415.4665,0.46037864685058594
A0010_00_11.bmp,A0010.bmp,1505.9435,0.2518424987792969
A0010_01_00.bmp,A0010.bmp,1582.9888,0.25890636444091797
A0010_01_01.bmp,A0010.bmp,1512.4943,0.38851070404052734
A0010_01_02.bmp,A0010.bmp,1323.7629,0.4514284133911133
A0010_01_03.bmp,A0010.bmp,1614.6601,0.25287818908691406
A0010_01_04.bmp,A0010.bmp,1422.955,0.3824901580810547
A0010_01_05.bmp,A0010.bmp,1411.2205,0.4332714080810547
A0010_01_06.bmp,A0010.bmp,1522.4109,0.25850963592529297
A0010_01_07.bmp,A0010.bmp,1519.9579,0.40212535858154297
A0010_01_08.bmp,A0010.bmp,1388.8629,0.47347450256347656
A0010_01_09.bmp,A0010.bmp,1601.2028,0.23624706268310547
A0010_01_10.bmp,A0010.bmp,1557.3595,0.3587512969970703
A0010_01_11.bmp,A0010.bmp,1520.3255,0.41509532928466797
A0010_01_12.bmp,A0010.bmp,1624.7021,0.22862958908081055
A0010_01_13.bmp,A0010.bmp,1611.0104,0.3482036590576172
A0010_01_14.bmp,A0010.bmp,1476.5829,0.4135713577270508
A0010_01_15.bmp,A0010.bmp,1269.6335,0.5728702545166016
A0010_02_00.bmp,A0010.bmp,1491.0261,0.3114500045776367
A0010_02_01.bmp,A0010.bmp,1608.3366,0.3114500045776367
A0010_02_02.bmp,A0010.bmp,1610.3456,0.273104190826416
A0010_02_03.bmp,A0010.bmp,1561.9819,0.27423906326293945
A0010_02_04.bmp,A0010.bmp,1766.5766,0.34144020080566406
A0010_02_05.bmp,A0010.bmp,1405.8695,0.44865989685058594
A0010_02_06.bmp,A0010.bmp,1475.5644,0.4358177185058594
A0010_02_07.bmp,A0010.bmp,1498.3538,0.43385791778564453
A0010_02_08.bmp,A0010.bmp,1475.23,0.4371509552001953
A0010_02_09.bmp,A0010.bmp,1488.6213,0.44922447204589844
A0010_03_00.bmp,A0010.bmp,1408.4934,0.42450714111328125
A0010_03_01.bmp,A0010.bmp,1526.7626,0.4060649871826172
A0010_03_02.bmp,A0010.bmp,1377.6437,0.4304218292236328
A0010_03_03.bmp,A0010.bmp,1471.8775,0.40294837951660156
A0010_03_04.bmp,A0010.bmp,1425.4631,0.40294837951660156
A0010_03_05.bmp,A0010.bmp,1479.0004,0.40294742584228516
A0010_03_06.bmp,A0010.bmp,1580.8948,0.38120555877685547
A0010_03_07.bmp,A0010.bmp,1426.1284,0.41238975524902344
A0010_03_08.bmp,A0010.bmp,1415.89,0.4153280258178711
A0010_03_09.bmp,A0010.bmp,1381.5384,0.4415121078491211
A0010_03_10.bmp,A0010.bmp,1506.5598,0.3386411666870117
A0010_03_11.bmp,A0010.bmp,1478.4784,0.34471893310546875
A0010_03_12.bmp,A0010.bmp,1534.4737,0.37786388397216797
A0010_03_13.bmp,A0010.bmp,1440.0787,0.3751678466796875
A0010_03_14.bmp,A0010.bmp,1536.5628,0.3639068603515625
A0010_03_15.bmp,A0010.bmp,1520.6863,0.39073753356933594
A0010_03_16.bmp,A0010.bmp,1446.7638,0.39044189453125
A0010_03_17.bmp,A0010.bmp,1489.3506,0.4015483856201172
A0010_03_18.bmp,A0010.bmp,1460.723,0.3940143585205078
A0010_03_19.bmp,A0010.bmp,1479.9531,0.40050792694091797
A0010_03_20.bmp,A0010.bmp,1385.6622,0.4921722412109375
A0010_03_21.bmp,A0010.bmp,1465.8225,0.5525493621826172
A0010_03_22.bmp,A0010.bmp,1370.8739,0.5089893341064453
A0010_03_23.bmp,A0010.bmp,1125.5982,0.5775260925292969
A0010_04_00.bmp,A0010.bmp,1509.0292,0.28793954849243164
A0010_04_01.bmp,A0010.bmp,1402.8599,0.4604835510253906
A0010_04_02.bmp,A0010.bmp,1609.3235,0.2769646644592285
A0010_04_03.bmp,A0010.bmp,1501.5939,0.4425802230834961
A0010_04_04.bmp,A0010.bmp,1297.2529,0.5562515258789062
A0010_04_05.bmp,A0010.bmp,1658.0922,0.26165199279785156
A0010_04_06.bmp,A0010.bmp,1373.4376,0.4751558303833008
A0010_04_07.bmp,A0010.bmp,1172.6235,0.5624141693115234
A0010_04_08.bmp,A0010.bmp,1565.2755,0.2606630325317383
A0010_04_09.bmp,A0010.bmp,1426.469,0.4156074523925781
A0010_04_10.bmp,A0010.bmp,1292.4061,0.5178146362304688
A0010_04_11.bmp,A0010.bmp,1385.4119,0.4496335983276367
A0010_04_12.bmp,A0010.bmp,1558.8749,0.25553131103515625
A0010_05_00.bmp,A0010.bmp,1361.9307,0.4903602600097656
A0010_05_01.bmp,A0010.bmp,1170.8325,0.6373519897460938
A0010_05_02.bmp,A0010.bmp,1207.2384,0.6167774200439453
A0010_05_03.bmp,A0010.bmp,1077.6272,0.6682834625244141
A0010_05_04.bmp,A0010.bmp,1404.0243,0.4824514389038086
A0010_05_05.bmp,A0010.bmp,1221.4828,0.6331768035888672
A0010_05_06.bmp,A0010.bmp,1261.8705,0.6171188354492188
A0010_05_07.bmp,A0010.bmp,1162.8322,0.6677265167236328
A0010_05_08.bmp,A0010.bmp,1172.661,0.6166954040527344
A0010_05_09.bmp,A0010.bmp,1306.6648,0.5503921508789062
A0010_05_10.bmp,A0010.bmp,1450.2316,0.4628152847290039
A0010_05_11.bmp,A0010.bmp,1466.0508,0.3679065704345703
A0010_05_12.bmp,A0010.bmp,1443.5308,0.39713382720947266
A0010_05_13.bmp,A0010.bmp,1311.4694,0.38120555877685547
A0010_06_00.bmp,A0010.bmp,1387.61,0.38312816619873047
A0010_06_01.bmp,A0010.bmp,1333.7489,0.38521385192871094
A0010_06_02.bmp,A0010.bmp,1409.3063,0.3807220458984375
A0010_06_03.bmp,A0010.bmp,1469.992,0.34692859649658203
A0010_06_04.bmp,A0010.bmp,1300.1184,0.4476947784423828
A0010_06_05.bmp,A0010.bmp,1543.7025,0.31949424743652344
A0010_06_06.bmp,A0010.bmp,1611.7125,0.4378700256347656
A0010_06_07.bmp,A0010.bmp,1574.8528,0.3868827819824219
A0010_06_08.bmp,A0010.bmp,1609.7277,0.25456809997558594
A0010_06_09.bmp,A0010.bmp,1537.3276,0.2927370071411133
A0010_06_10.bmp,A0010.bmp,1471.1686,0.39968204498291016
A0010_06_11.bmp,A0010.bmp,1448.703,0.3411579132080078
A0010_06_12.bmp,A0010.bmp,1379.718,0.4301319122314453
A0010_06_13.bmp,A0010.bmp,1292.3206,0.4382209777832031
A0010_06_14.bmp,A0010.bmp,1408.9503,0.44969749450683594
A0010_06_15.bmp,A0010.bmp,1262.8769,0.5767288208007812
