dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,10.06784987449646
A0010_00_01.bmp,A0010.bmp,1397.4428,33.55441904067993
A0010_00_02.bmp,A0010.bmp,1543.2459,10.197522759437561
A0010_00_03.bmp,A0010.bmp,1515.0295,16.497103571891785
A0010_00_04.bmp,A0010.bmp,1467.121,30.685114860534668
A0010_00_05.bmp,A0010.bmp,1611.8061,6.902484059333801
A0010_00_06.bmp,A0010.bmp,1513.7124,22.584613800048828
A0010_00_07.bmp,A0010.bmp,1344.9394,32.49987554550171
A0010_00_08.bmp,A0010.bmp,1564.1514,6.248309254646301
A0010_00_09.bmp,A0010.bmp,1545.7206,24.110609769821167
A0010_00_10.bmp,A0010.bmp,1415.4665,40.7822642326355
A0010_00_11.bmp,A0010.bmp,1505.9435,3.8489826917648315
A0010_01_00.bmp,A0010.bmp,1582.9888,5.804196000099182
A0010_01_01.bmp,A0010.bmp,1512.4943,12.46911096572876
A0010_01_02.bmp,A0010.bmp,1323.7629,23.35373020172119
A0010_01_03.bmp,A0010.bmp,1614.6601,3.7863430976867676
A0010_01_04.bmp,A0010.bmp,1422.955,15.408252477645874
A0010_01_05.bmp,A0010.bmp,1411.2205,23.196523666381836
A0010_01_06.bmp,A0010.bmp,1522.4109,4.109044849872589
A0010_01_07.bmp,A0010.bmp,1519.9579,16.07368367910385
A0010_01_08.bmp,A0010.bmp,1388.8629,34.144978761672974
A0010_01_09.bmp,A0010.bmp,1601.2028,2.9602699279785156
A0010_01_10.bmp,A0010.bmp,1557.3595,8.385236263275146
A0010_01_11.bmp,A0010.bmp,1520.3255,10.252363324165344
A0010_01_12.bmp,A0010.bmp,1624.7021,3.1645092964172363
A0010_01_13.bmp,A0010.bmp,1611.0104,7.409915089607239
A0010_01_14.bmp,A0010.bmp,1476.5829,12.104586124420166
A0010_01_15.bmp,A0010.bmp,1269.6335,48.333303451538086
A0010_02_00.bmp,A0010.bmp,1491.0261,7.2546369433403015
A0010_02_01.bmp,A0010.bmp,1608.3366,7.107766389846802
A0010_02_02.bmp,A0010.bmp,1610.3456,4.736617207527161
A0010_02_03.bmp,A0010.bmp,1561.9819,4.890584081411362
A0010_02_04.bmp,A0010.bmp,1766.5766,7.510882139205933
A0010_02_05.bmp,A0010.bmp,1405.8695,19.61235249042511
A0010_02_06.bmp,A0010.bmp,1475.5644,18.332364797592163
A0010_02_07.bmp,A0010.bmp,1498.3538,13.310213685035706
A0010_02_08.bmp,A0010.bmp,1475.23,12.679907321929932
A0010_02_09.bmp,A0010.bmp,1488.6213,13.69379997253418
A0010_03_00.bmp,A0010.bmp,1408.4934,8.936745941638947
A0010_03_01.bmp,A0010.bmp,1526.7626,10.451183080673218
A0010_03_02.bmp,A0010.bmp,1377.6437,7.056117832660675
A0010_03_03.bmp,A0010.bmp,1471.8775,9.063895106315613
A0010_03_04.bmp,A0010.bmp,1425.4631,9.751885771751404
A0010_03_05.bmp,A0010.bmp,1479.0004,7.552638292312622
A0010_03_06.bmp,A0010.bmp,1580.8948,6.503252863883972
A0010_03_07.bmp,A0010.bmp,1426.1284,15.800062775611877
A0010_03_08.bmp,A0010.bmp,1415.89,12.853076815605164
A0010_03_09.bmp,A0010.bmp,1381.5384,6.656049489974976
A0010_03_10.bmp,A0010.bmp,1506.5598,9.783610105514526
A0010_03_11.bmp,A0010.bmp,1478.4784,6.297247558832169
A0010_03_12.bmp,A0010.bmp,1534.4737,9.724849462509155
A0010_03_13.bmp,A0010.bmp,1440.0787,7.906329870223999
A0010_03_14.bmp,A0010.bmp,1536.5628,9.786646842956543
A0010_03_15.bmp,A0010.bmp,1520.6863,6.850685179233551
A0010_03_16.bmp,A0010.bmp,1446.7638,8.803011655807495
A0010_03_17.bmp,A0010.bmp,1489.3506,7.564422011375427
A0010_03_18.bmp,A0010.bmp,1460.723,7.480008244514465
A0010_03_19.bmp,A0010.bmp,1479.9531,5.341096639633179
A0010_03_20.bmp,A0010.bmp,1385.6622,20.55082869529724
A0010_03_21.bmp,A0010.bmp,1465.8225,43.206297397613525
A0010_03_22.bmp,A0010.bmp,1370.8739,11.731299638748169
A0010_03_23.bmp,A0010.bmp,1125.5982,34.10722780227661
A0010_04_00.bmp,A0010.bmp,1509.0292,5.994751870632172
A0010_04_01.bmp,A0010.bmp,1402.8599,26.91291379928589
A0010_04_02.bmp,A0010.bmp,1609.3235,3.7951298356056213
A0010_04_03.bmp,A0010.bmp,1501.5939,10.055322408676147
A0010_04_04.bmp,A0010.bmp,1297.2529,25.093400478363037
A0010_04_05.bmp,A0010.bmp,1658.0922,6.270894825458527
A0010_04_06.bmp,A0010.bmp,1373.4376,46.50569486618042
A0010_04_07.bmp,A0010.bmp,1172.6235,55.097161293029785
A0010_04_08.bmp,A0010.bmp,1565.2755,6.897871375083923
A0010_04_09.bmp,A0010.bmp,1426.469,17.03554105758667
A0010_04_10.bmp,A0010.bmp,1292.4061,35.7346715927124
A0010_04_11.bmp,A0010.bmp,1385.4119,19.632001876831055
A0010_04_12.bmp,A0010.bmp,1558.8749,4.10584557056427
A0010_05_00.bmp,A0010.bmp,1361.9307,15.503002405166626
A0010_05_01.bmp,A0010.bmp,1170.8325,100.62004089355469
A0010_05_02.bmp,A0010.bmp,1207.2384,37.580628395080566
A0010_05_03.bmp,A0010.bmp,1077.6272,99.91999244689941
A0010_05_04.bmp,A0010.bmp,1404.0243,21.007918119430542
A0010_05_05.bmp,A0010.bmp,1221.4828,51.403676986694336
A0010_05_06.bmp,A0010.bmp,1261.8705,41.30642032623291
A0010_05_07.bmp,A0010.bmp,1162.8322,50.104360580444336
A0010_05_08.bmp,A0010.bmp,1172.661,73.9111680984497
A0010_05_09.bmp,A0010.bmp,1306.6648,40.62239074707031
