dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.39610592275857925
A0010_00_01.bmp,A0010.bmp,1397.4428,0.4270380064845085
A0010_00_02.bmp,A0010.bmp,1543.2459,0.382497102022171
A0010_00_03.bmp,A0010.bmp,1515.0295,0.4182932898402214
A0010_00_04.bmp,A0010.bmp,1467.121,0.4297628030180931
A0010_00_05.bmp,A0010.bmp,1611.8061,0.3846001625061035
A0010_00_06.bmp,A0010.bmp,1513.7124,0.41854942589998245
A0010_00_07.bmp,A0010.bmp,1344.9394,0.4316847324371338
A0010_00_08.bmp,A0010.bmp,1564.1514,0.38281483203172684
A0010_00_09.bmp,A0010.bmp,1545.7206,0.4178433194756508
A0010_00_10.bmp,A0010.bmp,1415.4665,0.43159524351358414
A0010_00_11.bmp,A0010.bmp,1505.9435,0.3766917437314987
A0010_01_00.bmp,A0010.bmp,1582.9888,0.3795807659626007
A0010_01_01.bmp,A0010.bmp,1512.4943,0.41454435139894485
A0010_01_02.bmp,A0010.bmp,1323.7629,0.4285253658890724
A0010_01_03.bmp,A0010.bmp,1614.6601,0.3774985894560814
A0010_01_04.bmp,A0010.bmp,1422.955,0.41336455941200256
A0010_01_05.bmp,A0010.bmp,1411.2205,0.425271712243557
A0010_01_06.bmp,A0010.bmp,1522.4109,0.379090778529644
A0010_01_07.bmp,A0010.bmp,1519.9579,0.4176909700036049
A0010_01_08.bmp,A0010.bmp,1388.8629,0.4332975894212723
A0010_01_09.bmp,A0010.bmp,1601.2028,0.3713180646300316
A0010_01_10.bmp,A0010.bmp,1557.3595,0.4060724824666977
A0010_01_11.bmp,A0010.bmp,1520.3255,0.4196270853281021
A0010_01_12.bmp,A0010.bmp,1624.7021,0.3684922456741333
A0010_01_13.bmp,A0010.bmp,1611.0104,0.4037972316145897
A0010_01_14.bmp,A0010.bmp,1476.5829,0.41948383301496506
A0010_01_15.bmp,A0010.bmp,1269.6335,0.4525811970233917
A0010_02_00.bmp,A0010.bmp,1491.0261,0.3948748931288719
A0010_02_01.bmp,A0010.bmp,1608.3366,0.3948748931288719
A0010_02_02.bmp,A0010.bmp,1610.3456,0.38306253403425217
A0010_02_03.bmp,A0010.bmp,1561.9819,0.3834119737148285
A0010_02_04.bmp,A0010.bmp,1766.5766,0.40389490127563477
A0010_02_05.bmp,A0010.bmp,1405.8695,0.4284892827272415
A0010_02_06.bmp,A0010.bmp,1475.5644,0.4253537133336067
A0010_02_07.bmp,A0010.bmp,1498.3538,0.42464200407266617
A0010_02_08.bmp,A0010.bmp,1475.23,0.4250010922551155
A0010_02_09.bmp,A0010.bmp,1488.6213,0.4269665628671646
A0010_03_00.bmp,A0010.bmp,1408.4934,0.4198981896042824
A0010_03_01.bmp,A0010.bmp,1526.7626,0.4167298302054405
A0010_03_02.bmp,A0010.bmp,1377.6437,0.4226798936724663
A0010_03_03.bmp,A0010.bmp,1471.8775,0.4167734384536743
A0010_03_04.bmp,A0010.bmp,1425.4631,0.4167734384536743
A0010_03_05.bmp,A0010.bmp,1479.0004,0.41677502542734146
A0010_03_06.bmp,A0010.bmp,1580.8948,0.40977562963962555
A0010_03_07.bmp,A0010.bmp,1426.1284,0.4191044867038727
A0010_03_08.bmp,A0010.bmp,1415.89,0.4184008911252022
A0010_03_09.bmp,A0010.bmp,1381.5384,0.4241282567381859
A0010_03_10.bmp,A0010.bmp,1506.5598,0.40058711916208267
A0010_03_11.bmp,A0010.bmp,1478.4784,0.4009006842970848
A0010_03_12.bmp,A0010.bmp,1534.4737,0.40918131172657013
A0010_03_13.bmp,A0010.bmp,1440.0787,0.4086290970444679
A0010_03_14.bmp,A0010.bmp,1536.5628,0.40674731135368347
A0010_03_15.bmp,A0010.bmp,1520.6863,0.41234157979488373
A0010_03_16.bmp,A0010.bmp,1446.7638,0.41334376484155655
A0010_03_17.bmp,A0010.bmp,1489.3506,0.41491586714982986
A0010_03_18.bmp,A0010.bmp,1460.723,0.4131416007876396
A0010_03_19.bmp,A0010.bmp,1479.9531,0.4146561250090599
