dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.7190338969230652
A0010_00_01.bmp,A0010.bmp,1397.4428,0.7411616444587708
A0010_00_02.bmp,A0010.bmp,1543.2459,0.7080243825912476
A0010_00_03.bmp,A0010.bmp,1515.0295,0.737112820148468
A0010_00_04.bmp,A0010.bmp,1467.121,0.7416566610336304
A0010_00_05.bmp,A0010.bmp,1611.8061,0.7186369299888611
A0010_00_06.bmp,A0010.bmp,1513.7124,0.7417975068092346
A0010_00_07.bmp,A0010.bmp,1344.9394,0.7467086911201477
A0010_00_08.bmp,A0010.bmp,1564.1514,0.715124249458313
A0010_00_09.bmp,A0010.bmp,1545.7206,0.7366640567779541
A0010_00_10.bmp,A0010.bmp,1415.4665,0.7526769638061523
A0010_00_11.bmp,A0010.bmp,1505.9435,0.7155774235725403
A0010_01_00.bmp,A0010.bmp,1582.9888,0.7083190679550171
A0010_01_01.bmp,A0010.bmp,1512.4943,0.7390263676643372
A0010_01_02.bmp,A0010.bmp,1323.7629,0.745124340057373
A0010_01_03.bmp,A0010.bmp,1614.6601,0.7155588865280151
A0010_01_04.bmp,A0010.bmp,1422.955,0.7328469157218933
A0010_01_05.bmp,A0010.bmp,1411.2205,0.7405532598495483
A0010_01_06.bmp,A0010.bmp,1522.4109,0.7119248509407043
A0010_01_07.bmp,A0010.bmp,1519.9579,0.7348083853721619
A0010_01_08.bmp,A0010.bmp,1388.8629,0.7453876733779907
A0010_01_09.bmp,A0010.bmp,1601.2028,0.7105559706687927
A0010_01_10.bmp,A0010.bmp,1557.3595,0.7336812019348145
A0010_01_11.bmp,A0010.bmp,1520.3255,0.7358074188232422
A0010_01_12.bmp,A0010.bmp,1624.7021,0.703066349029541
A0010_01_13.bmp,A0010.bmp,1611.0104,0.7262373566627502
A0010_01_14.bmp,A0010.bmp,1476.5829,0.7301790714263916
A0010_01_15.bmp,A0010.bmp,1269.6335,0.7654327750205994
A0010_02_00.bmp,A0010.bmp,1491.0261,0.7247648239135742
A0010_02_01.bmp,A0010.bmp,1608.3366,0.7191856503486633
A0010_02_02.bmp,A0010.bmp,1610.3456,0.7236843705177307
A0010_02_03.bmp,A0010.bmp,1561.9819,0.717685878276825
A0010_02_04.bmp,A0010.bmp,1766.5766,0.7215455174446106
A0010_02_05.bmp,A0010.bmp,1405.8695,0.7376821041107178
A0010_02_06.bmp,A0010.bmp,1475.5644,0.7399757504463196
A0010_02_07.bmp,A0010.bmp,1498.3538,0.7446311712265015
A0010_02_08.bmp,A0010.bmp,1475.23,0.7442065477371216
A0010_02_09.bmp,A0010.bmp,1488.6213,0.7507777214050293
A0010_03_00.bmp,A0010.bmp,1408.4934,0.7382708191871643
