dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.1852622032165527
A0010_00_01.bmp,A0010.bmp,1397.4428,1.2405606508255005
A0010_00_02.bmp,A0010.bmp,1543.2459,1.172762155532837
A0010_00_03.bmp,A0010.bmp,1515.0295,1.2348772287368774
A0010_00_04.bmp,A0010.bmp,1467.121,1.2523759603500366
A0010_00_05.bmp,A0010.bmp,1611.8061,1.1920969486236572
A0010_00_06.bmp,A0010.bmp,1513.7124,1.240227222442627
A0010_00_07.bmp,A0010.bmp,1344.9394,1.255287766456604
A0010_00_08.bmp,A0010.bmp,1564.1514,1.1832021474838257
A0010_00_09.bmp,A0010.bmp,1545.7206,1.2344582080841064
A0010_00_10.bmp,A0010.bmp,1415.4665,1.2604893445968628
A0010_00_11.bmp,A0010.bmp,1505.9435,1.1883758306503296
A0010_01_00.bmp,A0010.bmp,1582.9888,1.15705144405365
A0010_01_01.bmp,A0010.bmp,1512.4943,1.2273564338684082
A0010_01_02.bmp,A0010.bmp,1323.7629,1.2480661869049072
A0010_01_03.bmp,A0010.bmp,1614.6601,1.1881107091903687
A0010_01_04.bmp,A0010.bmp,1422.955,1.2313247919082642
A0010_01_05.bmp,A0010.bmp,1411.2205,1.2450510263442993
A0010_01_06.bmp,A0010.bmp,1522.4109,1.1685490608215332
A0010_01_07.bmp,A0010.bmp,1519.9579,1.2278170585632324
A0010_01_08.bmp,A0010.bmp,1388.8629,1.2550427913665771
A0010_01_09.bmp,A0010.bmp,1601.2028,1.152612328529358
A0010_01_10.bmp,A0010.bmp,1557.3595,1.2145355939865112
A0010_01_11.bmp,A0010.bmp,1520.3255,1.2337946891784668
A0010_01_12.bmp,A0010.bmp,1624.7021,1.125431776046753
A0010_01_13.bmp,A0010.bmp,1611.0104,1.208195447921753
A0010_01_14.bmp,A0010.bmp,1476.5829,1.2278941869735718
A0010_01_15.bmp,A0010.bmp,1269.6335,1.2821781635284424
A0010_02_00.bmp,A0010.bmp,1491.0261,1.19408118724823
A0010_02_01.bmp,A0010.bmp,1608.3366,1.1863082647323608
A0010_02_02.bmp,A0010.bmp,1610.3456,1.1853901147842407
A0010_02_03.bmp,A0010.bmp,1561.9819,1.1739968061447144
A0010_02_04.bmp,A0010.bmp,1766.5766,1.1884323358535767
A0010_02_05.bmp,A0010.bmp,1405.8695,1.2424907684326172
A0010_02_06.bmp,A0010.bmp,1475.5644,1.2435898780822754
A0010_02_07.bmp,A0010.bmp,1498.3538,1.2436550855636597
A0010_02_08.bmp,A0010.bmp,1475.23,1.2427151203155518
A0010_02_09.bmp,A0010.bmp,1488.6213,1.250380277633667
A0010_03_00.bmp,A0010.bmp,1408.4934,1.250728726387024
A0010_03_01.bmp,A0010.bmp,1526.7626,1.2479363679885864
A0010_03_02.bmp,A0010.bmp,1377.6437,1.2569700479507446
A0010_03_03.bmp,A0010.bmp,1471.8775,1.23064386844635
A0010_03_04.bmp,A0010.bmp,1425.4631,1.226532220840454
A0010_03_05.bmp,A0010.bmp,1479.0004,1.2310266494750977
A0010_03_06.bmp,A0010.bmp,1580.8948,1.2502105236053467
A0010_03_07.bmp,A0010.bmp,1426.1284,1.2404319047927856
A0010_03_08.bmp,A0010.bmp,1415.89,1.2442899942398071
A0010_03_09.bmp,A0010.bmp,1381.5384,1.2499969005584717
A0010_03_10.bmp,A0010.bmp,1506.5598,1.2367947101593018
A0010_03_11.bmp,A0010.bmp,1478.4784,1.2435311079025269
A0010_03_12.bmp,A0010.bmp,1534.4737,1.2553913593292236
A0010_03_13.bmp,A0010.bmp,1440.0787,1.246956706047058
A0010_03_14.bmp,A0010.bmp,1536.5628,1.2401633262634277
A0010_03_15.bmp,A0010.bmp,1520.6863,1.2403182983398438
A0010_03_16.bmp,A0010.bmp,1446.7638,1.2385205030441284
A0010_03_17.bmp,A0010.bmp,1489.3506,1.2463840246200562
A0010_03_18.bmp,A0010.bmp,1460.723,1.2505959272384644
A0010_03_19.bmp,A0010.bmp,1479.9531,1.2478280067443848
A0010_03_20.bmp,A0010.bmp,1385.6622,1.2765443325042725
A0010_03_21.bmp,A0010.bmp,1465.8225,1.290209412574768
A0010_03_22.bmp,A0010.bmp,1370.8739,1.2812082767486572
A0010_03_23.bmp,A0010.bmp,1125.5982,1.2904491424560547
A0010_04_00.bmp,A0010.bmp,1509.0292,1.2277441024780273
A0010_04_01.bmp,A0010.bmp,1402.8599,1.2678074836730957
A0010_04_02.bmp,A0010.bmp,1609.3235,1.219646692276001
A0010_04_03.bmp,A0010.bmp,1501.5939,1.2600951194763184
A0010_04_04.bmp,A0010.bmp,1297.2529,1.282456874847412
A0010_04_05.bmp,A0010.bmp,1658.0922,1.2124347686767578
A0010_04_06.bmp,A0010.bmp,1373.4376,1.2668583393096924
A0010_04_07.bmp,A0010.bmp,1172.6235,1.2865787744522095
A0010_04_08.bmp,A0010.bmp,1565.2755,1.2186771631240845
A0010_04_09.bmp,A0010.bmp,1426.469,1.2634193897247314
A0010_04_10.bmp,A0010.bmp,1292.4061,1.2845574617385864
