dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.7086004614830017
A0010_00_01.bmp,A0010.bmp,1397.4428,0.7920478582382202
A0010_00_02.bmp,A0010.bmp,1543.2459,0.6443363428115845
A0010_00_03.bmp,A0010.bmp,1515.0295,0.755262553691864
A0010_00_04.bmp,A0010.bmp,1467.121,0.801787257194519
A0010_00_05.bmp,A0010.bmp,1611.8061,0.6506180167198181
A0010_00_06.bmp,A0010.bmp,1513.7124,0.7653370499610901
A0010_00_07.bmp,A0010.bmp,1344.9394,0.812339723110199
A0010_00_08.bmp,A0010.bmp,1564.1514,0.6560294032096863
A0010_00_09.bmp,A0010.bmp,1545.7206,0.7686067223548889
A0010_00_10.bmp,A0010.bmp,1415.4665,0.8119916319847107
A0010_00_11.bmp,A0010.bmp,1505.9435,0.6438686847686768
A0010_01_00.bmp,A0010.bmp,1582.9888,0.6403171420097351
A0010_01_01.bmp,A0010.bmp,1512.4943,0.7499153017997742
A0010_01_02.bmp,A0010.bmp,1323.7629,0.7905932664871216
A0010_01_03.bmp,A0010.bmp,1614.6601,0.6278663277626038
A0010_01_04.bmp,A0010.bmp,1422.955,0.75131756067276
A0010_01_05.bmp,A0010.bmp,1411.2205,0.7851465344429016
A0010_01_06.bmp,A0010.bmp,1522.4109,0.6180792450904846
A0010_01_07.bmp,A0010.bmp,1519.9579,0.740520715713501
A0010_01_08.bmp,A0010.bmp,1388.8629,0.7995728254318237
A0010_01_09.bmp,A0010.bmp,1601.2028,0.5884382128715515
A0010_01_10.bmp,A0010.bmp,1557.3595,0.6938585042953491
A0010_01_11.bmp,A0010.bmp,1520.3255,0.7502896189689636
A0010_01_12.bmp,A0010.bmp,1624.7021,0.5787680149078369
A0010_01_13.bmp,A0010.bmp,1611.0104,0.6890055537223816
A0010_01_14.bmp,A0010.bmp,1476.5829,0.7483342885971069
A0010_01_15.bmp,A0010.bmp,1269.6335,0.838451623916626
A0010_02_00.bmp,A0010.bmp,1491.0261,0.6790575385093689
A0010_02_01.bmp,A0010.bmp,1608.3366,0.6790575385093689
A0010_02_02.bmp,A0010.bmp,1610.3456,0.6176764369010925
A0010_02_03.bmp,A0010.bmp,1561.9819,0.6249695420265198
A0010_02_04.bmp,A0010.bmp,1766.5766,0.7286269664764404
A0010_02_05.bmp,A0010.bmp,1405.8695,0.7803319096565247
A0010_02_06.bmp,A0010.bmp,1475.5644,0.767822265625
A0010_02_07.bmp,A0010.bmp,1498.3538,0.765294075012207
A0010_02_08.bmp,A0010.bmp,1475.23,0.7672057747840881
A0010_02_09.bmp,A0010.bmp,1488.6213,0.7789685130119324
A0010_03_00.bmp,A0010.bmp,1408.4934,0.7708057165145874
A0010_03_01.bmp,A0010.bmp,1526.7626,0.7617788910865784
A0010_03_02.bmp,A0010.bmp,1377.6437,0.782974362373352
A0010_03_03.bmp,A0010.bmp,1471.8775,0.7397937774658203
A0010_03_04.bmp,A0010.bmp,1425.4631,0.7397937774658203
A0010_03_05.bmp,A0010.bmp,1479.0004,0.7397937178611755
A0010_03_06.bmp,A0010.bmp,1580.8948,0.7687469720840454
A0010_03_07.bmp,A0010.bmp,1426.1284,0.7594021558761597
A0010_03_08.bmp,A0010.bmp,1415.89,0.7565776109695435
A0010_03_09.bmp,A0010.bmp,1381.5384,0.7575893402099609
A0010_03_10.bmp,A0010.bmp,1506.5598,0.7274767756462097
A0010_03_11.bmp,A0010.bmp,1478.4784,0.7331188321113586
A0010_03_12.bmp,A0010.bmp,1534.4737,0.7555299401283264
A0010_03_13.bmp,A0010.bmp,1440.0787,0.7548999786376953
A0010_03_14.bmp,A0010.bmp,1536.5628,0.7361716032028198
A0010_03_15.bmp,A0010.bmp,1520.6863,0.7458259463310242
A0010_03_16.bmp,A0010.bmp,1446.7638,0.7431790232658386
A0010_03_17.bmp,A0010.bmp,1489.3506,0.7672379016876221
A0010_03_18.bmp,A0010.bmp,1460.723,0.763271152973175
A0010_03_19.bmp,A0010.bmp,1479.9531,0.7626770734786987
A0010_03_20.bmp,A0010.bmp,1385.6622,0.8216851949691772
A0010_03_21.bmp,A0010.bmp,1465.8225,0.845352828502655
A0010_03_22.bmp,A0010.bmp,1370.8739,0.8253536224365234
A0010_03_23.bmp,A0010.bmp,1125.5982,0.8452682495117188
A0010_04_00.bmp,A0010.bmp,1509.0292,0.6468241810798645
