dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.2681975364685059
A0010_00_01.bmp,A0010.bmp,1397.4428,1.292374849319458
A0010_00_02.bmp,A0010.bmp,1543.2459,1.2606757879257202
A0010_00_03.bmp,A0010.bmp,1515.0295,1.2894591093063354
A0010_00_04.bmp,A0010.bmp,1467.121,1.3013747930526733
A0010_00_05.bmp,A0010.bmp,1611.8061,1.2725903987884521
A0010_00_06.bmp,A0010.bmp,1513.7124,1.2916370630264282
A0010_00_07.bmp,A0010.bmp,1344.9394,1.301653504371643
A0010_00_08.bmp,A0010.bmp,1564.1514,1.2666014432907104
A0010_00_09.bmp,A0010.bmp,1545.7206,1.2901512384414673
A0010_00_10.bmp,A0010.bmp,1415.4665,1.3057702779769897
A0010_00_11.bmp,A0010.bmp,1505.9435,1.2702823877334595
A0010_01_00.bmp,A0010.bmp,1582.9888,1.2632219791412354
A0010_01_01.bmp,A0010.bmp,1512.4943,1.2881577014923096
A0010_01_02.bmp,A0010.bmp,1323.7629,1.2978196144104004
A0010_01_03.bmp,A0010.bmp,1614.6601,1.269417405128479
A0010_01_04.bmp,A0010.bmp,1422.955,1.2869131565093994
A0010_01_05.bmp,A0010.bmp,1411.2205,1.2997502088546753
A0010_01_06.bmp,A0010.bmp,1522.4109,1.26628577709198
A0010_01_07.bmp,A0010.bmp,1519.9579,1.2853277921676636
A0010_01_08.bmp,A0010.bmp,1388.8629,1.3012199401855469
A0010_01_09.bmp,A0010.bmp,1601.2028,1.263452172279358
A0010_01_10.bmp,A0010.bmp,1557.3595,1.2819968461990356
A0010_01_11.bmp,A0010.bmp,1520.3255,1.2881033420562744
A0010_01_12.bmp,A0010.bmp,1624.7021,1.2595133781433105
A0010_01_13.bmp,A0010.bmp,1611.0104,1.2783935070037842
A0010_01_14.bmp,A0010.bmp,1476.5829,1.2872753143310547
A0010_01_15.bmp,A0010.bmp,1269.6335,1.3256144523620605
A0010_02_00.bmp,A0010.bmp,1491.0261,1.2696102857589722
A0010_02_01.bmp,A0010.bmp,1608.3366,1.2686110734939575
A0010_02_02.bmp,A0010.bmp,1610.3456,1.2711455821990967
A0010_02_03.bmp,A0010.bmp,1561.9819,1.2689836025238037
A0010_02_04.bmp,A0010.bmp,1766.5766,1.2752854824066162
A0010_02_05.bmp,A0010.bmp,1405.8695,1.2928589582443237
A0010_02_06.bmp,A0010.bmp,1475.5644,1.2938413619995117
A0010_02_07.bmp,A0010.bmp,1498.3538,1.291918158531189
A0010_02_08.bmp,A0010.bmp,1475.23,1.2947934865951538
A0010_02_09.bmp,A0010.bmp,1488.6213,1.2989474534988403
A0010_03_00.bmp,A0010.bmp,1408.4934,1.3009690046310425
A0010_03_01.bmp,A0010.bmp,1526.7626,1.298013687133789
A0010_03_02.bmp,A0010.bmp,1377.6437,1.3053922653198242
A0010_03_03.bmp,A0010.bmp,1471.8775,1.2888742685317993
A0010_03_04.bmp,A0010.bmp,1425.4631,1.286567211151123
A0010_03_05.bmp,A0010.bmp,1479.0004,1.2878714799880981
A0010_03_06.bmp,A0010.bmp,1580.8948,1.3011937141418457
A0010_03_07.bmp,A0010.bmp,1426.1284,1.2940552234649658
A0010_03_08.bmp,A0010.bmp,1415.89,1.2925450801849365
A0010_03_09.bmp,A0010.bmp,1381.5384,1.2999205589294434
