dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,27.87189245223999
A0010_00_01.bmp,A0010.bmp,1397.4428,94.88972854614258
A0010_00_02.bmp,A0010.bmp,1543.2459,10.649705410003662
A0010_00_03.bmp,A0010.bmp,1515.0295,62.52230453491211
A0010_00_04.bmp,A0010.bmp,1467.121,90.83096885681152
A0010_00_05.bmp,A0010.bmp,1611.8061,10.665300130844116
A0010_00_06.bmp,A0010.bmp,1513.7124,33.81071710586548
A0010_00_07.bmp,A0010.bmp,1344.9394,110.9209508895874
A0010_00_08.bmp,A0010.bmp,1564.1514,15.951794147491455
A0010_00_09.bmp,A0010.bmp,1545.7206,47.95675182342529
A0010_00_10.bmp,A0010.bmp,1415.4665,90.7744255065918
A0010_00_11.bmp,A0010.bmp,1505.9435,13.500121831893921
A0010_01_00.bmp,A0010.bmp,1582.9888,14.014063358306885
A0010_01_01.bmp,A0010.bmp,1512.4943,53.64194869995117
A0010_01_02.bmp,A0010.bmp,1323.7629,97.39246559143066
A0010_01_03.bmp,A0010.bmp,1614.6601,10.877706289291382
A0010_01_04.bmp,A0010.bmp,1422.955,36.222801208496094
A0010_01_05.bmp,A0010.bmp,1411.2205,96.12415599822998
A0010_01_06.bmp,A0010.bmp,1522.4109,9.701120138168335
A0010_01_07.bmp,A0010.bmp,1519.9579,34.69597244262695
A0010_01_08.bmp,A0010.bmp,1388.8629,147.8332347869873
A0010_01_09.bmp,A0010.bmp,1601.2028,5.608679831027985
A0010_01_10.bmp,A0010.bmp,1557.3595,30.640870571136475
A0010_01_11.bmp,A0010.bmp,1520.3255,44.30068492889404
A0010_01_12.bmp,A0010.bmp,1624.7021,5.56832480430603
A0010_01_13.bmp,A0010.bmp,1611.0104,29.575281858444214
A0010_01_14.bmp,A0010.bmp,1476.5829,34.95868253707886
A0010_01_15.bmp,A0010.bmp,1269.6335,95.74466705322266
A0010_02_00.bmp,A0010.bmp,1491.0261,25.92244291305542
A0010_02_01.bmp,A0010.bmp,1608.3366,21.689176559448242
A0010_02_02.bmp,A0010.bmp,1610.3456,7.596683859825134
A0010_02_03.bmp,A0010.bmp,1561.9819,6.95243239402771
A0010_02_04.bmp,A0010.bmp,1766.5766,18.202784299850464
A0010_02_05.bmp,A0010.bmp,1405.8695,58.0886926651001
A0010_02_06.bmp,A0010.bmp,1475.5644,41.32819366455078
A0010_02_07.bmp,A0010.bmp,1498.3538,42.47425031661987
A0010_02_08.bmp,A0010.bmp,1475.23,39.40907382965088
A0010_02_09.bmp,A0010.bmp,1488.6213,37.66168165206909
A0010_03_00.bmp,A0010.bmp,1408.4934,85.34416770935059
A0010_03_01.bmp,A0010.bmp,1526.7626,39.27473330497742
A0010_03_02.bmp,A0010.bmp,1377.6437,90.86763763427734
A0010_03_03.bmp,A0010.bmp,1471.8775,33.74532413482666
A0010_03_04.bmp,A0010.bmp,1425.4631,31.97590160369873
A0010_03_05.bmp,A0010.bmp,1479.0004,57.09768486022949
A0010_03_06.bmp,A0010.bmp,1580.8948,40.477431774139404
A0010_03_07.bmp,A0010.bmp,1426.1284,74.55812644958496
A0010_03_08.bmp,A0010.bmp,1415.89,45.56504440307617
A0010_03_09.bmp,A0010.bmp,1381.5384,77.75843143463135
A0010_03_10.bmp,A0010.bmp,1506.5598,37.8964409828186
A0010_03_11.bmp,A0010.bmp,1478.4784,31.173266410827637
A0010_03_12.bmp,A0010.bmp,1534.4737,103.38761901855469
A0010_03_13.bmp,A0010.bmp,1440.0787,34.97414207458496
A0010_03_14.bmp,A0010.bmp,1536.5628,37.877155780792236
A0010_03_15.bmp,A0010.bmp,1520.6863,18.732261180877686
A0010_03_16.bmp,A0010.bmp,1446.7638,46.740633964538574
A0010_03_17.bmp,A0010.bmp,1489.3506,26.874448776245117
A0010_03_18.bmp,A0010.bmp,1460.723,43.75543022155762
A0010_03_19.bmp,A0010.bmp,1479.9531,50.90425252914429
A0010_03_20.bmp,A0010.bmp,1385.6622,108.5070972442627
A0010_03_21.bmp,A0010.bmp,1465.8225,167.34308052062988
A0010_03_22.bmp,A0010.bmp,1370.8739,188.05137634277344
A0010_03_23.bmp,A0010.bmp,1125.5982,176.08841705322266
A0010_04_00.bmp,A0010.bmp,1509.0292,20.07949662208557
A0010_04_01.bmp,A0010.bmp,1402.8599,174.781982421875
A0010_04_02.bmp,A0010.bmp,1609.3235,9.75492513179779
A0010_04_03.bmp,A0010.bmp,1501.5939,59.757290840148926
A0010_04_04.bmp,A0010.bmp,1297.2529,178.1020965576172
A0010_04_05.bmp,A0010.bmp,1658.0922,6.360830128192902
A0010_04_06.bmp,A0010.bmp,1373.4376,61.847116470336914
A0010_04_07.bmp,A0010.bmp,1172.6235,121.88978481292725
A0010_04_08.bmp,A0010.bmp,1565.2755,9.922183632850647
A0010_04_09.bmp,A0010.bmp,1426.469,38.36217212677002
A0010_04_10.bmp,A0010.bmp,1292.4061,100.99845504760742
A0010_04_11.bmp,A0010.bmp,1385.4119,78.15578365325928
A0010_04_12.bmp,A0010.bmp,1558.8749,10.173310995101929
A0010_05_00.bmp,A0010.bmp,1361.9307,72.49473476409912
A0010_05_01.bmp,A0010.bmp,1170.8325,299.39537048339844
A0010_05_02.bmp,A0010.bmp,1207.2384,268.2574920654297
A0010_05_03.bmp,A0010.bmp,1077.6272,439.14215087890625
A0010_05_04.bmp,A0010.bmp,1404.0243,74.83151435852051
A0010_05_05.bmp,A0010.bmp,1221.4828,243.10816192626953
A0010_05_06.bmp,A0010.bmp,1261.8705,170.89353942871094
A0010_05_07.bmp,A0010.bmp,1162.8322,514.9178466796875
A0010_05_08.bmp,A0010.bmp,1172.661,175.97440338134766
A0010_05_09.bmp,A0010.bmp,1306.6648,166.7020721435547
A0010_05_10.bmp,A0010.bmp,1450.2316,66.08410263061523
A0010_05_11.bmp,A0010.bmp,1466.0508,78.47582817077637
A0010_05_12.bmp,A0010.bmp,1443.5308,147.5601100921631
A0010_05_13.bmp,A0010.bmp,1311.4694,46.77084445953369
A0010_06_00.bmp,A0010.bmp,1387.61,65.08209037780762
A0010_06_01.bmp,A0010.bmp,1333.7489,78.50967311859131
A0010_06_02.bmp,A0010.bmp,1409.3063,35.12800407409668
A0010_06_03.bmp,A0010.bmp,1469.992,39.843000411987305
A0010_06_04.bmp,A0010.bmp,1300.1184,68.24744892120361
A0010_06_05.bmp,A0010.bmp,1543.7025,28.277495861053467
A0010_06_06.bmp,A0010.bmp,1611.7125,48.83053398132324
A0010_06_07.bmp,A0010.bmp,1574.8528,32.569692611694336
A0010_06_08.bmp,A0010.bmp,1609.7277,38.89995813369751
A0010_06_09.bmp,A0010.bmp,1537.3276,65.74580144882202
A0010_06_10.bmp,A0010.bmp,1471.1686,86.48950481414795
A0010_06_11.bmp,A0010.bmp,1448.703,25.532191038131714
A0010_06_12.bmp,A0010.bmp,1379.718,64.0435848236084
A0010_06_13.bmp,A0010.bmp,1292.3206,63.93507957458496
A0010_06_14.bmp,A0010.bmp,1408.9503,81.74264907836914
A0010_06_15.bmp,A0010.bmp,1262.8769,277.3139114379883
A0010_06_16.bmp,A0010.bmp,1521.1994,7.786811947822571
A0010_06_17.bmp,A0010.bmp,1529.3003,54.4270396232605
A0010_06_18.bmp,A0010.bmp,1495.014,83.84607696533203
A0010_06_19.bmp,A0010.bmp,1545.1425,6.197488248348236
A0010_06_20.bmp,A0010.bmp,1442.0158,5.145862698554993
A0010_06_21.bmp,A0010.bmp,1585.556,7.4689701795578
A0010_06_22.bmp,A0010.bmp,1498.1973,6.880196750164032
A0010_06_23.bmp,A0010.bmp,1511.4752,8.619600355625153
A0010_06_24.bmp,A0010.bmp,1591.1947,15.823044776916504
A0010_06_25.bmp,A0010.bmp,1462.0684,63.53706741333008
A0010_06_26.bmp,A0010.bmp,1463.3668,69.30983448028564
A0027_00_00.bmp,A0027.bmp,1519.3898,13.76534128189087
A0027_00_01.bmp,A0027.bmp,1381.7487,53.73569965362549
A0027_00_02.bmp,A0027.bmp,1604.4955,5.194377303123474
A0027_00_03.bmp,A0027.bmp,1454.7168,24.50479030609131
A0027_00_04.bmp,A0027.bmp,1449.7403,64.6936616897583
A0027_00_05.bmp,A0027.bmp,1537.2687,6.981324076652527
A0027_00_06.bmp,A0027.bmp,1520.1301,16.981700897216797
A0027_00_07.bmp,A0027.bmp,1372.4774,48.211421966552734
A0027_00_08.bmp,A0027.bmp,1564.389,5.952205657958984
A0027_00_09.bmp,A0027.bmp,1535.3086,28.2287917137146
A0027_00_10.bmp,A0027.bmp,1463.0032,82.11009120941162
A0027_00_11.bmp,A0027.bmp,1411.7324,5.206232070922852
A0027_01_00.bmp,A0027.bmp,1517.0844,4.910768985748291
A0027_01_01.bmp,A0027.bmp,1469.559,17.419853925704956
A0027_01_02.bmp,A0027.bmp,1396.2018,61.9174165725708
A0027_01_03.bmp,A0027.bmp,1496.3854,6.003976225852966
A0027_01_04.bmp,A0027.bmp,1483.8521,14.513455390930176
A0027_01_05.bmp,A0027.bmp,1427.1132,41.350966453552246
A0027_01_06.bmp,A0027.bmp,1414.8166,4.105099320411682
A0027_01_07.bmp,A0027.bmp,1541.448,14.54138469696045
A0027_01_08.bmp,A0027.bmp,1378.4026,50.803133964538574
A0027_01_09.bmp,A0027.bmp,1530.1634,4.964884877204895
A0027_01_10.bmp,A0027.bmp,1436.9101,16.54776358604431
A0027_01_11.bmp,A0027.bmp,1419.4433,30.509968280792236
A0027_01_12.bmp,A0027.bmp,1544.3999,5.52321720123291
A0027_01_13.bmp,A0027.bmp,1504.5788,18.19184970855713
A0027_01_14.bmp,A0027.bmp,1540.6209,32.120869398117065
A0027_01_15.bmp,A0027.bmp,1398.6008,83.7823600769043
A0027_02_00.bmp,A0027.bmp,1427.3251,12.566977262496948
A0027_02_01.bmp,A0027.bmp,1544.2766,13.38810110092163
A0027_02_02.bmp,A0027.bmp,1513.4413,5.551945388317108
A0027_02_03.bmp,A0027.bmp,1534.5999,5.826178014278412
A0027_02_04.bmp,A0027.bmp,1531.6355,21.059855461120605
A0027_02_05.bmp,A0027.bmp,1376.5483,44.7632999420166
A0027_02_06.bmp,A0027.bmp,1489.2767,37.188905239105225
A0027_02_07.bmp,A0027.bmp,1517.1201,26.27516746520996
A0027_02_08.bmp,A0027.bmp,1597.522,32.72709321975708
A0027_02_09.bmp,A0027.bmp,1556.7731,27.120492935180664
A0027_03_00.bmp,A0027.bmp,1484.4954,56.79008626937866
A0027_03_01.bmp,A0027.bmp,1512.3753,14.163628339767456
A0027_03_02.bmp,A0027.bmp,1427.5039,43.739356994628906
A0027_03_03.bmp,A0027.bmp,1475.099,31.024364948272705
A0027_03_04.bmp,A0027.bmp,1408.0334,31.59295654296875
A0027_03_05.bmp,A0027.bmp,1450.9689,29.279372215270996
A0027_03_06.bmp,A0027.bmp,1594.6571,17.026825189590454
A0027_03_07.bmp,A0027.bmp,1390.6874,34.41441011428833
A0027_03_08.bmp,A0027.bmp,1518.688,35.16408061981201
A0027_03_09.bmp,A0027.bmp,1480.4943,41.17697095870972
A0027_03_10.bmp,A0027.bmp,1436.1714,17.32945728302002
A0027_03_11.bmp,A0027.bmp,1465.674,14.538079977035522
A0027_03_12.bmp,A0027.bmp,1493.1533,16.869985342025757
A0027_03_13.bmp,A0027.bmp,1421.5435,14.230881690979004
A0027_03_14.bmp,A0027.bmp,1518.8742,21.260977506637573
A0027_03_15.bmp,A0027.bmp,1543.1873,14.073936581611633
A0027_03_16.bmp,A0027.bmp,1518.6297,16.618561029434204
A0027_03_17.bmp,A0027.bmp,1447.8837,16.897833824157715
A0027_03_18.bmp,A0027.bmp,1558.9987,13.821029424667358
A0027_03_19.bmp,A0027.bmp,1517.436,23.88888692855835
A0027_03_20.bmp,A0027.bmp,1397.2318,50.59828472137451
A0027_03_21.bmp,A0027.bmp,1226.9681,88.04058647155762
A0027_03_22.bmp,A0027.bmp,1404.8522,73.2317886352539
A0027_03_23.bmp,A0027.bmp,1412.439,72.23183059692383
A0027_04_00.bmp,A0027.bmp,1472.7595,12.035907983779907
A0027_04_01.bmp,A0027.bmp,1440.6901,27.676292657852173
A0027_04_02.bmp,A0027.bmp,1533.9404,9.25680160522461
A0027_04_03.bmp,A0027.bmp,1445.5193,19.46785068511963
A0027_04_04.bmp,A0027.bmp,1405.178,41.50529623031616
A0027_04_05.bmp,A0027.bmp,1592.6795,13.752183675765991
A0027_04_06.bmp,A0027.bmp,1451.79,38.28884029388428
A0027_04_07.bmp,A0027.bmp,1290.8582,81.83110523223877
A0027_04_08.bmp,A0027.bmp,1588.3867,10.882323622703552
A0027_04_09.bmp,A0027.bmp,1421.994,30.747265815734863
A0027_04_10.bmp,A0027.bmp,1429.3241,51.56787586212158
A0027_04_11.bmp,A0027.bmp,1425.6141,25.39010214805603
A0027_04_12.bmp,A0027.bmp,1567.0086,9.198910474777222
A0027_05_00.bmp,A0027.bmp,1396.4381,22.84364128112793
A0027_05_01.bmp,A0027.bmp,1370.835,53.60065793991089
A0027_05_02.bmp,A0027.bmp,1414.7785,39.22765827178955
A0027_05_03.bmp,A0027.bmp,1160.0137,106.26613426208496
A0027_05_04.bmp,A0027.bmp,1516.2494,15.372422218322754
A0027_05_05.bmp,A0027.bmp,1469.8166,36.61763143539429
A0027_05_06.bmp,A0027.bmp,1332.9511,32.798893451690674
A0027_05_07.bmp,A0027.bmp,1345.5565,67.8613920211792
A0027_05_08.bmp,A0027.bmp,1339.625,54.35506343841553
A0027_05_09.bmp,A0027.bmp,1362.8717,27.866251945495605
A0027_05_10.bmp,A0027.bmp,1387.6417,18.956446170806885
A0027_05_11.bmp,A0027.bmp,1354.7313,14.695012092590332
A0027_05_12.bmp,A0027.bmp,1442.4199,14.630058526992798
A0027_05_13.bmp,A0027.bmp,1302.2005,20.275631427764893
A0027_06_00.bmp,A0027.bmp,1390.8852,25.35399055480957
A0027_06_01.bmp,A0027.bmp,1446.419,28.768033981323242
A0027_06_02.bmp,A0027.bmp,1454.9392,62.31651782989502
A0027_06_03.bmp,A0027.bmp,1460.3599,42.33285140991211
A0027_06_04.bmp,A0027.bmp,1453.3256,23.337321877479553
A0027_06_05.bmp,A0027.bmp,1495.18,11.834016561508179
A0027_06_06.bmp,A0027.bmp,1318.7705,98.58427619934082
A0027_06_07.bmp,A0027.bmp,1430.0087,16.999454021453857
A0027_06_08.bmp,A0027.bmp,1446.6433,13.549693822860718
A0027_06_09.bmp,A0027.bmp,1368.3748,14.993468046188354
A0027_06_10.bmp,A0027.bmp,1322.4044,20.021166563034058
A0027_06_11.bmp,A0027.bmp,1482.1964,23.800550937652588
A0027_06_12.bmp,A0027.bmp,1328.6928,36.86299705505371
A0027_06_13.bmp,A0027.bmp,1342.5763,37.396499156951904
A0027_06_14.bmp,A0027.bmp,1362.2881,37.11441373825073
A0027_06_15.bmp,A0027.bmp,1312.8825,97.08943176269531
A0027_06_16.bmp,A0027.bmp,1444.9561,7.401382505893707
A0027_06_17.bmp,A0027.bmp,1417.3173,18.155855417251587
A0027_06_18.bmp,A0027.bmp,1522.0277,26.18721055984497
A0027_06_19.bmp,A0027.bmp,1444.9125,4.817586541175842
A0027_06_20.bmp,A0027.bmp,1436.4804,5.9499653577804565
A0027_06_21.bmp,A0027.bmp,1443.6396,7.945184826850891
A0027_06_22.bmp,A0027.bmp,1502.6423,5.7963457107543945
A0027_06_23.bmp,A0027.bmp,1536.6668,12.570591449737549
A0027_06_24.bmp,A0027.bmp,1443.698,13.38521683216095
A0027_06_25.bmp,A0027.bmp,1349.0418,17.24834680557251
A0027_06_26.bmp,A0027.bmp,1366.8358,22.526923179626465
A0187_00_00.bmp,A0187.bmp,1488.8664,38.30977725982666
A0187_00_01.bmp,A0187.bmp,1360.9785,140.71939086914062
A0187_00_02.bmp,A0187.bmp,1547.0377,27.265389442443848
A0187_00_03.bmp,A0187.bmp,1494.5744,133.07391929626465
A0187_00_04.bmp,A0187.bmp,1398.3776,253.48562240600586
A0187_00_05.bmp,A0187.bmp,1607.909,21.863868713378906
A0187_00_06.bmp,A0187.bmp,1500.714,140.0034580230713
A0187_00_07.bmp,A0187.bmp,1357.8506,303.6377410888672
A0187_00_08.bmp,A0187.bmp,1536.2138,32.022029876708984
A0187_00_09.bmp,A0187.bmp,1443.4546,98.66065788269043
A0187_00_10.bmp,A0187.bmp,1383.1834,311.4461326599121
A0187_00_11.bmp,A0187.bmp,1528.3277,26.86495304107666
A0187_01_00.bmp,A0187.bmp,1539.2572,29.739849090576172
A0187_01_01.bmp,A0187.bmp,1467.8954,130.463134765625
A0187_01_02.bmp,A0187.bmp,1419.3647,229.86495208740234
A0187_01_03.bmp,A0187.bmp,1561.9903,30.03802728652954
A0187_01_04.bmp,A0187.bmp,1465.2211,118.00082015991211
A0187_01_05.bmp,A0187.bmp,1446.8214,237.37247467041016
A0187_01_06.bmp,A0187.bmp,1545.5235,23.749613285064697
A0187_01_07.bmp,A0187.bmp,1508.9899,127.29995918273926
A0187_01_08.bmp,A0187.bmp,1374.4036,253.40004348754883
A0187_01_09.bmp,A0187.bmp,1591.6979,22.028868436813354
A0187_01_10.bmp,A0187.bmp,1526.3789,55.302391052246094
A0187_01_11.bmp,A0187.bmp,1453.5005,139.87241554260254
A0187_01_12.bmp,A0187.bmp,1544.929,23.35538101196289
A0187_01_13.bmp,A0187.bmp,1534.5581,42.685120582580566
A0187_01_14.bmp,A0187.bmp,1554.6055,144.49982452392578
A0187_01_15.bmp,A0187.bmp,1156.2423,339.1618194580078
A0187_02_00.bmp,A0187.bmp,1484.4959,37.205180168151855
A0187_02_01.bmp,A0187.bmp,1502.4014,35.50844478607178
