dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.5222056806087494
A0010_00_01.bmp,A0010.bmp,1397.4428,0.5721979886293411
A0010_00_02.bmp,A0010.bmp,1543.2459,0.4971727728843689
A0010_00_03.bmp,A0010.bmp,1515.0295,0.5525498688220978
A0010_00_04.bmp,A0010.bmp,1467.121,0.5868804156780243
A0010_00_05.bmp,A0010.bmp,1611.8061,0.49844927340745926
A0010_00_06.bmp,A0010.bmp,1513.7124,0.5527814775705338
A0010_00_07.bmp,A0010.bmp,1344.9394,0.5918154120445251
A0010_00_08.bmp,A0010.bmp,1564.1514,0.49968335777521133
A0010_00_09.bmp,A0010.bmp,1545.7206,0.5585647821426392
A0010_00_10.bmp,A0010.bmp,1415.4665,0.590179368853569
A0010_00_11.bmp,A0010.bmp,1505.9435,0.4942956268787384
A0010_01_00.bmp,A0010.bmp,1582.9888,0.49618594348430634
A0010_01_01.bmp,A0010.bmp,1512.4943,0.551330953836441
A0010_01_02.bmp,A0010.bmp,1323.7629,0.5849973559379578
A0010_01_03.bmp,A0010.bmp,1614.6601,0.49102772772312164
A0010_01_04.bmp,A0010.bmp,1422.955,0.5514455288648605
A0010_01_05.bmp,A0010.bmp,1411.2205,0.582943320274353
A0010_01_06.bmp,A0010.bmp,1522.4109,0.48515883833169937
A0010_01_07.bmp,A0010.bmp,1519.9579,0.5457077324390411
A0010_01_08.bmp,A0010.bmp,1388.8629,0.5838903039693832
A0010_01_09.bmp,A0010.bmp,1601.2028,0.4741014242172241
A0010_01_10.bmp,A0010.bmp,1557.3595,0.5239007323980331
A0010_01_11.bmp,A0010.bmp,1520.3255,0.5557111203670502
A0010_01_12.bmp,A0010.bmp,1624.7021,0.47107604146003723
A0010_01_13.bmp,A0010.bmp,1611.0104,0.5221579968929291
A0010_01_14.bmp,A0010.bmp,1476.5829,0.5555196404457092
A0010_01_15.bmp,A0010.bmp,1269.6335,0.6291114836931229
A0010_02_00.bmp,A0010.bmp,1491.0261,0.5126435607671738
A0010_02_01.bmp,A0010.bmp,1608.3366,0.5126435607671738
A0010_02_02.bmp,A0010.bmp,1610.3456,0.4861633852124214
A0010_02_03.bmp,A0010.bmp,1561.9819,0.4861498475074768
A0010_02_04.bmp,A0010.bmp,1766.5766,0.5148896723985672
A0010_02_05.bmp,A0010.bmp,1405.8695,0.5768166184425354
A0010_02_06.bmp,A0010.bmp,1475.5644,0.5699744671583176
A0010_02_07.bmp,A0010.bmp,1498.3538,0.5675409138202667
A0010_02_08.bmp,A0010.bmp,1475.23,0.5667500048875809
A0010_02_09.bmp,A0010.bmp,1488.6213,0.5695075690746307
A0010_03_00.bmp,A0010.bmp,1408.4934,0.5686932653188705
A0010_03_01.bmp,A0010.bmp,1526.7626,0.5542555153369904
A0010_03_02.bmp,A0010.bmp,1377.6437,0.5748165100812912
A0010_03_03.bmp,A0010.bmp,1471.8775,0.5479540079832077
A0010_03_04.bmp,A0010.bmp,1425.4631,0.5479540079832077
A0010_03_05.bmp,A0010.bmp,1479.0004,0.5479532331228256
A0010_03_06.bmp,A0010.bmp,1580.8948,0.5515943169593811
A0010_03_07.bmp,A0010.bmp,1426.1284,0.5641217678785324
A0010_03_08.bmp,A0010.bmp,1415.89,0.5624080151319504
A0010_03_09.bmp,A0010.bmp,1381.5384,0.5612258017063141
A0010_03_10.bmp,A0010.bmp,1506.5598,0.5414735972881317
A0010_03_11.bmp,A0010.bmp,1478.4784,0.5412917286157608
A0010_03_12.bmp,A0010.bmp,1534.4737,0.5550248771905899
A0010_03_13.bmp,A0010.bmp,1440.0787,0.5485509186983109
