dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.47952907532453537
A0010_00_01.bmp,A0010.bmp,1397.4428,0.5351798683404922
A0010_00_02.bmp,A0010.bmp,1543.2459,0.45245249569416046
A0010_00_03.bmp,A0010.bmp,1515.0295,0.5175863727927208
A0010_00_04.bmp,A0010.bmp,1467.121,0.5550411343574524
A0010_00_05.bmp,A0010.bmp,1611.8061,0.45241329073905945
A0010_00_06.bmp,A0010.bmp,1513.7124,0.5201626718044281
A0010_00_07.bmp,A0010.bmp,1344.9394,0.5634335279464722
A0010_00_08.bmp,A0010.bmp,1564.1514,0.4551640525460243
A0010_00_09.bmp,A0010.bmp,1545.7206,0.5225782617926598
A0010_00_10.bmp,A0010.bmp,1415.4665,0.5568933039903641
A0010_00_11.bmp,A0010.bmp,1505.9435,0.4486564099788666
A0010_01_00.bmp,A0010.bmp,1582.9888,0.4507052153348923
A0010_01_01.bmp,A0010.bmp,1512.4943,0.5160470977425575
A0010_01_02.bmp,A0010.bmp,1323.7629,0.5507011413574219
A0010_01_03.bmp,A0010.bmp,1614.6601,0.4438065364956856
A0010_01_04.bmp,A0010.bmp,1422.955,0.5180226936936378
A0010_01_05.bmp,A0010.bmp,1411.2205,0.546844407916069
A0010_01_06.bmp,A0010.bmp,1522.4109,0.4381240904331207
A0010_01_07.bmp,A0010.bmp,1519.9579,0.512014128267765
A0010_01_08.bmp,A0010.bmp,1388.8629,0.5539800226688385
A0010_01_09.bmp,A0010.bmp,1601.2028,0.4233716279268265
A0010_01_10.bmp,A0010.bmp,1557.3595,0.49114595353603363
A0010_01_11.bmp,A0010.bmp,1520.3255,0.5268396139144897
A0010_01_12.bmp,A0010.bmp,1624.7021,0.4183555021882057
A0010_01_13.bmp,A0010.bmp,1611.0104,0.4881579354405403
A0010_01_14.bmp,A0010.bmp,1476.5829,0.5259863287210464
A0010_01_15.bmp,A0010.bmp,1269.6335,0.6079072654247284
A0010_02_00.bmp,A0010.bmp,1491.0261,0.46940574795007706
A0010_02_01.bmp,A0010.bmp,1608.3366,0.46940574795007706
A0010_02_02.bmp,A0010.bmp,1610.3456,0.4390331208705902
A0010_02_03.bmp,A0010.bmp,1561.9819,0.4340654984116554
A0010_02_04.bmp,A0010.bmp,1766.5766,0.46520935744047165
A0010_02_05.bmp,A0010.bmp,1405.8695,0.5451810359954834
A0010_02_06.bmp,A0010.bmp,1475.5644,0.5412087589502335
A0010_02_07.bmp,A0010.bmp,1498.3538,0.5400934815406799
A0010_02_08.bmp,A0010.bmp,1475.23,0.5404646843671799
A0010_02_09.bmp,A0010.bmp,1488.6213,0.5445217043161392
A0010_03_00.bmp,A0010.bmp,1408.4934,0.533606693148613
A0010_03_01.bmp,A0010.bmp,1526.7626,0.5259894356131554
A0010_03_02.bmp,A0010.bmp,1377.6437,0.5426792502403259
A0010_03_03.bmp,A0010.bmp,1471.8775,0.5178734436631203
A0010_03_04.bmp,A0010.bmp,1425.4631,0.5178734436631203
A0010_03_05.bmp,A0010.bmp,1479.0004,0.5178734436631203
A0010_03_06.bmp,A0010.bmp,1580.8948,0.5259353891015053
A0010_03_07.bmp,A0010.bmp,1426.1284,0.5303516238927841
A0010_03_08.bmp,A0010.bmp,1415.89,0.5304082855582237
A0010_03_09.bmp,A0010.bmp,1381.5384,0.5337128341197968
