dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.49569784849882126
A0010_00_01.bmp,A0010.bmp,1397.4428,0.5443309396505356
A0010_00_02.bmp,A0010.bmp,1543.2459,0.4769594296813011
A0010_00_03.bmp,A0010.bmp,1515.0295,0.5300354063510895
A0010_00_04.bmp,A0010.bmp,1467.121,0.562897339463234
A0010_00_05.bmp,A0010.bmp,1611.8061,0.48089247941970825
A0010_00_06.bmp,A0010.bmp,1513.7124,0.531673789024353
A0010_00_07.bmp,A0010.bmp,1344.9394,0.5674695521593094
A0010_00_08.bmp,A0010.bmp,1564.1514,0.47816338390111923
A0010_00_09.bmp,A0010.bmp,1545.7206,0.5338391810655594
A0010_00_10.bmp,A0010.bmp,1415.4665,0.5618356317281723
A0010_00_11.bmp,A0010.bmp,1505.9435,0.4740201011300087
A0010_01_00.bmp,A0010.bmp,1582.9888,0.47783229500055313
A0010_01_01.bmp,A0010.bmp,1512.4943,0.5298759937286377
A0010_01_02.bmp,A0010.bmp,1323.7629,0.5604962408542633
A0010_01_03.bmp,A0010.bmp,1614.6601,0.47240570932626724
A0010_01_04.bmp,A0010.bmp,1422.955,0.5276543647050858
A0010_01_05.bmp,A0010.bmp,1411.2205,0.5557540655136108
A0010_01_06.bmp,A0010.bmp,1522.4109,0.4672855958342552
A0010_01_07.bmp,A0010.bmp,1519.9579,0.5276524871587753
A0010_01_08.bmp,A0010.bmp,1388.8629,0.5621722340583801
A0010_01_09.bmp,A0010.bmp,1601.2028,0.4563475474715233
A0010_01_10.bmp,A0010.bmp,1557.3595,0.5106127187609673
A0010_01_11.bmp,A0010.bmp,1520.3255,0.5387309938669205
A0010_01_12.bmp,A0010.bmp,1624.7021,0.45324908941984177
A0010_01_13.bmp,A0010.bmp,1611.0104,0.5086034089326859
A0010_01_14.bmp,A0010.bmp,1476.5829,0.5383670479059219
A0010_01_15.bmp,A0010.bmp,1269.6335,0.610179215669632
A0010_02_00.bmp,A0010.bmp,1491.0261,0.48810189217329025
A0010_02_01.bmp,A0010.bmp,1608.3366,0.48810189217329025
A0010_02_02.bmp,A0010.bmp,1610.3456,0.46936195343732834
A0010_02_03.bmp,A0010.bmp,1561.9819,0.47122418880462646
A0010_02_04.bmp,A0010.bmp,1766.5766,0.5025490671396255
A0010_02_05.bmp,A0010.bmp,1405.8695,0.5536134541034698
A0010_02_06.bmp,A0010.bmp,1475.5644,0.5507464557886124
A0010_02_07.bmp,A0010.bmp,1498.3538,0.5503064393997192
A0010_02_08.bmp,A0010.bmp,1475.23,0.5512944310903549
A0010_02_09.bmp,A0010.bmp,1488.6213,0.5557642132043839
A0010_03_00.bmp,A0010.bmp,1408.4934,0.54925237596035
A0010_03_01.bmp,A0010.bmp,1526.7626,0.5379110127687454
A0010_03_02.bmp,A0010.bmp,1377.6437,0.5587812960147858
A0010_03_03.bmp,A0010.bmp,1471.8775,0.5307902693748474
A0010_03_04.bmp,A0010.bmp,1425.4631,0.5307902693748474
A0010_03_05.bmp,A0010.bmp,1479.0004,0.5307901799678802
A0010_03_06.bmp,A0010.bmp,1580.8948,0.5371883064508438
A0010_03_07.bmp,A0010.bmp,1426.1284,0.5430145710706711
A0010_03_08.bmp,A0010.bmp,1415.89,0.5442855060100555
A0010_03_09.bmp,A0010.bmp,1381.5384,0.5467051416635513
A0010_03_10.bmp,A0010.bmp,1506.5598,0.5230282843112946
A0010_03_11.bmp,A0010.bmp,1478.4784,0.5242118611931801
A0010_03_12.bmp,A0010.bmp,1534.4737,0.5455760806798935
A0010_03_13.bmp,A0010.bmp,1440.0787,0.5322005450725555
A0010_03_14.bmp,A0010.bmp,1536.5628,0.5289341807365417
