dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,2.4246782548725605
A0010_00_01.bmp,A0010.bmp,1397.4428,3.318845070898533
A0010_00_02.bmp,A0010.bmp,1543.2459,2.313210777938366
A0010_00_03.bmp,A0010.bmp,1515.0295,3.393285922706127
A0010_00_04.bmp,A0010.bmp,1467.121,3.9836546778678894
A0010_00_05.bmp,A0010.bmp,1611.8061,2.329757336527109
A0010_00_06.bmp,A0010.bmp,1513.7124,3.297388419508934
A0010_00_07.bmp,A0010.bmp,1344.9394,3.94148588553071
A0010_00_08.bmp,A0010.bmp,1564.1514,2.3147170022130013
A0010_00_09.bmp,A0010.bmp,1545.7206,3.291112817823887
A0010_00_10.bmp,A0010.bmp,1415.4665,3.9115546494722366
A0010_00_11.bmp,A0010.bmp,1505.9435,2.2461331859230995
A0010_01_00.bmp,A0010.bmp,1582.9888,2.3371079824864864
A0010_01_01.bmp,A0010.bmp,1512.4943,3.2661751732230186
A0010_01_02.bmp,A0010.bmp,1323.7629,3.7292009815573692
A0010_01_03.bmp,A0010.bmp,1614.6601,2.3864218294620514
A0010_01_04.bmp,A0010.bmp,1422.955,3.2654906548559666
A0010_01_05.bmp,A0010.bmp,1411.2205,3.7209807075560093
A0010_01_06.bmp,A0010.bmp,1522.4109,2.396520536392927
A0010_01_07.bmp,A0010.bmp,1519.9579,3.3904642034322023
A0010_01_08.bmp,A0010.bmp,1388.8629,3.9837431237101555
A0010_01_09.bmp,A0010.bmp,1601.2028,2.122457955032587
A0010_01_10.bmp,A0010.bmp,1557.3595,2.8902891874313354
A0010_01_11.bmp,A0010.bmp,1520.3255,3.472706140950322
A0010_01_12.bmp,A0010.bmp,1624.7021,2.0661663711071014
A0010_01_13.bmp,A0010.bmp,1611.0104,2.862721102312207
A0010_01_14.bmp,A0010.bmp,1476.5829,3.4697328861802816
A0010_01_15.bmp,A0010.bmp,1269.6335,4.851484354585409
A0010_02_00.bmp,A0010.bmp,1491.0261,2.3942745979875326
A0010_02_01.bmp,A0010.bmp,1608.3366,2.3942745979875326
A0010_02_02.bmp,A0010.bmp,1610.3456,2.357474086806178
A0010_02_03.bmp,A0010.bmp,1561.9819,2.3532280176877975
A0010_02_04.bmp,A0010.bmp,1766.5766,2.52296145260334
A0010_02_05.bmp,A0010.bmp,1405.8695,3.80531738512218
A0010_02_06.bmp,A0010.bmp,1475.5644,3.741951437667012
A0010_02_07.bmp,A0010.bmp,1498.3538,3.723105151206255
A0010_02_08.bmp,A0010.bmp,1475.23,3.720622444525361
A0010_02_09.bmp,A0010.bmp,1488.6213,3.777694122865796
A0010_03_00.bmp,A0010.bmp,1408.4934,3.6632549464702606
A0010_03_01.bmp,A0010.bmp,1526.7626,3.5329797454178333
A0010_03_02.bmp,A0010.bmp,1377.6437,3.910879097878933
A0010_03_03.bmp,A0010.bmp,1471.8775,3.3701434955000877
A0010_03_04.bmp,A0010.bmp,1425.4631,3.3701434955000877
A0010_03_05.bmp,A0010.bmp,1479.0004,3.3701529633253813
A0010_03_06.bmp,A0010.bmp,1580.8948,3.4762705862522125
A0010_03_07.bmp,A0010.bmp,1426.1284,3.5383054055273533
A0010_03_08.bmp,A0010.bmp,1415.89,3.5507022831588984
A0010_03_09.bmp,A0010.bmp,1381.5384,3.5393986627459526
A0010_03_10.bmp,A0010.bmp,1506.5598,3.2357691787183285
A0010_03_11.bmp,A0010.bmp,1478.4784,3.2999546471983194
A0010_03_12.bmp,A0010.bmp,1534.4737,3.6550505235791206
A0010_03_13.bmp,A0010.bmp,1440.0787,3.408415526151657
A0010_03_14.bmp,A0010.bmp,1536.5628,3.2565352991223335
A0010_03_15.bmp,A0010.bmp,1520.6863,3.372429020702839
A0010_03_16.bmp,A0010.bmp,1446.7638,3.388776371255517
A0010_03_17.bmp,A0010.bmp,1489.3506,3.5343085527420044
A0010_03_18.bmp,A0010.bmp,1460.723,3.5590906366705894
A0010_03_19.bmp,A0010.bmp,1479.9531,3.5891909897327423
A0010_03_20.bmp,A0010.bmp,1385.6622,4.635504264384508
A0010_03_21.bmp,A0010.bmp,1465.8225,5.051019497215748
A0010_03_22.bmp,A0010.bmp,1370.8739,4.735503025352955
A0010_03_23.bmp,A0010.bmp,1125.5982,5.248732525855303
A0010_04_00.bmp,A0010.bmp,1509.0292,2.643982607871294
A0010_04_01.bmp,A0010.bmp,1402.8599,4.093121439218521
A0010_04_02.bmp,A0010.bmp,1609.3235,2.4276198111474514
A0010_04_03.bmp,A0010.bmp,1501.5939,3.755867462605238
A0010_04_04.bmp,A0010.bmp,1297.2529,4.893938621506095
A0010_04_05.bmp,A0010.bmp,1658.0922,2.436082389205694
A0010_04_06.bmp,A0010.bmp,1373.4376,3.9741743709892035
A0010_04_07.bmp,A0010.bmp,1172.6235,5.106589812785387
A0010_04_08.bmp,A0010.bmp,1565.2755,2.4655030257999897
A0010_04_09.bmp,A0010.bmp,1426.469,3.7344207260757685
A0010_04_10.bmp,A0010.bmp,1292.4061,4.818006472662091
A0010_04_11.bmp,A0010.bmp,1385.4119,3.9144502095878124
A0010_04_12.bmp,A0010.bmp,1558.8749,2.36574674770236
A0010_05_00.bmp,A0010.bmp,1361.9307,4.4827538672834635
A0010_05_01.bmp,A0010.bmp,1170.8325,5.75901186466217
A0010_05_02.bmp,A0010.bmp,1207.2384,5.589290991425514
A0010_05_03.bmp,A0010.bmp,1077.6272,6.268938858062029
A0010_05_04.bmp,A0010.bmp,1404.0243,4.117705125361681
A0010_05_05.bmp,A0010.bmp,1221.4828,5.490585878491402
A0010_05_06.bmp,A0010.bmp,1261.8705,5.601742617785931
A0010_05_07.bmp,A0010.bmp,1162.8322,6.323894217610359
A0010_05_08.bmp,A0010.bmp,1172.661,5.644050691276789
A0010_05_09.bmp,A0010.bmp,1306.6648,5.018202148377895
A0010_05_10.bmp,A0010.bmp,1450.2316,4.260427709668875
A0010_05_11.bmp,A0010.bmp,1466.0508,3.135142808780074
A0010_05_12.bmp,A0010.bmp,1443.5308,3.5482238568365574
A0010_05_13.bmp,A0010.bmp,1311.4694,3.4762705862522125
A0010_06_00.bmp,A0010.bmp,1387.61,2.617486834526062
A0010_06_01.bmp,A0010.bmp,1333.7489,2.852629844099283
A0010_06_02.bmp,A0010.bmp,1409.3063,2.7249792478978634
A0010_06_03.bmp,A0010.bmp,1469.992,2.5568766221404076
A0010_06_04.bmp,A0010.bmp,1300.1184,3.8498680032789707
A0010_06_05.bmp,A0010.bmp,1543.7025,2.7394208032637835
A0010_06_06.bmp,A0010.bmp,1611.7125,2.6979891918599606
A0010_06_07.bmp,A0010.bmp,1574.8528,2.11838891915977
A0010_06_08.bmp,A0010.bmp,1609.7277,2.06357248313725
A0010_06_09.bmp,A0010.bmp,1537.3276,2.468498207628727
A0010_06_10.bmp,A0010.bmp,1471.1686,3.2783394381403923
A0010_06_11.bmp,A0010.bmp,1448.703,1.9136315658688545
A0010_06_12.bmp,A0010.bmp,1379.718,2.6739571504294872
A0010_06_13.bmp,A0010.bmp,1292.3206,2.8320471607148647
A0010_06_14.bmp,A0010.bmp,1408.9503,3.0399123821407557
A0010_06_15.bmp,A0010.bmp,1262.8769,3.9151598885655403
A0010_06_16.bmp,A0010.bmp,1521.1994,2.0331180952489376
A0010_06_17.bmp,A0010.bmp,1529.3003,3.070643050596118
A0010_06_18.bmp,A0010.bmp,1495.014,3.738395992666483
A0010_06_19.bmp,A0010.bmp,1545.1425,1.9479444846510887
A0010_06_20.bmp,A0010.bmp,1442.0158,2.202561231330037
A0010_06_21.bmp,A0010.bmp,1585.556,2.05010798946023
A0010_06_22.bmp,A0010.bmp,1498.1973,2.036494817584753
A0010_06_23.bmp,A0010.bmp,1511.4752,1.8773215729743242
A0010_06_24.bmp,A0010.bmp,1591.1947,2.483950924128294
A0010_06_25.bmp,A0010.bmp,1462.0684,2.9185320883989334
A0010_06_26.bmp,A0010.bmp,1463.3668,3.1287895552814007
A0027_00_00.bmp,A0027.bmp,1519.3898,1.8236508406698704
A0027_00_01.bmp,A0027.bmp,1381.7487,2.291247008368373
A0027_00_02.bmp,A0027.bmp,1604.4955,1.9449831079691648
A0027_00_03.bmp,A0027.bmp,1454.7168,2.709337893873453
A0027_00_04.bmp,A0027.bmp,1449.7403,3.1735173240303993
A0027_00_05.bmp,A0027.bmp,1537.2687,1.8610200956463814
A0027_00_06.bmp,A0027.bmp,1520.1301,2.338008349761367
A0027_00_07.bmp,A0027.bmp,1372.4774,2.9303771033883095
A0027_00_08.bmp,A0027.bmp,1564.389,1.871792446821928
A0027_00_09.bmp,A0027.bmp,1535.3086,2.387027118355036
A0027_00_10.bmp,A0027.bmp,1463.0032,3.027804307639599
A0027_00_11.bmp,A0027.bmp,1411.7324,1.8041335884481668
A0027_01_00.bmp,A0027.bmp,1517.0844,1.8764198701828718
A0027_01_01.bmp,A0027.bmp,1469.559,2.502497211098671
A0027_01_02.bmp,A0027.bmp,1396.2018,3.036280822008848
A0027_01_03.bmp,A0027.bmp,1496.3854,1.963840564712882
A0027_01_04.bmp,A0027.bmp,1483.8521,2.5647686049342155
A0027_01_05.bmp,A0027.bmp,1427.1132,2.9387353286147118
A0027_01_06.bmp,A0027.bmp,1414.8166,2.0200205612927675
A0027_01_07.bmp,A0027.bmp,1541.448,2.6863865591585636
A0027_01_08.bmp,A0027.bmp,1378.4026,3.161616452038288
A0027_01_09.bmp,A0027.bmp,1530.1634,1.9180927872657776
A0027_01_10.bmp,A0027.bmp,1436.9101,2.6188629902899265
A0027_01_11.bmp,A0027.bmp,1419.4433,3.1631995923817158
A0027_01_12.bmp,A0027.bmp,1544.3999,1.9175029695034027
A0027_01_13.bmp,A0027.bmp,1504.5788,2.6182252429425716
A0027_01_14.bmp,A0027.bmp,1540.6209,3.2091410271823406
A0027_01_15.bmp,A0027.bmp,1398.6008,4.643553543835878
A0027_02_00.bmp,A0027.bmp,1427.3251,1.9334353134036064
A0027_02_01.bmp,A0027.bmp,1544.2766,1.9334353134036064
A0027_02_02.bmp,A0027.bmp,1513.4413,2.0001104287803173
A0027_02_03.bmp,A0027.bmp,1534.5999,2.039316164329648
A0027_02_04.bmp,A0027.bmp,1531.6355,2.31280112080276
A0027_02_05.bmp,A0027.bmp,1376.5483,3.2461939454078674
A0027_02_06.bmp,A0027.bmp,1489.2767,3.252328932285309
A0027_02_07.bmp,A0027.bmp,1517.1201,3.2590529210865498
A0027_02_08.bmp,A0027.bmp,1597.522,3.269188594073057
A0027_02_09.bmp,A0027.bmp,1556.7731,3.3402985334396362
A0027_03_00.bmp,A0027.bmp,1484.4954,3.1477504335343838
A0027_03_01.bmp,A0027.bmp,1512.3753,2.9741418585181236
A0027_03_02.bmp,A0027.bmp,1427.5039,3.132466722279787
A0027_03_03.bmp,A0027.bmp,1475.099,3.092007488012314
A0027_03_04.bmp,A0027.bmp,1408.0334,3.092007488012314
A0027_03_05.bmp,A0027.bmp,1450.9689,3.0920433029532433
A0027_03_06.bmp,A0027.bmp,1594.6571,2.794599238783121
A0027_03_07.bmp,A0027.bmp,1390.6874,3.10234098136425
A0027_03_08.bmp,A0027.bmp,1518.688,3.1437882259488106
A0027_03_09.bmp,A0027.bmp,1480.4943,3.206751834601164
A0027_03_10.bmp,A0027.bmp,1436.1714,2.8830599784851074
A0027_03_11.bmp,A0027.bmp,1465.674,2.9112170822918415
A0027_03_12.bmp,A0027.bmp,1493.1533,3.1842665895819664
A0027_03_13.bmp,A0027.bmp,1421.5435,2.8429913967847824
A0027_03_14.bmp,A0027.bmp,1518.8742,2.7735395915806293
A0027_03_15.bmp,A0027.bmp,1543.1873,2.9688660576939583
A0027_03_16.bmp,A0027.bmp,1518.6297,3.087164081633091
A0027_03_17.bmp,A0027.bmp,1447.8837,3.0526425018906593
A0027_03_18.bmp,A0027.bmp,1558.9987,2.947454895824194
A0027_03_19.bmp,A0027.bmp,1517.436,2.8903510123491287
A0027_03_20.bmp,A0027.bmp,1397.2318,3.977590933442116
A0027_03_21.bmp,A0027.bmp,1226.9681,5.266746185719967
A0027_03_22.bmp,A0027.bmp,1404.8522,4.317928113043308
A0027_03_23.bmp,A0027.bmp,1412.439,4.993892949074507
A0027_04_00.bmp,A0027.bmp,1472.7595,2.3202259354293346
A0027_04_01.bmp,A0027.bmp,1440.6901,3.06943416595459
A0027_04_02.bmp,A0027.bmp,1533.9404,2.4193589445203543
A0027_04_03.bmp,A0027.bmp,1445.5193,3.166215490549803
A0027_04_04.bmp,A0027.bmp,1405.178,3.615892034024
A0027_04_05.bmp,A0027.bmp,1592.6795,2.629976764321327
A0027_04_06.bmp,A0027.bmp,1451.79,3.586240950971842
A0027_04_07.bmp,A0027.bmp,1290.8582,4.374285962432623
A0027_04_08.bmp,A0027.bmp,1588.3867,2.196617979556322
A0027_04_09.bmp,A0027.bmp,1421.994,2.9274326786398888
A0027_04_10.bmp,A0027.bmp,1429.3241,3.6496124900877476
A0027_04_11.bmp,A0027.bmp,1425.6141,3.0019351951777935
