dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.4117163539303874
A0010_00_01.bmp,A0010.bmp,1397.4428,2.5765816978673683
A0010_00_02.bmp,A0010.bmp,1543.2459,1.3136579698002606
A0010_00_03.bmp,A0010.bmp,1515.0295,2.549131631865748
A0010_00_04.bmp,A0010.bmp,1467.121,3.2569869127619313
A0010_00_05.bmp,A0010.bmp,1611.8061,1.3556563247911981
A0010_00_06.bmp,A0010.bmp,1513.7124,2.4224301780413953
A0010_00_07.bmp,A0010.bmp,1344.9394,2.9815607595446636
A0010_00_08.bmp,A0010.bmp,1564.1514,1.3603415034776845
A0010_00_09.bmp,A0010.bmp,1545.7206,2.488321346740122
A0010_00_10.bmp,A0010.bmp,1415.4665,3.0826887016228284
A0010_00_11.bmp,A0010.bmp,1505.9435,1.2774361225201574
A0010_01_00.bmp,A0010.bmp,1582.9888,1.346652755055402
A0010_01_01.bmp,A0010.bmp,1512.4943,2.4012739299068926
A0010_01_02.bmp,A0010.bmp,1323.7629,2.88116181523219
A0010_01_03.bmp,A0010.bmp,1614.6601,1.4443601825005317
A0010_01_04.bmp,A0010.bmp,1422.955,2.677698477236845
A0010_01_05.bmp,A0010.bmp,1411.2205,2.8634724898365675
A0010_01_06.bmp,A0010.bmp,1522.4109,1.4710119059673161
A0010_01_07.bmp,A0010.bmp,1519.9579,2.6163742606149754
A0010_01_08.bmp,A0010.bmp,1388.8629,3.3713709105504677
A0010_01_09.bmp,A0010.bmp,1601.2028,1.0372593885276729
A0010_01_10.bmp,A0010.bmp,1557.3595,2.0501704546441033
A0010_01_11.bmp,A0010.bmp,1520.3255,2.7890392555418657
A0010_01_12.bmp,A0010.bmp,1624.7021,0.97071278104886
A0010_01_13.bmp,A0010.bmp,1611.0104,1.9942486901309167
A0010_01_14.bmp,A0010.bmp,1476.5829,2.820410558822914
A0010_01_15.bmp,A0010.bmp,1269.6335,5.00591874854581
A0010_02_00.bmp,A0010.bmp,1491.0261,1.4467280284115986
A0010_02_01.bmp,A0010.bmp,1608.3366,1.4467280284115986
A0010_02_02.bmp,A0010.bmp,1610.3456,1.3049861081781273
A0010_02_03.bmp,A0010.bmp,1561.9819,1.2775269772755564
A0010_02_04.bmp,A0010.bmp,1766.5766,1.6028416162735084
A0010_02_05.bmp,A0010.bmp,1405.8695,3.2556750825824565
A0010_02_06.bmp,A0010.bmp,1475.5644,3.1763300435777637
A0010_02_07.bmp,A0010.bmp,1498.3538,3.1575256391734
A0010_02_08.bmp,A0010.bmp,1475.23,3.1491134365278413
A0010_02_09.bmp,A0010.bmp,1488.6213,3.2455338339786977
A0010_03_00.bmp,A0010.bmp,1408.4934,2.9839670097790076
A0010_03_01.bmp,A0010.bmp,1526.7626,2.8589553603960667
A0010_03_02.bmp,A0010.bmp,1377.6437,3.282422087446321
A0010_03_03.bmp,A0010.bmp,1471.8775,2.7617711639104527
A0010_03_04.bmp,A0010.bmp,1425.4631,2.7617711639104527
A0010_03_05.bmp,A0010.bmp,1479.0004,2.7618260780582204
A0010_03_06.bmp,A0010.bmp,1580.8948,2.910273291352496
A0010_03_07.bmp,A0010.bmp,1426.1284,2.839643985214934
A0010_03_08.bmp,A0010.bmp,1415.89,2.9637605843308847
A0010_03_09.bmp,A0010.bmp,1381.5384,2.877670486945135
A0010_03_10.bmp,A0010.bmp,1506.5598,2.4690902072834433
A0010_03_11.bmp,A0010.bmp,1478.4784,2.3522873222464113
A0010_03_12.bmp,A0010.bmp,1534.4737,4.048562327261607
A0010_03_13.bmp,A0010.bmp,1440.0787,2.5531597730514477
A0010_03_14.bmp,A0010.bmp,1536.5628,2.4072466341312975
A0010_03_15.bmp,A0010.bmp,1520.6863,2.716073904244695
A0010_03_16.bmp,A0010.bmp,1446.7638,2.694956018945959
A0010_03_17.bmp,A0010.bmp,1489.3506,2.8184134497278137
A0010_03_18.bmp,A0010.bmp,1460.723,2.811495359695982
A0010_03_19.bmp,A0010.bmp,1479.9531,2.9912821710895514
A0010_03_20.bmp,A0010.bmp,1385.6622,5.122896259083063
A0010_03_21.bmp,A0010.bmp,1465.8225,5.5156483472383115
A0010_03_22.bmp,A0010.bmp,1370.8739,4.967946242424659
A0010_03_23.bmp,A0010.bmp,1125.5982,5.486561841753428
A0010_04_00.bmp,A0010.bmp,1509.0292,2.862029448409885
A0010_04_01.bmp,A0010.bmp,1402.8599,5.093600681742828
A0010_04_02.bmp,A0010.bmp,1609.3235,2.0372311050105054
A0010_04_03.bmp,A0010.bmp,1501.5939,4.414486952999141
A0010_04_04.bmp,A0010.bmp,1297.2529,5.548440925100294
A0010_04_05.bmp,A0010.bmp,1658.0922,1.8131151039087854
A0010_04_06.bmp,A0010.bmp,1373.4376,4.009110483209952
A0010_04_07.bmp,A0010.bmp,1172.6235,5.331380193980294
A0010_04_08.bmp,A0010.bmp,1565.2755,1.774423821389064
A0010_04_09.bmp,A0010.bmp,1426.469,3.9808950946026016
A0010_04_10.bmp,A0010.bmp,1292.4061,4.9858188861835515
A0010_04_11.bmp,A0010.bmp,1385.4119,4.429773953357653
A0010_04_12.bmp,A0010.bmp,1558.8749,1.6587938960401516
A0010_05_00.bmp,A0010.bmp,1361.9307,4.53499580679636
A0010_05_01.bmp,A0010.bmp,1170.8325,6.847064620014862
A0010_05_02.bmp,A0010.bmp,1207.2384,4.987687195287435
A0010_05_03.bmp,A0010.bmp,1077.6272,5.947497710294556
A0010_05_04.bmp,A0010.bmp,1404.0243,4.722735057039245
A0010_05_05.bmp,A0010.bmp,1221.4828,7.875818126514787
A0010_05_06.bmp,A0010.bmp,1261.8705,5.1254513972235145
A0010_05_07.bmp,A0010.bmp,1162.8322,6.86520940324408
A0010_05_08.bmp,A0010.bmp,1172.661,5.95666153379716
A0010_05_09.bmp,A0010.bmp,1306.6648,4.940791082015494
A0010_05_10.bmp,A0010.bmp,1450.2316,4.36477268969611
A0010_05_11.bmp,A0010.bmp,1466.0508,2.5122624658906716
A0010_05_12.bmp,A0010.bmp,1443.5308,4.153407424011675
A0010_05_13.bmp,A0010.bmp,1311.4694,2.910273291352496
A0010_06_00.bmp,A0010.bmp,1387.61,1.6885758367170638
A0010_06_01.bmp,A0010.bmp,1333.7489,2.4365843779596617
A0010_06_02.bmp,A0010.bmp,1409.3063,1.7506008023410686
A0010_06_03.bmp,A0010.bmp,1469.992,1.6748389521453646
A0010_06_04.bmp,A0010.bmp,1300.1184,4.2625300345462165
A0010_06_05.bmp,A0010.bmp,1543.7025,2.8654340567300096
A0010_06_06.bmp,A0010.bmp,1611.7125,2.2537112955760676
A0010_06_07.bmp,A0010.bmp,1574.8528,1.3217422150592029
A0010_06_08.bmp,A0010.bmp,1609.7277,1.5380725202758185
A0010_06_09.bmp,A0010.bmp,1537.3276,2.7030461181020655
A0010_06_10.bmp,A0010.bmp,1471.1686,3.1977579500962747
A0010_06_11.bmp,A0010.bmp,1448.703,0.7876177665275463
A0010_06_12.bmp,A0010.bmp,1379.718,1.7321425172340241
A0010_06_13.bmp,A0010.bmp,1292.3206,2.0959021132803173
A0010_06_14.bmp,A0010.bmp,1408.9503,2.4100460586123518
A0010_06_15.bmp,A0010.bmp,1262.8769,4.374928109915345
A0010_06_16.bmp,A0010.bmp,1521.1994,1.2099535189136077
A0010_06_17.bmp,A0010.bmp,1529.3003,3.2397772220210754
A0010_06_18.bmp,A0010.bmp,1495.014,5.118733081661048
A0010_06_19.bmp,A0010.bmp,1545.1425,0.7115230947892996
A0010_06_20.bmp,A0010.bmp,1442.0158,1.0789070426071703
A0010_06_21.bmp,A0010.bmp,1585.556,1.0479850530027761
A0010_06_22.bmp,A0010.bmp,1498.1973,0.844164978574554
A0010_06_23.bmp,A0010.bmp,1511.4752,1.0456359442578105
A0010_06_24.bmp,A0010.bmp,1591.1947,2.1869747520140663
A0010_06_25.bmp,A0010.bmp,1462.0684,3.161805940020713
A0010_06_26.bmp,A0010.bmp,1463.3668,3.5450170797266765
A0027_00_00.bmp,A0027.bmp,1519.3898,2.338909100220917
A0027_00_01.bmp,A0027.bmp,1381.7487,2.874649026343832
A0027_00_02.bmp,A0027.bmp,1604.4955,1.3880980193098367
A0027_00_03.bmp,A0027.bmp,1454.7168,3.40463180498773
A0027_00_04.bmp,A0027.bmp,1449.7403,3.9443701321506524
A0027_00_05.bmp,A0027.bmp,1537.2687,2.5776918579576886
A0027_00_06.bmp,A0027.bmp,1520.1301,3.101522691293212
A0027_00_07.bmp,A0027.bmp,1372.4774,4.2382581760393805
A0027_00_08.bmp,A0027.bmp,1564.389,1.245976678619627
A0027_00_09.bmp,A0027.bmp,1535.3086,3.518761829160212
A0027_00_10.bmp,A0027.bmp,1463.0032,5.21185351620079
A0027_00_11.bmp,A0027.bmp,1411.7324,1.3127867900511774
A0027_01_00.bmp,A0027.bmp,1517.0844,1.2027476332768856
A0027_01_01.bmp,A0027.bmp,1469.559,3.2319338741508545
A0027_01_02.bmp,A0027.bmp,1396.2018,3.831449787961901
A0027_01_03.bmp,A0027.bmp,1496.3854,1.3311293918923184
A0027_01_04.bmp,A0027.bmp,1483.8521,3.723949361083214
A0027_01_05.bmp,A0027.bmp,1427.1132,4.214294254437846
A0027_01_06.bmp,A0027.bmp,1414.8166,1.406506318031461
A0027_01_07.bmp,A0027.bmp,1541.448,4.851544077311701
A0027_01_08.bmp,A0027.bmp,1378.4026,4.765229913085932
A0027_01_09.bmp,A0027.bmp,1530.1634,1.2013328394132259
A0027_01_10.bmp,A0027.bmp,1436.9101,3.3673234951565973
A0027_01_11.bmp,A0027.bmp,1419.4433,4.460678615920187
A0027_01_12.bmp,A0027.bmp,1544.3999,1.2143510315472668
A0027_01_13.bmp,A0027.bmp,1504.5788,3.3606330460315803
A0027_01_14.bmp,A0027.bmp,1540.6209,4.706655135931214
A0027_01_15.bmp,A0027.bmp,1398.6008,6.266460217681015
A0027_02_00.bmp,A0027.bmp,1427.3251,2.314483383372135
A0027_02_01.bmp,A0027.bmp,1544.2766,2.314483383372135
A0027_02_02.bmp,A0027.bmp,1513.4413,2.3750480277158204
A0027_02_03.bmp,A0027.bmp,1534.5999,1.583452647912054
A0027_02_04.bmp,A0027.bmp,1531.6355,1.5135852072198759
A0027_02_05.bmp,A0027.bmp,1376.5483,4.430343843057926
A0027_02_06.bmp,A0027.bmp,1489.2767,4.412774532698677
A0027_02_07.bmp,A0027.bmp,1517.1201,4.355746139735857
A0027_02_08.bmp,A0027.bmp,1597.522,4.546987567620818
A0027_02_09.bmp,A0027.bmp,1556.7731,5.478801905963337
A0027_03_00.bmp,A0027.bmp,1484.4954,4.888529967109207
A0027_03_01.bmp,A0027.bmp,1512.3753,4.30728719313629
A0027_03_02.bmp,A0027.bmp,1427.5039,5.0981058082325035
A0027_03_03.bmp,A0027.bmp,1475.099,4.45896485861158
A0027_03_04.bmp,A0027.bmp,1408.0334,4.45896485861158
A0027_03_05.bmp,A0027.bmp,1450.9689,4.459110085423163
A0027_03_06.bmp,A0027.bmp,1594.6571,5.856724549928913
A0027_03_07.bmp,A0027.bmp,1390.6874,4.29397674217762
A0027_03_08.bmp,A0027.bmp,1518.688,5.648802847645129
A0027_03_09.bmp,A0027.bmp,1480.4943,5.915208698628703
A0027_03_10.bmp,A0027.bmp,1436.1714,3.526736272709968
A0027_03_11.bmp,A0027.bmp,1465.674,5.8897925469646
A0027_03_12.bmp,A0027.bmp,1493.1533,4.895689482662419
A0027_03_13.bmp,A0027.bmp,1421.5435,4.68450445340568
A0027_03_14.bmp,A0027.bmp,1518.8742,4.739902287932637
A0027_03_15.bmp,A0027.bmp,1543.1873,4.331811847056088
A0027_03_16.bmp,A0027.bmp,1518.6297,5.1204088612648775
A0027_03_17.bmp,A0027.bmp,1447.8837,3.217807174529298
A0027_03_18.bmp,A0027.bmp,1558.9987,2.884183794929413
A0027_03_19.bmp,A0027.bmp,1517.436,4.510540233612119
A0027_03_20.bmp,A0027.bmp,1397.2318,7.326687044260325
A0027_03_21.bmp,A0027.bmp,1226.9681,11.54641176853329
A0027_03_22.bmp,A0027.bmp,1404.8522,7.03136009562877
A0027_03_23.bmp,A0027.bmp,1412.439,6.920795617174008
A0027_04_00.bmp,A0027.bmp,1472.7595,5.493832275122259
A0027_04_01.bmp,A0027.bmp,1440.6901,5.703438833294058
A0027_04_02.bmp,A0027.bmp,1533.9404,4.209442030700302
A0027_04_03.bmp,A0027.bmp,1445.5193,4.878687514854391
A0027_04_04.bmp,A0027.bmp,1405.178,6.21570706593775
A0027_04_05.bmp,A0027.bmp,1592.6795,4.71051459109367
A0027_04_06.bmp,A0027.bmp,1451.79,8.645140314751188
A0027_04_07.bmp,A0027.bmp,1290.8582,9.246920167010103
A0027_04_08.bmp,A0027.bmp,1588.3867,5.840310166651761
A0027_04_09.bmp,A0027.bmp,1421.994,5.388278886945045
A0027_04_10.bmp,A0027.bmp,1429.3241,6.2963186378910905
A0027_04_11.bmp,A0027.bmp,1425.6141,3.3395214479460265
A0027_04_12.bmp,A0027.bmp,1567.0086,3.3834804122343485
A0027_05_00.bmp,A0027.bmp,1396.4381,5.774788798138616
A0027_05_01.bmp,A0027.bmp,1370.835,7.2688182345591486
A0027_05_02.bmp,A0027.bmp,1414.7785,7.23589472178719
A0027_05_03.bmp,A0027.bmp,1160.0137,8.96362434393086
A0027_05_04.bmp,A0027.bmp,1516.2494,7.3319695657046395
A0027_05_05.bmp,A0027.bmp,1469.8166,8.222075356381538
A0027_05_06.bmp,A0027.bmp,1332.9511,7.541865799226798
A0027_05_07.bmp,A0027.bmp,1345.5565,9.631507268946734
A0027_05_08.bmp,A0027.bmp,1339.625,5.518522865400882
A0027_05_09.bmp,A0027.bmp,1362.8717,4.306131934165023
A0027_05_10.bmp,A0027.bmp,1387.6417,6.629350901588623
A0027_05_11.bmp,A0027.bmp,1354.7313,3.5302147263500956
A0027_05_12.bmp,A0027.bmp,1442.4199,3.268028109538136
A0027_05_13.bmp,A0027.bmp,1302.2005,5.856724549928913
A0027_06_00.bmp,A0027.bmp,1390.8852,1.2658064008610381
A0027_06_01.bmp,A0027.bmp,1446.419,1.7537302920754883
A0027_06_02.bmp,A0027.bmp,1454.9392,3.2279232502733066
A0027_06_03.bmp,A0027.bmp,1460.3599,2.499745831315522
A0027_06_04.bmp,A0027.bmp,1453.3256,2.718236809334485
A0027_06_05.bmp,A0027.bmp,1495.18,3.2090483890351607
A0027_06_06.bmp,A0027.bmp,1318.7705,3.852871070623223
A0027_06_07.bmp,A0027.bmp,1430.0087,3.513148580539564
A0027_06_08.bmp,A0027.bmp,1446.6433,1.8387448825633328
A0027_06_09.bmp,A0027.bmp,1368.3748,2.1006219834416697
A0027_06_10.bmp,A0027.bmp,1322.4044,4.121473777464416
A0027_06_11.bmp,A0027.bmp,1482.1964,1.9992684552016726
A0027_06_12.bmp,A0027.bmp,1328.6928,2.775068365750485
A0027_06_13.bmp,A0027.bmp,1342.5763,2.862942805644707
A0027_06_14.bmp,A0027.bmp,1362.2881,3.1171056018938543
A0027_06_15.bmp,A0027.bmp,1312.8825,4.413471878382552
A0027_06_16.bmp,A0027.bmp,1444.9561,2.683939761000147
A0027_06_17.bmp,A0027.bmp,1417.3173,3.5658458759935456
A0027_06_18.bmp,A0027.bmp,1522.0277,4.806940600239614
A0027_06_19.bmp,A0027.bmp,1444.9125,2.166290702083643
A0027_06_20.bmp,A0027.bmp,1436.4804,1.2198092858234304
A0027_06_21.bmp,A0027.bmp,1443.6396,2.5926828544252203
A0027_06_22.bmp,A0027.bmp,1502.6423,0.8343698901808239
A0027_06_23.bmp,A0027.bmp,1536.6668,2.5671847096564306
A0027_06_24.bmp,A0027.bmp,1443.698,3.147112893537269
A0027_06_25.bmp,A0027.bmp,1349.0418,3.090062129565922
A0027_06_26.bmp,A0027.bmp,1366.8358,6.412613656721078
A0187_00_00.bmp,A0187.bmp,1488.8664,5.813004005678522
A0187_00_01.bmp,A0187.bmp,1360.9785,5.936160111712525
A0187_00_02.bmp,A0187.bmp,1547.0377,6.916270053727203
A0187_00_03.bmp,A0187.bmp,1494.5744,8.194548042098177
A0187_00_04.bmp,A0187.bmp,1398.3776,7.8538064846216
A0187_00_05.bmp,A0187.bmp,1607.909,5.652235703455517
A0187_00_06.bmp,A0187.bmp,1500.714,5.752059466671199
A0187_00_07.bmp,A0187.bmp,1357.8506,6.120957788443775
A0187_00_08.bmp,A0187.bmp,1536.2138,6.164451231830753
A0187_00_09.bmp,A0187.bmp,1443.4546,7.192466677748598
A0187_00_10.bmp,A0187.bmp,1383.1834,7.503804640000453
A0187_00_11.bmp,A0187.bmp,1528.3277,5.542833431936742
A0187_01_00.bmp,A0187.bmp,1539.2572,6.4576729121181415
A0187_01_01.bmp,A0187.bmp,1467.8954,7.591597936479957
A0187_01_02.bmp,A0187.bmp,1419.3647,7.430584668909432
A0187_01_03.bmp,A0187.bmp,1561.9903,6.458185028466687
A0187_01_04.bmp,A0187.bmp,1465.2211,8.115821606523241
A0187_01_05.bmp,A0187.bmp,1446.8214,8.205063977336977
A0187_01_06.bmp,A0187.bmp,1545.5235,5.819892367100692
A0187_01_07.bmp,A0187.bmp,1508.9899,7.252434950962197
A0187_01_08.bmp,A0187.bmp,1374.4036,7.39295367122395
A0187_01_09.bmp,A0187.bmp,1591.6979,5.295849228823499
A0187_01_10.bmp,A0187.bmp,1526.3789,7.069256112445146
A0187_01_11.bmp,A0187.bmp,1453.5005,7.44372497270524
A0187_01_12.bmp,A0187.bmp,1544.929,5.794738083473931
A0187_01_13.bmp,A0187.bmp,1534.5581,6.564528412229265
A0187_01_14.bmp,A0187.bmp,1554.6055,6.652709769870853
A0187_01_15.bmp,A0187.bmp,1156.2423,8.045390158324153
A0187_02_00.bmp,A0187.bmp,1484.4959,3.722165566010517
A0187_02_01.bmp,A0187.bmp,1502.4014,3.722165566010517
A0187_02_02.bmp,A0187.bmp,1540.7961,3.738755590922665
A0187_02_03.bmp,A0187.bmp,1570.0446,3.5318748320423765
A0187_02_04.bmp,A0187.bmp,1531.5118,4.159389911270409
A0187_02_05.bmp,A0187.bmp,1393.902,7.127073382187518
A0187_02_06.bmp,A0187.bmp,1465.1614,7.026049634820083
A0187_02_07.bmp,A0187.bmp,1501.157,6.71627138578333
A0187_02_08.bmp,A0187.bmp,1438.189,6.730392589364783
A0187_02_09.bmp,A0187.bmp,1494.0909,6.617596385563957
A0187_03_00.bmp,A0187.bmp,1519.7101,8.838076702668332
A0187_03_01.bmp,A0187.bmp,1553.7223,6.408460251361248
A0187_03_02.bmp,A0187.bmp,1467.8114,7.646441268268973
A0187_03_03.bmp,A0187.bmp,1404.4885,6.872992007047287
A0187_03_04.bmp,A0187.bmp,1494.6584,6.872992007047287
A0187_03_05.bmp,A0187.bmp,1457.0223,6.873440274343011
A0187_03_06.bmp,A0187.bmp,1551.5137,6.257726916053798
A0187_03_07.bmp,A0187.bmp,1455.6869,10.874837163093616
A0187_03_08.bmp,A0187.bmp,1595.1816,10.976892779566697
A0187_03_09.bmp,A0187.bmp,1506.2469,10.313860399619443
A0187_03_10.bmp,A0187.bmp,1427.4603,8.27223979817063
A0187_03_11.bmp,A0187.bmp,1435.4684,9.961314539817977
A0187_03_12.bmp,A0187.bmp,1498.0185,8.333129943348467
A0187_03_13.bmp,A0187.bmp,1601.6078,8.791499257669784
A0187_03_14.bmp,A0187.bmp,1416.8729,7.5897520689468365
A0187_03_15.bmp,A0187.bmp,1485.8639,6.286859484825982
A0187_03_16.bmp,A0187.bmp,1482.3489,6.038386372019886
A0187_03_17.bmp,A0187.bmp,1556.1661,8.014085400965996
A0187_03_18.bmp,A0187.bmp,1487.7984,6.615132398059359
A0187_03_19.bmp,A0187.bmp,1486.0723,5.959983285036287
A0187_03_20.bmp,A0187.bmp,1277.8986,9.023940258091898
A0187_03_21.bmp,A0187.bmp,1091.849,15.025576074345736
A0187_03_22.bmp,A0187.bmp,1221.6025,8.317707590540522
A0187_03_23.bmp,A0187.bmp,1113.1587,9.215363949144376
A0187_04_00.bmp,A0187.bmp,1543.0319,5.965339734288136
A0187_04_01.bmp,A0187.bmp,1510.1699,9.029924149443104
A0187_04_02.bmp,A0187.bmp,1571.6174,2.0086399084084405
A0187_04_03.bmp,A0187.bmp,1585.0589,6.9957952168624615
A0187_04_04.bmp,A0187.bmp,1371.8773,8.6836263338555
A0187_04_05.bmp,A0187.bmp,1549.5576,3.296634626123705
A0187_04_06.bmp,A0187.bmp,1404.0758,8.443586134912039
A0187_04_07.bmp,A0187.bmp,1253.5272,12.454650281943032
A0187_04_08.bmp,A0187.bmp,1574.7585,4.798970975574775
A0187_04_09.bmp,A0187.bmp,1364.6395,7.5868927377523505
A0187_04_10.bmp,A0187.bmp,1349.6272,8.737640581821324
A0187_04_11.bmp,A0187.bmp,1410.1308,7.9641492368537
A0187_04_12.bmp,A0187.bmp,1560.2941,3.468412425729184
A0187_05_00.bmp,A0187.bmp,1464.577,5.89717696417938
A0187_05_01.bmp,A0187.bmp,1258.6821,10.388180954876589
A0187_05_02.bmp,A0187.bmp,1315.4059,10.830945613444783
A0187_05_03.bmp,A0187.bmp,1133.6974,11.631681210448733
A0187_05_04.bmp,A0187.bmp,1542.1097,7.091684374259785
A0187_05_05.bmp,A0187.bmp,1416.1435,11.009038379765116
A0187_05_06.bmp,A0187.bmp,1211.7215,9.054962111564237
A0187_05_07.bmp,A0187.bmp,1281.3583,11.405102387492661
A0187_05_08.bmp,A0187.bmp,1192.8076,10.734229552646866
A0187_05_09.bmp,A0187.bmp,1404.7857,10.583720674098004
A0187_05_10.bmp,A0187.bmp,1472.2971,7.091778181144036
A0187_05_11.bmp,A0187.bmp,1376.7189,7.351390324547538
A0187_05_12.bmp,A0187.bmp,1378.4169,8.365691531842458
A0187_05_13.bmp,A0187.bmp,1366.9401,6.257726916053798
A0187_06_00.bmp,A0187.bmp,1458.3275,6.978042011454818
A0187_06_01.bmp,A0187.bmp,1368.4773,6.463502703845734
A0187_06_02.bmp,A0187.bmp,1446.1674,5.747040964553889
A0187_06_03.bmp,A0187.bmp,1392.0158,4.4311526105957455
A0187_06_04.bmp,A0187.bmp,1345.8827,4.135643123321643
A0187_06_05.bmp,A0187.bmp,1554.5898,2.2410113263249514
A0187_06_06.bmp,A0187.bmp,1437.4331,5.599411323080858
A0187_06_07.bmp,A0187.bmp,1500.3905,1.8062047099283518
A0187_06_08.bmp,A0187.bmp,1653.1748,0.6614191392081921
A0187_06_09.bmp,A0187.bmp,1557.7213,2.843784864013287
A0187_06_10.bmp,A0187.bmp,1411.2711,2.852703195429058
A0187_06_11.bmp,A0187.bmp,1430.0698,2.360106206149794
A0187_06_12.bmp,A0187.bmp,1279.4093,6.952288605636568
A0187_06_13.bmp,A0187.bmp,1251.6628,6.460329603214632
A0187_06_14.bmp,A0187.bmp,1377.4387,5.6566852012620075
