dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,3.9369060859753517
A0010_00_01.bmp,A0010.bmp,1397.4428,5.81255164220056
A0010_00_02.bmp,A0010.bmp,1543.2459,3.773925069406687
A0010_00_03.bmp,A0010.bmp,1515.0295,5.2848694824569975
A0010_00_04.bmp,A0010.bmp,1467.121,6.1256510076491395
A0010_00_05.bmp,A0010.bmp,1611.8061,3.858296074446116
A0010_00_06.bmp,A0010.bmp,1513.7124,4.47149923282268
A0010_00_07.bmp,A0010.bmp,1344.9394,5.929599706432782
A0010_00_08.bmp,A0010.bmp,1564.1514,3.8187938252449385
A0010_00_09.bmp,A0010.bmp,1545.7206,4.862355800280056
A0010_00_10.bmp,A0010.bmp,1415.4665,5.553319861079217
A0010_00_11.bmp,A0010.bmp,1505.9435,3.7148610927906702
A0010_01_00.bmp,A0010.bmp,1582.9888,3.8111916034758906
A0010_01_01.bmp,A0010.bmp,1512.4943,4.763453733867209
A0010_01_02.bmp,A0010.bmp,1323.7629,5.643562688739621
A0010_01_03.bmp,A0010.bmp,1614.6601,3.9150473491754383
A0010_01_04.bmp,A0010.bmp,1422.955,4.974521461430413
A0010_01_05.bmp,A0010.bmp,1411.2205,5.638098689931212
A0010_01_06.bmp,A0010.bmp,1522.4109,3.7497046861753915
A0010_01_07.bmp,A0010.bmp,1519.9579,5.546911978570279
A0010_01_08.bmp,A0010.bmp,1388.8629,5.4372005586046726
A0010_01_09.bmp,A0010.bmp,1601.2028,3.6422685719808214
A0010_01_10.bmp,A0010.bmp,1557.3595,4.404227432562038
A0010_01_11.bmp,A0010.bmp,1520.3255,5.522930527207791
A0010_01_12.bmp,A0010.bmp,1624.7021,3.6491883198032156
A0010_01_13.bmp,A0010.bmp,1611.0104,4.400965215798351
A0010_01_14.bmp,A0010.bmp,1476.5829,5.663448285355116
A0010_01_15.bmp,A0010.bmp,1269.6335,6.468617555627134
A0010_02_00.bmp,A0010.bmp,1491.0261,4.046757664378674
A0010_02_01.bmp,A0010.bmp,1608.3366,4.046757664378674
A0010_02_02.bmp,A0010.bmp,1610.3456,3.8602536333710304
A0010_02_03.bmp,A0010.bmp,1561.9819,3.788177626222023
A0010_02_04.bmp,A0010.bmp,1766.5766,4.127672244983842
A0010_02_05.bmp,A0010.bmp,1405.8695,6.594668860620004
A0010_02_06.bmp,A0010.bmp,1475.5644,6.3551127594546415
A0010_02_07.bmp,A0010.bmp,1498.3538,6.034974538808456
A0010_02_08.bmp,A0010.bmp,1475.23,5.67573004339647
A0010_02_09.bmp,A0010.bmp,1488.6213,5.549538358100108
A0010_03_00.bmp,A0010.bmp,1408.4934,4.981102740013739
A0010_03_01.bmp,A0010.bmp,1526.7626,5.035024847791647
A0010_03_02.bmp,A0010.bmp,1377.6437,5.1299346132727806
A0010_03_03.bmp,A0010.bmp,1471.8775,5.696238861368329
A0010_03_04.bmp,A0010.bmp,1425.4631,5.696238861368329
A0010_03_05.bmp,A0010.bmp,1479.0004,5.6963251955749
A0010_03_06.bmp,A0010.bmp,1580.8948,5.01352301017323
A0010_03_07.bmp,A0010.bmp,1426.1284,5.061525797122158
A0010_03_08.bmp,A0010.bmp,1415.89,4.868023324626847
A0010_03_09.bmp,A0010.bmp,1381.5384,4.858251030163956
A0010_03_10.bmp,A0010.bmp,1506.5598,4.723166766685608
A0010_03_11.bmp,A0010.bmp,1478.4784,4.428098850243259
A0010_03_12.bmp,A0010.bmp,1534.4737,4.922203921771143
A0010_03_13.bmp,A0010.bmp,1440.0787,4.736235641474195
A0010_03_14.bmp,A0010.bmp,1536.5628,4.612580332846846
A0010_03_15.bmp,A0010.bmp,1520.6863,4.851275132641604
A0010_03_16.bmp,A0010.bmp,1446.7638,4.849849598715082
A0010_03_17.bmp,A0010.bmp,1489.3506,4.820278828301525
A0010_03_18.bmp,A0010.bmp,1460.723,4.736700689609279
A0010_03_19.bmp,A0010.bmp,1479.9531,4.947733913912089
A0010_03_20.bmp,A0010.bmp,1385.6622,5.8339813773782225
A0010_03_21.bmp,A0010.bmp,1465.8225,6.188043916816241
A0010_03_22.bmp,A0010.bmp,1370.8739,5.926997841117554
A0010_03_23.bmp,A0010.bmp,1125.5982,6.688755614144611
A0010_04_00.bmp,A0010.bmp,1509.0292,3.6964582350774435
A0010_04_01.bmp,A0010.bmp,1402.8599,5.573633778796648
A0010_04_02.bmp,A0010.bmp,1609.3235,4.328279594534251
A0010_04_03.bmp,A0010.bmp,1501.5939,5.719765321606246
A0010_04_04.bmp,A0010.bmp,1297.2529,6.236909101964557
A0010_04_05.bmp,A0010.bmp,1658.0922,4.603788239823189
A0010_04_06.bmp,A0010.bmp,1373.4376,6.157598181009234
A0010_04_07.bmp,A0010.bmp,1172.6235,6.856499132962199
A0010_04_08.bmp,A0010.bmp,1565.2755,3.90013364006154
A0010_04_09.bmp,A0010.bmp,1426.469,5.874799645062012
A0010_04_10.bmp,A0010.bmp,1292.4061,6.808572975176503
A0010_04_11.bmp,A0010.bmp,1385.4119,5.436394340460538
A0010_04_12.bmp,A0010.bmp,1558.8749,4.192953450852656
A0010_05_00.bmp,A0010.bmp,1361.9307,6.8910685413720785
A0010_05_01.bmp,A0010.bmp,1170.8325,8.70443591241201
A0010_05_02.bmp,A0010.bmp,1207.2384,7.222769452040666
A0010_05_03.bmp,A0010.bmp,1077.6272,6.947400215984089
A0010_05_04.bmp,A0010.bmp,1404.0243,5.783677734041703
A0010_05_05.bmp,A0010.bmp,1221.4828,8.143822708298103
A0010_05_06.bmp,A0010.bmp,1261.8705,6.573766912624706
A0010_05_07.bmp,A0010.bmp,1162.8322,7.407732237872551
A0010_05_08.bmp,A0010.bmp,1172.661,7.436318728214246
A0010_05_09.bmp,A0010.bmp,1306.6648,7.229001307976432
A0010_05_10.bmp,A0010.bmp,1450.2316,5.772552189810085
A0010_05_11.bmp,A0010.bmp,1466.0508,5.836744387321232
A0010_05_12.bmp,A0010.bmp,1443.5308,6.648413829316269
A0010_05_13.bmp,A0010.bmp,1311.4694,5.01352301017323
A0010_06_00.bmp,A0010.bmp,1387.61,3.9579263576160884
A0010_06_01.bmp,A0010.bmp,1333.7489,4.912229206362099
A0010_06_02.bmp,A0010.bmp,1409.3063,4.379526559030637
A0010_06_03.bmp,A0010.bmp,1469.992,4.571006819103786
A0010_06_04.bmp,A0010.bmp,1300.1184,5.2146427287807455
A0010_06_05.bmp,A0010.bmp,1543.7025,4.594145055190893
A0010_06_06.bmp,A0010.bmp,1611.7125,4.707505774393212
A0010_06_07.bmp,A0010.bmp,1574.8528,3.1299073900518124
A0010_06_08.bmp,A0010.bmp,1609.7277,3.628656521002995
A0010_06_09.bmp,A0010.bmp,1537.3276,5.738153466663789
A0010_06_10.bmp,A0010.bmp,1471.1686,4.896489498918527
A0010_06_11.bmp,A0010.bmp,1448.703,3.875827538977319
A0010_06_12.bmp,A0010.bmp,1379.718,5.367104903736617
A0010_06_13.bmp,A0010.bmp,1292.3206,5.574312763652415
A0010_06_14.bmp,A0010.bmp,1408.9503,5.1590598160764785
A0010_06_15.bmp,A0010.bmp,1262.8769,6.2793978045956464
A0010_06_16.bmp,A0010.bmp,1521.1994,4.135801437958435
A0010_06_17.bmp,A0010.bmp,1529.3003,4.81627755126101
A0010_06_18.bmp,A0010.bmp,1495.014,6.206453219230752
A0010_06_19.bmp,A0010.bmp,1545.1425,2.8448037787893554
A0010_06_20.bmp,A0010.bmp,1442.0158,3.632594465947477
A0010_06_21.bmp,A0010.bmp,1585.556,3.313069996504055
A0010_06_22.bmp,A0010.bmp,1498.1973,3.534663804253796
A0010_06_23.bmp,A0010.bmp,1511.4752,3.1805201235838467
A0010_06_24.bmp,A0010.bmp,1591.1947,3.879071049115737
A0010_06_25.bmp,A0010.bmp,1462.0684,4.336387523479061
A0010_06_26.bmp,A0010.bmp,1463.3668,4.38682498333219
A0027_00_00.bmp,A0027.bmp,1519.3898,3.1445057037635706
A0027_00_01.bmp,A0027.bmp,1381.7487,3.4995401678897906
A0027_00_02.bmp,A0027.bmp,1604.4955,3.628754138109798
A0027_00_03.bmp,A0027.bmp,1454.7168,4.271624378357956
A0027_00_04.bmp,A0027.bmp,1449.7403,4.145846078245086
A0027_00_05.bmp,A0027.bmp,1537.2687,3.600690610946913
A0027_00_06.bmp,A0027.bmp,1520.1301,3.4877371631009737
A0027_00_07.bmp,A0027.bmp,1372.4774,3.9053172887070104
A0027_00_08.bmp,A0027.bmp,1564.389,3.484255987161305
A0027_00_09.bmp,A0027.bmp,1535.3086,3.742864539977745
A0027_00_10.bmp,A0027.bmp,1463.0032,4.348699337308062
A0027_00_11.bmp,A0027.bmp,1411.7324,2.955510466636042
A0027_01_00.bmp,A0027.bmp,1517.0844,3.4127432213063003
A0027_01_01.bmp,A0027.bmp,1469.559,3.534301788204175
A0027_01_02.bmp,A0027.bmp,1396.2018,5.010695282922825
A0027_01_03.bmp,A0027.bmp,1496.3854,3.726239843039366
A0027_01_04.bmp,A0027.bmp,1483.8521,4.630389358906541
A0027_01_05.bmp,A0027.bmp,1427.1132,3.975497765961336
A0027_01_06.bmp,A0027.bmp,1414.8166,3.4213598543865373
A0027_01_07.bmp,A0027.bmp,1541.448,4.537718030485848
A0027_01_08.bmp,A0027.bmp,1378.4026,4.547506203598459
A0027_01_09.bmp,A0027.bmp,1530.1634,3.308118940614804
A0027_01_10.bmp,A0027.bmp,1436.9101,4.123976256480091
A0027_01_11.bmp,A0027.bmp,1419.4433,4.402124712760269
A0027_01_12.bmp,A0027.bmp,1544.3999,3.550315049891651
A0027_01_13.bmp,A0027.bmp,1504.5788,3.8216401040626806
A0027_01_14.bmp,A0027.bmp,1540.6209,4.236166099879483
A0027_01_15.bmp,A0027.bmp,1398.6008,6.332573169958778
A0027_02_00.bmp,A0027.bmp,1427.3251,3.6426096506620524
A0027_02_01.bmp,A0027.bmp,1544.2766,3.6426096506620524
A0027_02_02.bmp,A0027.bmp,1513.4413,3.6514550821957528
A0027_02_03.bmp,A0027.bmp,1534.5999,3.618571015125781
A0027_02_04.bmp,A0027.bmp,1531.6355,3.60007959689392
A0027_02_05.bmp,A0027.bmp,1376.5483,4.891218297983869
A0027_02_06.bmp,A0027.bmp,1489.2767,4.561714960946119
A0027_02_07.bmp,A0027.bmp,1517.1201,4.7042999911282095
A0027_02_08.bmp,A0027.bmp,1597.522,4.66217560354562
A0027_02_09.bmp,A0027.bmp,1556.7731,5.0023333881254075
A0027_03_00.bmp,A0027.bmp,1484.4954,3.7773218195070513
A0027_03_01.bmp,A0027.bmp,1512.3753,5.4980853158049285
A0027_03_02.bmp,A0027.bmp,1427.5039,5.3846456162427785
A0027_03_03.bmp,A0027.bmp,1475.099,4.120816561888205
A0027_03_04.bmp,A0027.bmp,1408.0334,4.120816561888205
