dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,1.8021384789972217
A0010_00_01.bmp,A0010.bmp,1397.4428,2.823316319816513
A0010_00_02.bmp,A0010.bmp,1543.2459,1.8621789855824318
A0010_00_03.bmp,A0010.bmp,1515.0295,2.784137826274673
A0010_00_04.bmp,A0010.bmp,1467.121,3.4254774065921083
A0010_00_05.bmp,A0010.bmp,1611.8061,2.9833648484491277
A0010_00_06.bmp,A0010.bmp,1513.7124,2.9543593315174803
A0010_00_07.bmp,A0010.bmp,1344.9394,3.0733695189555874
A0010_00_08.bmp,A0010.bmp,1564.1514,1.7582400461833458
A0010_00_09.bmp,A0010.bmp,1545.7206,2.667593392645358
A0010_00_10.bmp,A0010.bmp,1415.4665,3.1817573497246485
A0010_00_11.bmp,A0010.bmp,1505.9435,2.5896078061050503
A0010_01_00.bmp,A0010.bmp,1582.9888,1.8487097643810557
A0010_01_01.bmp,A0010.bmp,1512.4943,2.6478671466975356
A0010_01_02.bmp,A0010.bmp,1323.7629,2.9583590704060043
A0010_01_03.bmp,A0010.bmp,1614.6601,2.1156282555602957
A0010_01_04.bmp,A0010.bmp,1422.955,2.8776627783227013
A0010_01_05.bmp,A0010.bmp,1411.2205,2.877665216299647
A0010_01_06.bmp,A0010.bmp,1522.4109,2.963895121560199
A0010_01_07.bmp,A0010.bmp,1519.9579,2.923969684779877
A0010_01_08.bmp,A0010.bmp,1388.8629,3.668708503631933
A0010_01_09.bmp,A0010.bmp,1601.2028,1.8048138794256374
A0010_01_10.bmp,A0010.bmp,1557.3595,2.4569675912862294
A0010_01_11.bmp,A0010.bmp,1520.3255,3.1307897855585907
A0010_01_12.bmp,A0010.bmp,1624.7021,1.8381318656320218
A0010_01_13.bmp,A0010.bmp,1611.0104,2.2292319197877077
A0010_01_14.bmp,A0010.bmp,1476.5829,3.598724615199899
A0010_01_15.bmp,A0010.bmp,1269.6335,4.969984323950484
A0010_02_00.bmp,A0010.bmp,1491.0261,2.203548925528594
A0010_02_01.bmp,A0010.bmp,1608.3366,2.203548925528594
A0010_02_02.bmp,A0010.bmp,1610.3456,2.2664427393465303
A0010_02_03.bmp,A0010.bmp,1561.9819,2.3643185700348113
A0010_02_04.bmp,A0010.bmp,1766.5766,2.6806134332582587
A0010_02_05.bmp,A0010.bmp,1405.8695,3.4744030566507718
A0010_02_06.bmp,A0010.bmp,1475.5644,3.4073808140456094
A0010_02_07.bmp,A0010.bmp,1498.3538,3.7052712908334797
A0010_02_08.bmp,A0010.bmp,1475.23,3.8125229706565733
A0010_02_09.bmp,A0010.bmp,1488.6213,4.066772219011909
A0010_03_00.bmp,A0010.bmp,1408.4934,3.3847052720666397
A0010_03_01.bmp,A0010.bmp,1526.7626,3.038165086036315
A0010_03_02.bmp,A0010.bmp,1377.6437,3.199438186835323
A0010_03_03.bmp,A0010.bmp,1471.8775,3.646289627395163
A0010_03_04.bmp,A0010.bmp,1425.4631,3.646289627395163
A0010_03_05.bmp,A0010.bmp,1479.0004,3.6463012113890727
A0010_03_06.bmp,A0010.bmp,1580.8948,3.385272221887135
A0010_03_07.bmp,A0010.bmp,1426.1284,3.1476007690362167
A0010_03_08.bmp,A0010.bmp,1415.89,3.888642708079715
A0010_03_09.bmp,A0010.bmp,1381.5384,3.4035859912764863
A0010_03_10.bmp,A0010.bmp,1506.5598,2.700656494751456
A0010_03_11.bmp,A0010.bmp,1478.4784,2.7959350919845747
A0010_03_12.bmp,A0010.bmp,1534.4737,3.910082717477053
A0010_03_13.bmp,A0010.bmp,1440.0787,3.6582528974686284
A0010_03_14.bmp,A0010.bmp,1536.5628,3.2720083412350505
A0010_03_15.bmp,A0010.bmp,1520.6863,3.0036441934134928
A0010_03_16.bmp,A0010.bmp,1446.7638,2.9728837325019413
A0010_03_17.bmp,A0010.bmp,1489.3506,3.674834505254694
A0010_03_18.bmp,A0010.bmp,1460.723,3.2409897461766377
A0010_03_19.bmp,A0010.bmp,1479.9531,3.0038926971901674
A0010_03_20.bmp,A0010.bmp,1385.6622,3.8275031903904164
A0010_03_21.bmp,A0010.bmp,1465.8225,5.153411438819603
A0010_03_22.bmp,A0010.bmp,1370.8739,4.172333145121229
A0010_03_23.bmp,A0010.bmp,1125.5982,5.873314795593615
A0010_04_00.bmp,A0010.bmp,1509.0292,3.601602312148316
A0010_04_01.bmp,A0010.bmp,1402.8599,4.890811367564311
A0010_04_02.bmp,A0010.bmp,1609.3235,3.5980325525670196
A0010_04_03.bmp,A0010.bmp,1501.5939,4.767467310295615
