dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.16954034566879272
A0010_00_01.bmp,A0010.bmp,1397.4428,0.23337244987487793
A0010_00_02.bmp,A0010.bmp,1543.2459,0.13549762964248657
A0010_00_03.bmp,A0010.bmp,1515.0295,0.2027297019958496
A0010_00_04.bmp,A0010.bmp,1467.121,0.23616540431976318
A0010_00_05.bmp,A0010.bmp,1611.8061,0.14417368173599243
A0010_00_06.bmp,A0010.bmp,1513.7124,0.21099436283111572
A0010_00_07.bmp,A0010.bmp,1344.9394,0.24738633632659912
A0010_00_08.bmp,A0010.bmp,1564.1514,0.13907194137573242
A0010_00_09.bmp,A0010.bmp,1545.7206,0.211603045463562
A0010_00_10.bmp,A0010.bmp,1415.4665,0.24792534112930298
A0010_00_11.bmp,A0010.bmp,1505.9435,0.1297895312309265
A0010_01_00.bmp,A0010.bmp,1582.9888,0.13593173027038574
A0010_01_01.bmp,A0010.bmp,1512.4943,0.1989438533782959
A0010_01_02.bmp,A0010.bmp,1323.7629,0.23110884428024292
A0010_01_03.bmp,A0010.bmp,1614.6601,0.12514770030975342
A0010_01_04.bmp,A0010.bmp,1422.955,0.19549089670181274
A0010_01_05.bmp,A0010.bmp,1411.2205,0.2244212031364441
A0010_01_06.bmp,A0010.bmp,1522.4109,0.1271914839744568
A0010_01_07.bmp,A0010.bmp,1519.9579,0.19728869199752808
A0010_01_08.bmp,A0010.bmp,1388.8629,0.2465125322341919
A0010_01_09.bmp,A0010.bmp,1601.2028,0.10978692770004272
A0010_01_10.bmp,A0010.bmp,1557.3595,0.17526674270629883
A0010_01_11.bmp,A0010.bmp,1520.3255,0.20392155647277832
A0010_01_12.bmp,A0010.bmp,1624.7021,0.10255563259124756
A0010_01_13.bmp,A0010.bmp,1611.0104,0.17300927639007568
A0010_01_14.bmp,A0010.bmp,1476.5829,0.2065119743347168
A0010_01_15.bmp,A0010.bmp,1269.6335,0.2863160967826843
A0010_02_00.bmp,A0010.bmp,1491.0261,0.1563711166381836
A0010_02_01.bmp,A0010.bmp,1608.3366,0.1563711166381836
A0010_02_02.bmp,A0010.bmp,1610.3456,0.1274530291557312
A0010_02_03.bmp,A0010.bmp,1561.9819,0.12915122509002686
A0010_02_04.bmp,A0010.bmp,1766.5766,0.15944522619247437
A0010_02_05.bmp,A0010.bmp,1405.8695,0.2349872589111328
A0010_02_06.bmp,A0010.bmp,1475.5644,0.22883355617523193
