dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.12414428405463696
A0010_00_01.bmp,A0010.bmp,1397.4428,0.22132696583867073
A0010_00_02.bmp,A0010.bmp,1543.2459,0.09128092974424362
A0010_00_03.bmp,A0010.bmp,1515.0295,0.1943957768380642
A0010_00_04.bmp,A0010.bmp,1467.121,0.2717289850115776
A0010_00_05.bmp,A0010.bmp,1611.8061,0.09455501660704613
A0010_00_06.bmp,A0010.bmp,1513.7124,0.19999227672815323
A0010_00_07.bmp,A0010.bmp,1344.9394,0.28499216958880424
A0010_00_08.bmp,A0010.bmp,1564.1514,0.09390775673091412
A0010_00_09.bmp,A0010.bmp,1545.7206,0.20122182741761208
A0010_00_10.bmp,A0010.bmp,1415.4665,0.268129326403141
A0010_00_11.bmp,A0010.bmp,1505.9435,0.08530940115451813
A0010_01_00.bmp,A0010.bmp,1582.9888,0.08921768330037594
A0010_01_01.bmp,A0010.bmp,1512.4943,0.19033720716834068
A0010_01_02.bmp,A0010.bmp,1323.7629,0.25896482914686203
A0010_01_03.bmp,A0010.bmp,1614.6601,0.07938631996512413
A0010_01_04.bmp,A0010.bmp,1422.955,0.19419534876942635
A0010_01_05.bmp,A0010.bmp,1411.2205,0.2530023157596588
A0010_01_06.bmp,A0010.bmp,1522.4109,0.07222725078463554
A0010_01_07.bmp,A0010.bmp,1519.9579,0.1870560608804226
A0010_01_08.bmp,A0010.bmp,1388.8629,0.26980334147810936
A0010_01_09.bmp,A0010.bmp,1601.2028,0.05398230440914631
A0010_01_10.bmp,A0010.bmp,1557.3595,0.1497703269124031
A0010_01_11.bmp,A0010.bmp,1520.3255,0.21401876956224442
A0010_01_12.bmp,A0010.bmp,1624.7021,0.04949410632252693
A0010_01_13.bmp,A0010.bmp,1611.0104,0.14472167007625103
A0010_01_14.bmp,A0010.bmp,1476.5829,0.21096102893352509
A0010_01_15.bmp,A0010.bmp,1269.6335,0.3972887247800827
A0010_02_00.bmp,A0010.bmp,1491.0261,0.10878042504191399
A0010_02_01.bmp,A0010.bmp,1608.3366,0.10878042504191399
A0010_02_02.bmp,A0010.bmp,1610.3456,0.07394932117313147
A0010_02_03.bmp,A0010.bmp,1561.9819,0.07586042303591967
A0010_02_04.bmp,A0010.bmp,1766.5766,0.12137169949710369
A0010_02_05.bmp,A0010.bmp,1405.8695,0.2456950545310974
A0010_02_06.bmp,A0010.bmp,1475.5644,0.23719607293605804
A0010_02_07.bmp,A0010.bmp,1498.3538,0.23638590797781944
A0010_02_08.bmp,A0010.bmp,1475.23,0.23922017216682434
A0010_02_09.bmp,A0010.bmp,1488.6213,0.2484005056321621
A0010_03_00.bmp,A0010.bmp,1408.4934,0.24752917885780334
A0010_03_01.bmp,A0010.bmp,1526.7626,0.21812918037176132
A0010_03_02.bmp,A0010.bmp,1377.6437,0.2624640576541424
A0010_03_03.bmp,A0010.bmp,1471.8775,0.19743794202804565
A0010_03_04.bmp,A0010.bmp,1425.4631,0.19743794202804565
A0010_03_05.bmp,A0010.bmp,1479.0004,0.19743777066469193
A0010_03_06.bmp,A0010.bmp,1580.8948,0.2190227061510086
