dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.17336535826325417
A0010_00_01.bmp,A0010.bmp,1397.4428,0.2472081445157528
A0010_00_02.bmp,A0010.bmp,1543.2459,0.14798489399254322
A0010_00_03.bmp,A0010.bmp,1515.0295,0.22931599617004395
A0010_00_04.bmp,A0010.bmp,1467.121,0.293978713452816
A0010_00_05.bmp,A0010.bmp,1611.8061,0.15076880902051926
A0010_00_06.bmp,A0010.bmp,1513.7124,0.22930500283837318
A0010_00_07.bmp,A0010.bmp,1344.9394,0.30168281868100166
A0010_00_08.bmp,A0010.bmp,1564.1514,0.14908520877361298
A0010_00_09.bmp,A0010.bmp,1545.7206,0.2318171113729477
A0010_00_10.bmp,A0010.bmp,1415.4665,0.28647439181804657
A0010_00_11.bmp,A0010.bmp,1505.9435,0.1434753742069006
A0010_01_00.bmp,A0010.bmp,1582.9888,0.1484283022582531
A0010_01_01.bmp,A0010.bmp,1512.4943,0.22756300121545792
A0010_01_02.bmp,A0010.bmp,1323.7629,0.28530288860201836
A0010_01_03.bmp,A0010.bmp,1614.6601,0.14084691181778908
A0010_01_04.bmp,A0010.bmp,1422.955,0.2270994894206524
A0010_01_05.bmp,A0010.bmp,1411.2205,0.27746159955859184
A0010_01_06.bmp,A0010.bmp,1522.4109,0.13538053072988987
A0010_01_07.bmp,A0010.bmp,1519.9579,0.22665895149111748
A0010_01_08.bmp,A0010.bmp,1388.8629,0.2924358621239662
A0010_01_09.bmp,A0010.bmp,1601.2028,0.12230237014591694
A0010_01_10.bmp,A0010.bmp,1557.3595,0.1991499699652195
A0010_01_11.bmp,A0010.bmp,1520.3255,0.2474234253168106
A0010_01_12.bmp,A0010.bmp,1624.7021,0.11897724494338036
A0010_01_13.bmp,A0010.bmp,1611.0104,0.1964009813964367
A0010_01_14.bmp,A0010.bmp,1476.5829,0.24551154673099518
A0010_01_15.bmp,A0010.bmp,1269.6335,0.40678709745407104
A0010_02_00.bmp,A0010.bmp,1491.0261,0.16412290185689926
A0010_02_01.bmp,A0010.bmp,1608.3366,0.16412290185689926
A0010_02_02.bmp,A0010.bmp,1610.3456,0.139068104326725
A0010_02_03.bmp,A0010.bmp,1561.9819,0.1396296676248312
A0010_02_04.bmp,A0010.bmp,1766.5766,0.17089837789535522
A0010_02_05.bmp,A0010.bmp,1405.8695,0.2733708992600441
A0010_02_06.bmp,A0010.bmp,1475.5644,0.2687620557844639
A0010_02_07.bmp,A0010.bmp,1498.3538,0.26862597092986107
A0010_02_08.bmp,A0010.bmp,1475.23,0.2704365961253643
A0010_02_09.bmp,A0010.bmp,1488.6213,0.2769993878901005
A0010_03_00.bmp,A0010.bmp,1408.4934,0.2771196998655796
A0010_03_01.bmp,A0010.bmp,1526.7626,0.24801667407155037
A0010_03_02.bmp,A0010.bmp,1377.6437,0.2927231825888157
A0010_03_03.bmp,A0010.bmp,1471.8775,0.23204686492681503
A0010_03_04.bmp,A0010.bmp,1425.4631,0.23204686492681503
A0010_03_05.bmp,A0010.bmp,1479.0004,0.23204682022333145
A0010_03_06.bmp,A0010.bmp,1580.8948,0.2478758469223976
A0010_03_07.bmp,A0010.bmp,1426.1284,0.2572746053338051
A0010_03_08.bmp,A0010.bmp,1415.89,0.26400745287537575
A0010_03_09.bmp,A0010.bmp,1381.5384,0.27202537655830383
A0010_03_10.bmp,A0010.bmp,1506.5598,0.22128089144825935
A0010_03_11.bmp,A0010.bmp,1478.4784,0.22315023839473724
A0010_03_12.bmp,A0010.bmp,1534.4737,0.2573850192129612
A0010_03_13.bmp,A0010.bmp,1440.0787,0.23723391816020012
A0010_03_14.bmp,A0010.bmp,1536.5628,0.2315998114645481
A0010_03_15.bmp,A0010.bmp,1520.6863,0.2350814826786518
A0010_03_16.bmp,A0010.bmp,1446.7638,0.2358357012271881
A0010_03_17.bmp,A0010.bmp,1489.3506,0.2530626505613327
A0010_03_18.bmp,A0010.bmp,1460.723,0.24867002293467522
A0010_03_19.bmp,A0010.bmp,1479.9531,0.24904834851622581
A0010_03_20.bmp,A0010.bmp,1385.6622,0.35853642225265503
A0010_03_21.bmp,A0010.bmp,1465.8225,0.403270959854126
A0010_03_22.bmp,A0010.bmp,1370.8739,0.3624090850353241
A0010_03_23.bmp,A0010.bmp,1125.5982,0.42328792065382004
A0010_04_00.bmp,A0010.bmp,1509.0292,0.1646910160779953
A0010_04_01.bmp,A0010.bmp,1402.8599,0.2912730798125267
A0010_04_02.bmp,A0010.bmp,1609.3235,0.1561920829117298
A0010_04_03.bmp,A0010.bmp,1501.5939,0.2506651356816292
A0010_04_04.bmp,A0010.bmp,1297.2529,0.3612505942583084
A0010_04_05.bmp,A0010.bmp,1658.0922,0.1554365549236536
A0010_04_06.bmp,A0010.bmp,1373.4376,0.3052005060017109
A0010_04_07.bmp,A0010.bmp,1172.6235,0.41664546728134155
A0010_04_08.bmp,A0010.bmp,1565.2755,0.15283831767737865
A0010_04_09.bmp,A0010.bmp,1426.469,0.270864874124527
A0010_04_10.bmp,A0010.bmp,1292.4061,0.3605189695954323
A0010_04_11.bmp,A0010.bmp,1385.4119,0.27868540212512016
A0010_04_12.bmp,A0010.bmp,1558.8749,0.1434236541390419
A0010_05_00.bmp,A0010.bmp,1361.9307,0.3140859082341194
A0010_05_01.bmp,A0010.bmp,1170.8325,0.4528697207570076
A0010_05_02.bmp,A0010.bmp,1207.2384,0.4434661790728569
A0010_05_03.bmp,A0010.bmp,1077.6272,0.5137682482600212
A0010_05_04.bmp,A0010.bmp,1404.0243,0.27695490792393684
A0010_05_05.bmp,A0010.bmp,1221.4828,0.42174679785966873
A0010_05_06.bmp,A0010.bmp,1261.8705,0.4346356689929962
A0010_05_07.bmp,A0010.bmp,1162.8322,0.5210054069757462
A0010_05_08.bmp,A0010.bmp,1172.661,0.450080007314682
A0010_05_09.bmp,A0010.bmp,1306.6648,0.36644861102104187
A0010_05_10.bmp,A0010.bmp,1450.2316,0.29293087869882584
A0010_05_11.bmp,A0010.bmp,1466.0508,0.21062973886728287
A0010_05_12.bmp,A0010.bmp,1443.5308,0.25528185814619064
A0010_05_13.bmp,A0010.bmp,1311.4694,0.2478758469223976
A0010_06_00.bmp,A0010.bmp,1387.61,0.19827648252248764
A0010_06_01.bmp,A0010.bmp,1333.7489,0.20766354724764824
A0010_06_02.bmp,A0010.bmp,1409.3063,0.24514515325427055
A0010_06_03.bmp,A0010.bmp,1469.992,0.22036772966384888
A0010_06_04.bmp,A0010.bmp,1300.1184,0.29657789319753647
A0010_06_05.bmp,A0010.bmp,1543.7025,0.17621591314673424
A0010_06_06.bmp,A0010.bmp,1611.7125,0.21179604157805443
A0010_06_07.bmp,A0010.bmp,1574.8528,0.1708349697291851
A0010_06_08.bmp,A0010.bmp,1609.7277,0.14834334328770638
A0010_06_09.bmp,A0010.bmp,1537.3276,0.1768469177186489
