dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.2940397262573242
A0010_00_01.bmp,A0010.bmp,1397.4428,0.3936971426010132
A0010_00_02.bmp,A0010.bmp,1543.2459,0.2375688999891281
A0010_00_03.bmp,A0010.bmp,1515.0295,0.4026368111371994
A0010_00_04.bmp,A0010.bmp,1467.121,0.26052020490169525
A0010_00_05.bmp,A0010.bmp,1611.8061,0.27180713415145874
A0010_00_06.bmp,A0010.bmp,1513.7124,0.2913952022790909
A0010_00_07.bmp,A0010.bmp,1344.9394,0.35805410146713257
A0010_00_08.bmp,A0010.bmp,1564.1514,0.3268986642360687
A0010_00_09.bmp,A0010.bmp,1545.7206,0.34177863597869873
A0010_00_10.bmp,A0010.bmp,1415.4665,0.3462369590997696
A0010_00_11.bmp,A0010.bmp,1505.9435,0.3298221528530121
A0010_01_00.bmp,A0010.bmp,1582.9888,0.31905947625637054
A0010_01_01.bmp,A0010.bmp,1512.4943,0.3399559557437897
A0010_01_02.bmp,A0010.bmp,1323.7629,0.34613482654094696
A0010_01_03.bmp,A0010.bmp,1614.6601,0.22791385650634766
A0010_01_04.bmp,A0010.bmp,1422.955,0.3053046464920044
A0010_01_05.bmp,A0010.bmp,1411.2205,0.3245680034160614
A0010_01_06.bmp,A0010.bmp,1522.4109,0.24654822051525116
A0010_01_07.bmp,A0010.bmp,1519.9579,0.23169271647930145
A0010_01_08.bmp,A0010.bmp,1388.8629,0.3253045231103897
A0010_01_09.bmp,A0010.bmp,1601.2028,0.21957971155643463
A0010_01_10.bmp,A0010.bmp,1557.3595,0.31519564986228943
A0010_01_11.bmp,A0010.bmp,1520.3255,0.32988202571868896
A0010_01_12.bmp,A0010.bmp,1624.7021,0.268333837389946
A0010_01_13.bmp,A0010.bmp,1611.0104,0.31745322048664093
A0010_01_14.bmp,A0010.bmp,1476.5829,0.2920592427253723
A0010_01_15.bmp,A0010.bmp,1269.6335,0.36031635105609894
A0010_02_00.bmp,A0010.bmp,1491.0261,0.2801789492368698
A0010_02_01.bmp,A0010.bmp,1608.3366,0.2669547200202942
A0010_02_02.bmp,A0010.bmp,1610.3456,0.20940551161766052
A0010_02_03.bmp,A0010.bmp,1561.9819,0.29070964455604553
A0010_02_04.bmp,A0010.bmp,1766.5766,0.2163478285074234
A0010_02_05.bmp,A0010.bmp,1405.8695,0.3607974648475647
A0010_02_06.bmp,A0010.bmp,1475.5644,0.3331102430820465
A0010_02_07.bmp,A0010.bmp,1498.3538,0.3273431658744812
A0010_02_08.bmp,A0010.bmp,1475.23,0.34080810844898224
A0010_02_09.bmp,A0010.bmp,1488.6213,0.2748021334409714
A0010_03_00.bmp,A0010.bmp,1408.4934,0.3566022515296936
A0010_03_01.bmp,A0010.bmp,1526.7626,0.35314755141735077
A0010_03_02.bmp,A0010.bmp,1377.6437,0.35272420942783356
A0010_03_03.bmp,A0010.bmp,1471.8775,0.2916845232248306
A0010_03_04.bmp,A0010.bmp,1425.4631,0.3015541136264801
A0010_03_05.bmp,A0010.bmp,1479.0004,0.3561413884162903
A0010_03_06.bmp,A0010.bmp,1580.8948,0.3570301681756973
A0010_03_07.bmp,A0010.bmp,1426.1284,0.2728702574968338
A0010_03_08.bmp,A0010.bmp,1415.89,0.309766486287117
A0010_03_09.bmp,A0010.bmp,1381.5384,0.34008316695690155
A0010_03_10.bmp,A0010.bmp,1506.5598,0.31790466606616974
A0010_03_11.bmp,A0010.bmp,1478.4784,0.29944077134132385
A0010_03_12.bmp,A0010.bmp,1534.4737,0.36789998412132263
A0010_03_13.bmp,A0010.bmp,1440.0787,0.30375441908836365
A0010_03_14.bmp,A0010.bmp,1536.5628,0.22987322509288788
A0010_03_15.bmp,A0010.bmp,1520.6863,0.3176821321249008
A0010_03_16.bmp,A0010.bmp,1446.7638,0.3045915365219116
A0010_03_17.bmp,A0010.bmp,1489.3506,0.35535719990730286
A0010_03_18.bmp,A0010.bmp,1460.723,0.3206251859664917
A0010_03_19.bmp,A0010.bmp,1479.9531,0.3388621509075165
A0010_03_20.bmp,A0010.bmp,1385.6622,0.3656568229198456
A0010_03_21.bmp,A0010.bmp,1465.8225,0.34187209606170654
A0010_03_22.bmp,A0010.bmp,1370.8739,0.3397274911403656
A0010_03_23.bmp,A0010.bmp,1125.5982,0.3439442664384842
A0010_04_00.bmp,A0010.bmp,1509.0292,0.23296189308166504
A0010_04_01.bmp,A0010.bmp,1402.8599,0.2719883769750595
A0010_04_02.bmp,A0010.bmp,1609.3235,0.2844890356063843
A0010_04_03.bmp,A0010.bmp,1501.5939,0.3439343124628067
A0010_04_04.bmp,A0010.bmp,1297.2529,0.44763050973415375
A0010_04_05.bmp,A0010.bmp,1658.0922,0.1608627587556839
A0010_04_06.bmp,A0010.bmp,1373.4376,0.34359365701675415
A0010_04_07.bmp,A0010.bmp,1172.6235,0.3552139550447464
A0010_04_08.bmp,A0010.bmp,1565.2755,0.20967106521129608
A0010_04_09.bmp,A0010.bmp,1426.469,0.38581371307373047
A0010_04_10.bmp,A0010.bmp,1292.4061,0.3099653422832489
A0010_04_11.bmp,A0010.bmp,1385.4119,0.25066302716732025
A0010_04_12.bmp,A0010.bmp,1558.8749,0.2712799310684204
A0010_05_00.bmp,A0010.bmp,1361.9307,0.29069265723228455
A0010_05_01.bmp,A0010.bmp,1170.8325,0.370805561542511
A0010_05_02.bmp,A0010.bmp,1207.2384,0.3633789122104645
A0010_05_03.bmp,A0010.bmp,1077.6272,0.34632354974746704
A0010_05_04.bmp,A0010.bmp,1404.0243,0.2951851040124893
A0010_05_05.bmp,A0010.bmp,1221.4828,0.32261402904987335
A0010_05_06.bmp,A0010.bmp,1261.8705,0.435860276222229
A0010_05_07.bmp,A0010.bmp,1162.8322,0.39771445095539093
A0010_05_08.bmp,A0010.bmp,1172.661,0.30344775319099426
A0010_05_09.bmp,A0010.bmp,1306.6648,0.3852362334728241
A0010_05_10.bmp,A0010.bmp,1450.2316,0.30670054256916046
A0010_05_11.bmp,A0010.bmp,1466.0508,0.3546459525823593
A0010_05_12.bmp,A0010.bmp,1443.5308,0.3448217064142227
A0010_05_13.bmp,A0010.bmp,1311.4694,0.28401845693588257
A0010_06_00.bmp,A0010.bmp,1387.61,0.32367224991321564
A0010_06_01.bmp,A0010.bmp,1333.7489,0.29172758758068085
A0010_06_02.bmp,A0010.bmp,1409.3063,0.20833174884319305
A0010_06_03.bmp,A0010.bmp,1469.992,0.3033587634563446
A0010_06_04.bmp,A0010.bmp,1300.1184,0.3025640845298767
A0010_06_05.bmp,A0010.bmp,1543.7025,0.3086246848106384
A0010_06_06.bmp,A0010.bmp,1611.7125,0.2741496413946152
A0010_06_07.bmp,A0010.bmp,1574.8528,0.22763091325759888
A0010_06_08.bmp,A0010.bmp,1609.7277,0.2556408494710922
A0010_06_09.bmp,A0010.bmp,1537.3276,0.284982293844223
