dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.2628330588340759
A0010_00_01.bmp,A0010.bmp,1397.4428,0.39290568232536316
A0010_00_02.bmp,A0010.bmp,1543.2459,0.2244330793619156
A0010_00_03.bmp,A0010.bmp,1515.0295,0.3839833587408066
A0010_00_04.bmp,A0010.bmp,1467.121,0.2513120770454407
A0010_00_05.bmp,A0010.bmp,1611.8061,0.2630864381790161
A0010_00_06.bmp,A0010.bmp,1513.7124,0.2736100107431412
A0010_00_07.bmp,A0010.bmp,1344.9394,0.3154379576444626
A0010_00_08.bmp,A0010.bmp,1564.1514,0.3122781962156296
A0010_00_09.bmp,A0010.bmp,1545.7206,0.3350345492362976
A0010_00_10.bmp,A0010.bmp,1415.4665,0.3406706899404526
A0010_00_11.bmp,A0010.bmp,1505.9435,0.27456367015838623
A0010_01_00.bmp,A0010.bmp,1582.9888,0.28912971913814545
A0010_01_01.bmp,A0010.bmp,1512.4943,0.3079584091901779
A0010_01_02.bmp,A0010.bmp,1323.7629,0.3446156233549118
A0010_01_03.bmp,A0010.bmp,1614.6601,0.2173355519771576
A0010_01_04.bmp,A0010.bmp,1422.955,0.2741837799549103
A0010_01_05.bmp,A0010.bmp,1411.2205,0.34012243151664734
A0010_01_06.bmp,A0010.bmp,1522.4109,0.23981358110904694
A0010_01_07.bmp,A0010.bmp,1519.9579,0.2168470025062561
A0010_01_08.bmp,A0010.bmp,1388.8629,0.3176349252462387
A0010_01_09.bmp,A0010.bmp,1601.2028,0.1919889748096466
A0010_01_10.bmp,A0010.bmp,1557.3595,0.2946771830320358
A0010_01_11.bmp,A0010.bmp,1520.3255,0.3041437566280365
A0010_01_12.bmp,A0010.bmp,1624.7021,0.24143341183662415
A0010_01_13.bmp,A0010.bmp,1611.0104,0.2838215082883835
A0010_01_14.bmp,A0010.bmp,1476.5829,0.27756890654563904
A0010_01_15.bmp,A0010.bmp,1269.6335,0.3469267189502716
A0010_02_00.bmp,A0010.bmp,1491.0261,0.2678587734699249
A0010_02_01.bmp,A0010.bmp,1608.3366,0.26794175803661346
A0010_02_02.bmp,A0010.bmp,1610.3456,0.19081640243530273
A0010_02_03.bmp,A0010.bmp,1561.9819,0.28406424820423126
A0010_02_04.bmp,A0010.bmp,1766.5766,0.212591752409935
A0010_02_05.bmp,A0010.bmp,1405.8695,0.34753184020519257
A0010_02_06.bmp,A0010.bmp,1475.5644,0.31251443922519684
A0010_02_07.bmp,A0010.bmp,1498.3538,0.30834345519542694
A0010_02_08.bmp,A0010.bmp,1475.23,0.3228738009929657
A0010_02_09.bmp,A0010.bmp,1488.6213,0.2339574098587036
A0010_03_00.bmp,A0010.bmp,1408.4934,0.33972516655921936
A0010_03_01.bmp,A0010.bmp,1526.7626,0.3605458587408066
A0010_03_02.bmp,A0010.bmp,1377.6437,0.34602226316928864
A0010_03_03.bmp,A0010.bmp,1471.8775,0.2654762715101242
A0010_03_04.bmp,A0010.bmp,1425.4631,0.27680040895938873
A0010_03_05.bmp,A0010.bmp,1479.0004,0.30099737644195557
A0010_03_06.bmp,A0010.bmp,1580.8948,0.28600695729255676
A0010_03_07.bmp,A0010.bmp,1426.1284,0.24772271513938904
A0010_03_08.bmp,A0010.bmp,1415.89,0.32072488963603973
A0010_03_09.bmp,A0010.bmp,1381.5384,0.33508817851543427
A0010_03_10.bmp,A0010.bmp,1506.5598,0.3002435863018036
A0010_03_11.bmp,A0010.bmp,1478.4784,0.28831590712070465
A0010_03_12.bmp,A0010.bmp,1534.4737,0.3226798474788666
A0010_03_13.bmp,A0010.bmp,1440.0787,0.29476436972618103
A0010_03_14.bmp,A0010.bmp,1536.5628,0.20922377705574036
A0010_03_15.bmp,A0010.bmp,1520.6863,0.3199130743741989
A0010_03_16.bmp,A0010.bmp,1446.7638,0.28215958178043365
A0010_03_17.bmp,A0010.bmp,1489.3506,0.35673707723617554
A0010_03_18.bmp,A0010.bmp,1460.723,0.26292312145233154
A0010_03_19.bmp,A0010.bmp,1479.9531,0.2933148890733719
A0010_03_20.bmp,A0010.bmp,1385.6622,0.3502470850944519
A0010_03_21.bmp,A0010.bmp,1465.8225,0.30951355397701263
A0010_03_22.bmp,A0010.bmp,1370.8739,0.28947870433330536
A0010_03_23.bmp,A0010.bmp,1125.5982,0.3293284624814987
A0010_04_00.bmp,A0010.bmp,1509.0292,0.20838195085525513
A0010_04_01.bmp,A0010.bmp,1402.8599,0.24042190611362457
A0010_04_02.bmp,A0010.bmp,1609.3235,0.275728777050972
A0010_04_03.bmp,A0010.bmp,1501.5939,0.3351544290781021
A0010_04_04.bmp,A0010.bmp,1297.2529,0.43365082144737244
A0010_04_05.bmp,A0010.bmp,1658.0922,0.1487913429737091
A0010_04_06.bmp,A0010.bmp,1373.4376,0.289849191904068
A0010_04_07.bmp,A0010.bmp,1172.6235,0.34132322669029236
A0010_04_08.bmp,A0010.bmp,1565.2755,0.17535161972045898
A0010_04_09.bmp,A0010.bmp,1426.469,0.35949721932411194
A0010_04_10.bmp,A0010.bmp,1292.4061,0.283993735909462
A0010_04_11.bmp,A0010.bmp,1385.4119,0.2542130798101425
A0010_04_12.bmp,A0010.bmp,1558.8749,0.25786106288433075
A0010_05_00.bmp,A0010.bmp,1361.9307,0.2968047261238098
A0010_05_01.bmp,A0010.bmp,1170.8325,0.3563496619462967
A0010_05_02.bmp,A0010.bmp,1207.2384,0.3639564961194992
A0010_05_03.bmp,A0010.bmp,1077.6272,0.3380078971385956
A0010_05_04.bmp,A0010.bmp,1404.0243,0.2602670192718506
A0010_05_05.bmp,A0010.bmp,1221.4828,0.3186134546995163
A0010_05_06.bmp,A0010.bmp,1261.8705,0.43392646312713623
A0010_05_07.bmp,A0010.bmp,1162.8322,0.38932567834854126
A0010_05_08.bmp,A0010.bmp,1172.661,0.2898610979318619
A0010_05_09.bmp,A0010.bmp,1306.6648,0.38738518953323364
A0010_05_10.bmp,A0010.bmp,1450.2316,0.29011815786361694
A0010_05_11.bmp,A0010.bmp,1466.0508,0.3389756381511688
A0010_05_12.bmp,A0010.bmp,1443.5308,0.33067137002944946
A0010_05_13.bmp,A0010.bmp,1311.4694,0.2629901170730591
A0010_06_00.bmp,A0010.bmp,1387.61,0.2784823179244995
A0010_06_01.bmp,A0010.bmp,1333.7489,0.2460748702287674
A0010_06_02.bmp,A0010.bmp,1409.3063,0.19758455455303192
A0010_06_03.bmp,A0010.bmp,1469.992,0.2795686572790146
A0010_06_04.bmp,A0010.bmp,1300.1184,0.3081623762845993
A0010_06_05.bmp,A0010.bmp,1543.7025,0.2918713539838791
A0010_06_06.bmp,A0010.bmp,1611.7125,0.26519425213336945
A0010_06_07.bmp,A0010.bmp,1574.8528,0.22080330550670624
A0010_06_08.bmp,A0010.bmp,1609.7277,0.23156903684139252
A0010_06_09.bmp,A0010.bmp,1537.3276,0.2781740725040436
A0010_06_10.bmp,A0010.bmp,1471.1686,0.28532519936561584
A0010_06_11.bmp,A0010.bmp,1448.703,0.2578018009662628
A0010_06_12.bmp,A0010.bmp,1379.718,0.29441553354263306
A0010_06_13.bmp,A0010.bmp,1292.3206,0.34679724276065826
A0010_06_14.bmp,A0010.bmp,1408.9503,0.22588153183460236
A0010_06_15.bmp,A0010.bmp,1262.8769,0.27744679152965546
A0010_06_16.bmp,A0010.bmp,1521.1994,0.23470526933670044
A0010_06_17.bmp,A0010.bmp,1529.3003,0.27921922504901886
A0010_06_18.bmp,A0010.bmp,1495.014,0.26064904034137726
A0010_06_19.bmp,A0010.bmp,1545.1425,0.1979786604642868
A0010_06_20.bmp,A0010.bmp,1442.0158,0.14868813753128052
A0010_06_21.bmp,A0010.bmp,1585.556,0.12400156259536743
A0010_06_22.bmp,A0010.bmp,1498.1973,0.2282525599002838
A0010_06_23.bmp,A0010.bmp,1511.4752,0.23797893524169922
A0010_06_24.bmp,A0010.bmp,1591.1947,0.19047780334949493
A0010_06_25.bmp,A0010.bmp,1462.0684,0.22827503085136414
A0010_06_26.bmp,A0010.bmp,1463.3668,0.24364225566387177
A0027_00_00.bmp,A0027.bmp,1519.3898,0.32253557443618774
A0027_00_01.bmp,A0027.bmp,1381.7487,0.31931139528751373
A0027_00_02.bmp,A0027.bmp,1604.4955,0.20860137045383453
A0027_00_03.bmp,A0027.bmp,1454.7168,0.3008936494588852
A0027_00_04.bmp,A0027.bmp,1449.7403,0.30212679505348206
A0027_00_05.bmp,A0027.bmp,1537.2687,0.2524956315755844
A0027_00_06.bmp,A0027.bmp,1520.1301,0.2850167900323868
A0027_00_07.bmp,A0027.bmp,1372.4774,0.19944028556346893
A0027_00_08.bmp,A0027.bmp,1564.389,0.26986077427864075
A0027_00_09.bmp,A0027.bmp,1535.3086,0.29920653998851776
A0027_00_10.bmp,A0027.bmp,1463.0032,0.2868676334619522
A0027_00_11.bmp,A0027.bmp,1411.7324,0.20251654088497162
A0027_01_00.bmp,A0027.bmp,1517.0844,0.351736843585968
A0027_01_01.bmp,A0027.bmp,1469.559,0.3799450844526291
A0027_01_02.bmp,A0027.bmp,1396.2018,0.36646363139152527
A0027_01_03.bmp,A0027.bmp,1496.3854,0.3755802512168884
A0027_01_04.bmp,A0027.bmp,1483.8521,0.4056030809879303
A0027_01_05.bmp,A0027.bmp,1427.1132,0.45178017020225525
A0027_01_06.bmp,A0027.bmp,1414.8166,0.29946155846118927
A0027_01_07.bmp,A0027.bmp,1541.448,0.3456980139017105
A0027_01_08.bmp,A0027.bmp,1378.4026,0.44122812151908875
A0027_01_09.bmp,A0027.bmp,1530.1634,0.3646036833524704
A0027_01_10.bmp,A0027.bmp,1436.9101,0.4212901443243027
A0027_01_11.bmp,A0027.bmp,1419.4433,0.3568676710128784
A0027_01_12.bmp,A0027.bmp,1544.3999,0.19977036118507385
A0027_01_13.bmp,A0027.bmp,1504.5788,0.38507823646068573
A0027_01_14.bmp,A0027.bmp,1540.6209,0.4215046316385269
A0027_01_15.bmp,A0027.bmp,1398.6008,0.41869983077049255
A0027_02_00.bmp,A0027.bmp,1427.3251,0.3198361396789551
A0027_02_01.bmp,A0027.bmp,1544.2766,0.4131506681442261
A0027_02_02.bmp,A0027.bmp,1513.4413,0.25690655410289764
A0027_02_03.bmp,A0027.bmp,1534.5999,0.3938780426979065
A0027_02_04.bmp,A0027.bmp,1531.6355,0.299338161945343
A0027_02_05.bmp,A0027.bmp,1376.5483,0.42876212298870087
A0027_02_06.bmp,A0027.bmp,1489.2767,0.3580773174762726
A0027_02_07.bmp,A0027.bmp,1517.1201,0.3991420567035675
A0027_02_08.bmp,A0027.bmp,1597.522,0.3308153748512268
A0027_02_09.bmp,A0027.bmp,1556.7731,0.41880758106708527
A0027_03_00.bmp,A0027.bmp,1484.4954,0.39755232632160187
A0027_03_01.bmp,A0027.bmp,1512.3753,0.22339190542697906
A0027_03_02.bmp,A0027.bmp,1427.5039,0.3602968901395798
A0027_03_03.bmp,A0027.bmp,1475.099,0.3344043493270874
A0027_03_04.bmp,A0027.bmp,1408.0334,0.38902871310710907
A0027_03_05.bmp,A0027.bmp,1450.9689,0.36418724060058594
A0027_03_06.bmp,A0027.bmp,1594.6571,0.21960434317588806
A0027_03_07.bmp,A0027.bmp,1390.6874,0.3914443105459213
A0027_03_08.bmp,A0027.bmp,1518.688,0.2910841852426529
A0027_03_09.bmp,A0027.bmp,1480.4943,0.3736233413219452
A0027_03_10.bmp,A0027.bmp,1436.1714,0.29792286455631256
A0027_03_11.bmp,A0027.bmp,1465.674,0.329736664891243
A0027_03_12.bmp,A0027.bmp,1493.1533,0.22586485743522644
A0027_03_13.bmp,A0027.bmp,1421.5435,0.2676434963941574
A0027_03_14.bmp,A0027.bmp,1518.8742,0.32332171499729156
A0027_03_15.bmp,A0027.bmp,1543.1873,0.37530654668807983
A0027_03_16.bmp,A0027.bmp,1518.6297,0.3814494162797928
A0027_03_17.bmp,A0027.bmp,1447.8837,0.25893543660640717
A0027_03_18.bmp,A0027.bmp,1558.9987,0.3215138614177704
A0027_03_19.bmp,A0027.bmp,1517.436,0.47461071610450745
A0027_03_20.bmp,A0027.bmp,1397.2318,0.44576990604400635
A0027_03_21.bmp,A0027.bmp,1226.9681,0.44600287079811096
A0027_03_22.bmp,A0027.bmp,1404.8522,0.32914067804813385
A0027_03_23.bmp,A0027.bmp,1412.439,0.478651762008667
A0027_04_00.bmp,A0027.bmp,1472.7595,0.21533627808094025
A0027_04_01.bmp,A0027.bmp,1440.6901,0.32914867997169495
A0027_04_02.bmp,A0027.bmp,1533.9404,0.3250732123851776
A0027_04_03.bmp,A0027.bmp,1445.5193,0.29157592356204987
A0027_04_04.bmp,A0027.bmp,1405.178,0.3850599676370621
A0027_04_05.bmp,A0027.bmp,1592.6795,0.24896904826164246
A0027_04_06.bmp,A0027.bmp,1451.79,0.282405748963356
A0027_04_07.bmp,A0027.bmp,1290.8582,0.35501091182231903
A0027_04_08.bmp,A0027.bmp,1588.3867,0.1643558144569397
A0027_04_09.bmp,A0027.bmp,1421.994,0.21672983467578888
A0027_04_10.bmp,A0027.bmp,1429.3241,0.3244675397872925
A0027_04_11.bmp,A0027.bmp,1425.6141,0.3336827754974365
A0027_04_12.bmp,A0027.bmp,1567.0086,0.21434654295444489
A0027_05_00.bmp,A0027.bmp,1396.4381,0.3410069942474365
A0027_05_01.bmp,A0027.bmp,1370.835,0.36087310314178467
A0027_05_02.bmp,A0027.bmp,1414.7785,0.34671904146671295
A0027_05_03.bmp,A0027.bmp,1160.0137,0.4691429138183594
A0027_05_04.bmp,A0027.bmp,1516.2494,0.30293595790863037
A0027_05_05.bmp,A0027.bmp,1469.8166,0.3785231113433838
A0027_05_06.bmp,A0027.bmp,1332.9511,0.4550272226333618
A0027_05_07.bmp,A0027.bmp,1345.5565,0.5108179003000259
A0027_05_08.bmp,A0027.bmp,1339.625,0.3816089928150177
A0027_05_09.bmp,A0027.bmp,1362.8717,0.38108670711517334
A0027_05_10.bmp,A0027.bmp,1387.6417,0.4654543101787567
A0027_05_11.bmp,A0027.bmp,1354.7313,0.28586001694202423
A0027_05_12.bmp,A0027.bmp,1442.4199,0.3232613652944565
A0027_05_13.bmp,A0027.bmp,1302.2005,0.18204250931739807
A0027_06_00.bmp,A0027.bmp,1390.8852,0.13564161956310272
A0027_06_01.bmp,A0027.bmp,1446.419,0.25911691784858704
A0027_06_02.bmp,A0027.bmp,1454.9392,0.24947161972522736
A0027_06_03.bmp,A0027.bmp,1460.3599,0.3320547044277191
A0027_06_04.bmp,A0027.bmp,1453.3256,0.33745619654655457
A0027_06_05.bmp,A0027.bmp,1495.18,0.28975076973438263
A0027_06_06.bmp,A0027.bmp,1318.7705,0.27784571051597595
A0027_06_07.bmp,A0027.bmp,1430.0087,0.24770039319992065
A0027_06_08.bmp,A0027.bmp,1446.6433,0.2914935499429703
A0027_06_09.bmp,A0027.bmp,1368.3748,0.24945613741874695
A0027_06_10.bmp,A0027.bmp,1322.4044,0.3126979470252991
A0027_06_11.bmp,A0027.bmp,1482.1964,0.46424058079719543
A0027_06_12.bmp,A0027.bmp,1328.6928,0.4290308505296707
A0027_06_13.bmp,A0027.bmp,1342.5763,0.31783829629421234
A0027_06_14.bmp,A0027.bmp,1362.2881,0.29032205045223236
A0027_06_15.bmp,A0027.bmp,1312.8825,0.2547108680009842
A0027_06_16.bmp,A0027.bmp,1444.9561,0.24297282099723816
A0027_06_17.bmp,A0027.bmp,1417.3173,0.33664365112781525
A0027_06_18.bmp,A0027.bmp,1522.0277,0.37702783942222595
A0027_06_19.bmp,A0027.bmp,1444.9125,0.27195847034454346
A0027_06_20.bmp,A0027.bmp,1436.4804,0.21316169202327728
A0027_06_21.bmp,A0027.bmp,1443.6396,0.232986718416214
A0027_06_22.bmp,A0027.bmp,1502.6423,0.22841785848140717
A0027_06_23.bmp,A0027.bmp,1536.6668,0.25576965510845184
A0027_06_24.bmp,A0027.bmp,1443.698,0.20116026699543
A0027_06_25.bmp,A0027.bmp,1349.0418,0.26759016513824463
