dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.001924082636833191
A0010_00_01.bmp,A0010.bmp,1397.4428,0.0033778250217437744
A0010_00_02.bmp,A0010.bmp,1543.2459,0.0009421408176422119
A0010_00_03.bmp,A0010.bmp,1515.0295,0.0016900449991226196
A0010_00_04.bmp,A0010.bmp,1467.121,0.002641811966896057
A0010_00_05.bmp,A0010.bmp,1611.8061,0.0007857382297515869
A0010_00_06.bmp,A0010.bmp,1513.7124,0.000963166356086731
A0010_00_07.bmp,A0010.bmp,1344.9394,0.0015837103128433228
A0010_00_08.bmp,A0010.bmp,1564.1514,0.0009857416152954102
A0010_00_09.bmp,A0010.bmp,1545.7206,0.0019167214632034302
A0010_00_10.bmp,A0010.bmp,1415.4665,0.0030076056718826294
A0010_00_11.bmp,A0010.bmp,1505.9435,0.0009349435567855835
A0010_01_00.bmp,A0010.bmp,1582.9888,0.0009236782789230347
A0010_01_01.bmp,A0010.bmp,1512.4943,0.001566469669342041
A0010_01_02.bmp,A0010.bmp,1323.7629,0.002425283193588257
A0010_01_03.bmp,A0010.bmp,1614.6601,0.0008827894926071167
A0010_01_04.bmp,A0010.bmp,1422.955,0.0014910250902175903
A0010_01_05.bmp,A0010.bmp,1411.2205,0.002225726842880249
A0010_01_06.bmp,A0010.bmp,1522.4109,0.0008089542388916016
A0010_01_07.bmp,A0010.bmp,1519.9579,0.0013156235218048096
A0010_01_08.bmp,A0010.bmp,1388.8629,0.0025320351123809814
A0010_01_09.bmp,A0010.bmp,1601.2028,0.0007924884557723999
A0010_01_10.bmp,A0010.bmp,1557.3595,0.0010017454624176025
A0010_01_11.bmp,A0010.bmp,1520.3255,0.001347765326499939
A0010_01_12.bmp,A0010.bmp,1624.7021,0.0007838010787963867
A0010_01_13.bmp,A0010.bmp,1611.0104,0.0009769052267074585
A0010_01_14.bmp,A0010.bmp,1476.5829,0.001291915774345398
A0010_01_15.bmp,A0010.bmp,1269.6335,0.0031806528568267822
A0010_02_00.bmp,A0010.bmp,1491.0261,0.0021059662103652954
A0010_02_01.bmp,A0010.bmp,1608.3366,0.0021059662103652954
A0010_02_02.bmp,A0010.bmp,1610.3456,0.0008701533079147339
A0010_02_03.bmp,A0010.bmp,1561.9819,0.0007983297109603882
A0010_02_04.bmp,A0010.bmp,1766.5766,0.006680697202682495
A0010_02_05.bmp,A0010.bmp,1405.8695,0.0035560578107833862
A0010_02_06.bmp,A0010.bmp,1475.5644,0.0021905750036239624
A0010_02_07.bmp,A0010.bmp,1498.3538,0.0014794766902923584
A0010_02_08.bmp,A0010.bmp,1475.23,0.0009755641222000122
A0010_02_09.bmp,A0010.bmp,1488.6213,0.0014395266771316528
A0010_03_00.bmp,A0010.bmp,1408.4934,0.0013843178749084473
A0010_03_01.bmp,A0010.bmp,1526.7626,0.0008538365364074707
A0010_03_02.bmp,A0010.bmp,1377.6437,0.001281455159187317
A0010_03_03.bmp,A0010.bmp,1471.8775,0.001299828290939331
A0010_03_04.bmp,A0010.bmp,1425.4631,0.001299828290939331
A0010_03_05.bmp,A0010.bmp,1479.0004,0.001299828290939331
A0010_03_06.bmp,A0010.bmp,1580.8948,0.0006541609764099121
A0010_03_07.bmp,A0010.bmp,1426.1284,0.001791253685951233
A0010_03_08.bmp,A0010.bmp,1415.89,0.0015404969453811646
A0010_03_09.bmp,A0010.bmp,1381.5384,0.0008841156959533691
A0010_03_10.bmp,A0010.bmp,1506.5598,0.0016204863786697388
A0010_03_11.bmp,A0010.bmp,1478.4784,0.0011585056781768799
A0010_03_12.bmp,A0010.bmp,1534.4737,0.0006967037916183472
A0010_03_13.bmp,A0010.bmp,1440.0787,0.0007099360227584839
A0010_03_14.bmp,A0010.bmp,1536.5628,0.0010672807693481445
A0010_03_15.bmp,A0010.bmp,1520.6863,0.001048073172569275
A0010_03_16.bmp,A0010.bmp,1446.7638,0.001759752631187439
A0010_03_17.bmp,A0010.bmp,1489.3506,0.0006815344095230103
A0010_03_18.bmp,A0010.bmp,1460.723,0.0007712841033935547
A0010_03_19.bmp,A0010.bmp,1479.9531,0.0008511394262313843
A0010_03_20.bmp,A0010.bmp,1385.6622,0.0017202943563461304
A0010_03_21.bmp,A0010.bmp,1465.8225,0.0028754323720932007
A0010_03_22.bmp,A0010.bmp,1370.8739,0.002019822597503662
A0010_03_23.bmp,A0010.bmp,1125.5982,0.003874346613883972
A0010_04_00.bmp,A0010.bmp,1509.0292,0.0008325278759002686
A0010_04_01.bmp,A0010.bmp,1402.8599,0.0011000335216522217
A0010_04_02.bmp,A0010.bmp,1609.3235,0.0008035749197006226
A0010_04_03.bmp,A0010.bmp,1501.5939,0.0011082738637924194
A0010_04_04.bmp,A0010.bmp,1297.2529,0.0015385150909423828
A0010_04_05.bmp,A0010.bmp,1658.0922,0.0009106099605560303
A0010_04_06.bmp,A0010.bmp,1373.4376,0.0017247200012207031
A0010_04_07.bmp,A0010.bmp,1172.6235,0.004858344793319702
A0010_04_08.bmp,A0010.bmp,1565.2755,0.000870436429977417
A0010_04_09.bmp,A0010.bmp,1426.469,0.0015881359577178955
A0010_04_10.bmp,A0010.bmp,1292.4061,0.0024541765451431274
A0010_04_11.bmp,A0010.bmp,1385.4119,0.0012607276439666748
A0010_04_12.bmp,A0010.bmp,1558.8749,0.000845000147819519
A0010_05_00.bmp,A0010.bmp,1361.9307,0.0018891692161560059
A0010_05_01.bmp,A0010.bmp,1170.8325,0.004678666591644287
A0010_05_02.bmp,A0010.bmp,1207.2384,0.0038876235485076904
A0010_05_03.bmp,A0010.bmp,1077.6272,0.007363170385360718
A0010_05_04.bmp,A0010.bmp,1404.0243,0.0009066611528396606
