dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.056543752551078796
A0010_00_01.bmp,A0010.bmp,1397.4428,0.07148334383964539
A0010_00_02.bmp,A0010.bmp,1543.2459,0.05782146379351616
A0010_00_03.bmp,A0010.bmp,1515.0295,0.07174288481473923
A0010_00_04.bmp,A0010.bmp,1467.121,0.07399927079677582
A0010_00_05.bmp,A0010.bmp,1611.8061,0.055045194923877716
A0010_00_06.bmp,A0010.bmp,1513.7124,0.07338907569646835
A0010_00_07.bmp,A0010.bmp,1344.9394,0.0761316791176796
A0010_00_08.bmp,A0010.bmp,1564.1514,0.05323527008295059
A0010_00_09.bmp,A0010.bmp,1545.7206,0.07089363038539886
A0010_00_10.bmp,A0010.bmp,1415.4665,0.07554224133491516
A0010_00_11.bmp,A0010.bmp,1505.9435,0.056877996772527695
A0010_01_00.bmp,A0010.bmp,1582.9888,0.05755118280649185
A0010_01_01.bmp,A0010.bmp,1512.4943,0.0671267956495285
A0010_01_02.bmp,A0010.bmp,1323.7629,0.07412385940551758
A0010_01_03.bmp,A0010.bmp,1614.6601,0.058755844831466675
A0010_01_04.bmp,A0010.bmp,1422.955,0.0691356435418129
A0010_01_05.bmp,A0010.bmp,1411.2205,0.07809239625930786
A0010_01_06.bmp,A0010.bmp,1522.4109,0.05880402401089668
A0010_01_07.bmp,A0010.bmp,1519.9579,0.07119370251893997
A0010_01_08.bmp,A0010.bmp,1388.8629,0.07487229257822037
A0010_01_09.bmp,A0010.bmp,1601.2028,0.04667669162154198
A0010_01_10.bmp,A0010.bmp,1557.3595,0.05924278497695923
A0010_01_11.bmp,A0010.bmp,1520.3255,0.07333265990018845
A0010_01_12.bmp,A0010.bmp,1624.7021,0.043477028608322144
A0010_01_13.bmp,A0010.bmp,1611.0104,0.06230621039867401
A0010_01_14.bmp,A0010.bmp,1476.5829,0.06587719917297363
A0010_01_15.bmp,A0010.bmp,1269.6335,0.0758616030216217
A0010_02_00.bmp,A0010.bmp,1491.0261,0.05069290101528168
A0010_02_01.bmp,A0010.bmp,1608.3366,0.05069290101528168
A0010_02_02.bmp,A0010.bmp,1610.3456,0.05176679417490959
A0010_02_03.bmp,A0010.bmp,1561.9819,0.05488312616944313
A0010_02_04.bmp,A0010.bmp,1766.5766,0.07040957361459732
A0010_02_05.bmp,A0010.bmp,1405.8695,0.06642231345176697
A0010_02_06.bmp,A0010.bmp,1475.5644,0.06724883615970612
A0010_02_07.bmp,A0010.bmp,1498.3538,0.06847745925188065
A0010_02_08.bmp,A0010.bmp,1475.23,0.07107612490653992
A0010_02_09.bmp,A0010.bmp,1488.6213,0.07929329574108124
A0010_03_00.bmp,A0010.bmp,1408.4934,0.07873746752738953
A0010_03_01.bmp,A0010.bmp,1526.7626,0.07935833185911179
A0010_03_02.bmp,A0010.bmp,1377.6437,0.07907231152057648
A0010_03_03.bmp,A0010.bmp,1471.8775,0.06975125521421432
A0010_03_04.bmp,A0010.bmp,1425.4631,0.06975125521421432
A0010_03_05.bmp,A0010.bmp,1479.0004,0.06975138187408447
A0010_03_06.bmp,A0010.bmp,1580.8948,0.07409907132387161
A0010_03_07.bmp,A0010.bmp,1426.1284,0.07373127341270447
A0010_03_08.bmp,A0010.bmp,1415.89,0.07607534527778625
A0010_03_09.bmp,A0010.bmp,1381.5384,0.07415991276502609
A0010_03_10.bmp,A0010.bmp,1506.5598,0.07518547773361206
A0010_03_11.bmp,A0010.bmp,1478.4784,0.07568544149398804
A0010_03_12.bmp,A0010.bmp,1534.4737,0.07939854264259338
A0010_03_13.bmp,A0010.bmp,1440.0787,0.0704769566655159
A0010_03_14.bmp,A0010.bmp,1536.5628,0.065940260887146
A0010_03_15.bmp,A0010.bmp,1520.6863,0.07187261432409286
A0010_03_16.bmp,A0010.bmp,1446.7638,0.0737357884645462
A0010_03_17.bmp,A0010.bmp,1489.3506,0.07698985934257507
A0010_03_18.bmp,A0010.bmp,1460.723,0.0729011669754982
A0010_03_19.bmp,A0010.bmp,1479.9531,0.07576195150613785
A0010_03_20.bmp,A0010.bmp,1385.6622,0.08116751164197922
A0010_03_21.bmp,A0010.bmp,1465.8225,0.08264582604169846
A0010_03_22.bmp,A0010.bmp,1370.8739,0.08440318703651428
A0010_03_23.bmp,A0010.bmp,1125.5982,0.08196143060922623
A0010_04_00.bmp,A0010.bmp,1509.0292,0.04839406535029411
A0010_04_01.bmp,A0010.bmp,1402.8599,0.07065635919570923
A0010_04_02.bmp,A0010.bmp,1609.3235,0.03801816701889038
A0010_04_03.bmp,A0010.bmp,1501.5939,0.05869607627391815
A0010_04_04.bmp,A0010.bmp,1297.2529,0.0712389424443245
A0010_04_05.bmp,A0010.bmp,1658.0922,0.03326868265867233
A0010_04_06.bmp,A0010.bmp,1373.4376,0.07649019360542297
A0010_04_07.bmp,A0010.bmp,1172.6235,0.09254208952188492
A0010_04_08.bmp,A0010.bmp,1565.2755,0.043651215732097626
