dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,16.129340823739767
A0010_00_01.bmp,A0010.bmp,1397.4428,19.798494569957256
A0010_00_02.bmp,A0010.bmp,1543.2459,15.73798804730177
A0010_00_03.bmp,A0010.bmp,1515.0295,19.73879484832287
A0010_00_04.bmp,A0010.bmp,1467.121,20.462287589907646
A0010_00_05.bmp,A0010.bmp,1611.8061,15.840601459145546
A0010_00_06.bmp,A0010.bmp,1513.7124,17.938527405261993
A0010_00_07.bmp,A0010.bmp,1344.9394,21.04069224745035
A0010_00_08.bmp,A0010.bmp,1564.1514,15.2360744997859
A0010_00_09.bmp,A0010.bmp,1545.7206,19.306405775249004
A0010_00_10.bmp,A0010.bmp,1415.4665,20.966517321765423
A0010_00_11.bmp,A0010.bmp,1505.9435,16.66921092569828
A0010_01_00.bmp,A0010.bmp,1582.9888,15.002893809229136
A0010_01_01.bmp,A0010.bmp,1512.4943,17.827461127191782
A0010_01_02.bmp,A0010.bmp,1323.7629,19.759473882615566
A0010_01_03.bmp,A0010.bmp,1614.6601,14.485703617334366
A0010_01_04.bmp,A0010.bmp,1422.955,19.207378409802914
A0010_01_05.bmp,A0010.bmp,1411.2205,20.118199229240417
A0010_01_06.bmp,A0010.bmp,1522.4109,14.284613728523254
A0010_01_07.bmp,A0010.bmp,1519.9579,18.18070489913225
A0010_01_08.bmp,A0010.bmp,1388.8629,20.14082696288824
A0010_01_09.bmp,A0010.bmp,1601.2028,14.307438168674707
A0010_01_10.bmp,A0010.bmp,1557.3595,16.598930846899748
A0010_01_11.bmp,A0010.bmp,1520.3255,18.935289066284895
A0010_01_12.bmp,A0010.bmp,1624.7021,13.539058107882738
A0010_01_13.bmp,A0010.bmp,1611.0104,16.114513710141182
A0010_01_14.bmp,A0010.bmp,1476.5829,18.92638947069645
A0010_01_15.bmp,A0010.bmp,1269.6335,23.287916854023933
A0010_02_00.bmp,A0010.bmp,1491.0261,14.912455923855305
A0010_02_01.bmp,A0010.bmp,1608.3366,16.11261935532093
A0010_02_02.bmp,A0010.bmp,1610.3456,14.059364672750235
A0010_02_03.bmp,A0010.bmp,1561.9819,15.497744899243116
A0010_02_04.bmp,A0010.bmp,1766.5766,15.86601035296917
A0010_02_05.bmp,A0010.bmp,1405.8695,22.54251342266798
A0010_02_06.bmp,A0010.bmp,1475.5644,19.377546221017838
A0010_02_07.bmp,A0010.bmp,1498.3538,18.884548161178827
A0010_02_08.bmp,A0010.bmp,1475.23,19.10687704011798
A0010_02_09.bmp,A0010.bmp,1488.6213,19.242337975651026
A0010_03_00.bmp,A0010.bmp,1408.4934,20.901457250118256
A0010_03_01.bmp,A0010.bmp,1526.7626,18.918786108493805
A0010_03_02.bmp,A0010.bmp,1377.6437,20.733556002378464
A0010_03_03.bmp,A0010.bmp,1471.8775,19.25245051831007
A0010_03_04.bmp,A0010.bmp,1425.4631,18.506150722503662
A0010_03_05.bmp,A0010.bmp,1479.0004,18.592005662620068
A0010_03_06.bmp,A0010.bmp,1580.8948,20.559406884014606
A0010_03_07.bmp,A0010.bmp,1426.1284,19.129818804562092
A0010_03_08.bmp,A0010.bmp,1415.89,18.999942988157272
A0010_03_09.bmp,A0010.bmp,1381.5384,19.923600874841213
A0010_03_10.bmp,A0010.bmp,1506.5598,20.247517246752977
A0010_03_11.bmp,A0010.bmp,1478.4784,18.735815659165382
A0010_03_12.bmp,A0010.bmp,1534.4737,20.226349987089634
A0010_03_13.bmp,A0010.bmp,1440.0787,18.79000186175108
A0010_03_14.bmp,A0010.bmp,1536.5628,17.84631608054042
A0010_03_15.bmp,A0010.bmp,1520.6863,19.66048089042306
A0010_03_16.bmp,A0010.bmp,1446.7638,18.447708424180746
A0010_03_17.bmp,A0010.bmp,1489.3506,21.015974022448063
A0010_03_18.bmp,A0010.bmp,1460.723,19.23045226931572
A0010_03_19.bmp,A0010.bmp,1479.9531,19.570204012095928
A0010_03_20.bmp,A0010.bmp,1385.6622,22.541297644376755
A0010_03_21.bmp,A0010.bmp,1465.8225,23.755758687853813
A0010_03_22.bmp,A0010.bmp,1370.8739,22.907673344016075
A0010_03_23.bmp,A0010.bmp,1125.5982,23.923560917377472
A0010_04_00.bmp,A0010.bmp,1509.0292,16.271137159317732
A0010_04_01.bmp,A0010.bmp,1402.8599,20.331476107239723
A0010_04_02.bmp,A0010.bmp,1609.3235,15.053299389779568
A0010_04_03.bmp,A0010.bmp,1501.5939,20.001038163900375
A0010_04_04.bmp,A0010.bmp,1297.2529,22.40556823462248
A0010_04_05.bmp,A0010.bmp,1658.0922,15.67283932119608
A0010_04_06.bmp,A0010.bmp,1373.4376,20.17155860364437
A0010_04_07.bmp,A0010.bmp,1172.6235,24.08546733856201
A0010_04_08.bmp,A0010.bmp,1565.2755,16.306900717318058
A0010_04_09.bmp,A0010.bmp,1426.469,22.946053251624107
A0010_04_10.bmp,A0010.bmp,1292.4061,22.672863192856312
A0010_04_11.bmp,A0010.bmp,1385.4119,20.544971093535423
A0010_04_12.bmp,A0010.bmp,1558.8749,15.831769715994596
A0010_05_00.bmp,A0010.bmp,1361.9307,20.78241204470396
A0010_05_01.bmp,A0010.bmp,1170.8325,24.71437657624483
A0010_05_02.bmp,A0010.bmp,1207.2384,23.684431731700897
A0010_05_03.bmp,A0010.bmp,1077.6272,27.066811464726925
A0010_05_04.bmp,A0010.bmp,1404.0243,20.884965106844902
A0010_05_05.bmp,A0010.bmp,1221.4828,23.936393588781357
A0010_05_06.bmp,A0010.bmp,1261.8705,25.471377842128277
A0010_05_07.bmp,A0010.bmp,1162.8322,25.776501700282097
A0010_05_08.bmp,A0010.bmp,1172.661,25.036770336329937
A0010_05_09.bmp,A0010.bmp,1306.6648,23.164488337934017
A0010_05_10.bmp,A0010.bmp,1450.2316,21.15513613075018
A0010_05_11.bmp,A0010.bmp,1466.0508,17.467478800565004
A0010_05_12.bmp,A0010.bmp,1443.5308,18.557551600039005
A0010_05_13.bmp,A0010.bmp,1311.4694,21.686135098338127
A0010_06_00.bmp,A0010.bmp,1387.61,18.404523115605116
A0010_06_01.bmp,A0010.bmp,1333.7489,17.57801764458418
A0010_06_02.bmp,A0010.bmp,1409.3063,17.636182866990566
A0010_06_03.bmp,A0010.bmp,1469.992,17.39336022362113
A0010_06_04.bmp,A0010.bmp,1300.1184,22.266629718244076
A0010_06_05.bmp,A0010.bmp,1543.7025,18.053375490009785
