dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,25.773555077728815
A0010_00_01.bmp,A0010.bmp,1397.4428,38.79149811938987
A0010_00_02.bmp,A0010.bmp,1543.2459,26.565234516980127
A0010_00_03.bmp,A0010.bmp,1515.0295,38.38399661901349
A0010_00_04.bmp,A0010.bmp,1467.121,25.039981784007978
A0010_00_05.bmp,A0010.bmp,1611.8061,24.22284072534967
A0010_00_06.bmp,A0010.bmp,1513.7124,17.755907730490435
A0010_00_07.bmp,A0010.bmp,1344.9394,27.495612471117056
A0010_00_08.bmp,A0010.bmp,1564.1514,37.170490525742935
A0010_00_09.bmp,A0010.bmp,1545.7206,30.20817254114081
A0010_00_10.bmp,A0010.bmp,1415.4665,32.200424404392834
A0010_00_11.bmp,A0010.bmp,1505.9435,24.11439367607818
A0010_01_00.bmp,A0010.bmp,1582.9888,26.338937940796313
A0010_01_01.bmp,A0010.bmp,1512.4943,29.092623946911772
A0010_01_02.bmp,A0010.bmp,1323.7629,18.25205840925628
A0010_01_03.bmp,A0010.bmp,1614.6601,16.823459113198624
A0010_01_04.bmp,A0010.bmp,1422.955,24.955530212711892
A0010_01_05.bmp,A0010.bmp,1411.2205,30.73147970964783
A0010_01_06.bmp,A0010.bmp,1522.4109,25.20503096630273
A0010_01_07.bmp,A0010.bmp,1519.9579,27.013450795639073
A0010_01_08.bmp,A0010.bmp,1388.8629,29.71908165953937
A0010_01_09.bmp,A0010.bmp,1601.2028,25.327436579485948
A0010_01_10.bmp,A0010.bmp,1557.3595,31.500662870763335
A0010_01_11.bmp,A0010.bmp,1520.3255,22.377069691036013
A0010_01_12.bmp,A0010.bmp,1624.7021,30.20722834242042
A0010_01_13.bmp,A0010.bmp,1611.0104,32.952734567428706
A0010_01_14.bmp,A0010.bmp,1476.5829,33.71313364520029
A0010_01_15.bmp,A0010.bmp,1269.6335,37.05024778438383
A0010_02_00.bmp,A0010.bmp,1491.0261,29.951807866818854
A0010_02_01.bmp,A0010.bmp,1608.3366,16.151313065944123
A0010_02_02.bmp,A0010.bmp,1610.3456,21.574087240587687
A0010_02_03.bmp,A0010.bmp,1561.9819,22.698562285746448
A0010_02_04.bmp,A0010.bmp,1766.5766,25.217913447428145
A0010_02_05.bmp,A0010.bmp,1405.8695,58.72840703971451
A0010_02_06.bmp,A0010.bmp,1475.5644,38.31248613251955
A0010_02_07.bmp,A0010.bmp,1498.3538,21.50912771448202
A0010_02_08.bmp,A0010.bmp,1475.23,34.45102908265835
A0010_02_09.bmp,A0010.bmp,1488.6213,28.52809978496225
A0010_03_00.bmp,A0010.bmp,1408.4934,29.807802745432127
A0010_03_01.bmp,A0010.bmp,1526.7626,32.55055668193381
A0010_03_02.bmp,A0010.bmp,1377.6437,22.189037664909847
A0010_03_03.bmp,A0010.bmp,1471.8775,29.976806083272095
A0010_03_04.bmp,A0010.bmp,1425.4631,31.577808223548345
A0010_03_05.bmp,A0010.bmp,1479.0004,28.80707598668232
A0010_03_06.bmp,A0010.bmp,1580.8948,26.83625577435305
A0010_03_07.bmp,A0010.bmp,1426.1284,25.259356451570056
A0010_03_08.bmp,A0010.bmp,1415.89,32.16855367300741
A0010_03_09.bmp,A0010.bmp,1381.5384,21.171816266534734
A0010_03_10.bmp,A0010.bmp,1506.5598,40.28677756828256
A0010_03_11.bmp,A0010.bmp,1478.4784,26.122483760264004
A0010_03_12.bmp,A0010.bmp,1534.4737,29.25461464615364
A0010_03_13.bmp,A0010.bmp,1440.0787,23.65704627937521
A0010_03_14.bmp,A0010.bmp,1536.5628,20.552011760519235
A0010_03_15.bmp,A0010.bmp,1520.6863,29.06364458585449
A0010_03_16.bmp,A0010.bmp,1446.7638,16.262032263955916
A0010_03_17.bmp,A0010.bmp,1489.3506,36.21226000103343
A0010_03_18.bmp,A0010.bmp,1460.723,26.979630139714573
A0010_03_19.bmp,A0010.bmp,1479.9531,27.19041605865641
A0010_03_20.bmp,A0010.bmp,1385.6622,20.175086653078324
A0010_03_21.bmp,A0010.bmp,1465.8225,26.581157043634448
A0010_03_22.bmp,A0010.bmp,1370.8739,28.774241753970273
A0010_03_23.bmp,A0010.bmp,1125.5982,35.35317699069856
A0010_04_00.bmp,A0010.bmp,1509.0292,21.179010635372833
A0010_04_01.bmp,A0010.bmp,1402.8599,29.814450330202817
A0010_04_02.bmp,A0010.bmp,1609.3235,26.80328681030369
A0010_04_03.bmp,A0010.bmp,1501.5939,29.593257296728552
A0010_04_04.bmp,A0010.bmp,1297.2529,53.427252524430514
A0010_04_05.bmp,A0010.bmp,1658.0922,22.031952407676727
A0010_04_06.bmp,A0010.bmp,1373.4376,35.644708455583896
A0010_04_07.bmp,A0010.bmp,1172.6235,40.9521187292994
A0010_04_08.bmp,A0010.bmp,1565.2755,25.679665687734087
A0010_04_09.bmp,A0010.bmp,1426.469,44.69985876044666
A0010_04_10.bmp,A0010.bmp,1292.4061,39.785869305283995
A0010_04_11.bmp,A0010.bmp,1385.4119,32.55449182035227
A0010_04_12.bmp,A0010.bmp,1558.8749,27.46992957116163
A0010_05_00.bmp,A0010.bmp,1361.9307,20.743542822034215
A0010_05_01.bmp,A0010.bmp,1170.8325,26.409543701447546
A0010_05_02.bmp,A0010.bmp,1207.2384,40.93098741567519
A0010_05_03.bmp,A0010.bmp,1077.6272,39.642789001896745
A0010_05_04.bmp,A0010.bmp,1404.0243,33.267903375584865
A0010_05_05.bmp,A0010.bmp,1221.4828,24.02090629187296
A0010_05_06.bmp,A0010.bmp,1261.8705,37.12072345279739
A0010_05_07.bmp,A0010.bmp,1162.8322,26.42095329982112
A0010_05_08.bmp,A0010.bmp,1172.661,35.949530258367304
A0010_05_09.bmp,A0010.bmp,1306.6648,28.821428563751397
A0010_05_10.bmp,A0010.bmp,1450.2316,29.302896804991178
A0010_05_11.bmp,A0010.bmp,1466.0508,32.96470690150454
A0010_05_12.bmp,A0010.bmp,1443.5308,19.102713713000412
A0010_05_13.bmp,A0010.bmp,1311.4694,33.35799651085108
A0010_06_00.bmp,A0010.bmp,1387.61,30.490781919288565
A0010_06_01.bmp,A0010.bmp,1333.7489,19.840407714771573
A0010_06_02.bmp,A0010.bmp,1409.3063,33.12247099156957
A0010_06_03.bmp,A0010.bmp,1469.992,29.03074162150733
A0010_06_04.bmp,A0010.bmp,1300.1184,27.974302164133405
A0010_06_05.bmp,A0010.bmp,1543.7025,23.627025180103374
A0010_06_06.bmp,A0010.bmp,1611.7125,34.67214198980946
A0010_06_07.bmp,A0010.bmp,1574.8528,18.929899648734136
A0010_06_08.bmp,A0010.bmp,1609.7277,25.624736916666734
A0010_06_09.bmp,A0010.bmp,1537.3276,32.18728725321125
A0010_06_10.bmp,A0010.bmp,1471.1686,20.261372013526852
A0010_06_11.bmp,A0010.bmp,1448.703,32.20975040033227
A0010_06_12.bmp,A0010.bmp,1379.718,38.52894497750094
A0010_06_13.bmp,A0010.bmp,1292.3206,31.393347055418417
A0010_06_14.bmp,A0010.bmp,1408.9503,25.39844361608266
A0010_06_15.bmp,A0010.bmp,1262.8769,26.94429825359839
A0010_06_16.bmp,A0010.bmp,1521.1994,28.73758197631105
A0010_06_17.bmp,A0010.bmp,1529.3003,39.23766624045675
A0010_06_18.bmp,A0010.bmp,1495.014,22.829448927688645
A0010_06_19.bmp,A0010.bmp,1545.1425,15.24637787345273
A0010_06_20.bmp,A0010.bmp,1442.0158,16.78168692930194
A0010_06_21.bmp,A0010.bmp,1585.556,17.275657958387455
