dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,3.4786389428190887
A0010_00_01.bmp,A0010.bmp,1397.4428,4.450494008604437
A0010_00_02.bmp,A0010.bmp,1543.2459,3.8449327531270683
A0010_00_03.bmp,A0010.bmp,1515.0295,4.293977567460388
A0010_00_04.bmp,A0010.bmp,1467.121,3.3279912057332695
A0010_00_05.bmp,A0010.bmp,1611.8061,5.149778929189779
A0010_00_06.bmp,A0010.bmp,1513.7124,2.2429921039147303
A0010_00_07.bmp,A0010.bmp,1344.9394,4.668112743413076
A0010_00_08.bmp,A0010.bmp,1564.1514,2.7200931920669973
A0010_00_09.bmp,A0010.bmp,1545.7206,4.059533483348787
A0010_00_10.bmp,A0010.bmp,1415.4665,4.05893428530544
A0010_00_11.bmp,A0010.bmp,1505.9435,3.2562790054362267
A0010_01_00.bmp,A0010.bmp,1582.9888,2.578123217448592
A0010_01_01.bmp,A0010.bmp,1512.4943,3.4969441406428814
A0010_01_02.bmp,A0010.bmp,1323.7629,3.852526679635048
A0010_01_03.bmp,A0010.bmp,1614.6601,2.9110836614854634
A0010_01_04.bmp,A0010.bmp,1422.955,5.261878022225574
A0010_01_05.bmp,A0010.bmp,1411.2205,4.4783444963395596
A0010_01_06.bmp,A0010.bmp,1522.4109,2.9067669425858185
A0010_01_07.bmp,A0010.bmp,1519.9579,3.129380428697914
A0010_01_08.bmp,A0010.bmp,1388.8629,3.0559831000864506
A0010_01_09.bmp,A0010.bmp,1601.2028,3.9491919551510364
A0010_01_10.bmp,A0010.bmp,1557.3595,3.093576122773811
A0010_01_11.bmp,A0010.bmp,1520.3255,3.0566972743254155
A0010_01_12.bmp,A0010.bmp,1624.7021,2.380454880767502
A0010_01_13.bmp,A0010.bmp,1611.0104,1.8444272531196475
A0010_01_14.bmp,A0010.bmp,1476.5829,4.662667049560696
A0010_01_15.bmp,A0010.bmp,1269.6335,3.4283902095630765
A0010_02_00.bmp,A0010.bmp,1491.0261,2.304244574625045
A0010_02_01.bmp,A0010.bmp,1608.3366,4.043320468161255
A0010_02_02.bmp,A0010.bmp,1610.3456,1.9111643887590617
A0010_02_03.bmp,A0010.bmp,1561.9819,3.962834332487546
A0010_02_04.bmp,A0010.bmp,1766.5766,5.479693105444312
A0010_02_05.bmp,A0010.bmp,1405.8695,9.861493524629623
A0010_02_06.bmp,A0010.bmp,1475.5644,4.131881498731673
A0010_02_07.bmp,A0010.bmp,1498.3538,2.194425132824108
A0010_02_08.bmp,A0010.bmp,1475.23,2.9550318439723924
A0010_02_09.bmp,A0010.bmp,1488.6213,3.984788005705923
A0010_03_00.bmp,A0010.bmp,1408.4934,4.6564953189808875
A0010_03_01.bmp,A0010.bmp,1526.7626,1.9060435704886913
A0010_03_02.bmp,A0010.bmp,1377.6437,6.790790941100568
A0010_03_03.bmp,A0010.bmp,1471.8775,6.576633461052552
A0010_03_04.bmp,A0010.bmp,1425.4631,3.6520358566194773
A0010_03_05.bmp,A0010.bmp,1479.0004,3.387419819133356
A0010_03_06.bmp,A0010.bmp,1580.8948,4.929551434819587
A0010_03_07.bmp,A0010.bmp,1426.1284,2.824610647978261
A0010_03_08.bmp,A0010.bmp,1415.89,3.2257307693362236
A0010_03_09.bmp,A0010.bmp,1381.5384,5.3790558038745075
A0010_03_10.bmp,A0010.bmp,1506.5598,4.8227284755557775
A0010_03_11.bmp,A0010.bmp,1478.4784,3.1566274384967983
A0010_03_12.bmp,A0010.bmp,1534.4737,7.156633403617889
A0010_03_13.bmp,A0010.bmp,1440.0787,4.155951632652432
A0010_03_14.bmp,A0010.bmp,1536.5628,2.6875325145665556
A0010_03_15.bmp,A0010.bmp,1520.6863,6.393951885635033
A0010_03_16.bmp,A0010.bmp,1446.7638,2.525817633373663
A0010_03_17.bmp,A0010.bmp,1489.3506,3.48581675789319
A0010_03_18.bmp,A0010.bmp,1460.723,1.7777925019618124
A0010_03_19.bmp,A0010.bmp,1479.9531,2.597131449962035
A0010_03_20.bmp,A0010.bmp,1385.6622,4.039759153965861
A0010_03_21.bmp,A0010.bmp,1465.8225,5.332795097026974
A0010_03_22.bmp,A0010.bmp,1370.8739,4.111834096722305
A0010_03_23.bmp,A0010.bmp,1125.5982,6.242677730508149
A0010_04_00.bmp,A0010.bmp,1509.0292,2.3758326295064762
A0010_04_01.bmp,A0010.bmp,1402.8599,3.3365807002410293
A0010_04_02.bmp,A0010.bmp,1609.3235,1.8876126442337409
A0010_04_03.bmp,A0010.bmp,1501.5939,4.706515523605049
A0010_04_04.bmp,A0010.bmp,1297.2529,4.0389474022667855
A0010_04_05.bmp,A0010.bmp,1658.0922,2.557992250425741
A0010_04_06.bmp,A0010.bmp,1373.4376,4.383302280679345
A0010_04_07.bmp,A0010.bmp,1172.6235,7.235530794598162
A0010_04_08.bmp,A0010.bmp,1565.2755,7.224491194123402
A0010_04_09.bmp,A0010.bmp,1426.469,5.61470990255475
A0010_04_10.bmp,A0010.bmp,1292.4061,4.786475165281445
A0010_04_11.bmp,A0010.bmp,1385.4119,2.933214362245053
A0010_04_12.bmp,A0010.bmp,1558.8749,1.9176068995147943
A0010_05_00.bmp,A0010.bmp,1361.9307,2.957241158466786
A0010_05_01.bmp,A0010.bmp,1170.8325,4.6235829051584005
A0010_05_02.bmp,A0010.bmp,1207.2384,3.4865780398249626
A0010_05_03.bmp,A0010.bmp,1077.6272,7.1104407934471965
A0010_05_04.bmp,A0010.bmp,1404.0243,4.761914737522602
A0010_05_05.bmp,A0010.bmp,1221.4828,2.9002559420187026
A0010_05_06.bmp,A0010.bmp,1261.8705,5.216579586267471
A0010_05_07.bmp,A0010.bmp,1162.8322,2.8461459456011653
A0010_05_08.bmp,A0010.bmp,1172.661,5.175607957877219
A0010_05_09.bmp,A0010.bmp,1306.6648,4.42461367091164
A0010_05_10.bmp,A0010.bmp,1450.2316,1.8968099323101342
A0010_05_11.bmp,A0010.bmp,1466.0508,2.956828442402184
A0010_05_12.bmp,A0010.bmp,1443.5308,3.2095711620058864
A0010_05_13.bmp,A0010.bmp,1311.4694,5.342412825208157
A0010_06_00.bmp,A0010.bmp,1387.61,5.458986953133717
A0010_06_01.bmp,A0010.bmp,1333.7489,2.8503583178389817
A0010_06_02.bmp,A0010.bmp,1409.3063,3.489109242800623
A0010_06_03.bmp,A0010.bmp,1469.992,4.12398516619578
A0010_06_04.bmp,A0010.bmp,1300.1184,5.123178835492581
A0010_06_05.bmp,A0010.bmp,1543.7025,3.9015786512754858
A0010_06_06.bmp,A0010.bmp,1611.7125,7.195319727063179
A0010_06_07.bmp,A0010.bmp,1574.8528,2.7305691144429147
A0010_06_08.bmp,A0010.bmp,1609.7277,4.864439088269137
A0010_06_09.bmp,A0010.bmp,1537.3276,4.7801956391194835
A0010_06_10.bmp,A0010.bmp,1471.1686,5.067977688275278
A0010_06_11.bmp,A0010.bmp,1448.703,5.006607822142541
A0010_06_12.bmp,A0010.bmp,1379.718,8.748745764605701
A0010_06_13.bmp,A0010.bmp,1292.3206,4.145961330272257
A0010_06_14.bmp,A0010.bmp,1408.9503,4.102466929703951
A0010_06_15.bmp,A0010.bmp,1262.8769,4.597565121948719
A0010_06_16.bmp,A0010.bmp,1521.1994,2.5295934029854834
A0010_06_17.bmp,A0010.bmp,1529.3003,3.3297366285696626
A0010_06_18.bmp,A0010.bmp,1495.014,2.1179400524124503
A0010_06_19.bmp,A0010.bmp,1545.1425,2.9860561918467283
A0010_06_20.bmp,A0010.bmp,1442.0158,3.2232378623448312
A0010_06_21.bmp,A0010.bmp,1585.556,2.1152789576444775
A0010_06_22.bmp,A0010.bmp,1498.1973,3.92621111497283
A0010_06_23.bmp,A0010.bmp,1511.4752,2.4783466345397756
A0010_06_24.bmp,A0010.bmp,1591.1947,4.81032556889113
A0010_06_25.bmp,A0010.bmp,1462.0684,2.612535197287798
A0010_06_26.bmp,A0010.bmp,1463.3668,7.417512652929872
A0027_00_00.bmp,A0027.bmp,1519.3898,3.6457394482567906
A0027_00_01.bmp,A0027.bmp,1381.7487,5.418202464468777
A0027_00_02.bmp,A0027.bmp,1604.4955,3.293209804687649
A0027_00_03.bmp,A0027.bmp,1454.7168,3.286919672973454
A0027_00_04.bmp,A0027.bmp,1449.7403,6.391165517270565
A0027_00_05.bmp,A0027.bmp,1537.2687,6.4450913744512945
A0027_00_06.bmp,A0027.bmp,1520.1301,2.182797078974545
A0027_00_07.bmp,A0027.bmp,1372.4774,4.641672635450959
A0027_00_08.bmp,A0027.bmp,1564.389,2.8495111304800957
A0027_00_09.bmp,A0027.bmp,1535.3086,4.186615576967597
