dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,20.07308006286621
A0010_00_01.bmp,A0010.bmp,1397.4428,20.30735206604004
A0010_00_02.bmp,A0010.bmp,1543.2459,19.656177520751953
A0010_00_03.bmp,A0010.bmp,1515.0295,20.07253646850586
A0010_00_04.bmp,A0010.bmp,1467.121,20.167865753173828
A0010_00_05.bmp,A0010.bmp,1611.8061,19.234966278076172
A0010_00_06.bmp,A0010.bmp,1513.7124,19.758852005004883
A0010_00_07.bmp,A0010.bmp,1344.9394,19.937971115112305
A0010_00_08.bmp,A0010.bmp,1564.1514,19.710716247558594
A0010_00_09.bmp,A0010.bmp,1545.7206,20.16031265258789
A0010_00_10.bmp,A0010.bmp,1415.4665,20.22178840637207
A0010_00_11.bmp,A0010.bmp,1505.9435,19.58436393737793
A0010_01_00.bmp,A0010.bmp,1582.9888,19.540733337402344
A0010_01_01.bmp,A0010.bmp,1512.4943,19.937532424926758
A0010_01_02.bmp,A0010.bmp,1323.7629,20.03826332092285
A0010_01_03.bmp,A0010.bmp,1614.6601,19.500858306884766
A0010_01_04.bmp,A0010.bmp,1422.955,19.83465003967285
A0010_01_05.bmp,A0010.bmp,1411.2205,20.03271484375
A0010_01_06.bmp,A0010.bmp,1522.4109,19.46317481994629
A0010_01_07.bmp,A0010.bmp,1519.9579,19.90972328186035
A0010_01_08.bmp,A0010.bmp,1388.8629,20.13858413696289
A0010_01_09.bmp,A0010.bmp,1601.2028,19.265823364257812
A0010_01_10.bmp,A0010.bmp,1557.3595,19.66087532043457
A0010_01_11.bmp,A0010.bmp,1520.3255,19.804292678833008
A0010_01_12.bmp,A0010.bmp,1624.7021,19.252689361572266
A0010_01_13.bmp,A0010.bmp,1611.0104,19.629878997802734
A0010_01_14.bmp,A0010.bmp,1476.5829,19.83131217956543
A0010_01_15.bmp,A0010.bmp,1269.6335,19.810955047607422
A0010_02_00.bmp,A0010.bmp,1491.0261,20.05335807800293
A0010_02_01.bmp,A0010.bmp,1608.3366,20.05335807800293
A0010_02_02.bmp,A0010.bmp,1610.3456,19.45868682861328
A0010_02_03.bmp,A0010.bmp,1561.9819,18.955856323242188
A0010_02_04.bmp,A0010.bmp,1766.5766,16.931116104125977
A0010_02_05.bmp,A0010.bmp,1405.8695,20.268146514892578
A0010_02_06.bmp,A0010.bmp,1475.5644,20.11007308959961
A0010_02_07.bmp,A0010.bmp,1498.3538,19.949506759643555
A0010_02_08.bmp,A0010.bmp,1475.23,19.702482223510742
A0010_02_09.bmp,A0010.bmp,1488.6213,19.090755462646484
A0010_03_00.bmp,A0010.bmp,1408.4934,19.297637939453125
A0010_03_01.bmp,A0010.bmp,1526.7626,19.154678344726562
A0010_03_02.bmp,A0010.bmp,1377.6437,19.30168342590332
A0010_03_03.bmp,A0010.bmp,1471.8775,19.80019760131836
A0010_03_04.bmp,A0010.bmp,1425.4631,19.80019760131836
A0010_03_05.bmp,A0010.bmp,1479.0004,19.800201416015625
A0010_03_06.bmp,A0010.bmp,1580.8948,18.673845291137695
A0010_03_07.bmp,A0010.bmp,1426.1284,19.906702041625977
A0010_03_08.bmp,A0010.bmp,1415.89,19.7628231048584
A0010_03_09.bmp,A0010.bmp,1381.5384,19.04324722290039
A0010_03_10.bmp,A0010.bmp,1506.5598,19.7312068939209
A0010_03_11.bmp,A0010.bmp,1478.4784,19.431814193725586
A0010_03_12.bmp,A0010.bmp,1534.4737,18.99724769592285
A0010_03_13.bmp,A0010.bmp,1440.0787,18.981008529663086
A0010_03_14.bmp,A0010.bmp,1536.5628,19.6500301361084
A0010_03_15.bmp,A0010.bmp,1520.6863,19.434450149536133
A0010_03_16.bmp,A0010.bmp,1446.7638,19.782426834106445
A0010_03_17.bmp,A0010.bmp,1489.3506,18.92700958251953
A0010_03_18.bmp,A0010.bmp,1460.723,19.053823471069336
A0010_03_19.bmp,A0010.bmp,1479.9531,19.074661254882812
A0010_03_20.bmp,A0010.bmp,1385.6622,19.335285186767578
A0010_03_21.bmp,A0010.bmp,1465.8225,19.29912757873535
A0010_03_22.bmp,A0010.bmp,1370.8739,18.914663314819336
A0010_03_23.bmp,A0010.bmp,1125.5982,19.19771957397461
A0010_04_00.bmp,A0010.bmp,1509.0292,19.218059539794922
A0010_04_01.bmp,A0010.bmp,1402.8599,19.3430118560791
A0010_04_02.bmp,A0010.bmp,1609.3235,19.203779220581055
A0010_04_03.bmp,A0010.bmp,1501.5939,19.379884719848633
A0010_04_04.bmp,A0010.bmp,1297.2529,19.367904663085938
A0010_04_05.bmp,A0010.bmp,1658.0922,19.284961700439453
A0010_04_06.bmp,A0010.bmp,1373.4376,19.382301330566406
A0010_04_07.bmp,A0010.bmp,1172.6235,18.91021156311035
A0010_04_08.bmp,A0010.bmp,1565.2755,19.258325576782227
A0010_04_09.bmp,A0010.bmp,1426.469,19.604570388793945
A0010_04_10.bmp,A0010.bmp,1292.4061,19.62963104248047
A0010_04_11.bmp,A0010.bmp,1385.4119,19.32155990600586
A0010_04_12.bmp,A0010.bmp,1558.8749,19.22884178161621
A0010_05_00.bmp,A0010.bmp,1361.9307,19.65090560913086
A0010_05_01.bmp,A0010.bmp,1170.8325,19.670886993408203
A0010_05_02.bmp,A0010.bmp,1207.2384,19.77684211730957
A0010_05_03.bmp,A0010.bmp,1077.6272,19.522289276123047
A0010_05_04.bmp,A0010.bmp,1404.0243,18.90549087524414
A0010_05_05.bmp,A0010.bmp,1221.4828,19.14933967590332
A0010_05_06.bmp,A0010.bmp,1261.8705,18.681791305541992
A0010_05_07.bmp,A0010.bmp,1162.8322,19.002574920654297
A0010_05_08.bmp,A0010.bmp,1172.661,19.35303497314453
A0010_05_09.bmp,A0010.bmp,1306.6648,19.39713478088379
A0010_05_10.bmp,A0010.bmp,1450.2316,19.260181427001953
A0010_05_11.bmp,A0010.bmp,1466.0508,19.715316772460938
A0010_05_12.bmp,A0010.bmp,1443.5308,19.704710006713867
A0010_05_13.bmp,A0010.bmp,1311.4694,18.673845291137695
A0010_06_00.bmp,A0010.bmp,1387.61,19.703092575073242
A0010_06_01.bmp,A0010.bmp,1333.7489,19.651268005371094
A0010_06_02.bmp,A0010.bmp,1409.3063,20.096324920654297
A0010_06_03.bmp,A0010.bmp,1469.992,19.902545928955078
A0010_06_04.bmp,A0010.bmp,1300.1184,18.950035095214844
A0010_06_05.bmp,A0010.bmp,1543.7025,19.01561737060547
A0010_06_06.bmp,A0010.bmp,1611.7125,13.954727172851562
A0010_06_07.bmp,A0010.bmp,1574.8528,16.462356567382812
A0010_06_08.bmp,A0010.bmp,1609.7277,18.481008529663086
A0010_06_09.bmp,A0010.bmp,1537.3276,17.971961975097656
A0010_06_10.bmp,A0010.bmp,1471.1686,16.699678421020508
A0010_06_11.bmp,A0010.bmp,1448.703,20.2147216796875
A0010_06_12.bmp,A0010.bmp,1379.718,20.357839584350586
A0010_06_13.bmp,A0010.bmp,1292.3206,20.363903045654297
A0010_06_14.bmp,A0010.bmp,1408.9503,20.22964859008789
A0010_06_15.bmp,A0010.bmp,1262.8769,20.055068969726562
A0010_06_16.bmp,A0010.bmp,1521.1994,19.058326721191406
A0010_06_17.bmp,A0010.bmp,1529.3003,19.214632034301758
A0010_06_18.bmp,A0010.bmp,1495.014,19.389341354370117
A0010_06_19.bmp,A0010.bmp,1545.1425,18.361942291259766
A0010_06_20.bmp,A0010.bmp,1442.0158,18.473270416259766
A0010_06_21.bmp,A0010.bmp,1585.556,18.778928756713867
A0010_06_22.bmp,A0010.bmp,1498.1973,18.813899993896484
A0010_06_23.bmp,A0010.bmp,1511.4752,18.87620735168457
A0010_06_24.bmp,A0010.bmp,1591.1947,18.76895523071289
A0010_06_25.bmp,A0010.bmp,1462.0684,18.57491111755371
A0010_06_26.bmp,A0010.bmp,1463.3668,18.611366271972656
A0027_00_00.bmp,A0027.bmp,1519.3898,19.643497467041016
A0027_00_01.bmp,A0027.bmp,1381.7487,19.79496192932129
A0027_00_02.bmp,A0027.bmp,1604.4955,19.115840911865234
A0027_00_03.bmp,A0027.bmp,1454.7168,19.556514739990234
A0027_00_04.bmp,A0027.bmp,1449.7403,19.62097930908203
A0027_00_05.bmp,A0027.bmp,1537.2687,18.599441528320312
A0027_00_06.bmp,A0027.bmp,1520.1301,19.07343292236328
A0027_00_07.bmp,A0027.bmp,1372.4774,19.16650390625
A0027_00_08.bmp,A0027.bmp,1564.389,19.18547248840332
A0027_00_09.bmp,A0027.bmp,1535.3086,19.650474548339844
A0027_00_10.bmp,A0027.bmp,1463.0032,19.62236976623535
A0027_00_11.bmp,A0027.bmp,1411.7324,19.039993286132812
A0027_01_00.bmp,A0027.bmp,1517.0844,18.973417282104492
A0027_01_01.bmp,A0027.bmp,1469.559,19.398733139038086
A0027_01_02.bmp,A0027.bmp,1396.2018,19.45642852783203
A0027_01_03.bmp,A0027.bmp,1496.3854,18.95970344543457
A0027_01_04.bmp,A0027.bmp,1483.8521,19.30005645751953
A0027_01_05.bmp,A0027.bmp,1427.1132,19.442401885986328
A0027_01_06.bmp,A0027.bmp,1414.8166,18.878711700439453
A0027_01_07.bmp,A0027.bmp,1541.448,19.25066375732422
A0027_01_08.bmp,A0027.bmp,1378.4026,19.454355239868164
A0027_01_09.bmp,A0027.bmp,1530.1634,18.85028076171875
A0027_01_10.bmp,A0027.bmp,1436.9101,19.080883026123047
