dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.23555302619934082
A0010_00_01.bmp,A0010.bmp,1397.4428,0.37996041774749756
A0010_00_02.bmp,A0010.bmp,1543.2459,0.11456343531608582
A0010_00_03.bmp,A0010.bmp,1515.0295,0.29147613048553467
A0010_00_04.bmp,A0010.bmp,1467.121,0.3901910185813904
A0010_00_05.bmp,A0010.bmp,1611.8061,0.0961916446685791
A0010_00_06.bmp,A0010.bmp,1513.7124,0.2832818329334259
A0010_00_07.bmp,A0010.bmp,1344.9394,0.3929048180580139
A0010_00_08.bmp,A0010.bmp,1564.1514,0.12985166907310486
A0010_00_09.bmp,A0010.bmp,1545.7206,0.31860554218292236
A0010_00_10.bmp,A0010.bmp,1415.4665,0.42099422216415405
A0010_00_11.bmp,A0010.bmp,1505.9435,0.1024697870016098
A0010_01_00.bmp,A0010.bmp,1582.9888,0.08419601619243622
A0010_01_01.bmp,A0010.bmp,1512.4943,0.22173646092414856
A0010_01_02.bmp,A0010.bmp,1323.7629,0.3110094666481018
A0010_01_03.bmp,A0010.bmp,1614.6601,0.07135225832462311
A0010_01_04.bmp,A0010.bmp,1422.955,0.21308444440364838
A0010_01_05.bmp,A0010.bmp,1411.2205,0.299442857503891
A0010_01_06.bmp,A0010.bmp,1522.4109,0.0952925831079483
A0010_01_07.bmp,A0010.bmp,1519.9579,0.2760201096534729
A0010_01_08.bmp,A0010.bmp,1388.8629,0.3941511809825897
A0010_01_09.bmp,A0010.bmp,1601.2028,0.06528245657682419
A0010_01_10.bmp,A0010.bmp,1557.3595,0.18069854378700256
A0010_01_11.bmp,A0010.bmp,1520.3255,0.2898821234703064
A0010_01_12.bmp,A0010.bmp,1624.7021,0.06477778404951096
A0010_01_13.bmp,A0010.bmp,1611.0104,0.1751205027103424
A0010_01_14.bmp,A0010.bmp,1476.5829,0.2909157872200012
A0010_01_15.bmp,A0010.bmp,1269.6335,0.4549499750137329
A0010_02_00.bmp,A0010.bmp,1491.0261,0.21628133952617645
A0010_02_01.bmp,A0010.bmp,1608.3366,0.21628133952617645
A0010_02_02.bmp,A0010.bmp,1610.3456,0.08698126673698425
A0010_02_03.bmp,A0010.bmp,1561.9819,0.039382562041282654
A0010_02_04.bmp,A0010.bmp,1766.5766,0.16573083400726318
A0010_02_05.bmp,A0010.bmp,1405.8695,0.387241005897522
A0010_02_06.bmp,A0010.bmp,1475.5644,0.34472060203552246
A0010_02_07.bmp,A0010.bmp,1498.3538,0.32836514711380005
A0010_02_08.bmp,A0010.bmp,1475.23,0.32253849506378174
A0010_02_09.bmp,A0010.bmp,1488.6213,0.337253212928772
A0010_03_00.bmp,A0010.bmp,1408.4934,0.2143784612417221
A0010_03_01.bmp,A0010.bmp,1526.7626,0.19822512567043304
A0010_03_02.bmp,A0010.bmp,1377.6437,0.23680099844932556
A0010_03_03.bmp,A0010.bmp,1471.8775,0.2721533179283142
A0010_03_04.bmp,A0010.bmp,1425.4631,0.2721533179283142
A0010_03_05.bmp,A0010.bmp,1479.0004,0.27215301990509033
A0010_03_06.bmp,A0010.bmp,1580.8948,0.16315624117851257
A0010_03_07.bmp,A0010.bmp,1426.1284,0.30572906136512756
A0010_03_08.bmp,A0010.bmp,1415.89,0.2696065604686737
A0010_03_09.bmp,A0010.bmp,1381.5384,0.2272169291973114
A0010_03_10.bmp,A0010.bmp,1506.5598,0.21947193145751953
A0010_03_11.bmp,A0010.bmp,1478.4784,0.16450896859169006
A0010_03_12.bmp,A0010.bmp,1534.4737,0.18088902533054352
A0010_03_13.bmp,A0010.bmp,1440.0787,0.14549753069877625
A0010_03_14.bmp,A0010.bmp,1536.5628,0.22581201791763306
A0010_03_15.bmp,A0010.bmp,1520.6863,0.1924971640110016
A0010_03_16.bmp,A0010.bmp,1446.7638,0.22950124740600586
A0010_03_17.bmp,A0010.bmp,1489.3506,0.17460131645202637
A0010_03_18.bmp,A0010.bmp,1460.723,0.1815222203731537
A0010_03_19.bmp,A0010.bmp,1479.9531,0.1616213023662567
A0010_03_20.bmp,A0010.bmp,1385.6622,0.3290475606918335
A0010_03_21.bmp,A0010.bmp,1465.8225,0.40888604521751404
A0010_03_22.bmp,A0010.bmp,1370.8739,0.32208168506622314
A0010_03_23.bmp,A0010.bmp,1125.5982,0.39860671758651733
A0010_04_00.bmp,A0010.bmp,1509.0292,0.19251742959022522
A0010_04_01.bmp,A0010.bmp,1402.8599,0.27363333106040955
A0010_04_02.bmp,A0010.bmp,1609.3235,0.16709649562835693
A0010_04_03.bmp,A0010.bmp,1501.5939,0.24032244086265564
A0010_04_04.bmp,A0010.bmp,1297.2529,0.3309650719165802
A0010_04_05.bmp,A0010.bmp,1658.0922,0.1871841996908188
A0010_04_06.bmp,A0010.bmp,1373.4376,0.3042041063308716
A0010_04_07.bmp,A0010.bmp,1172.6235,0.3730149567127228
A0010_04_08.bmp,A0010.bmp,1565.2755,0.1866227686405182
A0010_04_09.bmp,A0010.bmp,1426.469,0.3076779246330261
A0010_04_10.bmp,A0010.bmp,1292.4061,0.3784787356853485
A0010_04_11.bmp,A0010.bmp,1385.4119,0.2858182191848755
A0010_04_12.bmp,A0010.bmp,1558.8749,0.14184269309043884
A0010_05_00.bmp,A0010.bmp,1361.9307,0.327903687953949
A0010_05_01.bmp,A0010.bmp,1170.8325,0.5000333786010742
A0010_05_02.bmp,A0010.bmp,1207.2384,0.42220985889434814
A0010_05_03.bmp,A0010.bmp,1077.6272,0.6155843734741211
A0010_05_04.bmp,A0010.bmp,1404.0243,0.25137415528297424
A0010_05_05.bmp,A0010.bmp,1221.4828,0.3613496720790863
A0010_05_06.bmp,A0010.bmp,1261.8705,0.36484992504119873
A0010_05_07.bmp,A0010.bmp,1162.8322,0.4440532326698303
A0010_05_08.bmp,A0010.bmp,1172.661,0.47587162256240845
A0010_05_09.bmp,A0010.bmp,1306.6648,0.4000083804130554
A0010_05_10.bmp,A0010.bmp,1450.2316,0.2915067672729492
A0010_05_11.bmp,A0010.bmp,1466.0508,0.17874690890312195
A0010_05_12.bmp,A0010.bmp,1443.5308,0.17291292548179626
A0010_05_13.bmp,A0010.bmp,1311.4694,0.16315624117851257
A0010_06_00.bmp,A0010.bmp,1387.61,0.2522953152656555
A0010_06_01.bmp,A0010.bmp,1333.7489,0.24394039809703827
A0010_06_02.bmp,A0010.bmp,1409.3063,0.34950771927833557
A0010_06_03.bmp,A0010.bmp,1469.992,0.3164535164833069
A0010_06_04.bmp,A0010.bmp,1300.1184,0.20613844692707062
A0010_06_05.bmp,A0010.bmp,1543.7025,0.10958261787891388
A0010_06_06.bmp,A0010.bmp,1611.7125,0.2966417670249939
