dis,ref,mos,pred
A0010_00_00.bmp,A0010.bmp,1492.1312,0.05885513871908188
A0010_00_01.bmp,A0010.bmp,1397.4428,0.07043249160051346
A0010_00_02.bmp,A0010.bmp,1543.2459,0.055878330022096634
A0010_00_03.bmp,A0010.bmp,1515.0295,0.062011782079935074
A0010_00_04.bmp,A0010.bmp,1467.121,0.06508612632751465
A0010_00_05.bmp,A0010.bmp,1611.8061,0.05952013283967972
A0010_00_06.bmp,A0010.bmp,1513.7124,0.0659925788640976
A0010_00_07.bmp,A0010.bmp,1344.9394,0.06683321297168732
A0010_00_08.bmp,A0010.bmp,1564.1514,0.05614496022462845
A0010_00_09.bmp,A0010.bmp,1545.7206,0.06501317024230957
A0010_00_10.bmp,A0010.bmp,1415.4665,0.0702938586473465
A0010_00_11.bmp,A0010.bmp,1505.9435,0.05463892221450806
A0010_01_00.bmp,A0010.bmp,1582.9888,0.055574286729097366
A0010_01_01.bmp,A0010.bmp,1512.4943,0.06056606397032738
A0010_01_02.bmp,A0010.bmp,1323.7629,0.06485339254140854
A0010_01_03.bmp,A0010.bmp,1614.6601,0.05532573536038399
A0010_01_04.bmp,A0010.bmp,1422.955,0.06500886380672455
A0010_01_05.bmp,A0010.bmp,1411.2205,0.06698363274335861
A0010_01_06.bmp,A0010.bmp,1522.4109,0.05688557028770447
A0010_01_07.bmp,A0010.bmp,1519.9579,0.06386171281337738
A0010_01_08.bmp,A0010.bmp,1388.8629,0.06781571358442307
A0010_01_09.bmp,A0010.bmp,1601.2028,0.044542234390974045
A0010_01_10.bmp,A0010.bmp,1557.3595,0.061983995139598846
A0010_01_11.bmp,A0010.bmp,1520.3255,0.07025613635778427
A0010_01_12.bmp,A0010.bmp,1624.7021,0.04054013639688492
A0010_01_13.bmp,A0010.bmp,1611.0104,0.06313378363847733
A0010_01_14.bmp,A0010.bmp,1476.5829,0.06547861546278
A0010_01_15.bmp,A0010.bmp,1269.6335,0.06984987109899521
A0010_02_00.bmp,A0010.bmp,1491.0261,0.04907328635454178
A0010_02_01.bmp,A0010.bmp,1608.3366,0.04907328635454178
A0010_02_02.bmp,A0010.bmp,1610.3456,0.05135795846581459
A0010_02_03.bmp,A0010.bmp,1561.9819,0.05198110640048981
A0010_02_04.bmp,A0010.bmp,1766.5766,0.06531640887260437
A0010_02_05.bmp,A0010.bmp,1405.8695,0.06522185355424881
A0010_02_06.bmp,A0010.bmp,1475.5644,0.06721809506416321
A0010_02_07.bmp,A0010.bmp,1498.3538,0.0662279725074768
A0010_02_08.bmp,A0010.bmp,1475.23,0.06719128042459488
A0010_02_09.bmp,A0010.bmp,1488.6213,0.06917731463909149
A0010_03_00.bmp,A0010.bmp,1408.4934,0.07049079984426498
A0010_03_01.bmp,A0010.bmp,1526.7626,0.07144015282392502
A0010_03_02.bmp,A0010.bmp,1377.6437,0.07431325316429138
A0010_03_03.bmp,A0010.bmp,1471.8775,0.06522045284509659
A0010_03_04.bmp,A0010.bmp,1425.4631,0.06522045284509659
A0010_03_05.bmp,A0010.bmp,1479.0004,0.06522168219089508
A0010_03_06.bmp,A0010.bmp,1580.8948,0.06480974704027176
A0010_03_07.bmp,A0010.bmp,1426.1284,0.06605880707502365
A0010_03_08.bmp,A0010.bmp,1415.89,0.06904947757720947
A0010_03_09.bmp,A0010.bmp,1381.5384,0.06845307350158691
A0010_03_10.bmp,A0010.bmp,1506.5598,0.06029985845088959
A0010_03_11.bmp,A0010.bmp,1478.4784,0.059527818113565445
A0010_03_12.bmp,A0010.bmp,1534.4737,0.06656123697757721
A0010_03_13.bmp,A0010.bmp,1440.0787,0.06755035370588303
A0010_03_14.bmp,A0010.bmp,1536.5628,0.06580202281475067
A0010_03_15.bmp,A0010.bmp,1520.6863,0.06932900846004486
A0010_03_16.bmp,A0010.bmp,1446.7638,0.06650654226541519
A0010_03_17.bmp,A0010.bmp,1489.3506,0.07265906780958176
A0010_03_18.bmp,A0010.bmp,1460.723,0.06842659413814545
A0010_03_19.bmp,A0010.bmp,1479.9531,0.06965044140815735
A0010_03_20.bmp,A0010.bmp,1385.6622,0.07562529295682907
A0010_03_21.bmp,A0010.bmp,1465.8225,0.07432691752910614
A0010_03_22.bmp,A0010.bmp,1370.8739,0.07313971221446991
A0010_03_23.bmp,A0010.bmp,1125.5982,0.0665230005979538
A0010_04_00.bmp,A0010.bmp,1509.0292,0.052935268729925156
A0010_04_01.bmp,A0010.bmp,1402.8599,0.06530065834522247
A0010_04_02.bmp,A0010.bmp,1609.3235,0.03730689734220505
