dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.28271484375
i01_01_2.bmp,I01.BMP,94.43243,1.3323567708333333
i01_01_3.bmp,I01.BMP,95.05556,1.38616943359375
i01_01_4.bmp,I01.BMP,95.62162000000001,1.4753011067708333
i01_01_5.bmp,I01.BMP,96.13514,1.5743611653645833
i01_02_1.bmp,I01.BMP,93.97143,1.25506591796875
i01_02_2.bmp,I01.BMP,93.89189,1.2832234700520833
i01_02_3.bmp,I01.BMP,94.61111,1.3283487955729167
i01_02_4.bmp,I01.BMP,95.28571,1.3957316080729167
i01_02_5.bmp,I01.BMP,95.63889,1.4649658203125
i01_03_1.bmp,I01.BMP,95.22857,1.3137613932291667
i01_03_2.bmp,I01.BMP,95.72973,1.3837076822916667
i01_03_3.bmp,I01.BMP,96.2973,1.4549967447916667
i01_03_4.bmp,I01.BMP,96.80556,1.5589599609375
i01_03_5.bmp,I01.BMP,97.28571,1.6827189127604167
i01_04_1.bmp,I01.BMP,94.02857,1.24481201171875
i01_04_2.bmp,I01.BMP,94.24324,1.2835896809895833
i01_04_3.bmp,I01.BMP,94.72973,1.3272298177083333
i01_04_4.bmp,I01.BMP,94.75676,1.3841145833333333
i01_04_5.bmp,I01.BMP,95.28571,1.4739990234375
i01_05_1.bmp,I01.BMP,94.08108,1.2929484049479167
i01_05_2.bmp,I01.BMP,94.2973,1.3241780598958333
i01_05_3.bmp,I01.BMP,94.91667,1.4028523763020833
i01_05_4.bmp,I01.BMP,95.86111,1.5458780924479167
i01_05_5.bmp,I01.BMP,96.86111,1.724853515625
i01_06_1.bmp,I01.BMP,96.0,1.3501383463541667
i01_06_2.bmp,I01.BMP,96.10811,1.4193522135416667
i01_06_3.bmp,I01.BMP,96.27027,1.4881184895833333
i01_06_4.bmp,I01.BMP,96.51429,1.55181884765625
i01_06_5.bmp,I01.BMP,97.05556,1.6293741861979167
i01_07_1.bmp,I01.BMP,94.91667,1.2804158528645833
i01_07_2.bmp,I01.BMP,95.25,1.3746744791666667
i01_07_3.bmp,I01.BMP,96.0,1.4451497395833333
i01_07_4.bmp,I01.BMP,96.77778,1.552734375
i01_07_5.bmp,I01.BMP,97.80556,1.691650390625
i01_08_1.bmp,I01.BMP,94.81081,1.1666768391927083
i01_08_2.bmp,I01.BMP,95.52778,1.2932942708333333
i01_08_3.bmp,I01.BMP,96.51351,1.4739176432291667
i01_08_4.bmp,I01.BMP,97.0,1.6501668294270833
i01_08_5.bmp,I01.BMP,97.88889,1.8070068359375
i01_09_1.bmp,I01.BMP,93.91667,1.29986572265625
i01_09_2.bmp,I01.BMP,94.83333,1.378662109375
i01_09_3.bmp,I01.BMP,95.57143,1.52862548828125
i01_09_4.bmp,I01.BMP,97.18919,1.7127482096354167
i01_09_5.bmp,I01.BMP,98.45946,1.8851318359375
i01_10_1.bmp,I01.BMP,94.02703,1.23956298828125
i01_10_2.bmp,I01.BMP,94.05405,1.3100789388020833
i01_10_3.bmp,I01.BMP,95.08333,1.4957682291666667
i01_10_4.bmp,I01.BMP,96.78378000000001,1.7030436197916667
i01_10_5.bmp,I01.BMP,97.91892,1.8899943033854167
I01_11_1.BMP,I01.BMP,94.08571,1.25665283203125
i01_11_2.bmp,I01.BMP,94.32432,1.354736328125
i01_11_3.bmp,I01.BMP,95.30556,1.4601236979166667
i01_11_4.bmp,I01.BMP,96.32432,1.6706339518229167
i01_11_5.bmp,I01.BMP,98.54054,1.9462483723958333
i01_12_1.bmp,I01.BMP,94.05405,1.1963907877604167
i01_12_2.bmp,I01.BMP,94.13514,1.1719767252604167
i01_12_3.bmp,I01.BMP,95.78378000000001,1.3839925130208333
i01_12_4.bmp,I01.BMP,96.16667,1.5219930013020833
i01_12_5.bmp,I01.BMP,96.56757,1.68951416015625
I01_13_1.BMP,I01.BMP,94.54054,1.1922403971354167
i01_13_2.bmp,I01.BMP,96.08571,1.3168131510416667
i01_13_3.bmp,I01.BMP,96.72222,1.4152018229166667
i01_13_4.bmp,I01.BMP,96.83333,1.50653076171875
i01_13_5.bmp,I01.BMP,96.89189,1.496337890625
i01_14_1.bmp,I01.BMP,94.30556,1.127288818359375
i01_14_2.bmp,I01.BMP,93.94595,1.12188720703125
i01_14_3.bmp,I01.BMP,94.24324,1.178131103515625
i01_14_4.bmp,I01.BMP,94.44444,1.2432047526041667
i01_14_5.bmp,I01.BMP,95.52941,1.33587646484375
i01_15_1.bmp,I01.BMP,97.16667,1.3951619466145833
i01_15_2.bmp,I01.BMP,97.17143,1.3569132486979167
i01_15_3.bmp,I01.BMP,96.89189,1.32757568359375
i01_15_4.bmp,I01.BMP,96.41667,1.2717081705729167
i01_15_5.bmp,I01.BMP,96.10811,1.2203776041666667
i01_16_1.bmp,I01.BMP,94.19444,1.1053568522135417
i01_16_2.bmp,I01.BMP,93.94595,1.109466552734375
i01_16_3.bmp,I01.BMP,95.11111,1.105438232421875
i01_16_4.bmp,I01.BMP,94.97222,1.113250732421875
i01_16_5.bmp,I01.BMP,95.80556,1.1468709309895833
i01_17_1.bmp,I01.BMP,94.64865,1.114349365234375
i01_17_2.bmp,I01.BMP,93.37837999999999,1.1220499674479167
i01_17_3.bmp,I01.BMP,95.91892,1.148040771484375
i01_17_4.bmp,I01.BMP,93.75676,1.1729227701822917
i01_17_5.bmp,I01.BMP,97.02857,1.26776123046875
i01_18_1.bmp,I01.BMP,95.37837999999999,1.133148193359375
i01_18_2.bmp,I01.BMP,95.77778,1.1598714192708333
i01_18_3.bmp,I01.BMP,96.22857,1.2035420735677083
i01_18_4.bmp,I01.BMP,96.52778,1.263671875
i01_18_5.bmp,I01.BMP,96.58333,1.2611490885416667
i01_19_1.bmp,I01.BMP,94.05556,1.27001953125
i01_19_2.bmp,I01.BMP,94.52778,1.3164469401041667
i01_19_3.bmp,I01.BMP,94.91892,1.37744140625
i01_19_4.bmp,I01.BMP,95.47222,1.4620768229166667
i01_19_5.bmp,I01.BMP,96.05556,1.5734659830729167
i01_20_1.bmp,I01.BMP,94.14286,1.1764119466145833
i01_20_2.bmp,I01.BMP,94.16667,1.2050374348958333
i01_20_3.bmp,I01.BMP,93.97222,1.2425944010416667
i01_20_4.bmp,I01.BMP,94.91667,1.3531494140625
i01_20_5.bmp,I01.BMP,95.66667,1.4447428385416667
i01_21_1.bmp,I01.BMP,94.2973,1.26812744140625
i01_21_2.bmp,I01.BMP,94.72222,1.3272908528645833
i01_21_3.bmp,I01.BMP,95.32432,1.4480387369791667
i01_21_4.bmp,I01.BMP,95.94286,1.6026407877604167
i01_21_5.bmp,I01.BMP,96.94595,1.752685546875
i01_22_1.bmp,I01.BMP,94.44444,1.3028971354166667
i01_22_2.bmp,I01.BMP,94.81081,1.3862508138020833
i01_22_3.bmp,I01.BMP,95.69444,1.4767252604166667
i01_22_4.bmp,I01.BMP,96.83784,1.5755208333333333
i01_22_5.bmp,I01.BMP,97.80556,1.8229166666666667
i01_23_1.bmp,I01.BMP,93.71429,1.221221923828125
i01_23_2.bmp,I01.BMP,94.38889,1.3100382486979167
i01_23_3.bmp,I01.BMP,94.22222,1.3813883463541667
i01_23_4.bmp,I01.BMP,95.19444,1.479248046875
i01_23_5.bmp,I01.BMP,97.59459,1.7894287109375
i01_24_1.bmp,I01.BMP,94.2973,1.24951171875
i01_24_2.bmp,I01.BMP,94.41667,1.3465372721354167
i01_24_3.bmp,I01.BMP,94.89189,1.4897054036458333
i01_24_4.bmp,I01.BMP,96.91892,1.6945393880208333
i01_24_5.bmp,I01.BMP,99.54054,1.9167887369791667
I02_01_1.bmp,I02.BMP,94.25713999999999,1.27056884765625
i02_01_2.bmp,I02.BMP,94.65714,1.32794189453125
i02_01_3.bmp,I02.BMP,94.77778,1.4318033854166667
i02_01_4.bmp,I02.BMP,95.80556,1.5375569661458333
i02_01_5.bmp,I02.BMP,96.02703,1.63116455078125
i02_02_1.bmp,I02.BMP,93.94444,1.2101033528645833
i02_02_2.bmp,I02.BMP,93.94595,1.2578531901041667
i02_02_3.bmp,I02.BMP,94.11111,1.3266398111979167
i02_02_4.bmp,I02.BMP,94.7027,1.409912109375
i02_02_5.bmp,I02.BMP,95.61111,1.51531982421875
i02_03_1.bmp,I02.BMP,95.2,1.2896728515625
i02_03_2.bmp,I02.BMP,95.56757,1.391845703125
i02_03_3.bmp,I02.BMP,96.16216,1.51861572265625
i02_03_4.bmp,I02.BMP,96.47222,1.6358235677083333
i02_03_5.bmp,I02.BMP,97.08108,1.75323486328125
i02_04_1.bmp,I02.BMP,93.71429,1.2158406575520833
i02_04_2.bmp,I02.BMP,93.83784,1.2864990234375
i02_04_3.bmp,I02.BMP,94.80556,1.3685709635416667
i02_04_4.bmp,I02.BMP,95.25713999999999,1.4701944986979167
i02_04_5.bmp,I02.BMP,95.71429,1.58172607421875
i02_05_1.bmp,I02.BMP,93.88235,1.2522786458333333
i02_05_2.bmp,I02.BMP,93.88889,1.31658935546875
i02_05_3.bmp,I02.BMP,94.56757,1.4643961588541667
i02_05_4.bmp,I02.BMP,95.62162000000001,1.6066080729166667
i02_05_5.bmp,I02.BMP,96.58333,1.7486165364583333
i02_06_1.bmp,I02.BMP,95.44444,1.364990234375
i02_06_2.bmp,I02.BMP,95.72222,1.4676920572916667
i02_06_3.bmp,I02.BMP,96.27027,1.5895792643229167
i02_06_4.bmp,I02.BMP,96.51429,1.6951700846354167
i02_06_5.bmp,I02.BMP,96.89189,1.79290771484375
i02_07_1.bmp,I02.BMP,94.08571,1.2870890299479167
i02_07_2.bmp,I02.BMP,94.41667,1.3969523111979167
i02_07_3.bmp,I02.BMP,96.23529,1.506103515625
i02_07_4.bmp,I02.BMP,96.24324,1.5619710286458333
i02_07_5.bmp,I02.BMP,97.14286,1.6379191080729167
