dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.0951436360677083
i01_01_2.bmp,I01.BMP,94.43243,1.1561075846354167
i01_01_3.bmp,I01.BMP,95.05556,1.2353108723958333
i01_01_4.bmp,I01.BMP,95.62162000000001,1.34332275390625
i01_01_5.bmp,I01.BMP,96.13514,1.4569091796875
i01_02_1.bmp,I01.BMP,93.97143,1.0693461100260417
i01_02_2.bmp,I01.BMP,93.89189,1.1110026041666667
i01_02_3.bmp,I01.BMP,94.61111,1.168975830078125
i01_02_4.bmp,I01.BMP,95.28571,1.24066162109375
i01_02_5.bmp,I01.BMP,95.63889,1.3357137044270833
i01_03_1.bmp,I01.BMP,95.22857,1.1888326009114583
i01_03_2.bmp,I01.BMP,95.72973,1.26507568359375
i01_03_3.bmp,I01.BMP,96.2973,1.3475341796875
i01_03_4.bmp,I01.BMP,96.80556,1.4724934895833333
i01_03_5.bmp,I01.BMP,97.28571,1.6146240234375
i01_04_1.bmp,I01.BMP,94.02857,1.0417887369791667
i01_04_2.bmp,I01.BMP,94.24324,1.0883992513020833
i01_04_3.bmp,I01.BMP,94.72973,1.14752197265625
i01_04_4.bmp,I01.BMP,94.75676,1.20660400390625
i01_04_5.bmp,I01.BMP,95.28571,1.29217529296875
i01_05_1.bmp,I01.BMP,94.08108,1.0791829427083333
i01_05_2.bmp,I01.BMP,94.2973,1.12615966796875
i01_05_3.bmp,I01.BMP,94.91667,1.2336018880208333
i01_05_4.bmp,I01.BMP,95.86111,1.4057820638020833
i01_05_5.bmp,I01.BMP,96.86111,1.6220703125
i01_06_1.bmp,I01.BMP,96.0,1.1900634765625
i01_06_2.bmp,I01.BMP,96.10811,1.2513631184895833
i01_06_3.bmp,I01.BMP,96.27027,1.33258056640625
i01_06_4.bmp,I01.BMP,96.51429,1.4075927734375
i01_06_5.bmp,I01.BMP,97.05556,1.5179443359375
i01_07_1.bmp,I01.BMP,94.91667,1.0896708170572917
i01_07_2.bmp,I01.BMP,95.25,1.1739705403645833
i01_07_3.bmp,I01.BMP,96.0,1.260498046875
i01_07_4.bmp,I01.BMP,96.77778,1.4049479166666667
i01_07_5.bmp,I01.BMP,97.80556,1.5774739583333333
i01_08_1.bmp,I01.BMP,94.81081,1.083770751953125
i01_08_2.bmp,I01.BMP,95.52778,1.2085164388020833
i01_08_3.bmp,I01.BMP,96.51351,1.3687540690104167
i01_08_4.bmp,I01.BMP,97.0,1.5688273111979167
i01_08_5.bmp,I01.BMP,97.88889,1.7709554036458333
i01_09_1.bmp,I01.BMP,93.91667,1.1767374674479167
i01_09_2.bmp,I01.BMP,94.83333,1.2689208984375
i01_09_3.bmp,I01.BMP,95.57143,1.4332275390625
i01_09_4.bmp,I01.BMP,97.18919,1.6191202799479167
i01_09_5.bmp,I01.BMP,98.45946,1.8160807291666667
i01_10_1.bmp,I01.BMP,94.02703,1.1014200846354167
i01_10_2.bmp,I01.BMP,94.05405,1.188629150390625
i01_10_3.bmp,I01.BMP,95.08333,1.3649088541666667
i01_10_4.bmp,I01.BMP,96.78378000000001,1.5799763997395833
i01_10_5.bmp,I01.BMP,97.91892,1.8092244466145833
I01_11_1.BMP,I01.BMP,94.08571,1.1147054036458333
i01_11_2.bmp,I01.BMP,94.32432,1.2162272135416667
i01_11_3.bmp,I01.BMP,95.30556,1.33477783203125
i01_11_4.bmp,I01.BMP,96.32432,1.5845743815104167
i01_11_5.bmp,I01.BMP,98.54054,1.896484375
i01_12_1.bmp,I01.BMP,94.05405,1.0517781575520833
i01_12_2.bmp,I01.BMP,94.13514,1.0428059895833333
i01_12_3.bmp,I01.BMP,95.78378000000001,1.2292683919270833
i01_12_4.bmp,I01.BMP,96.16667,1.3912760416666667
i01_12_5.bmp,I01.BMP,96.56757,1.5715535481770833
I01_13_1.BMP,I01.BMP,94.54054,1.0253397623697917
i01_13_2.bmp,I01.BMP,96.08571,1.1870320638020833
i01_13_3.bmp,I01.BMP,96.72222,1.321044921875
i01_13_4.bmp,I01.BMP,96.83333,1.4103800455729167
i01_13_5.bmp,I01.BMP,96.89189,1.3956502278645833
i01_14_1.bmp,I01.BMP,94.30556,0.9866129557291666
i01_14_2.bmp,I01.BMP,93.94595,0.9856770833333334
i01_14_3.bmp,I01.BMP,94.24324,1.0485636393229167
i01_14_4.bmp,I01.BMP,94.44444,1.1424560546875
i01_14_5.bmp,I01.BMP,95.52941,1.2253621419270833
i01_15_1.bmp,I01.BMP,97.16667,1.2694091796875
i01_15_2.bmp,I01.BMP,97.17143,1.23211669921875
i01_15_3.bmp,I01.BMP,96.89189,1.1997884114583333
i01_15_4.bmp,I01.BMP,96.41667,1.1437174479166667
i01_15_5.bmp,I01.BMP,96.10811,1.0853983561197917
i01_16_1.bmp,I01.BMP,94.19444,0.959381103515625
i01_16_2.bmp,I01.BMP,93.94595,0.9598592122395834
i01_16_3.bmp,I01.BMP,95.11111,0.9622294108072916
i01_16_4.bmp,I01.BMP,94.97222,0.962371826171875
i01_16_5.bmp,I01.BMP,95.80556,1.0057271321614583
i01_17_1.bmp,I01.BMP,94.64865,0.986114501953125
i01_17_2.bmp,I01.BMP,93.37837999999999,0.9351603190104166
i01_17_3.bmp,I01.BMP,95.91892,1.057037353515625
i01_17_4.bmp,I01.BMP,93.75676,0.9731953938802084
i01_17_5.bmp,I01.BMP,97.02857,1.2253214518229167
i01_18_1.bmp,I01.BMP,95.37837999999999,0.9978230794270834
i01_18_2.bmp,I01.BMP,95.77778,1.0248209635416667
i01_18_3.bmp,I01.BMP,96.22857,1.06854248046875
i01_18_4.bmp,I01.BMP,96.52778,1.133026123046875
i01_18_5.bmp,I01.BMP,96.58333,1.13165283203125
i01_19_1.bmp,I01.BMP,94.05556,1.0797627766927083
i01_19_2.bmp,I01.BMP,94.52778,1.1331685384114583
i01_19_3.bmp,I01.BMP,94.91892,1.2179768880208333
i01_19_4.bmp,I01.BMP,95.47222,1.3172607421875
i01_19_5.bmp,I01.BMP,96.05556,1.45263671875
i01_20_1.bmp,I01.BMP,94.14286,0.9924112955729166
i01_20_2.bmp,I01.BMP,94.16667,1.0264892578125
i01_20_3.bmp,I01.BMP,93.97222,1.0914408365885417
i01_20_4.bmp,I01.BMP,94.91667,1.2076416015625
i01_20_5.bmp,I01.BMP,95.66667,1.35601806640625
i01_21_1.bmp,I01.BMP,94.2973,1.077606201171875
i01_21_2.bmp,I01.BMP,94.72222,1.1653238932291667
i01_21_3.bmp,I01.BMP,95.32432,1.311279296875
i01_21_4.bmp,I01.BMP,95.94286,1.4955037434895833
i01_21_5.bmp,I01.BMP,96.94595,1.6892496744791667
i01_22_1.bmp,I01.BMP,94.44444,1.097686767578125
i01_22_2.bmp,I01.BMP,94.81081,1.21221923828125
i01_22_3.bmp,I01.BMP,95.69444,1.3186238606770833
i01_22_4.bmp,I01.BMP,96.83784,1.4222819010416667
i01_22_5.bmp,I01.BMP,97.80556,1.7026163736979167
i01_23_1.bmp,I01.BMP,93.71429,1.0792439778645833
i01_23_2.bmp,I01.BMP,94.38889,1.1656901041666667
i01_23_3.bmp,I01.BMP,94.22222,1.2432657877604167
i01_23_4.bmp,I01.BMP,95.19444,1.3680419921875
i01_23_5.bmp,I01.BMP,97.59459,1.7201131184895833
i01_24_1.bmp,I01.BMP,94.2973,1.11541748046875
i01_24_2.bmp,I01.BMP,94.41667,1.2220458984375
i01_24_3.bmp,I01.BMP,94.89189,1.3720703125
i01_24_4.bmp,I01.BMP,96.91892,1.6111043294270833
i01_24_5.bmp,I01.BMP,99.54054,1.8448689778645833
I02_01_1.bmp,I02.BMP,94.25713999999999,1.07672119140625
i02_01_2.bmp,I02.BMP,94.65714,1.1634114583333333
i02_01_3.bmp,I02.BMP,94.77778,1.2837320963541667
i02_01_4.bmp,I02.BMP,95.80556,1.40692138671875
i02_01_5.bmp,I02.BMP,96.02703,1.5539754231770833
i02_02_1.bmp,I02.BMP,93.94444,1.038726806640625
i02_02_2.bmp,I02.BMP,93.94595,1.09698486328125
i02_02_3.bmp,I02.BMP,94.11111,1.1599527994791667
i02_02_4.bmp,I02.BMP,94.7027,1.2582194010416667
i02_02_5.bmp,I02.BMP,95.61111,1.3814900716145833
i02_03_1.bmp,I02.BMP,95.2,1.1942138671875
i02_03_2.bmp,I02.BMP,95.56757,1.31976318359375
i02_03_3.bmp,I02.BMP,96.16216,1.441162109375
i02_03_4.bmp,I02.BMP,96.47222,1.56939697265625
i02_03_5.bmp,I02.BMP,97.08108,1.70953369140625
i02_04_1.bmp,I02.BMP,93.71429,1.0055440266927083
i02_04_2.bmp,I02.BMP,93.83784,1.0612589518229167
i02_04_3.bmp,I02.BMP,94.80556,1.1424153645833333
i02_04_4.bmp,I02.BMP,95.25713999999999,1.2566731770833333
i02_04_5.bmp,I02.BMP,95.71429,1.3885294596354167
i02_05_1.bmp,I02.BMP,93.88235,1.0329691569010417
i02_05_2.bmp,I02.BMP,93.88889,1.1060994466145833
i02_05_3.bmp,I02.BMP,94.56757,1.2759602864583333
i02_05_4.bmp,I02.BMP,95.62162000000001,1.4744059244791667
i02_05_5.bmp,I02.BMP,96.58333,1.6553141276041667
i02_06_1.bmp,I02.BMP,95.44444,1.2076009114583333
i02_06_2.bmp,I02.BMP,95.72222,1.3363850911458333
i02_06_3.bmp,I02.BMP,96.27027,1.4724527994791667
i02_06_4.bmp,I02.BMP,96.51429,1.5852864583333333
i02_06_5.bmp,I02.BMP,96.89189,1.70135498046875
i02_07_1.bmp,I02.BMP,94.08571,1.1066487630208333
i02_07_2.bmp,I02.BMP,94.41667,1.2228800455729167
i02_07_3.bmp,I02.BMP,96.23529,1.3304036458333333
i02_07_4.bmp,I02.BMP,96.24324,1.42352294921875
i02_07_5.bmp,I02.BMP,97.14286,1.5294189453125
i02_08_1.bmp,I02.BMP,93.89189,1.06787109375
i02_08_2.bmp,I02.BMP,94.83333,1.17852783203125
i02_08_3.bmp,I02.BMP,95.45714,1.34381103515625
i02_08_4.bmp,I02.BMP,96.16216,1.5607096354166667
i02_08_5.bmp,I02.BMP,96.97297,1.755859375
i02_09_1.bmp,I02.BMP,94.0,1.2512613932291667
i02_09_2.bmp,I02.BMP,94.48571,1.3310953776041667
i02_09_3.bmp,I02.BMP,95.47222,1.4809977213541667
i02_09_4.bmp,I02.BMP,96.35135,1.6384073893229167
