dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.5185343424479167
i01_01_2.bmp,I01.BMP,94.43243,1.5355224609375
i01_01_3.bmp,I01.BMP,95.05556,1.5870157877604167
i01_01_4.bmp,I01.BMP,95.62162000000001,1.6373087565104167
i01_01_5.bmp,I01.BMP,96.13514,1.71771240234375
i01_02_1.bmp,I01.BMP,93.97143,1.4998982747395833
i01_02_2.bmp,I01.BMP,93.89189,1.5201212565104167
i01_02_3.bmp,I01.BMP,94.61111,1.5525105794270833
i01_02_4.bmp,I01.BMP,95.28571,1.5987548828125
i01_02_5.bmp,I01.BMP,95.63889,1.65252685546875
i01_03_1.bmp,I01.BMP,95.22857,1.54669189453125
i01_03_2.bmp,I01.BMP,95.72973,1.5994059244791667
i01_03_3.bmp,I01.BMP,96.2973,1.6491292317708333
i01_03_4.bmp,I01.BMP,96.80556,1.7211100260416667
i01_03_5.bmp,I01.BMP,97.28571,1.8089599609375
i01_04_1.bmp,I01.BMP,94.02857,1.49755859375
i01_04_2.bmp,I01.BMP,94.24324,1.5303141276041667
i01_04_3.bmp,I01.BMP,94.72973,1.55987548828125
i01_04_4.bmp,I01.BMP,94.75676,1.5942179361979167
i01_04_5.bmp,I01.BMP,95.28571,1.6452229817708333
i01_05_1.bmp,I01.BMP,94.08108,1.5280354817708333
i01_05_2.bmp,I01.BMP,94.2973,1.5506795247395833
i01_05_3.bmp,I01.BMP,94.91667,1.5973307291666667
i01_05_4.bmp,I01.BMP,95.86111,1.7003377278645833
i01_05_5.bmp,I01.BMP,96.86111,1.7938232421875
i01_06_1.bmp,I01.BMP,96.0,1.5989176432291667
i01_06_2.bmp,I01.BMP,96.10811,1.6458943684895833
i01_06_3.bmp,I01.BMP,96.27027,1.68707275390625
i01_06_4.bmp,I01.BMP,96.51429,1.7201131184895833
i01_06_5.bmp,I01.BMP,97.05556,1.7608235677083333
i01_07_1.bmp,I01.BMP,94.91667,1.53472900390625
i01_07_2.bmp,I01.BMP,95.25,1.5962727864583333
i01_07_3.bmp,I01.BMP,96.0,1.6475830078125
i01_07_4.bmp,I01.BMP,96.77778,1.7462972005208333
i01_07_5.bmp,I01.BMP,97.80556,1.8436279296875
i01_08_1.bmp,I01.BMP,94.81081,1.452392578125
i01_08_2.bmp,I01.BMP,95.52778,1.5634765625
i01_08_3.bmp,I01.BMP,96.51351,1.70428466796875
i01_08_4.bmp,I01.BMP,97.0,1.8179728190104167
i01_08_5.bmp,I01.BMP,97.88889,1.8642171223958333
i01_09_1.bmp,I01.BMP,93.91667,1.5462646484375
i01_09_2.bmp,I01.BMP,94.83333,1.60321044921875
i01_09_3.bmp,I01.BMP,95.57143,1.71337890625
i01_09_4.bmp,I01.BMP,97.18919,1.7980143229166667
i01_09_5.bmp,I01.BMP,98.45946,1.9300537109375
i01_10_1.bmp,I01.BMP,94.02703,1.49420166015625
i01_10_2.bmp,I01.BMP,94.05405,1.53985595703125
i01_10_3.bmp,I01.BMP,95.08333,1.6646931966145833
i01_10_4.bmp,I01.BMP,96.78378000000001,1.8116861979166667
i01_10_5.bmp,I01.BMP,97.91892,1.94622802734375
I01_11_1.BMP,I01.BMP,94.08571,1.50677490234375
i01_11_2.bmp,I01.BMP,94.32432,1.5859375
i01_11_3.bmp,I01.BMP,95.30556,1.6563517252604167
i01_11_4.bmp,I01.BMP,96.32432,1.8009847005208333
i01_11_5.bmp,I01.BMP,98.54054,1.942138671875
i01_12_1.bmp,I01.BMP,94.05405,1.4879557291666667
i01_12_2.bmp,I01.BMP,94.13514,1.431884765625
i01_12_3.bmp,I01.BMP,95.78378000000001,1.54656982421875
i01_12_4.bmp,I01.BMP,96.16667,1.4745686848958333
i01_12_5.bmp,I01.BMP,96.56757,1.73291015625
I01_13_1.BMP,I01.BMP,94.54054,1.4591267903645833
i01_13_2.bmp,I01.BMP,96.08571,1.5608723958333333
i01_13_3.bmp,I01.BMP,96.72222,1.62017822265625
i01_13_4.bmp,I01.BMP,96.83333,1.6923421223958333
i01_13_5.bmp,I01.BMP,96.89189,1.6802978515625
i01_14_1.bmp,I01.BMP,94.30556,1.4173380533854167
i01_14_2.bmp,I01.BMP,93.94595,1.4095865885416667
i01_14_3.bmp,I01.BMP,94.24324,1.4369303385416667
i01_14_4.bmp,I01.BMP,94.44444,1.4858194986979167
i01_14_5.bmp,I01.BMP,95.52941,1.55389404296875
i01_15_1.bmp,I01.BMP,97.16667,1.6017049153645833
i01_15_2.bmp,I01.BMP,97.17143,1.5780843098958333
i01_15_3.bmp,I01.BMP,96.89189,1.5575358072916667
i01_15_4.bmp,I01.BMP,96.41667,1.5315755208333333
i01_15_5.bmp,I01.BMP,96.10811,1.48419189453125
i01_16_1.bmp,I01.BMP,94.19444,1.4037679036458333
i01_16_2.bmp,I01.BMP,93.94595,1.4041748046875
i01_16_3.bmp,I01.BMP,95.11111,1.40472412109375
i01_16_4.bmp,I01.BMP,94.97222,1.4056396484375
i01_16_5.bmp,I01.BMP,95.80556,1.4416707356770833
i01_17_1.bmp,I01.BMP,94.64865,1.4039510091145833
i01_17_2.bmp,I01.BMP,93.37837999999999,1.4284871419270833
i01_17_3.bmp,I01.BMP,95.91892,1.4296671549479167
i01_17_4.bmp,I01.BMP,93.75676,1.47967529296875
i01_17_5.bmp,I01.BMP,97.02857,1.5179239908854167
i01_18_1.bmp,I01.BMP,95.37837999999999,1.4148152669270833
i01_18_2.bmp,I01.BMP,95.77778,1.4306233723958333
