dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,2.7256571451822915
i01_01_2.bmp,I01.BMP,94.43243,2.8543701171875
i01_01_3.bmp,I01.BMP,95.05556,3.03948974609375
i01_01_4.bmp,I01.BMP,95.62162000000001,3.2540690104166665
i01_01_5.bmp,I01.BMP,96.13514,3.5777587890625
i01_02_1.bmp,I01.BMP,93.97143,2.705780029296875
i01_02_2.bmp,I01.BMP,93.89189,2.80609130859375
i01_02_3.bmp,I01.BMP,94.61111,2.9400634765625
i01_02_4.bmp,I01.BMP,95.28571,3.1336466471354165
i01_02_5.bmp,I01.BMP,95.63889,3.4088541666666665
i01_03_1.bmp,I01.BMP,95.22857,2.9497884114583335
i01_03_2.bmp,I01.BMP,95.72973,3.20587158203125
i01_03_3.bmp,I01.BMP,96.2973,3.57391357421875
i01_03_4.bmp,I01.BMP,96.80556,4.00469970703125
i01_03_5.bmp,I01.BMP,97.28571,4.64532470703125
i01_04_1.bmp,I01.BMP,94.02857,2.5611572265625
i01_04_2.bmp,I01.BMP,94.24324,2.641815185546875
i01_04_3.bmp,I01.BMP,94.72973,2.7363179524739585
i01_04_4.bmp,I01.BMP,94.75676,2.8391621907552085
i01_04_5.bmp,I01.BMP,95.28571,2.9824422200520835
i01_05_1.bmp,I01.BMP,94.08108,2.6290384928385415
i01_05_2.bmp,I01.BMP,94.2973,2.7493998209635415
i01_05_3.bmp,I01.BMP,94.91667,2.9452921549479165
i01_05_4.bmp,I01.BMP,95.86111,3.3385213216145835
i01_05_5.bmp,I01.BMP,96.86111,4.129862467447917
i01_06_1.bmp,I01.BMP,96.0,2.694000244140625
i01_06_2.bmp,I01.BMP,96.10811,2.9202067057291665
i01_06_3.bmp,I01.BMP,96.27027,3.1104939778645835
i01_06_4.bmp,I01.BMP,96.51429,3.36138916015625
i01_06_5.bmp,I01.BMP,97.05556,3.7578125
i01_07_1.bmp,I01.BMP,94.91667,2.6982218424479165
i01_07_2.bmp,I01.BMP,95.25,2.92718505859375
i01_07_3.bmp,I01.BMP,96.0,3.23681640625
i01_07_4.bmp,I01.BMP,96.77778,3.5520222981770835
i01_07_5.bmp,I01.BMP,97.80556,4.232666015625
i01_08_1.bmp,I01.BMP,94.81081,2.4032491048177085
i01_08_2.bmp,I01.BMP,95.52778,2.5354207356770835
i01_08_3.bmp,I01.BMP,96.51351,3.1299845377604165
i01_08_4.bmp,I01.BMP,97.0,4.1793212890625
i01_08_5.bmp,I01.BMP,97.88889,5.64794921875
i01_09_1.bmp,I01.BMP,93.91667,2.730224609375
i01_09_2.bmp,I01.BMP,94.83333,2.9442952473958335
i01_09_3.bmp,I01.BMP,95.57143,3.5608317057291665
i01_09_4.bmp,I01.BMP,97.18919,4.445597330729167
i01_09_5.bmp,I01.BMP,98.45946,5.555582682291667
i01_10_1.bmp,I01.BMP,94.02703,2.4558817545572915
i01_10_2.bmp,I01.BMP,94.05405,2.5271504720052085
i01_10_3.bmp,I01.BMP,95.08333,2.87078857421875
i01_10_4.bmp,I01.BMP,96.78378000000001,3.858154296875
i01_10_5.bmp,I01.BMP,97.91892,4.961385091145833
I01_11_1.BMP,I01.BMP,94.08571,2.4684346516927085
i01_11_2.bmp,I01.BMP,94.32432,2.5820515950520835
i01_11_3.bmp,I01.BMP,95.30556,2.82977294921875
i01_11_4.bmp,I01.BMP,96.32432,3.98291015625
i01_11_5.bmp,I01.BMP,98.54054,5.617472330729167
i01_12_1.bmp,I01.BMP,94.05405,2.4807942708333335
i01_12_2.bmp,I01.BMP,94.13514,2.3936767578125
i01_12_3.bmp,I01.BMP,95.78378000000001,2.9313761393229165
i01_12_4.bmp,I01.BMP,96.16667,2.666778564453125
i01_12_5.bmp,I01.BMP,96.56757,3.4784138997395835
I01_13_1.BMP,I01.BMP,94.54054,2.473236083984375
i01_13_2.bmp,I01.BMP,96.08571,2.9605305989583335
i01_13_3.bmp,I01.BMP,96.72222,3.2202962239583335
i01_13_4.bmp,I01.BMP,96.83333,3.5821126302083335
