dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.37971297899882
i01_01_2.bmp,I01.BMP,94.43243,0.38504384458065033
i01_01_3.bmp,I01.BMP,95.05556,0.39134320120016736
i01_01_4.bmp,I01.BMP,95.62162000000001,0.4007680018742879
i01_01_5.bmp,I01.BMP,96.13514,0.4120429555575053
i01_02_1.bmp,I01.BMP,93.97143,0.37871192892392475
i01_02_2.bmp,I01.BMP,93.89189,0.38430454830328625
i01_02_3.bmp,I01.BMP,94.61111,0.38989874223868054
i01_02_4.bmp,I01.BMP,95.28571,0.3961562365293503
i01_02_5.bmp,I01.BMP,95.63889,0.4072582374016444
i01_03_1.bmp,I01.BMP,95.22857,0.3895224283138911
i01_03_2.bmp,I01.BMP,95.72973,0.39724090695381165
i01_03_3.bmp,I01.BMP,96.2973,0.41147729257742566
i01_03_4.bmp,I01.BMP,96.80556,0.4235597054163615
i01_03_5.bmp,I01.BMP,97.28571,0.4416379431883494
i01_04_1.bmp,I01.BMP,94.02857,0.37114880482355755
i01_04_2.bmp,I01.BMP,94.24324,0.37495241562525433
i01_04_3.bmp,I01.BMP,94.72973,0.37931091090043384
i01_04_4.bmp,I01.BMP,94.75676,0.3840465098619461
i01_04_5.bmp,I01.BMP,95.28571,0.39177265266577405
i01_05_1.bmp,I01.BMP,94.08108,0.3754466474056244
i01_05_2.bmp,I01.BMP,94.2973,0.38016227384408313
i01_05_3.bmp,I01.BMP,94.91667,0.38934492071469623
i01_05_4.bmp,I01.BMP,95.86111,0.4053179572025935
i01_05_5.bmp,I01.BMP,96.86111,0.43364884952704114
i01_06_1.bmp,I01.BMP,96.0,0.37828852236270905
i01_06_2.bmp,I01.BMP,96.10811,0.3895086199045181
i01_06_3.bmp,I01.BMP,96.27027,0.39650513231754303
i01_06_4.bmp,I01.BMP,96.51429,0.40680575370788574
i01_06_5.bmp,I01.BMP,97.05556,0.42147907614707947
i01_07_1.bmp,I01.BMP,94.91667,0.37839020788669586
i01_07_2.bmp,I01.BMP,95.25,0.3851073582967122
i01_07_3.bmp,I01.BMP,96.0,0.3988742083311081
i01_07_4.bmp,I01.BMP,96.77778,0.4103122353553772
i01_07_5.bmp,I01.BMP,97.80556,0.4344104627768199
i01_08_1.bmp,I01.BMP,94.81081,0.36342843373616535
i01_08_2.bmp,I01.BMP,95.52778,0.3739100197950999
i01_08_3.bmp,I01.BMP,96.51351,0.4029087821642558
i01_08_4.bmp,I01.BMP,97.0,0.43685244023799896
i01_08_5.bmp,I01.BMP,97.88889,0.4825557420651118
i01_09_1.bmp,I01.BMP,93.91667,0.3790251165628433
i01_09_2.bmp,I01.BMP,94.83333,0.38962269326051074
i01_09_3.bmp,I01.BMP,95.57143,0.4138033390045166
i01_09_4.bmp,I01.BMP,97.18919,0.4425654262304306
i01_09_5.bmp,I01.BMP,98.45946,0.472118283311526
i01_10_1.bmp,I01.BMP,94.02703,0.3663654277722041
i01_10_2.bmp,I01.BMP,94.05405,0.37075163920720416
i01_10_3.bmp,I01.BMP,95.08333,0.3848263919353485
i01_10_4.bmp,I01.BMP,96.78378000000001,0.4235630085070928
i01_10_5.bmp,I01.BMP,97.91892,0.45457615951697034
I01_11_1.BMP,I01.BMP,94.08571,0.36736885209878284
i01_11_2.bmp,I01.BMP,94.32432,0.37314443786938983
i01_11_3.bmp,I01.BMP,95.30556,0.3872668246428172
i01_11_4.bmp,I01.BMP,96.32432,0.42997007071971893
i01_11_5.bmp,I01.BMP,98.54054,0.4721602698167165
i01_12_1.bmp,I01.BMP,94.05405,0.36643218497435254
i01_12_2.bmp,I01.BMP,94.13514,0.3632092873255412
i01_12_3.bmp,I01.BMP,95.78378000000001,0.38772297898928326
i01_12_4.bmp,I01.BMP,96.16667,0.37948495149612427
i01_12_5.bmp,I01.BMP,96.56757,0.40764035781224567
I01_13_1.BMP,I01.BMP,94.54054,0.3670269896586736
i01_13_2.bmp,I01.BMP,96.08571,0.3904070059458415
i01_13_3.bmp,I01.BMP,96.72222,0.404259334007899
i01_13_4.bmp,I01.BMP,96.83333,0.41465137898921967
i01_13_5.bmp,I01.BMP,96.89189,0.41598521669705707
i01_14_1.bmp,I01.BMP,94.30556,0.36248910923798877
i01_14_2.bmp,I01.BMP,93.94595,0.36245761315027875
i01_14_3.bmp,I01.BMP,94.24324,0.36489352583885193
i01_14_4.bmp,I01.BMP,94.44444,0.3757721185684204
i01_14_5.bmp,I01.BMP,95.52941,0.3879421204328537
i01_15_1.bmp,I01.BMP,97.16667,0.40184425314267475
i01_15_2.bmp,I01.BMP,97.17143,0.4017214775085449
i01_15_3.bmp,I01.BMP,96.89189,0.3943386971950531
i01_15_4.bmp,I01.BMP,96.41667,0.38826021552085876
i01_15_5.bmp,I01.BMP,96.10811,0.38421766459941864
i01_16_1.bmp,I01.BMP,94.19444,0.3621502419312795
i01_16_2.bmp,I01.BMP,93.94595,0.36114785571893054
i01_16_3.bmp,I01.BMP,95.11111,0.3637413332859675
i01_16_4.bmp,I01.BMP,94.97222,0.36075592537720996
i01_16_5.bmp,I01.BMP,95.80556,0.3705025166273117
i01_17_1.bmp,I01.BMP,94.64865,0.3617854068676631
i01_17_2.bmp,I01.BMP,93.37837999999999,0.36548206210136414
i01_17_3.bmp,I01.BMP,95.91892,0.36541296044985455
i01_17_4.bmp,I01.BMP,93.75676,0.37302202979723614
i01_17_5.bmp,I01.BMP,97.02857,0.3822011599938075
i01_18_1.bmp,I01.BMP,95.37837999999999,0.3663846055666606
i01_18_2.bmp,I01.BMP,95.77778,0.3704933176438014
i01_18_3.bmp,I01.BMP,96.22857,0.37828607360521954
i01_18_4.bmp,I01.BMP,96.52778,0.38743210832277936
i01_18_5.bmp,I01.BMP,96.58333,0.3848990201950073
i01_19_1.bmp,I01.BMP,94.05556,0.37699179848035175
i01_19_2.bmp,I01.BMP,94.52778,0.38195329904556274
i01_19_3.bmp,I01.BMP,94.91892,0.3887093514204025
i01_19_4.bmp,I01.BMP,95.47222,0.39635329445203143
i01_19_5.bmp,I01.BMP,96.05556,0.4128742168347041
i01_20_1.bmp,I01.BMP,94.14286,0.36358095705509186
i01_20_2.bmp,I01.BMP,94.16667,0.36529382566610974
i01_20_3.bmp,I01.BMP,93.97222,0.36763110260168713
i01_20_4.bmp,I01.BMP,94.91667,0.38012051085631055
i01_20_5.bmp,I01.BMP,95.66667,0.399651234348615
i01_21_1.bmp,I01.BMP,94.2973,0.37130049367745716
i01_21_2.bmp,I01.BMP,94.72222,0.37995654344558716
i01_21_3.bmp,I01.BMP,95.32432,0.39424018065134686
i01_21_4.bmp,I01.BMP,95.94286,0.4153171380360921
i01_21_5.bmp,I01.BMP,96.94595,0.44827136894067127
i01_22_1.bmp,I01.BMP,94.44444,0.37535687287648517
i01_22_2.bmp,I01.BMP,94.81081,0.3859017590681712
i01_22_3.bmp,I01.BMP,95.69444,0.3979869981606801
i01_22_4.bmp,I01.BMP,96.83784,0.4120875845352809
i01_22_5.bmp,I01.BMP,97.80556,0.44463641941547394
i01_23_1.bmp,I01.BMP,93.71429,0.37102191150188446
i01_23_2.bmp,I01.BMP,94.38889,0.38216457267602283
i01_23_3.bmp,I01.BMP,94.22222,0.39265697697798413
i01_23_4.bmp,I01.BMP,95.19444,0.4205991327762604
i01_23_5.bmp,I01.BMP,97.59459,0.47133148709932965
i01_24_1.bmp,I01.BMP,94.2973,0.37008191148440045
i01_24_2.bmp,I01.BMP,94.41667,0.37742848694324493
i01_24_3.bmp,I01.BMP,94.89189,0.3968233565489451
i01_24_4.bmp,I01.BMP,96.91892,0.44398091236750287
i01_24_5.bmp,I01.BMP,99.54054,0.48090703785419464
I02_01_1.bmp,I02.BMP,94.25713999999999,0.3769850383202235
i02_01_2.bmp,I02.BMP,94.65714,0.38674382368723553
i02_01_3.bmp,I02.BMP,94.77778,0.396492933233579
i02_01_4.bmp,I02.BMP,95.80556,0.4129684666792552
i02_01_5.bmp,I02.BMP,96.02703,0.43249472479025525
i02_02_1.bmp,I02.BMP,93.94444,0.3734773248434067
i02_02_2.bmp,I02.BMP,93.94595,0.3817199071248372
i02_02_3.bmp,I02.BMP,94.11111,0.39004174371560413
i02_02_4.bmp,I02.BMP,94.7027,0.4013631343841553
i02_02_5.bmp,I02.BMP,95.61111,0.41011419395605725
i02_03_1.bmp,I02.BMP,95.2,0.38836408654848736
i02_03_2.bmp,I02.BMP,95.56757,0.4093755632638931
i02_03_3.bmp,I02.BMP,96.16216,0.4322336067756017
i02_03_4.bmp,I02.BMP,96.47222,0.44935765862464905
i02_03_5.bmp,I02.BMP,97.08108,0.46701742708683014
i02_04_1.bmp,I02.BMP,93.71429,0.36431699991226196
i02_04_2.bmp,I02.BMP,93.83784,0.36966127157211304
i02_04_3.bmp,I02.BMP,94.80556,0.3759022851785024
i02_04_4.bmp,I02.BMP,95.25713999999999,0.384647657473882
i02_04_5.bmp,I02.BMP,95.71429,0.3995959709088008
i02_05_1.bmp,I02.BMP,93.88235,0.36833346883455914
i02_05_2.bmp,I02.BMP,93.88889,0.37637653946876526
i02_05_3.bmp,I02.BMP,94.56757,0.39187750220298767
i02_05_4.bmp,I02.BMP,95.62162000000001,0.4152032236258189
i02_05_5.bmp,I02.BMP,96.58333,0.44628697633743286
i02_06_1.bmp,I02.BMP,95.44444,0.37786052624384564
i02_06_2.bmp,I02.BMP,95.72222,0.39866381883621216
i02_06_3.bmp,I02.BMP,96.27027,0.4174399822950363
i02_06_4.bmp,I02.BMP,96.51429,0.4392307698726654
i02_06_5.bmp,I02.BMP,96.89189,0.45676453908284503
i02_07_1.bmp,I02.BMP,94.08571,0.37796710431575775
i02_07_2.bmp,I02.BMP,94.41667,0.3812675674756368
i02_07_3.bmp,I02.BMP,96.23529,0.40248942375183105
i02_07_4.bmp,I02.BMP,96.24324,0.4172716289758682
i02_07_5.bmp,I02.BMP,97.14286,0.4319668461879094
i02_08_1.bmp,I02.BMP,93.89189,0.3599521567424138
i02_08_2.bmp,I02.BMP,94.83333,0.3724612643321355
i02_08_3.bmp,I02.BMP,95.45714,0.4037153869867325
