dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.5858691930770874
i01_01_2.bmp,I01.BMP,94.43243,0.5945402979850769
i01_01_3.bmp,I01.BMP,95.05556,0.6067932844161987
i01_01_4.bmp,I01.BMP,95.62162000000001,0.623468279838562
i01_01_5.bmp,I01.BMP,96.13514,0.6454700231552124
i01_02_1.bmp,I01.BMP,93.97143,0.5831488966941833
i01_02_2.bmp,I01.BMP,93.89189,0.588462769985199
i01_02_3.bmp,I01.BMP,94.61111,0.5965074896812439
i01_02_4.bmp,I01.BMP,95.28571,0.60804283618927
i01_02_5.bmp,I01.BMP,95.63889,0.6263402700424194
i01_03_1.bmp,I01.BMP,95.22857,0.6044865846633911
i01_03_2.bmp,I01.BMP,95.72973,0.6212457418441772
i01_03_3.bmp,I01.BMP,96.2973,0.6434727311134338
i01_03_4.bmp,I01.BMP,96.80556,0.6739543080329895
i01_03_5.bmp,I01.BMP,97.28571,0.7078532576560974
i01_04_1.bmp,I01.BMP,94.02857,0.5788272619247437
i01_04_2.bmp,I01.BMP,94.24324,0.5800952315330505
i01_04_3.bmp,I01.BMP,94.72973,0.5833712220191956
i01_04_4.bmp,I01.BMP,94.75676,0.5898927450180054
i01_04_5.bmp,I01.BMP,95.28571,0.6037166714668274
i01_05_1.bmp,I01.BMP,94.08108,0.5808336734771729
i01_05_2.bmp,I01.BMP,94.2973,0.585716962814331
i01_05_3.bmp,I01.BMP,94.91667,0.6020576357841492
i01_05_4.bmp,I01.BMP,95.86111,0.6294681429862976
i01_05_5.bmp,I01.BMP,96.86111,0.673843264579773
i01_06_1.bmp,I01.BMP,96.0,0.5879684686660767
i01_06_2.bmp,I01.BMP,96.10811,0.5977246165275574
i01_06_3.bmp,I01.BMP,96.27027,0.6108443737030029
i01_06_4.bmp,I01.BMP,96.51429,0.6270630359649658
i01_06_5.bmp,I01.BMP,97.05556,0.6485267281532288
i01_07_1.bmp,I01.BMP,94.91667,0.5871212482452393
i01_07_2.bmp,I01.BMP,95.25,0.5961499214172363
i01_07_3.bmp,I01.BMP,96.0,0.6122689843177795
i01_07_4.bmp,I01.BMP,96.77778,0.6346914768218994
i01_07_5.bmp,I01.BMP,97.80556,0.6770679354667664
i01_08_1.bmp,I01.BMP,94.81081,0.5915460586547852
i01_08_2.bmp,I01.BMP,95.52778,0.6099916100502014
i01_08_3.bmp,I01.BMP,96.51351,0.643607497215271
i01_08_4.bmp,I01.BMP,97.0,0.6763736605644226
i01_08_5.bmp,I01.BMP,97.88889,0.699896514415741
i01_09_1.bmp,I01.BMP,93.91667,0.5999649167060852
i01_09_2.bmp,I01.BMP,94.83333,0.6176608204841614
i01_09_3.bmp,I01.BMP,95.57143,0.6455880999565125
i01_09_4.bmp,I01.BMP,97.18919,0.6713356971740723
i01_09_5.bmp,I01.BMP,98.45946,0.693710207939148
i01_10_1.bmp,I01.BMP,94.02703,0.584793746471405
i01_10_2.bmp,I01.BMP,94.05405,0.5945779085159302
i01_10_3.bmp,I01.BMP,95.08333,0.6188223958015442
i01_10_4.bmp,I01.BMP,96.78378000000001,0.6650326251983643
i01_10_5.bmp,I01.BMP,97.91892,0.7066802382469177
I01_11_1.BMP,I01.BMP,94.08571,0.589954674243927
i01_11_2.bmp,I01.BMP,94.32432,0.6049714088439941
i01_11_3.bmp,I01.BMP,95.30556,0.6260906457901001
i01_11_4.bmp,I01.BMP,96.32432,0.6721405386924744
i01_11_5.bmp,I01.BMP,98.54054,0.711626410484314
