dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.6934803128242493
i01_01_2.bmp,I01.BMP,94.43243,0.7032524347305298
i01_01_3.bmp,I01.BMP,95.05556,0.717008113861084
i01_01_4.bmp,I01.BMP,95.62162000000001,0.7356734871864319
i01_01_5.bmp,I01.BMP,96.13514,0.7598375082015991
i01_02_1.bmp,I01.BMP,93.97143,0.6903824210166931
i01_02_2.bmp,I01.BMP,93.89189,0.6963163018226624
i01_02_3.bmp,I01.BMP,94.61111,0.705108642578125
i01_02_4.bmp,I01.BMP,95.28571,0.717694878578186
i01_02_5.bmp,I01.BMP,95.63889,0.7383480668067932
i01_03_1.bmp,I01.BMP,95.22857,0.7147109508514404
i01_03_2.bmp,I01.BMP,95.72973,0.7338382601737976
i01_03_3.bmp,I01.BMP,96.2973,0.7590170502662659
i01_03_4.bmp,I01.BMP,96.80556,0.793855607509613
i01_03_5.bmp,I01.BMP,97.28571,0.8320110440254211
i01_04_1.bmp,I01.BMP,94.02857,0.6858289241790771
i01_04_2.bmp,I01.BMP,94.24324,0.6871949434280396
i01_04_3.bmp,I01.BMP,94.72973,0.6907881498336792
i01_04_4.bmp,I01.BMP,94.75676,0.698071300983429
i01_04_5.bmp,I01.BMP,95.28571,0.7137359976768494
i01_05_1.bmp,I01.BMP,94.08108,0.6880108118057251
i01_05_2.bmp,I01.BMP,94.2973,0.6934945583343506
i01_05_3.bmp,I01.BMP,94.91667,0.7119024991989136
i01_05_4.bmp,I01.BMP,95.86111,0.7425047159194946
i01_05_5.bmp,I01.BMP,96.86111,0.791925311088562
i01_06_1.bmp,I01.BMP,96.0,0.6969876289367676
i01_06_2.bmp,I01.BMP,96.10811,0.708128035068512
i01_06_3.bmp,I01.BMP,96.27027,0.7229458689689636
i01_06_4.bmp,I01.BMP,96.51429,0.7412367463111877
i01_06_5.bmp,I01.BMP,97.05556,0.7646176815032959
i01_07_1.bmp,I01.BMP,94.91667,0.6950857043266296
i01_07_2.bmp,I01.BMP,95.25,0.7056291699409485
i01_07_3.bmp,I01.BMP,96.0,0.7240535020828247
i01_07_4.bmp,I01.BMP,96.77778,0.7492019534111023
i01_07_5.bmp,I01.BMP,97.80556,0.7985342741012573
i01_08_1.bmp,I01.BMP,94.81081,0.7009899616241455
