dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.3115684986114502
i01_01_2.bmp,I01.BMP,94.43243,1.3170841932296753
i01_01_3.bmp,I01.BMP,95.05556,1.3165146112442017
i01_01_4.bmp,I01.BMP,95.62162000000001,1.3307334184646606
i01_01_5.bmp,I01.BMP,96.13514,1.3395494222640991
i01_02_1.bmp,I01.BMP,93.97143,1.3101012706756592
i01_02_2.bmp,I01.BMP,93.89189,1.3111809492111206
i01_02_3.bmp,I01.BMP,94.61111,1.3112285137176514
i01_02_4.bmp,I01.BMP,95.28571,1.3195120096206665
i01_02_5.bmp,I01.BMP,95.63889,1.329293131828308
i01_03_1.bmp,I01.BMP,95.22857,1.3240255117416382
i01_03_2.bmp,I01.BMP,95.72973,1.3295860290527344
i01_03_3.bmp,I01.BMP,96.2973,1.3378123044967651
i01_03_4.bmp,I01.BMP,96.80556,1.3453272581100464
i01_03_5.bmp,I01.BMP,97.28571,1.3535438776016235
i01_04_1.bmp,I01.BMP,94.02857,1.2998270988464355
i01_04_2.bmp,I01.BMP,94.24324,1.3011441230773926
i01_04_3.bmp,I01.BMP,94.72973,1.3037248849868774
i01_04_4.bmp,I01.BMP,94.75676,1.3083962202072144
i01_04_5.bmp,I01.BMP,95.28571,1.3136898279190063
i01_05_1.bmp,I01.BMP,94.08108,1.3043931722640991
i01_05_2.bmp,I01.BMP,94.2973,1.3088549375534058
i01_05_3.bmp,I01.BMP,94.91667,1.3199083805084229
i01_05_4.bmp,I01.BMP,95.86111,1.3281315565109253
i01_05_5.bmp,I01.BMP,96.86111,1.34521484375
i01_06_1.bmp,I01.BMP,96.0,1.3078445196151733
i01_06_2.bmp,I01.BMP,96.10811,1.3122639656066895
i01_06_3.bmp,I01.BMP,96.27027,1.3199106454849243
i01_06_4.bmp,I01.BMP,96.51429,1.3233143091201782
i01_06_5.bmp,I01.BMP,97.05556,1.3364894390106201
i01_07_1.bmp,I01.BMP,94.91667,1.3103433847427368
i01_07_2.bmp,I01.BMP,95.25,1.3158835172653198
i01_07_3.bmp,I01.BMP,96.0,1.323437213897705
i01_07_4.bmp,I01.BMP,96.77778,1.3242002725601196
i01_07_5.bmp,I01.BMP,97.80556,1.3373658657073975
i01_08_1.bmp,I01.BMP,94.81081,1.2955886125564575
i01_08_2.bmp,I01.BMP,95.52778,1.2971054315567017
i01_08_3.bmp,I01.BMP,96.51351,1.3001376390457153
