dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.37244558334350586
i01_01_2.bmp,I01.BMP,94.43243,0.41928035020828247
i01_01_3.bmp,I01.BMP,95.05556,0.46837398409843445
i01_01_4.bmp,I01.BMP,95.62162000000001,0.5177949070930481
i01_01_5.bmp,I01.BMP,96.13514,0.5703935027122498
i01_02_1.bmp,I01.BMP,93.97143,0.3316707909107208
i01_02_2.bmp,I01.BMP,93.89189,0.3774762749671936
i01_02_3.bmp,I01.BMP,94.61111,0.4192478060722351
i01_02_4.bmp,I01.BMP,95.28571,0.4630511999130249
i01_02_5.bmp,I01.BMP,95.63889,0.5183186531066895
i01_03_1.bmp,I01.BMP,95.22857,0.42291927337646484
i01_03_2.bmp,I01.BMP,95.72973,0.47335442900657654
i01_03_3.bmp,I01.BMP,96.2973,0.5278600454330444
i01_03_4.bmp,I01.BMP,96.80556,0.5862080454826355
i01_03_5.bmp,I01.BMP,97.28571,0.6411754488945007
i01_04_1.bmp,I01.BMP,94.02857,0.2791734039783478
i01_04_2.bmp,I01.BMP,94.24324,0.33492326736450195
i01_04_3.bmp,I01.BMP,94.72973,0.39783233404159546
i01_04_4.bmp,I01.BMP,94.75676,0.45722684264183044
i01_04_5.bmp,I01.BMP,95.28571,0.5225958228111267
i01_05_1.bmp,I01.BMP,94.08108,0.3461739420890808
i01_05_2.bmp,I01.BMP,94.2973,0.3948826491832733
i01_05_3.bmp,I01.BMP,94.91667,0.4790104329586029
i01_05_4.bmp,I01.BMP,95.86111,0.5635874271392822
i01_05_5.bmp,I01.BMP,96.86111,0.6518192291259766
i01_06_1.bmp,I01.BMP,96.0,0.3710471987724304
i01_06_2.bmp,I01.BMP,96.10811,0.43100133538246155
i01_06_3.bmp,I01.BMP,96.27027,0.48162755370140076
i01_06_4.bmp,I01.BMP,96.51429,0.5282285809516907
i01_06_5.bmp,I01.BMP,97.05556,0.5764256119728088
i01_07_1.bmp,I01.BMP,94.91667,0.371066689491272
i01_07_2.bmp,I01.BMP,95.25,0.4221888780593872
i01_07_3.bmp,I01.BMP,96.0,0.48376592993736267
i01_07_4.bmp,I01.BMP,96.77778,0.5429381728172302
i01_07_5.bmp,I01.BMP,97.80556,0.6168003082275391
i01_08_1.bmp,I01.BMP,94.81081,0.3622044622898102
i01_08_2.bmp,I01.BMP,95.52778,0.47024938464164734
i01_08_3.bmp,I01.BMP,96.51351,0.5744913220405579
i01_08_4.bmp,I01.BMP,97.0,0.6450227499008179
i01_08_5.bmp,I01.BMP,97.88889,0.6798997521400452
i01_09_1.bmp,I01.BMP,93.91667,0.4222034215927124
i01_09_2.bmp,I01.BMP,94.83333,0.48949381709098816
i01_09_3.bmp,I01.BMP,95.57143,0.56940096616745
i01_09_4.bmp,I01.BMP,97.18919,0.6235400438308716
i01_09_5.bmp,I01.BMP,98.45946,0.6670213937759399
i01_10_1.bmp,I01.BMP,94.02703,0.35921770334243774
i01_10_2.bmp,I01.BMP,94.05405,0.4275277554988861
i01_10_3.bmp,I01.BMP,95.08333,0.5202800631523132
i01_10_4.bmp,I01.BMP,96.78378000000001,0.6182128190994263
i01_10_5.bmp,I01.BMP,97.91892,0.6855459809303284
I01_11_1.BMP,I01.BMP,94.08571,0.3826926648616791
i01_11_2.bmp,I01.BMP,94.32432,0.4617678225040436
i01_11_3.bmp,I01.BMP,95.30556,0.5303876996040344
i01_11_4.bmp,I01.BMP,96.32432,0.6242228746414185
i01_11_5.bmp,I01.BMP,98.54054,0.6887607574462891
i01_12_1.bmp,I01.BMP,94.05405,0.36191993951797485
i01_12_2.bmp,I01.BMP,94.13514,0.3781681954860687
i01_12_3.bmp,I01.BMP,95.78378000000001,0.5119441151618958
i01_12_4.bmp,I01.BMP,96.16667,0.568418025970459
i01_12_5.bmp,I01.BMP,96.56757,0.6248806118965149
I01_13_1.BMP,I01.BMP,94.54054,0.3501110076904297
i01_13_2.bmp,I01.BMP,96.08571,0.4640571177005768
i01_13_3.bmp,I01.BMP,96.72222,0.5281758308410645
i01_13_4.bmp,I01.BMP,96.83333,0.5732497572898865
i01_13_5.bmp,I01.BMP,96.89189,0.585360586643219
i01_14_1.bmp,I01.BMP,94.30556,0.3028368055820465
i01_14_2.bmp,I01.BMP,93.94595,0.317706435918808
i01_14_3.bmp,I01.BMP,94.24324,0.4066498279571533
i01_14_4.bmp,I01.BMP,94.44444,0.4621571898460388
i01_14_5.bmp,I01.BMP,95.52941,0.5200821161270142
i01_15_1.bmp,I01.BMP,97.16667,0.48185160756111145
i01_15_2.bmp,I01.BMP,97.17143,0.4639090299606323
i01_15_3.bmp,I01.BMP,96.89189,0.4417591989040375
i01_15_4.bmp,I01.BMP,96.41667,0.41188526153564453
i01_15_5.bmp,I01.BMP,96.10811,0.3722156286239624
i01_16_1.bmp,I01.BMP,94.19444,0.12080838531255722
i01_16_2.bmp,I01.BMP,93.94595,0.14354164898395538
i01_16_3.bmp,I01.BMP,95.11111,0.20341666042804718
i01_16_4.bmp,I01.BMP,94.97222,0.2271108478307724
i01_16_5.bmp,I01.BMP,95.80556,0.3179361820220947
i01_17_1.bmp,I01.BMP,94.64865,0.22298531234264374
i01_17_2.bmp,I01.BMP,93.37837999999999,0.2790167033672333
i01_17_3.bmp,I01.BMP,95.91892,0.3252343535423279
i01_17_4.bmp,I01.BMP,93.75676,0.3753258287906647
i01_17_5.bmp,I01.BMP,97.02857,0.4564952850341797
i01_18_1.bmp,I01.BMP,95.37837999999999,0.26425421237945557
i01_18_2.bmp,I01.BMP,95.77778,0.29954493045806885
i01_18_3.bmp,I01.BMP,96.22857,0.34208256006240845
i01_18_4.bmp,I01.BMP,96.52778,0.37897592782974243
i01_18_5.bmp,I01.BMP,96.58333,0.3925914466381073
i01_19_1.bmp,I01.BMP,94.05556,0.3555350601673126
i01_19_2.bmp,I01.BMP,94.52778,0.41428515315055847
i01_19_3.bmp,I01.BMP,94.91892,0.4685245752334595
i01_19_4.bmp,I01.BMP,95.47222,0.5217280983924866
i01_19_5.bmp,I01.BMP,96.05556,0.5759283900260925
i01_20_1.bmp,I01.BMP,94.14286,0.32792943716049194
i01_20_2.bmp,I01.BMP,94.16667,0.384005606174469
i01_20_3.bmp,I01.BMP,93.97222,0.4393251836299896
i01_20_4.bmp,I01.BMP,94.91667,0.5043488144874573
i01_20_5.bmp,I01.BMP,95.66667,0.5693998336791992
i01_21_1.bmp,I01.BMP,94.2973,0.37163597345352173
i01_21_2.bmp,I01.BMP,94.72222,0.43606674671173096
i01_21_3.bmp,I01.BMP,95.32432,0.5066534876823425
i01_21_4.bmp,I01.BMP,95.94286,0.5761554837226868
i01_21_5.bmp,I01.BMP,96.94595,0.636172354221344
i01_22_1.bmp,I01.BMP,94.44444,0.3963587284088135
i01_22_2.bmp,I01.BMP,94.81081,0.4545621871948242
i01_22_3.bmp,I01.BMP,95.69444,0.5240557789802551
i01_22_4.bmp,I01.BMP,96.83784,0.5560001730918884
i01_22_5.bmp,I01.BMP,97.80556,0.6693826913833618
i01_23_1.bmp,I01.BMP,93.71429,0.3748951554298401
i01_23_2.bmp,I01.BMP,94.38889,0.4485163986682892
i01_23_3.bmp,I01.BMP,94.22222,0.49750933051109314
i01_23_4.bmp,I01.BMP,95.19444,0.558691143989563
i01_23_5.bmp,I01.BMP,97.59459,0.6620148420333862
i01_24_1.bmp,I01.BMP,94.2973,0.3859432339668274
i01_24_2.bmp,I01.BMP,94.41667,0.45963865518569946
i01_24_3.bmp,I01.BMP,94.89189,0.541405439376831
i01_24_4.bmp,I01.BMP,96.91892,0.6247347593307495
i01_24_5.bmp,I01.BMP,99.54054,0.6840946674346924
I02_01_1.bmp,I02.BMP,94.25713999999999,0.39261549711227417
i02_01_2.bmp,I02.BMP,94.65714,0.44645166397094727
i02_01_3.bmp,I02.BMP,94.77778,0.5007723569869995
i02_01_4.bmp,I02.BMP,95.80556,0.5537497401237488
i02_01_5.bmp,I02.BMP,96.02703,0.6052353978157043
i02_02_1.bmp,I02.BMP,93.94444,0.32740354537963867
i02_02_2.bmp,I02.BMP,93.94595,0.3782728910446167
