dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.3450891204799216
i01_01_2.bmp,I01.BMP,94.43243,1.4321273900568485
i01_01_3.bmp,I01.BMP,95.05556,1.6118458658456802
i01_01_4.bmp,I01.BMP,95.62162000000001,1.8742403325935204
i01_01_5.bmp,I01.BMP,96.13514,2.2959952844927707
i01_02_1.bmp,I01.BMP,93.97143,1.3186169310162466
i01_02_2.bmp,I01.BMP,93.89189,1.3981224081168573
i01_02_3.bmp,I01.BMP,94.61111,1.5433120572318633
i01_02_4.bmp,I01.BMP,95.28571,1.7279451278348763
i01_02_5.bmp,I01.BMP,95.63889,2.055112479875485
i01_03_1.bmp,I01.BMP,95.22857,1.5932905462880929
i01_03_2.bmp,I01.BMP,95.72973,1.8727056464801233
i01_03_3.bmp,I01.BMP,96.2973,2.2058189660310745
i01_03_4.bmp,I01.BMP,96.80556,2.794815837716063
i01_03_5.bmp,I01.BMP,97.28571,3.5769636345406375
i01_04_1.bmp,I01.BMP,94.02857,1.2836356861516833
i01_04_2.bmp,I01.BMP,94.24324,1.3246469680840771
i01_04_3.bmp,I01.BMP,94.72973,1.368408548956116
i01_04_4.bmp,I01.BMP,94.75676,1.4205472605923812
i01_04_5.bmp,I01.BMP,95.28571,1.532011065011223
i01_05_1.bmp,I01.BMP,94.08108,1.351410319407781
i01_05_2.bmp,I01.BMP,94.2973,1.4023927841335535
i01_05_3.bmp,I01.BMP,94.91667,1.530655385305484
i01_05_4.bmp,I01.BMP,95.86111,1.905672861263156
i01_05_5.bmp,I01.BMP,96.86111,2.850180145353079
i01_06_1.bmp,I01.BMP,96.0,1.3747727749869227
i01_06_2.bmp,I01.BMP,96.10811,1.480695301045974
i01_06_3.bmp,I01.BMP,96.27027,1.6468479000031948
i01_06_4.bmp,I01.BMP,96.51429,1.9498147598157327
i01_06_5.bmp,I01.BMP,97.05556,2.3828785717487335
i01_07_1.bmp,I01.BMP,94.91667,1.3830644643555086
i01_07_2.bmp,I01.BMP,95.25,1.4388841030498345
i01_07_3.bmp,I01.BMP,96.0,1.6777739624182384
i01_07_4.bmp,I01.BMP,96.77778,2.033919289087256
i01_07_5.bmp,I01.BMP,97.80556,2.6474059484899044
i01_08_1.bmp,I01.BMP,94.81081,1.2509190955509741
i01_08_2.bmp,I01.BMP,95.52778,1.3617012593895197
i01_08_3.bmp,I01.BMP,96.51351,1.7646077318737905
i01_08_4.bmp,I01.BMP,97.0,2.6107593725124993
i01_08_5.bmp,I01.BMP,97.88889,5.112475179135799
i01_09_1.bmp,I01.BMP,93.91667,1.362770302221179
i01_09_2.bmp,I01.BMP,94.83333,1.5755933293451865
i01_09_3.bmp,I01.BMP,95.57143,2.274945892393589
i01_09_4.bmp,I01.BMP,97.18919,3.751541251937548
i01_09_5.bmp,I01.BMP,98.45946,5.337368929137786
i01_10_1.bmp,I01.BMP,94.02703,1.2635059828559558
i01_10_2.bmp,I01.BMP,94.05405,1.3207255695015192
i01_10_3.bmp,I01.BMP,95.08333,1.598999759182334
i01_10_4.bmp,I01.BMP,96.78378000000001,2.5458462884028754
i01_10_5.bmp,I01.BMP,97.91892,4.2002314912776155
I01_11_1.BMP,I01.BMP,94.08571,1.295402653515339
i01_11_2.bmp,I01.BMP,94.32432,1.3991351680209239
i01_11_3.bmp,I01.BMP,95.30556,1.6146118206282456
i01_11_4.bmp,I01.BMP,96.32432,2.788630678008
i01_11_5.bmp,I01.BMP,98.54054,5.859738906224568
i01_12_1.bmp,I01.BMP,94.05405,1.3261207900941372
i01_12_2.bmp,I01.BMP,94.13514,1.319734665254752
