dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,1.7314053426186244
i01_01_2.bmp,I01.BMP,94.43243,1.824473725631833
i01_01_3.bmp,I01.BMP,95.05556,1.9807813856750727
i01_01_4.bmp,I01.BMP,95.62162000000001,2.204705978433291
i01_01_5.bmp,I01.BMP,96.13514,2.602879780034224
i01_02_1.bmp,I01.BMP,93.97143,1.7116520373771589
i01_02_2.bmp,I01.BMP,93.89189,1.7899621625741322
i01_02_3.bmp,I01.BMP,94.61111,1.911832929899295
i01_02_4.bmp,I01.BMP,95.28571,2.0910610680778823
i01_02_5.bmp,I01.BMP,95.63889,2.3854429287215075
i01_03_1.bmp,I01.BMP,95.22857,1.9636917474369209
i01_03_2.bmp,I01.BMP,95.72973,2.185901002958417
i01_03_3.bmp,I01.BMP,96.2973,2.525454724828402
i01_03_4.bmp,I01.BMP,96.80556,3.0620089968045554
i01_03_5.bmp,I01.BMP,97.28571,3.8550282505651317
i01_04_1.bmp,I01.BMP,94.02857,1.659881851946314
i01_04_2.bmp,I01.BMP,94.24324,1.6955134992798169
i01_04_3.bmp,I01.BMP,94.72973,1.734295081347227
i01_04_4.bmp,I01.BMP,94.75676,1.7780668170501788
i01_04_5.bmp,I01.BMP,95.28571,1.8678261128564675
i01_05_1.bmp,I01.BMP,94.08108,1.7220607741425435
i01_05_2.bmp,I01.BMP,94.2973,1.7750270944088697
i01_05_3.bmp,I01.BMP,94.91667,1.8951956642170746
i01_05_4.bmp,I01.BMP,95.86111,2.214979022120436
i01_05_5.bmp,I01.BMP,96.86111,3.045550651848316
i01_06_1.bmp,I01.BMP,96.0,1.7473867802570264
i01_06_2.bmp,I01.BMP,96.10811,1.8757793220380943
i01_06_3.bmp,I01.BMP,96.27027,2.0052304758379855
i01_06_4.bmp,I01.BMP,96.51429,2.2582756175349155
i01_06_5.bmp,I01.BMP,97.05556,2.645713129391273
i01_07_1.bmp,I01.BMP,94.91667,1.778108762577176
i01_07_2.bmp,I01.BMP,95.25,1.833220684279998
i01_07_3.bmp,I01.BMP,96.0,2.0290292147547007
i01_07_4.bmp,I01.BMP,96.77778,2.4060564829657474
i01_07_5.bmp,I01.BMP,97.80556,2.940626345574856
i01_08_1.bmp,I01.BMP,94.81081,1.658290447667241
i01_08_2.bmp,I01.BMP,95.52778,1.8030512612313032
i01_08_3.bmp,I01.BMP,96.51351,2.2122731817265353
i01_08_4.bmp,I01.BMP,97.0,2.9801770051320395
i01_08_5.bmp,I01.BMP,97.88889,5.165091945479314
i01_09_1.bmp,I01.BMP,93.91667,1.7465490940958261
i01_09_2.bmp,I01.BMP,94.83333,1.9330412782728672
i01_09_3.bmp,I01.BMP,95.57143,2.55713751912117
i01_09_4.bmp,I01.BMP,97.18919,3.876243424291412
i01_09_5.bmp,I01.BMP,98.45946,5.338193755596876
i01_10_1.bmp,I01.BMP,94.02703,1.6433493470152218
i01_10_2.bmp,I01.BMP,94.05405,1.6921880176911752
i01_10_3.bmp,I01.BMP,95.08333,1.9573936046411593
i01_10_4.bmp,I01.BMP,96.78378000000001,2.8699361433585486
i01_10_5.bmp,I01.BMP,97.91892,4.490181463460128
I01_11_1.BMP,I01.BMP,94.08571,1.6697359575579565
i01_11_2.bmp,I01.BMP,94.32432,1.7500460240989923
i01_11_3.bmp,I01.BMP,95.30556,1.9418925767143567
i01_11_4.bmp,I01.BMP,96.32432,3.0179825195421777
i01_11_5.bmp,I01.BMP,98.54054,5.910519398748875
i01_12_1.bmp,I01.BMP,94.05405,1.7097041041900713
i01_12_2.bmp,I01.BMP,94.13514,1.6300320557008188
i01_12_3.bmp,I01.BMP,95.78378000000001,2.1085106997440257
i01_12_4.bmp,I01.BMP,96.16667,1.9004421383142471
i01_12_5.bmp,I01.BMP,96.56757,2.854183664545417
I01_13_1.BMP,I01.BMP,94.54054,1.7039774879813194
i01_13_2.bmp,I01.BMP,96.08571,2.26868563828369
i01_13_3.bmp,I01.BMP,96.72222,2.6164816934615374
i01_13_4.bmp,I01.BMP,96.83333,3.0932196459422507
i01_13_5.bmp,I01.BMP,96.89189,3.0746920481324196
i01_14_1.bmp,I01.BMP,94.30556,1.648101878662904
i01_14_2.bmp,I01.BMP,93.94595,1.6387515186021726
i01_14_3.bmp,I01.BMP,94.24324,1.7226925653715928
i01_14_4.bmp,I01.BMP,94.44444,1.8771774508059025
i01_14_5.bmp,I01.BMP,95.52941,2.090032363931338
i01_15_1.bmp,I01.BMP,97.16667,2.282207755371928
i01_15_2.bmp,I01.BMP,97.17143,2.2244426490118108
i01_15_3.bmp,I01.BMP,96.89189,2.104551065713167
i01_15_4.bmp,I01.BMP,96.41667,2.023588322723905
i01_15_5.bmp,I01.BMP,96.10811,1.91376229437689
i01_16_1.bmp,I01.BMP,94.19444,1.6108711107323568
i01_16_2.bmp,I01.BMP,93.94595,1.6098981865992148
i01_16_3.bmp,I01.BMP,95.11111,1.6143692408998807
i01_16_4.bmp,I01.BMP,94.97222,1.609816253806154
i01_16_5.bmp,I01.BMP,95.80556,1.6598220746964216
i01_17_1.bmp,I01.BMP,94.64865,1.6041332632303238
i01_17_2.bmp,I01.BMP,93.37837999999999,1.6675669283916552
i01_17_3.bmp,I01.BMP,95.91892,1.6443638193110626
i01_17_4.bmp,I01.BMP,93.75676,1.7695899183551471
i01_17_5.bmp,I01.BMP,97.02857,2.0012023293723664
i01_18_1.bmp,I01.BMP,95.37837999999999,1.6341835396985214
i01_18_2.bmp,I01.BMP,95.77778,1.6639981089780729
i01_18_3.bmp,I01.BMP,96.22857,1.7302611507475376
i01_18_4.bmp,I01.BMP,96.52778,1.8358469506104786
i01_18_5.bmp,I01.BMP,96.58333,1.9147815865774949
i01_19_1.bmp,I01.BMP,94.05556,1.6973636373877525
i01_19_2.bmp,I01.BMP,94.52778,1.795071305707097
i01_19_3.bmp,I01.BMP,94.91892,1.9321670482556026
i01_19_4.bmp,I01.BMP,95.47222,2.1729942883054414
i01_19_5.bmp,I01.BMP,96.05556,2.580911187455058
i01_20_1.bmp,I01.BMP,94.14286,1.6224680778880913
i01_20_2.bmp,I01.BMP,94.16667,1.6361074099938075
i01_20_3.bmp,I01.BMP,93.97222,1.6661712819089491
i01_20_4.bmp,I01.BMP,94.91667,1.837937904521823
i01_20_5.bmp,I01.BMP,95.66667,2.332130277529359
i01_21_1.bmp,I01.BMP,94.2973,1.7030917188773553
i01_21_2.bmp,I01.BMP,94.72222,1.7958379462361336
i01_21_3.bmp,I01.BMP,95.32432,2.068369605888923
i01_21_4.bmp,I01.BMP,95.94286,2.6322451159358025
i01_21_5.bmp,I01.BMP,96.94595,3.6991931634644666
i01_22_1.bmp,I01.BMP,94.44444,1.7768253659208615
i01_22_2.bmp,I01.BMP,94.81081,1.893364845464627
i01_22_3.bmp,I01.BMP,95.69444,2.151608678201834
i01_22_4.bmp,I01.BMP,96.83784,2.573027434448401
