dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.18442735324303308
i01_01_2.bmp,I01.BMP,94.43243,0.20974527796109518
i01_01_3.bmp,I01.BMP,95.05556,0.23973381519317627
i01_01_4.bmp,I01.BMP,95.62162000000001,0.2692573790748914
i01_01_5.bmp,I01.BMP,96.13514,0.30367738505204517
i01_02_1.bmp,I01.BMP,93.97143,0.1732441857457161
i01_02_2.bmp,I01.BMP,93.89189,0.1992316593726476
i01_02_3.bmp,I01.BMP,94.61111,0.22662696490685144
i01_02_4.bmp,I01.BMP,95.28571,0.25399450957775116
i01_02_5.bmp,I01.BMP,95.63889,0.2845175365606944
i01_03_1.bmp,I01.BMP,95.22857,0.23747153331836066
i01_03_2.bmp,I01.BMP,95.72973,0.2669447511434555
i01_03_3.bmp,I01.BMP,96.2973,0.2958049525817235
i01_03_4.bmp,I01.BMP,96.80556,0.3309396505355835
i01_03_5.bmp,I01.BMP,97.28571,0.36492205162843067
i01_04_1.bmp,I01.BMP,94.02857,0.1420227363705635
i01_04_2.bmp,I01.BMP,94.24324,0.164088803033034
i01_04_3.bmp,I01.BMP,94.72973,0.18150738378365835
i01_04_4.bmp,I01.BMP,94.75676,0.1965585102637609
i01_04_5.bmp,I01.BMP,95.28571,0.2194963420430819
i01_05_1.bmp,I01.BMP,94.08108,0.17795940736929575
i01_05_2.bmp,I01.BMP,94.2973,0.19531675428152084
i01_05_3.bmp,I01.BMP,94.91667,0.22246440996726355
i01_05_4.bmp,I01.BMP,95.86111,0.26721231639385223
i01_05_5.bmp,I01.BMP,96.86111,0.3287968834241231
i01_06_1.bmp,I01.BMP,96.0,0.18747654805580774
i01_06_2.bmp,I01.BMP,96.10811,0.2160938928524653
i01_06_3.bmp,I01.BMP,96.27027,0.24387942999601364
i01_06_4.bmp,I01.BMP,96.51429,0.2748396893342336
i01_06_5.bmp,I01.BMP,97.05556,0.30884819726149243
i01_07_1.bmp,I01.BMP,94.91667,0.19860368967056274
i01_07_2.bmp,I01.BMP,95.25,0.20914422472318014
i01_07_3.bmp,I01.BMP,96.0,0.2454677919546763
i01_07_4.bmp,I01.BMP,96.77778,0.28718792895476025
i01_07_5.bmp,I01.BMP,97.80556,0.32711686193943024
i01_08_1.bmp,I01.BMP,94.81081,0.17157981296380362
i01_08_2.bmp,I01.BMP,95.52778,0.2309482047955195
i01_08_3.bmp,I01.BMP,96.51351,0.29524153967698413
i01_08_4.bmp,I01.BMP,97.0,0.3511371612548828
i01_08_5.bmp,I01.BMP,97.88889,0.4207683503627777
i01_09_1.bmp,I01.BMP,93.91667,0.1982503185669581
i01_09_2.bmp,I01.BMP,94.83333,0.24485435833533606
i01_09_3.bmp,I01.BMP,95.57143,0.3107420702775319
i01_09_4.bmp,I01.BMP,97.18919,0.37395146985848743
