dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.49857716759045917
i01_01_2.bmp,I01.BMP,94.43243,0.5043774247169495
i01_01_3.bmp,I01.BMP,95.05556,0.5132251034180323
i01_01_4.bmp,I01.BMP,95.62162000000001,0.5250315268834432
i01_01_5.bmp,I01.BMP,96.13514,0.5452420810858408
i01_02_1.bmp,I01.BMP,93.97143,0.49737028777599335
i01_02_2.bmp,I01.BMP,93.89189,0.5022036830584208
i01_02_3.bmp,I01.BMP,94.61111,0.5090711762507757
i01_02_4.bmp,I01.BMP,95.28571,0.5189110636711121
i01_02_5.bmp,I01.BMP,95.63889,0.5344094534715017
i01_03_1.bmp,I01.BMP,95.22857,0.5123381515343984
i01_03_2.bmp,I01.BMP,95.72973,0.5246706704298655
i01_03_3.bmp,I01.BMP,96.2973,0.5419688125451406
i01_03_4.bmp,I01.BMP,96.80556,0.5668713251749674
i01_03_5.bmp,I01.BMP,97.28571,0.5980714758237203
i01_04_1.bmp,I01.BMP,94.02857,0.49449792007605237
i01_04_2.bmp,I01.BMP,94.24324,0.4971282283465068
i01_04_3.bmp,I01.BMP,94.72973,0.4994918058315913
i01_04_4.bmp,I01.BMP,94.75676,0.5016710559527079
i01_04_5.bmp,I01.BMP,95.28571,0.5062993764877319
i01_05_1.bmp,I01.BMP,94.08108,0.49884749452273053
i01_05_2.bmp,I01.BMP,94.2973,0.502284770210584
i01_05_3.bmp,I01.BMP,94.91667,0.5084136128425598
i01_05_4.bmp,I01.BMP,95.86111,0.5250496665636698
i01_05_5.bmp,I01.BMP,96.86111,0.5643848478794098
i01_06_1.bmp,I01.BMP,96.0,0.49968722462654114
i01_06_2.bmp,I01.BMP,96.10811,0.5076112449169159
i01_06_3.bmp,I01.BMP,96.27027,0.51449187596639
i01_06_4.bmp,I01.BMP,96.51429,0.5280917584896088
i01_06_5.bmp,I01.BMP,97.05556,0.5469014942646027
i01_07_1.bmp,I01.BMP,94.91667,0.5031407624483109
i01_07_2.bmp,I01.BMP,95.25,0.5052371621131897
i01_07_3.bmp,I01.BMP,96.0,0.5169446567694346
