dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.10724276304244995
i01_01_2.bmp,I01.BMP,94.43243,0.13546645641326904
i01_01_3.bmp,I01.BMP,95.05556,0.17401665449142456
i01_01_4.bmp,I01.BMP,95.62162000000001,0.2130604386329651
i01_01_5.bmp,I01.BMP,96.13514,0.2579241991043091
i01_02_1.bmp,I01.BMP,93.97143,0.08874958753585815
i01_02_2.bmp,I01.BMP,93.89189,0.10981237888336182
i01_02_3.bmp,I01.BMP,94.61111,0.13522112369537354
i01_02_4.bmp,I01.BMP,95.28571,0.1663951873779297
i01_02_5.bmp,I01.BMP,95.63889,0.2221962809562683
i01_03_1.bmp,I01.BMP,95.22857,0.13271594047546387
i01_03_2.bmp,I01.BMP,95.72973,0.16100025177001953
i01_03_3.bmp,I01.BMP,96.2973,0.21422439813613892
i01_03_4.bmp,I01.BMP,96.80556,0.27983230352401733
i01_03_5.bmp,I01.BMP,97.28571,0.3471946716308594
i01_04_1.bmp,I01.BMP,94.02857,0.0771474838256836
i01_04_2.bmp,I01.BMP,94.24324,0.09449422359466553
i01_04_3.bmp,I01.BMP,94.72973,0.12539440393447876
i01_04_4.bmp,I01.BMP,94.75676,0.1692602038383484
i01_04_5.bmp,I01.BMP,95.28571,0.231825053691864
i01_05_1.bmp,I01.BMP,94.08108,0.10815161466598511
i01_05_2.bmp,I01.BMP,94.2973,0.13566577434539795
i01_05_3.bmp,I01.BMP,94.91667,0.19565057754516602
i01_05_4.bmp,I01.BMP,95.86111,0.27361875772476196
i01_05_5.bmp,I01.BMP,96.86111,0.38186389207839966
i01_06_1.bmp,I01.BMP,96.0,0.10025429725646973
i01_06_2.bmp,I01.BMP,96.10811,0.11803412437438965
i01_06_3.bmp,I01.BMP,96.27027,0.14730703830718994
i01_06_4.bmp,I01.BMP,96.51429,0.18052971363067627
i01_06_5.bmp,I01.BMP,97.05556,0.24187660217285156
i01_07_1.bmp,I01.BMP,94.91667,0.10566520690917969
i01_07_2.bmp,I01.BMP,95.25,0.12684273719787598
i01_07_3.bmp,I01.BMP,96.0,0.16785800457000732
i01_07_4.bmp,I01.BMP,96.77778,0.20577454566955566
i01_07_5.bmp,I01.BMP,97.80556,0.2760447859764099
i01_08_1.bmp,I01.BMP,94.81081,0.07936298847198486
i01_08_2.bmp,I01.BMP,95.52778,0.11948084831237793
i01_08_3.bmp,I01.BMP,96.51351,0.1936938762664795
i01_08_4.bmp,I01.BMP,97.0,0.266937255859375
i01_08_5.bmp,I01.BMP,97.88889,0.3469551205635071
i01_09_1.bmp,I01.BMP,93.91667,0.1064334511756897
i01_09_2.bmp,I01.BMP,94.83333,0.13527023792266846
i01_09_3.bmp,I01.BMP,95.57143,0.2002745270729065
i01_09_4.bmp,I01.BMP,97.18919,0.28150129318237305
i01_09_5.bmp,I01.BMP,98.45946,0.3591585159301758
i01_10_1.bmp,I01.BMP,94.02703,0.10580658912658691
i01_10_2.bmp,I01.BMP,94.05405,0.12882554531097412
i01_10_3.bmp,I01.BMP,95.08333,0.19478267431259155
i01_10_4.bmp,I01.BMP,96.78378000000001,0.2974209189414978
i01_10_5.bmp,I01.BMP,97.91892,0.3667287230491638
I01_11_1.BMP,I01.BMP,94.08571,0.10828429460525513
i01_11_2.bmp,I01.BMP,94.32432,0.14912372827529907
i01_11_3.bmp,I01.BMP,95.30556,0.18382740020751953
i01_11_4.bmp,I01.BMP,96.32432,0.2989228367805481
i01_11_5.bmp,I01.BMP,98.54054,0.3985360264778137
i01_12_1.bmp,I01.BMP,94.05405,0.08076655864715576
i01_12_2.bmp,I01.BMP,94.13514,0.07955187559127808
i01_12_3.bmp,I01.BMP,95.78378000000001,0.12612086534500122
i01_12_4.bmp,I01.BMP,96.16667,0.1353609561920166
i01_12_5.bmp,I01.BMP,96.56757,0.17617642879486084
I01_13_1.BMP,I01.BMP,94.54054,0.09157109260559082
i01_13_2.bmp,I01.BMP,96.08571,0.12878990173339844
i01_13_3.bmp,I01.BMP,96.72222,0.16490375995635986
i01_13_4.bmp,I01.BMP,96.83333,0.1961442232131958
i01_13_5.bmp,I01.BMP,96.89189,0.20381873846054077
i01_14_1.bmp,I01.BMP,94.30556,0.06520986557006836
i01_14_2.bmp,I01.BMP,93.94595,0.0666360855102539
i01_14_3.bmp,I01.BMP,94.24324,0.0754469633102417
i01_14_4.bmp,I01.BMP,94.44444,0.07976639270782471
i01_14_5.bmp,I01.BMP,95.52941,0.10229438543319702
i01_15_1.bmp,I01.BMP,97.16667,0.10905253887176514
i01_15_2.bmp,I01.BMP,97.17143,0.1018267273902893
i01_15_3.bmp,I01.BMP,96.89189,0.09562820196151733
i01_15_4.bmp,I01.BMP,96.41667,0.08982902765274048
i01_15_5.bmp,I01.BMP,96.10811,0.08343380689620972
i01_16_1.bmp,I01.BMP,94.19444,0.0646212100982666
i01_16_2.bmp,I01.BMP,93.94595,0.06648498773574829
i01_16_3.bmp,I01.BMP,95.11111,0.0762641429901123
i01_16_4.bmp,I01.BMP,94.97222,0.08011388778686523
i01_16_5.bmp,I01.BMP,95.80556,0.11521720886230469
i01_17_1.bmp,I01.BMP,94.64865,0.0671309232711792
i01_17_2.bmp,I01.BMP,93.37837999999999,0.07813918590545654
i01_17_3.bmp,I01.BMP,95.91892,0.08716452121734619
i01_17_4.bmp,I01.BMP,93.75676,0.11375164985656738
i01_17_5.bmp,I01.BMP,97.02857,0.1695658564567566
i01_18_1.bmp,I01.BMP,95.37837999999999,0.07923281192779541
i01_18_2.bmp,I01.BMP,95.77778,0.09713619947433472
i01_18_3.bmp,I01.BMP,96.22857,0.13404500484466553
i01_18_4.bmp,I01.BMP,96.52778,0.18612080812454224
i01_18_5.bmp,I01.BMP,96.58333,0.18260133266448975
i01_19_1.bmp,I01.BMP,94.05556,0.09542238712310791
i01_19_2.bmp,I01.BMP,94.52778,0.11842310428619385
i01_19_3.bmp,I01.BMP,94.91892,0.15527844429016113
i01_19_4.bmp,I01.BMP,95.47222,0.1916522979736328
i01_19_5.bmp,I01.BMP,96.05556,0.24787575006484985
i01_20_1.bmp,I01.BMP,94.14286,0.08744406700134277
i01_20_2.bmp,I01.BMP,94.16667,0.09836137294769287
i01_20_3.bmp,I01.BMP,93.97222,0.120883047580719
i01_20_4.bmp,I01.BMP,94.91667,0.13897424936294556
i01_20_5.bmp,I01.BMP,95.66667,0.18139714002609253
i01_21_1.bmp,I01.BMP,94.2973,0.10667800903320312
i01_21_2.bmp,I01.BMP,94.72222,0.12818479537963867
i01_21_3.bmp,I01.BMP,95.32432,0.1720171570777893
i01_21_4.bmp,I01.BMP,95.94286,0.22103136777877808
i01_21_5.bmp,I01.BMP,96.94595,0.2963542342185974
i01_22_1.bmp,I01.BMP,94.44444,0.13007402420043945
i01_22_2.bmp,I01.BMP,94.81081,0.1936829686164856
i01_22_3.bmp,I01.BMP,95.69444,0.24410051107406616
i01_22_4.bmp,I01.BMP,96.83784,0.26498615741729736
i01_22_5.bmp,I01.BMP,97.80556,0.4063999652862549
i01_23_1.bmp,I01.BMP,93.71429,0.09409409761428833
i01_23_2.bmp,I01.BMP,94.38889,0.12920933961868286
i01_23_3.bmp,I01.BMP,94.22222,0.16414833068847656
i01_23_4.bmp,I01.BMP,95.19444,0.20247793197631836
i01_23_5.bmp,I01.BMP,97.59459,0.3401685953140259
i01_24_1.bmp,I01.BMP,94.2973,0.10821104049682617
i01_24_2.bmp,I01.BMP,94.41667,0.143155038356781
i01_24_3.bmp,I01.BMP,94.89189,0.17928189039230347
i01_24_4.bmp,I01.BMP,96.91892,0.28368204832077026
i01_24_5.bmp,I01.BMP,99.54054,0.38208866119384766
I02_01_1.bmp,I02.BMP,94.25713999999999,0.11651277542114258
i02_01_2.bmp,I02.BMP,94.65714,0.16498035192489624
i02_01_3.bmp,I02.BMP,94.77778,0.22593361139297485
