dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.06608072916666667
i01_01_2.bmp,I01.BMP,94.43243,0.06827799479166667
i01_01_3.bmp,I01.BMP,95.05556,0.0693359375
i01_01_4.bmp,I01.BMP,95.62162000000001,0.08317057291666667
i01_01_5.bmp,I01.BMP,96.13514,0.095703125
i01_02_1.bmp,I01.BMP,93.97143,0.05224609375
i01_02_2.bmp,I01.BMP,93.89189,0.059488932291666664
i01_02_3.bmp,I01.BMP,94.61111,0.0693359375
i01_02_4.bmp,I01.BMP,95.28571,0.07511393229166667
i01_02_5.bmp,I01.BMP,95.63889,0.07747395833333333
i01_03_1.bmp,I01.BMP,95.22857,0.106201171875
i01_03_2.bmp,I01.BMP,95.72973,0.12801106770833334
i01_03_3.bmp,I01.BMP,96.2973,0.146728515625
i01_03_4.bmp,I01.BMP,96.80556,0.16805013020833334
i01_03_5.bmp,I01.BMP,97.28571,0.16536458333333334
i01_04_1.bmp,I01.BMP,94.02857,0.028564453125
i01_04_2.bmp,I01.BMP,94.24324,0.032063802083333336
i01_04_3.bmp,I01.BMP,94.72973,0.031575520833333336
i01_04_4.bmp,I01.BMP,94.75676,0.033610026041666664
i01_04_5.bmp,I01.BMP,95.28571,0.038004557291666664
i01_05_1.bmp,I01.BMP,94.08108,0.05126953125
i01_05_2.bmp,I01.BMP,94.2973,0.056070963541666664
i01_05_3.bmp,I01.BMP,94.91667,0.062093098958333336
i01_05_4.bmp,I01.BMP,95.86111,0.06624348958333333
i01_05_5.bmp,I01.BMP,96.86111,0.09895833333333333
i01_06_1.bmp,I01.BMP,96.0,0.054117838541666664
i01_06_2.bmp,I01.BMP,96.10811,0.07438151041666667
i01_06_3.bmp,I01.BMP,96.27027,0.08951822916666667
i01_06_4.bmp,I01.BMP,96.51429,0.08675130208333333
i01_06_5.bmp,I01.BMP,97.05556,0.09285481770833333
i01_07_1.bmp,I01.BMP,94.91667,0.048828125
i01_07_2.bmp,I01.BMP,95.25,0.061197916666666664
i01_07_3.bmp,I01.BMP,96.0,0.049072265625
