dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.15959278245766959
i01_01_2.bmp,I01.BMP,94.43243,0.16753586133321127
i01_01_3.bmp,I01.BMP,95.05556,0.1803469161192576
i01_01_4.bmp,I01.BMP,95.62162000000001,0.19759960969289145
i01_01_5.bmp,I01.BMP,96.13514,0.23198088506857553
i01_02_1.bmp,I01.BMP,93.97143,0.15776803841193518
i01_02_2.bmp,I01.BMP,93.89189,0.16430619110663733
i01_02_3.bmp,I01.BMP,94.61111,0.173734741906325
i01_02_4.bmp,I01.BMP,95.28571,0.18660053610801697
i01_02_5.bmp,I01.BMP,95.63889,0.2100092495481173
i01_03_1.bmp,I01.BMP,95.22857,0.17899649341901144
i01_03_2.bmp,I01.BMP,95.72973,0.19683665285507837
i01_03_3.bmp,I01.BMP,96.2973,0.2259302611152331
i01_03_4.bmp,I01.BMP,96.80556,0.27250222861766815
i01_03_5.bmp,I01.BMP,97.28571,0.34296556810537976
i01_04_1.bmp,I01.BMP,94.02857,0.1512605125705401
i01_04_2.bmp,I01.BMP,94.24324,0.15416227032740912
i01_04_3.bmp,I01.BMP,94.72973,0.1567900851368904
i01_04_4.bmp,I01.BMP,94.75676,0.15931719789902368
i01_04_5.bmp,I01.BMP,95.28571,0.16531377782424292
i01_05_1.bmp,I01.BMP,94.08108,0.15805030117432275
i01_05_2.bmp,I01.BMP,94.2973,0.16292952497800192
i01_05_3.bmp,I01.BMP,94.91667,0.17177158345778784
i01_05_4.bmp,I01.BMP,95.86111,0.1960122138261795
i01_05_5.bmp,I01.BMP,96.86111,0.26651441554228467
i01_06_1.bmp,I01.BMP,96.0,0.1612808828552564
i01_06_2.bmp,I01.BMP,96.10811,0.1732997422417005
i01_06_3.bmp,I01.BMP,96.27027,0.18316696087519327
i01_06_4.bmp,I01.BMP,96.51429,0.204678143064181
i01_06_5.bmp,I01.BMP,97.05556,0.2367123688260714
i01_07_1.bmp,I01.BMP,94.91667,0.16607958575089773
i01_07_2.bmp,I01.BMP,95.25,0.16624823957681656
i01_07_3.bmp,I01.BMP,96.0,0.18368880450725555
i01_07_4.bmp,I01.BMP,96.77778,0.2201974963148435
i01_07_5.bmp,I01.BMP,97.80556,0.26958220700422925
i01_08_1.bmp,I01.BMP,94.81081,0.15183661381403604
i01_08_2.bmp,I01.BMP,95.52778,0.16526819268862405
i01_08_3.bmp,I01.BMP,96.51351,0.2007666975259781
i01_08_4.bmp,I01.BMP,97.0,0.26694797972838086
i01_08_5.bmp,I01.BMP,97.88889,0.4640639473994573
i01_09_1.bmp,I01.BMP,93.91667,0.1604709972937902
i01_09_2.bmp,I01.BMP,94.83333,0.1779440219203631
i01_09_3.bmp,I01.BMP,95.57143,0.23477563758691153
i01_09_4.bmp,I01.BMP,97.18919,0.35503900051116943
i01_09_5.bmp,I01.BMP,98.45946,0.4695819864670436
i01_10_1.bmp,I01.BMP,94.02703,0.14868313570817313
i01_10_2.bmp,I01.BMP,94.05405,0.15317223966121674
i01_10_3.bmp,I01.BMP,95.08333,0.17815894385178885
i01_10_4.bmp,I01.BMP,96.78378000000001,0.26185697068770725
i01_10_5.bmp,I01.BMP,97.91892,0.4163537621498108
I01_11_1.BMP,I01.BMP,94.08571,0.15134343256553015
i01_11_2.bmp,I01.BMP,94.32432,0.15797681113084158
i01_11_3.bmp,I01.BMP,95.30556,0.17507986227671304
i01_11_4.bmp,I01.BMP,96.32432,0.27048363784948987
i01_11_5.bmp,I01.BMP,98.54054,0.5161597728729248
i01_12_1.bmp,I01.BMP,94.05405,0.15702566504478455
i01_12_2.bmp,I01.BMP,94.13514,0.1499875212709109
i01_12_3.bmp,I01.BMP,95.78378000000001,0.1981604372461637
i01_12_4.bmp,I01.BMP,96.16667,0.1806360905369123
i01_12_5.bmp,I01.BMP,96.56757,0.27131572117408115
I01_13_1.BMP,I01.BMP,94.54054,0.15655653923749924
i01_13_2.bmp,I01.BMP,96.08571,0.21100210895140967
