dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.0030956268310546875
i01_01_2.bmp,I01.BMP,94.43243,0.006085991859436035
i01_01_3.bmp,I01.BMP,95.05556,0.011600911617279053
i01_01_4.bmp,I01.BMP,95.62162000000001,0.0217035710811615
i01_01_5.bmp,I01.BMP,96.13514,0.03705152869224548
i01_02_1.bmp,I01.BMP,93.97143,0.001118391752243042
i01_02_2.bmp,I01.BMP,93.89189,0.0021845102310180664
i01_02_3.bmp,I01.BMP,94.61111,0.00442466139793396
i01_02_4.bmp,I01.BMP,95.28571,0.008318126201629639
i01_02_5.bmp,I01.BMP,95.63889,0.016020119190216064
i01_03_1.bmp,I01.BMP,95.22857,0.011113584041595459
i01_03_2.bmp,I01.BMP,95.72973,0.020154863595962524
i01_03_3.bmp,I01.BMP,96.2973,0.035201311111450195
i01_03_4.bmp,I01.BMP,96.80556,0.05965980887413025
i01_03_5.bmp,I01.BMP,97.28571,0.08844888210296631
i01_04_1.bmp,I01.BMP,94.02857,0.0005492866039276123
i01_04_2.bmp,I01.BMP,94.24324,0.0011014342308044434
i01_04_3.bmp,I01.BMP,94.72973,0.0021908581256866455
i01_04_4.bmp,I01.BMP,94.75676,0.004051715135574341
i01_04_5.bmp,I01.BMP,95.28571,0.008193224668502808
i01_05_1.bmp,I01.BMP,94.08108,0.001224428415298462
i01_05_2.bmp,I01.BMP,94.2973,0.002413809299468994
i01_05_3.bmp,I01.BMP,94.91667,0.007307559251785278
i01_05_4.bmp,I01.BMP,95.86111,0.020453214645385742
i01_05_5.bmp,I01.BMP,96.86111,0.05094233155250549
i01_06_1.bmp,I01.BMP,96.0,0.0028218328952789307
i01_06_2.bmp,I01.BMP,96.10811,0.006012290716171265
i01_06_3.bmp,I01.BMP,96.27027,0.011640846729278564
i01_06_4.bmp,I01.BMP,96.51429,0.020943939685821533
i01_06_5.bmp,I01.BMP,97.05556,0.03839424252510071
i01_07_1.bmp,I01.BMP,94.91667,0.004235059022903442
i01_07_2.bmp,I01.BMP,95.25,0.01106870174407959
i01_07_3.bmp,I01.BMP,96.0,0.01805669069290161
i01_07_4.bmp,I01.BMP,96.77778,0.03424784541130066
i01_07_5.bmp,I01.BMP,97.80556,0.0665922462940216
i01_08_1.bmp,I01.BMP,94.81081,0.0033405423164367676
i01_08_2.bmp,I01.BMP,95.52778,0.009792089462280273
i01_08_3.bmp,I01.BMP,96.51351,0.026229143142700195
i01_08_4.bmp,I01.BMP,97.0,0.06580796837806702
i01_08_5.bmp,I01.BMP,97.88889,0.13574931025505066
i01_09_1.bmp,I01.BMP,93.91667,0.004830360412597656
i01_09_2.bmp,I01.BMP,94.83333,0.009689807891845703
i01_09_3.bmp,I01.BMP,95.57143,0.025210708379745483
i01_09_4.bmp,I01.BMP,97.18919,0.05569389462471008
i01_09_5.bmp,I01.BMP,98.45946,0.12538647651672363
i01_10_1.bmp,I01.BMP,94.02703,0.0015423893928527832
i01_10_2.bmp,I01.BMP,94.05405,0.0036746561527252197
i01_10_3.bmp,I01.BMP,95.08333,0.012163519859313965
i01_10_4.bmp,I01.BMP,96.78378000000001,0.04334232211112976
i01_10_5.bmp,I01.BMP,97.91892,0.09258514642715454
I01_11_1.BMP,I01.BMP,94.08571,0.002213388681411743
i01_11_2.bmp,I01.BMP,94.32432,0.005503863096237183
i01_11_3.bmp,I01.BMP,95.30556,0.012763261795043945
i01_11_4.bmp,I01.BMP,96.32432,0.04314082860946655
i01_11_5.bmp,I01.BMP,98.54054,0.13463646173477173
i01_12_1.bmp,I01.BMP,94.05405,0.007145613431930542
i01_12_2.bmp,I01.BMP,94.13514,0.008263230323791504
i01_12_3.bmp,I01.BMP,95.78378000000001,0.020257890224456787
i01_12_4.bmp,I01.BMP,96.16667,0.034917980432510376
i01_12_5.bmp,I01.BMP,96.56757,0.04809802770614624
I01_13_1.BMP,I01.BMP,94.54054,0.0021691322326660156
i01_13_2.bmp,I01.BMP,96.08571,0.026690900325775146
i01_13_3.bmp,I01.BMP,96.72222,0.05377209186553955
i01_13_4.bmp,I01.BMP,96.83333,0.06069743633270264
i01_13_5.bmp,I01.BMP,96.89189,0.048149824142456055
i01_14_1.bmp,I01.BMP,94.30556,0.004142552614212036
i01_14_2.bmp,I01.BMP,93.94595,0.005276322364807129
i01_14_3.bmp,I01.BMP,94.24324,0.015619546175003052
i01_14_4.bmp,I01.BMP,94.44444,0.02222442626953125
i01_14_5.bmp,I01.BMP,95.52941,0.03888273239135742
i01_15_1.bmp,I01.BMP,97.16667,0.03722292184829712
i01_15_2.bmp,I01.BMP,97.17143,0.036406487226486206
i01_15_3.bmp,I01.BMP,96.89189,0.03268402814865112
i01_15_4.bmp,I01.BMP,96.41667,0.02753978967666626
i01_15_5.bmp,I01.BMP,96.10811,0.01729491353034973
i01_16_1.bmp,I01.BMP,94.19444,6.574392318725586e-05
i01_16_2.bmp,I01.BMP,93.94595,0.0001373291015625
i01_16_3.bmp,I01.BMP,95.11111,0.0010055601596832275
i01_16_4.bmp,I01.BMP,94.97222,0.0009056329727172852
i01_16_5.bmp,I01.BMP,95.80556,0.006813019514083862
i01_17_1.bmp,I01.BMP,94.64865,0.0019675493240356445
i01_17_2.bmp,I01.BMP,93.37837999999999,0.006105780601501465
i01_17_3.bmp,I01.BMP,95.91892,0.013824671506881714
i01_17_4.bmp,I01.BMP,93.75676,0.024204552173614502
i01_17_5.bmp,I01.BMP,97.02857,0.06597590446472168
i01_18_1.bmp,I01.BMP,95.37837999999999,0.0008158385753631592
i01_18_2.bmp,I01.BMP,95.77778,0.0016610920429229736
i01_18_3.bmp,I01.BMP,96.22857,0.0039968788623809814
i01_18_4.bmp,I01.BMP,96.52778,0.010615378618240356
i01_18_5.bmp,I01.BMP,96.58333,0.01649811863899231
i01_19_1.bmp,I01.BMP,94.05556,0.0028213858604431152
i01_19_2.bmp,I01.BMP,94.52778,0.005269467830657959
i01_19_3.bmp,I01.BMP,94.91892,0.00990554690361023
i01_19_4.bmp,I01.BMP,95.47222,0.017782658338546753
i01_19_5.bmp,I01.BMP,96.05556,0.03121650218963623
i01_20_1.bmp,I01.BMP,94.14286,0.0012296438217163086
i01_20_2.bmp,I01.BMP,94.16667,0.0026409029960632324
i01_20_3.bmp,I01.BMP,93.97222,0.0057686567306518555
i01_20_4.bmp,I01.BMP,94.91667,0.014946699142456055
i01_20_5.bmp,I01.BMP,95.66667,0.03836202621459961
i01_21_1.bmp,I01.BMP,94.2973,0.00529131293296814
i01_21_2.bmp,I01.BMP,94.72222,0.010674774646759033
i01_21_3.bmp,I01.BMP,95.32432,0.02067464590072632
i01_21_4.bmp,I01.BMP,95.94286,0.03807690739631653
i01_21_5.bmp,I01.BMP,96.94595,0.06286552548408508
i01_22_1.bmp,I01.BMP,94.44444,0.003955632448196411
i01_22_2.bmp,I01.BMP,94.81081,0.009450167417526245
i01_22_3.bmp,I01.BMP,95.69444,0.025944173336029053
i01_22_4.bmp,I01.BMP,96.83784,0.03559216856956482
i01_22_5.bmp,I01.BMP,97.80556,0.0995086133480072
i01_23_1.bmp,I01.BMP,93.71429,0.0018176734447479248
i01_23_2.bmp,I01.BMP,94.38889,0.005323857069015503
i01_23_3.bmp,I01.BMP,94.22222,0.009234338998794556
i01_23_4.bmp,I01.BMP,95.19444,0.0187816321849823
i01_23_5.bmp,I01.BMP,97.59459,0.09095874428749084
i01_24_1.bmp,I01.BMP,94.2973,0.0036494433879852295
i01_24_2.bmp,I01.BMP,94.41667,0.008637964725494385
i01_24_3.bmp,I01.BMP,94.89189,0.021472960710525513
i01_24_4.bmp,I01.BMP,96.91892,0.05613628029823303
i01_24_5.bmp,I01.BMP,99.54054,0.14237606525421143
I02_01_1.bmp,I02.BMP,94.25713999999999,0.004118919372558594
i02_01_2.bmp,I02.BMP,94.65714,0.008039683103561401
i02_01_3.bmp,I02.BMP,94.77778,0.015231519937515259
i02_01_4.bmp,I02.BMP,95.80556,0.02728039026260376
i02_01_5.bmp,I02.BMP,96.02703,0.047451674938201904
i02_02_1.bmp,I02.BMP,93.94444,0.0012012720108032227
i02_02_2.bmp,I02.BMP,93.94595,0.0023956000804901123
i02_02_3.bmp,I02.BMP,94.11111,0.004712134599685669
i02_02_4.bmp,I02.BMP,94.7027,0.008951067924499512
i02_02_5.bmp,I02.BMP,95.61111,0.017055809497833252
i02_03_1.bmp,I02.BMP,95.2,0.015600979328155518
i02_03_2.bmp,I02.BMP,95.56757,0.028197884559631348
i02_03_3.bmp,I02.BMP,96.16216,0.04919642210006714
i02_03_4.bmp,I02.BMP,96.47222,0.08142024278640747
i02_03_5.bmp,I02.BMP,97.08108,0.12006893754005432
i02_04_1.bmp,I02.BMP,93.71429,0.0008374452590942383
i02_04_2.bmp,I02.BMP,93.83784,0.0016773343086242676
i02_04_3.bmp,I02.BMP,94.80556,0.003383129835128784
i02_04_4.bmp,I02.BMP,95.25713999999999,0.0070040225982666016
i02_04_5.bmp,I02.BMP,95.71429,0.014673113822937012
i02_05_1.bmp,I02.BMP,93.88235,0.0015574395656585693
i02_05_2.bmp,I02.BMP,93.88889,0.0030386149883270264
i02_05_3.bmp,I02.BMP,94.56757,0.009034216403961182
i02_05_4.bmp,I02.BMP,95.62162000000001,0.02485683560371399
i02_05_5.bmp,I02.BMP,96.58333,0.06143346428871155
i02_06_1.bmp,I02.BMP,95.44444,0.0050179362297058105
i02_06_2.bmp,I02.BMP,95.72222,0.010019481182098389
i02_06_3.bmp,I02.BMP,96.27027,0.02103942632675171
i02_06_4.bmp,I02.BMP,96.51429,0.03694245219230652
i02_06_5.bmp,I02.BMP,96.89189,0.06435292959213257
i02_07_1.bmp,I02.BMP,94.08571,0.008492916822433472
i02_07_2.bmp,I02.BMP,94.41667,0.017054319381713867
i02_07_3.bmp,I02.BMP,96.23529,0.02822008728981018
i02_07_4.bmp,I02.BMP,96.24324,0.046658337116241455
i02_07_5.bmp,I02.BMP,97.14286,0.09078851342201233
i02_08_1.bmp,I02.BMP,93.89189,0.0015555918216705322
i02_08_2.bmp,I02.BMP,94.83333,0.005329698324203491
