dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,576.239867827855
i01_01_2.bmp,I01.BMP,94.43243,924.3605748889968
i01_01_3.bmp,I01.BMP,95.05556,938.4284988772124
i01_01_4.bmp,I01.BMP,95.62162000000001,1375.9701797701418
i01_01_5.bmp,I01.BMP,96.13514,1552.9127846534054
i01_02_1.bmp,I01.BMP,93.97143,554.1712815104984
i01_02_2.bmp,I01.BMP,93.89189,862.3506716027235
i01_02_3.bmp,I01.BMP,94.61111,984.5071697862198
i01_02_4.bmp,I01.BMP,95.28571,1119.2173859352868
i01_02_5.bmp,I01.BMP,95.63889,1309.200731250147
i01_03_1.bmp,I01.BMP,95.22857,963.9855962935835
i01_03_2.bmp,I01.BMP,95.72973,1209.0658807816606
i01_03_3.bmp,I01.BMP,96.2973,1556.203259607156
i01_03_4.bmp,I01.BMP,96.80556,1776.1203304628532
i01_03_5.bmp,I01.BMP,97.28571,1945.444607893626
i01_04_1.bmp,I01.BMP,94.02857,83.20657639182173
i01_04_2.bmp,I01.BMP,94.24324,173.7372169160905
i01_04_3.bmp,I01.BMP,94.72973,289.2322259360614
i01_04_4.bmp,I01.BMP,94.75676,472.7011387754853
i01_04_5.bmp,I01.BMP,95.28571,695.1966838327547
i01_05_1.bmp,I01.BMP,94.08108,374.47752466308884
i01_05_2.bmp,I01.BMP,94.2973,581.4582063468794
i01_05_3.bmp,I01.BMP,94.91667,1053.8448405538995
i01_05_4.bmp,I01.BMP,95.86111,1469.2275555754702
i01_05_5.bmp,I01.BMP,96.86111,1559.7905700306098
i01_06_1.bmp,I01.BMP,96.0,493.9269984446776
i01_06_2.bmp,I01.BMP,96.10811,697.0691663234805
i01_06_3.bmp,I01.BMP,96.27027,935.4791850658754
i01_06_4.bmp,I01.BMP,96.51429,1535.101730770121
i01_06_5.bmp,I01.BMP,97.05556,1573.1144366711378
i01_07_1.bmp,I01.BMP,94.91667,726.7785338688021
i01_07_2.bmp,I01.BMP,95.25,826.8063830869893
i01_07_3.bmp,I01.BMP,96.0,1216.5601866332192
i01_07_4.bmp,I01.BMP,96.77778,1415.4894899899762
i01_07_5.bmp,I01.BMP,97.80556,1614.3851968298356
i01_08_1.bmp,I01.BMP,94.81081,314.15318633864325
i01_08_2.bmp,I01.BMP,95.52778,654.2701145038009
i01_08_3.bmp,I01.BMP,96.51351,1459.6442654232185
i01_08_4.bmp,I01.BMP,97.0,1948.4733312278986
i01_08_5.bmp,I01.BMP,97.88889,2578.542386725545
i01_09_1.bmp,I01.BMP,93.91667,809.4773298753425
i01_09_2.bmp,I01.BMP,94.83333,1236.4134425520897
i01_09_3.bmp,I01.BMP,95.57143,1420.5555535455544
i01_09_4.bmp,I01.BMP,97.18919,1879.8809729119141
i01_09_5.bmp,I01.BMP,98.45946,2512.30831660827
i01_10_1.bmp,I01.BMP,94.02703,550.9452186672328
i01_10_2.bmp,I01.BMP,94.05405,555.7906851079315
i01_10_3.bmp,I01.BMP,95.08333,1447.0948422203462
i01_10_4.bmp,I01.BMP,96.78378000000001,1864.0609242022038
i01_10_5.bmp,I01.BMP,97.91892,2310.647054821253
I01_11_1.BMP,I01.BMP,94.08571,639.1502268780023
i01_11_2.bmp,I01.BMP,94.32432,969.9432044314841
i01_11_3.bmp,I01.BMP,95.30556,1593.8110651051004
i01_11_4.bmp,I01.BMP,96.32432,1966.1899059191346
i01_11_5.bmp,I01.BMP,98.54054,2728.7720325986543
i01_12_1.bmp,I01.BMP,94.05405,661.0174366226807
i01_12_2.bmp,I01.BMP,94.13514,433.1572434520349
i01_12_3.bmp,I01.BMP,95.78378000000001,863.7387332363675
i01_12_4.bmp,I01.BMP,96.16667,1229.8301277955372
i01_12_5.bmp,I01.BMP,96.56757,2009.2911213984091
I01_13_1.BMP,I01.BMP,94.54054,489.76287679343176
i01_13_2.bmp,I01.BMP,96.08571,799.1784635077541
i01_13_3.bmp,I01.BMP,96.72222,1349.7746003704767
i01_13_4.bmp,I01.BMP,96.83333,1690.8678784767787
i01_13_5.bmp,I01.BMP,96.89189,1181.4367197255294
i01_14_1.bmp,I01.BMP,94.30556,263.00328336237
i01_14_2.bmp,I01.BMP,93.94595,250.14103234376913
i01_14_3.bmp,I01.BMP,94.24324,427.3551334370859
i01_14_4.bmp,I01.BMP,94.44444,750.1584412933638
i01_14_5.bmp,I01.BMP,95.52941,1124.961882463346
i01_15_1.bmp,I01.BMP,97.16667,269.7633462622762
i01_15_2.bmp,I01.BMP,97.17143,229.90717900916934
i01_15_3.bmp,I01.BMP,96.89189,199.9443360902369
i01_15_4.bmp,I01.BMP,96.41667,144.04702715948224
i01_15_5.bmp,I01.BMP,96.10811,95.48532232890527
i01_16_1.bmp,I01.BMP,94.19444,1.620467786458903
i01_16_2.bmp,I01.BMP,93.94595,5.183547801697084
i01_16_3.bmp,I01.BMP,95.11111,35.6122666382386
i01_16_4.bmp,I01.BMP,94.97222,37.11200668678308
i01_16_5.bmp,I01.BMP,95.80556,209.76767759087184
i01_17_1.bmp,I01.BMP,94.64865,66.17262312048115
i01_17_2.bmp,I01.BMP,93.37837999999999,147.0944942678325
i01_17_3.bmp,I01.BMP,95.91892,319.8474462532128
i01_17_4.bmp,I01.BMP,93.75676,455.776607065772
i01_17_5.bmp,I01.BMP,97.02857,896.4287589962283
i01_18_1.bmp,I01.BMP,95.37837999999999,145.10493498730162
i01_18_2.bmp,I01.BMP,95.77778,200.84406178599843
i01_18_3.bmp,I01.BMP,96.22857,351.6256754032026
