dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,2083.109169885516
i01_01_2.bmp,I01.BMP,94.43243,2085.010736890137
i01_01_3.bmp,I01.BMP,95.05556,2031.2879624615114
i01_01_4.bmp,I01.BMP,95.62162000000001,2294.8505361676216
i01_01_5.bmp,I01.BMP,96.13514,2370.2118498682976
i01_02_1.bmp,I01.BMP,93.97143,1848.9982586552699
i01_02_2.bmp,I01.BMP,93.89189,1972.5987009778619
i01_02_3.bmp,I01.BMP,94.61111,2024.656185535093
i01_02_4.bmp,I01.BMP,95.28571,2212.398304576675
i01_02_5.bmp,I01.BMP,95.63889,2266.728390658895
i01_03_1.bmp,I01.BMP,95.22857,1948.4065713584423
i01_03_2.bmp,I01.BMP,95.72973,1894.3023848285277
i01_03_3.bmp,I01.BMP,96.2973,2085.5117161870003
i01_03_4.bmp,I01.BMP,96.80556,2237.4418242325387
i01_03_5.bmp,I01.BMP,97.28571,2526.8287058472633
i01_04_1.bmp,I01.BMP,94.02857,1741.784914734463
i01_04_2.bmp,I01.BMP,94.24324,1748.9868905891974
i01_04_3.bmp,I01.BMP,94.72973,1733.6651271805167
i01_04_4.bmp,I01.BMP,94.75676,1788.5522338648636
i01_04_5.bmp,I01.BMP,95.28571,1943.117851788799
i01_05_1.bmp,I01.BMP,94.08108,1763.642456976076
i01_05_2.bmp,I01.BMP,94.2973,1793.9325769493978
i01_05_3.bmp,I01.BMP,94.91667,1853.0333562791348
i01_05_4.bmp,I01.BMP,95.86111,1892.0332124580939
i01_05_5.bmp,I01.BMP,96.86111,2139.6848815381527
i01_06_1.bmp,I01.BMP,96.0,1789.723312911888
i01_06_2.bmp,I01.BMP,96.10811,2132.4784333258867
i01_06_3.bmp,I01.BMP,96.27027,1772.319352524976
i01_06_4.bmp,I01.BMP,96.51429,2055.8756200050316
i01_06_5.bmp,I01.BMP,97.05556,2143.2125473618507
i01_07_1.bmp,I01.BMP,94.91667,1717.8404200573761
i01_07_2.bmp,I01.BMP,95.25,2020.8064688816667
i01_07_3.bmp,I01.BMP,96.0,2133.686495783428
i01_07_4.bmp,I01.BMP,96.77778,2303.237406000495
i01_07_5.bmp,I01.BMP,97.80556,2088.8981249084077
i01_08_1.bmp,I01.BMP,94.81081,1687.7029924467206
i01_08_2.bmp,I01.BMP,95.52778,1677.3740339179833
i01_08_3.bmp,I01.BMP,96.51351,1819.4781609078248
i01_08_4.bmp,I01.BMP,97.0,2103.791973610719
i01_08_5.bmp,I01.BMP,97.88889,2548.5981521209083
i01_09_1.bmp,I01.BMP,93.91667,1903.3797852844
i01_09_2.bmp,I01.BMP,94.83333,2292.830531105399
i01_09_3.bmp,I01.BMP,95.57143,1786.9152443508308
i01_09_4.bmp,I01.BMP,97.18919,2154.4385992487273
i01_09_5.bmp,I01.BMP,98.45946,2563.3402571976185
i01_10_1.bmp,I01.BMP,94.02703,1843.867816704015
i01_10_2.bmp,I01.BMP,94.05405,1783.259888842702
i01_10_3.bmp,I01.BMP,95.08333,1957.7894591912627
i01_10_4.bmp,I01.BMP,96.78378000000001,2228.712940176328
i01_10_5.bmp,I01.BMP,97.91892,2421.8251210053763
I01_11_1.BMP,I01.BMP,94.08571,1869.3738577117522
i01_11_2.bmp,I01.BMP,94.32432,1946.0900490408142
i01_11_3.bmp,I01.BMP,95.30556,1866.89746953547
i01_11_4.bmp,I01.BMP,96.32432,2368.8455456544957
i01_11_5.bmp,I01.BMP,98.54054,2666.007258405288
i01_12_1.bmp,I01.BMP,94.05405,1783.5564083233476
i01_12_2.bmp,I01.BMP,94.13514,1827.328414497276
i01_12_3.bmp,I01.BMP,95.78378000000001,1883.0489154408376
i01_12_4.bmp,I01.BMP,96.16667,2065.5591577639184
i01_12_5.bmp,I01.BMP,96.56757,2237.9339882383742
I01_13_1.BMP,I01.BMP,94.54054,1774.1658175016444
i01_13_2.bmp,I01.BMP,96.08571,2039.9804585625727
i01_13_3.bmp,I01.BMP,96.72222,2047.1152867327135
i01_13_4.bmp,I01.BMP,96.83333,2372.3280674914517
i01_13_5.bmp,I01.BMP,96.89189,1998.4824624011915
i01_14_1.bmp,I01.BMP,94.30556,1746.9362348467112
i01_14_2.bmp,I01.BMP,93.94595,1804.758793880542
i01_14_3.bmp,I01.BMP,94.24324,1747.3984234904249
i01_14_4.bmp,I01.BMP,94.44444,1921.231335580349
i01_14_5.bmp,I01.BMP,95.52941,1869.366292481621
i01_15_1.bmp,I01.BMP,97.16667,1887.859484553337
