dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,2241.5367933412394
i01_01_2.bmp,I01.BMP,94.43243,2102.298254792889
i01_01_3.bmp,I01.BMP,95.05556,2274.6172644545636
i01_01_4.bmp,I01.BMP,95.62162000000001,2613.0424415270486
i01_01_5.bmp,I01.BMP,96.13514,2275.3472989996276
i01_02_1.bmp,I01.BMP,93.97143,2055.5912545571723
i01_02_2.bmp,I01.BMP,93.89189,2351.6689973970256
i01_02_3.bmp,I01.BMP,94.61111,2249.0217142403126
i01_02_4.bmp,I01.BMP,95.28571,2234.2109074890614
i01_02_5.bmp,I01.BMP,95.63889,2430.4443523585796
i01_03_1.bmp,I01.BMP,95.22857,2292.522844170531
i01_03_2.bmp,I01.BMP,95.72973,2398.667913029591
i01_03_3.bmp,I01.BMP,96.2973,2162.5022452672324
i01_03_4.bmp,I01.BMP,96.80556,2111.548074980577
i01_03_5.bmp,I01.BMP,97.28571,2403.299194852511
i01_04_1.bmp,I01.BMP,94.02857,2090.7123590310416
i01_04_2.bmp,I01.BMP,94.24324,2063.2679068744183
i01_04_3.bmp,I01.BMP,94.72973,2089.2759382973113
i01_04_4.bmp,I01.BMP,94.75676,2069.1274562229714
i01_04_5.bmp,I01.BMP,95.28571,2108.661743645867
i01_05_1.bmp,I01.BMP,94.08108,2181.9455603808165
i01_05_2.bmp,I01.BMP,94.2973,2234.2998649676642
i01_05_3.bmp,I01.BMP,94.91667,2447.1512182056904
i01_05_4.bmp,I01.BMP,95.86111,2449.5824435154595
i01_05_5.bmp,I01.BMP,96.86111,2541.3906532128653
i01_06_1.bmp,I01.BMP,96.0,2156.9587265998125
i01_06_2.bmp,I01.BMP,96.10811,2250.513503521681
i01_06_3.bmp,I01.BMP,96.27027,2260.286394918958
i01_06_4.bmp,I01.BMP,96.51429,2364.082631657521
i01_06_5.bmp,I01.BMP,97.05556,2443.008646607399
i01_07_1.bmp,I01.BMP,94.91667,2106.3024252553782
i01_07_2.bmp,I01.BMP,95.25,2291.227327257395
