dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,10.859889543925723
i01_01_2.bmp,I01.BMP,94.43243,13.263719028482834
i01_01_3.bmp,I01.BMP,95.05556,16.040542879452307
i01_01_4.bmp,I01.BMP,95.62162000000001,16.93976234147946
i01_01_5.bmp,I01.BMP,96.13514,18.892392163475353
i01_02_1.bmp,I01.BMP,93.97143,9.070670071368417
i01_02_2.bmp,I01.BMP,93.89189,11.957664697120586
i01_02_3.bmp,I01.BMP,94.61111,13.862655616054932
i01_02_4.bmp,I01.BMP,95.28571,14.119673043489456
i01_02_5.bmp,I01.BMP,95.63889,16.322469810644787
i01_03_1.bmp,I01.BMP,95.22857,11.278419873366753
i01_03_2.bmp,I01.BMP,95.72973,13.482804398983717
i01_03_3.bmp,I01.BMP,96.2973,13.794084842006365
i01_03_4.bmp,I01.BMP,96.80556,16.78593358894189
i01_03_5.bmp,I01.BMP,97.28571,19.88026438653469
i01_04_1.bmp,I01.BMP,94.02857,8.634624387448033
i01_04_2.bmp,I01.BMP,94.24324,9.851853215446075
i01_04_3.bmp,I01.BMP,94.72973,13.00130756944418
i01_04_4.bmp,I01.BMP,94.75676,12.976455767949423
i01_04_5.bmp,I01.BMP,95.28571,16.14847473303477
i01_05_1.bmp,I01.BMP,94.08108,10.35474363528192
i01_05_2.bmp,I01.BMP,94.2973,13.494254622608423
i01_05_3.bmp,I01.BMP,94.91667,16.337073882420857
i01_05_4.bmp,I01.BMP,95.86111,17.503877848386765
i01_05_5.bmp,I01.BMP,96.86111,21.913126662373543
i01_06_1.bmp,I01.BMP,96.0,12.118426411102215
i01_06_2.bmp,I01.BMP,96.10811,12.564472202211618
i01_06_3.bmp,I01.BMP,96.27027,14.91490564122796
i01_06_4.bmp,I01.BMP,96.51429,16.816808263460796
i01_06_5.bmp,I01.BMP,97.05556,20.030848676959675
i01_07_1.bmp,I01.BMP,94.91667,9.366163806368908
i01_07_2.bmp,I01.BMP,95.25,12.913225577523312
i01_07_3.bmp,I01.BMP,96.0,15.581444974988699
i01_07_4.bmp,I01.BMP,96.77778,16.906268907090027
i01_07_5.bmp,I01.BMP,97.80556,18.53290009001891
i01_08_1.bmp,I01.BMP,94.81081,7.911566874012351
i01_08_2.bmp,I01.BMP,95.52778,10.13511903832356
i01_08_3.bmp,I01.BMP,96.51351,15.716362578173479
i01_08_4.bmp,I01.BMP,97.0,21.083975543578465
i01_08_5.bmp,I01.BMP,97.88889,26.392314116160076
i01_09_1.bmp,I01.BMP,93.91667,11.492891549443206
i01_09_2.bmp,I01.BMP,94.83333,13.008290818581978
i01_09_3.bmp,I01.BMP,95.57143,17.166913360357285
i01_09_4.bmp,I01.BMP,97.18919,21.76436738173167
i01_09_5.bmp,I01.BMP,98.45946,26.35467137893041
i01_10_1.bmp,I01.BMP,94.02703,11.169930880268415
i01_10_2.bmp,I01.BMP,94.05405,15.608049292117357
i01_10_3.bmp,I01.BMP,95.08333,18.59126465767622
i01_10_4.bmp,I01.BMP,96.78378000000001,21.149935737252235
i01_10_5.bmp,I01.BMP,97.91892,24.370816439390182
I01_11_1.BMP,I01.BMP,94.08571,10.222767992566029
i01_11_2.bmp,I01.BMP,94.32432,12.783516608178616
i01_11_3.bmp,I01.BMP,95.30556,17.962571027378242
i01_11_4.bmp,I01.BMP,96.32432,21.18876617650191
