dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,4.302677940810099
i01_01_2.bmp,I01.BMP,94.43243,4.92166914503711
i01_01_3.bmp,I01.BMP,95.05556,4.941879019684468
i01_01_4.bmp,I01.BMP,95.62162000000001,5.152291008116056
i01_01_5.bmp,I01.BMP,96.13514,4.921124826185405
i01_02_1.bmp,I01.BMP,93.97143,3.460873077933987
i01_02_2.bmp,I01.BMP,93.89189,4.464093787013553
i01_02_3.bmp,I01.BMP,94.61111,4.30898167937994
i01_02_4.bmp,I01.BMP,95.28571,3.8785577850261084
i01_02_5.bmp,I01.BMP,95.63889,4.365965558215976
i01_03_1.bmp,I01.BMP,95.22857,4.893180262918274
i01_03_2.bmp,I01.BMP,95.72973,5.202336609829217
i01_03_3.bmp,I01.BMP,96.2973,3.9247092561175427
i01_03_4.bmp,I01.BMP,96.80556,4.01645196073999
i01_03_5.bmp,I01.BMP,97.28571,5.47388534558316
i01_04_1.bmp,I01.BMP,94.02857,3.652769543346949
i01_04_2.bmp,I01.BMP,94.24324,3.0687695770175196
i01_04_3.bmp,I01.BMP,94.72973,4.998305913837005
i01_04_4.bmp,I01.BMP,94.75676,3.143091154517606
i01_04_5.bmp,I01.BMP,95.28571,4.583708470997711
i01_05_1.bmp,I01.BMP,94.08108,3.747323184662188
i01_05_2.bmp,I01.BMP,94.2973,5.159384744629885
i01_05_3.bmp,I01.BMP,94.91667,9.125815680405745
i01_05_4.bmp,I01.BMP,95.86111,3.381898347598811
i01_05_5.bmp,I01.BMP,96.86111,6.410004667937756
i01_06_1.bmp,I01.BMP,96.0,4.765861778752878
i01_06_2.bmp,I01.BMP,96.10811,5.815204391178365
i01_06_3.bmp,I01.BMP,96.27027,6.305044045050939
i01_06_4.bmp,I01.BMP,96.51429,4.792280347086489
i01_06_5.bmp,I01.BMP,97.05556,5.418235050824781
i01_07_1.bmp,I01.BMP,94.91667,4.023346015873055
i01_07_2.bmp,I01.BMP,95.25,5.552983459085226
i01_07_3.bmp,I01.BMP,96.0,4.713990239736934
i01_07_4.bmp,I01.BMP,96.77778,7.06807672061647
i01_07_5.bmp,I01.BMP,97.80556,5.0787610135351615
i01_08_1.bmp,I01.BMP,94.81081,5.991290558129549
i01_08_2.bmp,I01.BMP,95.52778,4.373597040772438
i01_08_3.bmp,I01.BMP,96.51351,5.607223105306427
i01_08_4.bmp,I01.BMP,97.0,7.24108437076211
i01_08_5.bmp,I01.BMP,97.88889,8.952428936958313
i01_09_1.bmp,I01.BMP,93.91667,5.373445010744035
i01_09_2.bmp,I01.BMP,94.83333,3.636822940898128
i01_09_3.bmp,I01.BMP,95.57143,4.0642714585798485
i01_09_4.bmp,I01.BMP,97.18919,5.163457780145109
i01_09_5.bmp,I01.BMP,98.45946,7.897316212455432
i01_10_1.bmp,I01.BMP,94.02703,4.745236860200142
i01_10_2.bmp,I01.BMP,94.05405,8.822021923338374
i01_10_3.bmp,I01.BMP,95.08333,5.415432695066556
i01_10_4.bmp,I01.BMP,96.78378000000001,4.934719964240988
i01_10_5.bmp,I01.BMP,97.91892,3.9032539163405695
I01_11_1.BMP,I01.BMP,94.08571,4.185941665355737
i01_11_2.bmp,I01.BMP,94.32432,3.4324283237413815
i01_11_3.bmp,I01.BMP,95.30556,6.574909422857066
i01_11_4.bmp,I01.BMP,96.32432,4.323530452946822
i01_11_5.bmp,I01.BMP,98.54054,7.44583708109955
i01_12_1.bmp,I01.BMP,94.05405,4.170153850999971
i01_12_2.bmp,I01.BMP,94.13514,4.442784441091741
i01_12_3.bmp,I01.BMP,95.78378000000001,3.585430841272076
i01_12_4.bmp,I01.BMP,96.16667,5.490018241728346
i01_12_5.bmp,I01.BMP,96.56757,7.072796422988176
I01_13_1.BMP,I01.BMP,94.54054,3.854188834045393
i01_13_2.bmp,I01.BMP,96.08571,3.7734706572567425
i01_13_3.bmp,I01.BMP,96.72222,6.138987569138408
i01_13_4.bmp,I01.BMP,96.83333,4.578342898904036
i01_13_5.bmp,I01.BMP,96.89189,5.2423363868147135
i01_14_1.bmp,I01.BMP,94.30556,5.972673695534468
i01_14_2.bmp,I01.BMP,93.94595,5.522315564856399
i01_14_3.bmp,I01.BMP,94.24324,7.770330583521475
i01_14_4.bmp,I01.BMP,94.44444,4.11636990091453
i01_14_5.bmp,I01.BMP,95.52941,4.14147812128067
i01_15_1.bmp,I01.BMP,97.16667,6.354776514073213
i01_15_2.bmp,I01.BMP,97.17143,5.656695944567521
i01_15_3.bmp,I01.BMP,96.89189,5.3538303940246506
i01_15_4.bmp,I01.BMP,96.41667,5.660196577509244
i01_15_5.bmp,I01.BMP,96.10811,6.637379033491015
i01_16_1.bmp,I01.BMP,94.19444,4.983868864675363
i01_16_2.bmp,I01.BMP,93.94595,6.783974844651918
i01_16_3.bmp,I01.BMP,95.11111,3.5174240136596686
i01_16_4.bmp,I01.BMP,94.97222,4.991906912686924
i01_16_5.bmp,I01.BMP,95.80556,3.9258205417233207
i01_17_1.bmp,I01.BMP,94.64865,8.747684778024754
i01_17_2.bmp,I01.BMP,93.37837999999999,4.073681178813179
i01_17_3.bmp,I01.BMP,95.91892,6.826847288757563
i01_17_4.bmp,I01.BMP,93.75676,7.128385389844577
i01_17_5.bmp,I01.BMP,97.02857,10.043617175891995
i01_18_1.bmp,I01.BMP,95.37837999999999,4.944150192701879
i01_18_2.bmp,I01.BMP,95.77778,4.823372355972727
i01_18_3.bmp,I01.BMP,96.22857,5.7327382089570165
i01_18_4.bmp,I01.BMP,96.52778,9.111209126810232
i01_18_5.bmp,I01.BMP,96.58333,6.478925105184317
i01_19_1.bmp,I01.BMP,94.05556,4.698794097173959
i01_19_2.bmp,I01.BMP,94.52778,5.283869534886132
i01_19_3.bmp,I01.BMP,94.91892,3.8922052487420538
