dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,3.480815768862764
i01_01_2.bmp,I01.BMP,94.43243,4.615338631439954
i01_01_3.bmp,I01.BMP,95.05556,4.245651003904641
i01_01_4.bmp,I01.BMP,95.62162000000001,4.484079508886983
i01_01_5.bmp,I01.BMP,96.13514,4.0235589544754475
i01_02_1.bmp,I01.BMP,93.97143,2.8820704532166324
i01_02_2.bmp,I01.BMP,93.89189,3.809649786911905
i01_02_3.bmp,I01.BMP,94.61111,3.734503929891313
i01_02_4.bmp,I01.BMP,95.28571,3.2217766170700393
i01_02_5.bmp,I01.BMP,95.63889,3.7410406892498336
i01_03_1.bmp,I01.BMP,95.22857,4.302509134014447
i01_03_2.bmp,I01.BMP,95.72973,4.5266647523579495
i01_03_3.bmp,I01.BMP,96.2973,3.2508547293643155
i01_03_4.bmp,I01.BMP,96.80556,3.3231608189331987
i01_03_5.bmp,I01.BMP,97.28571,4.708523926635583
i01_04_1.bmp,I01.BMP,94.02857,2.906485557090491
i01_04_2.bmp,I01.BMP,94.24324,2.371521884575486
i01_04_3.bmp,I01.BMP,94.72973,4.204660963111867
i01_04_4.bmp,I01.BMP,94.75676,2.5429516249957183
i01_04_5.bmp,I01.BMP,95.28571,3.832380508693556
i01_05_1.bmp,I01.BMP,94.08108,3.075714397088935
i01_05_2.bmp,I01.BMP,94.2973,4.688671021567036
i01_05_3.bmp,I01.BMP,94.91667,8.629434753985455
i01_05_4.bmp,I01.BMP,95.86111,2.6494740806519985
i01_05_5.bmp,I01.BMP,96.86111,4.654618622735143
i01_06_1.bmp,I01.BMP,96.0,4.5005344888195395
i01_06_2.bmp,I01.BMP,96.10811,5.093874359658609
i01_06_3.bmp,I01.BMP,96.27027,5.563708090844254
i01_06_4.bmp,I01.BMP,96.51429,4.283301345072687
i01_06_5.bmp,I01.BMP,97.05556,4.856597711176922
i01_07_1.bmp,I01.BMP,94.91667,3.2990207062102854
i01_07_2.bmp,I01.BMP,95.25,4.782858152408153
i01_07_3.bmp,I01.BMP,96.0,4.232911160060515
i01_07_4.bmp,I01.BMP,96.77778,6.436295686134447
i01_07_5.bmp,I01.BMP,97.80556,4.126939463429153
i01_08_1.bmp,I01.BMP,94.81081,5.607168391036491
i01_08_2.bmp,I01.BMP,95.52778,4.050125575313966
i01_08_3.bmp,I01.BMP,96.51351,5.198231867824991
i01_08_4.bmp,I01.BMP,97.0,6.821495779479544
i01_08_5.bmp,I01.BMP,97.88889,8.678778156017264
i01_09_1.bmp,I01.BMP,93.91667,4.764830875676125
i01_09_2.bmp,I01.BMP,94.83333,3.1299685034900904
i01_09_3.bmp,I01.BMP,95.57143,3.3844949840568006
i01_09_4.bmp,I01.BMP,97.18919,4.839193714472155
i01_09_5.bmp,I01.BMP,98.45946,7.4252954336504144
i01_10_1.bmp,I01.BMP,94.02703,3.8801155011169612
i01_10_2.bmp,I01.BMP,94.05405,8.35730260424316
i01_10_3.bmp,I01.BMP,95.08333,4.602897383117427
i01_10_4.bmp,I01.BMP,96.78378000000001,4.4217959102243185
i01_10_5.bmp,I01.BMP,97.91892,3.3526019932081303
I01_11_1.BMP,I01.BMP,94.08571,3.6692891745672873
i01_11_2.bmp,I01.BMP,94.32432,2.752007305932542
i01_11_3.bmp,I01.BMP,95.30556,5.987834937715282
i01_11_4.bmp,I01.BMP,96.32432,3.8992923386394978
i01_11_5.bmp,I01.BMP,98.54054,7.1155821948001785
i01_12_1.bmp,I01.BMP,94.05405,3.5174620247756443
i01_12_2.bmp,I01.BMP,94.13514,3.8326646939385682
i01_12_3.bmp,I01.BMP,95.78378000000001,3.057597218081355
i01_12_4.bmp,I01.BMP,96.16667,4.954424728949864
i01_12_5.bmp,I01.BMP,96.56757,6.5535657946020365
I01_13_1.BMP,I01.BMP,94.54054,3.1119665410369635
i01_13_2.bmp,I01.BMP,96.08571,3.0349489032911756
i01_13_3.bmp,I01.BMP,96.72222,5.766332464603086
i01_13_4.bmp,I01.BMP,96.83333,4.324582121645411
i01_13_5.bmp,I01.BMP,96.89189,4.014181357963632
i01_14_1.bmp,I01.BMP,94.30556,5.639247597350429
i01_14_2.bmp,I01.BMP,93.94595,5.015116349328309
i01_14_3.bmp,I01.BMP,94.24324,7.2788778366521
i01_14_4.bmp,I01.BMP,94.44444,3.4919832412463925
i01_14_5.bmp,I01.BMP,95.52941,3.539685321506113
i01_15_1.bmp,I01.BMP,97.16667,6.040807891637087
i01_15_2.bmp,I01.BMP,97.17143,4.970855902259548
i01_15_3.bmp,I01.BMP,96.89189,4.829048276568453
i01_15_4.bmp,I01.BMP,96.41667,4.791703635826707
i01_15_5.bmp,I01.BMP,96.10811,5.884420252560328
i01_16_1.bmp,I01.BMP,94.19444,4.57254638383165
i01_16_2.bmp,I01.BMP,93.94595,6.130836743395776
i01_16_3.bmp,I01.BMP,95.11111,3.389712954716136
i01_16_4.bmp,I01.BMP,94.97222,3.791759120300412
i01_16_5.bmp,I01.BMP,95.80556,4.240527832880616
i01_17_1.bmp,I01.BMP,94.64865,7.911870256997645
i01_17_2.bmp,I01.BMP,93.37837999999999,2.7284210675085583
i01_17_3.bmp,I01.BMP,95.91892,7.029527036783596
i01_17_4.bmp,I01.BMP,93.75676,5.483309722195069
i01_17_5.bmp,I01.BMP,97.02857,9.65564141732951
i01_18_1.bmp,I01.BMP,95.37837999999999,4.488666738849133
