dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.06681727567047346
i01_01_2.bmp,I01.BMP,94.43243,0.06720243767874005
i01_01_3.bmp,I01.BMP,95.05556,0.0680451100100375
i01_01_4.bmp,I01.BMP,95.62162000000001,0.0692384716627809
i01_01_5.bmp,I01.BMP,96.13514,0.07427232882279593
i01_02_1.bmp,I01.BMP,93.97143,0.06706424162742526
i01_02_2.bmp,I01.BMP,93.89189,0.06710108432647151
i01_02_3.bmp,I01.BMP,94.61111,0.06752643804550947
i01_02_4.bmp,I01.BMP,95.28571,0.0683456694338626
i01_02_5.bmp,I01.BMP,95.63889,0.07061806972099778
i01_03_1.bmp,I01.BMP,95.22857,0.06767884355213027
i01_03_2.bmp,I01.BMP,95.72973,0.06917070221485726
i01_03_3.bmp,I01.BMP,96.2973,0.07139001313771587
i01_03_4.bmp,I01.BMP,96.80556,0.078092251069999
i01_03_5.bmp,I01.BMP,97.28571,0.10565479674066107
i01_04_1.bmp,I01.BMP,94.02857,0.06673529646650422
i01_04_2.bmp,I01.BMP,94.24324,0.06666937769720487
i01_04_3.bmp,I01.BMP,94.72973,0.06664931261911988
i01_04_4.bmp,I01.BMP,94.75676,0.067024525681821
i01_04_5.bmp,I01.BMP,95.28571,0.06950100046621326
i01_05_1.bmp,I01.BMP,94.08108,0.06692531519608262
i01_05_2.bmp,I01.BMP,94.2973,0.0669989476785607
i01_05_3.bmp,I01.BMP,94.91667,0.06746177004242782
i01_05_4.bmp,I01.BMP,95.86111,0.07135288551216945
i01_05_5.bmp,I01.BMP,96.86111,0.11095030085804562
i01_06_1.bmp,I01.BMP,96.0,0.06698354904559285
i01_06_2.bmp,I01.BMP,96.10811,0.06771197496467114
i01_06_3.bmp,I01.BMP,96.27027,0.06857468652985214
i01_06_4.bmp,I01.BMP,96.51429,0.07287297896497573
i01_06_5.bmp,I01.BMP,97.05556,0.08958219465178748
i01_07_1.bmp,I01.BMP,94.91667,0.06857267972858001
i01_07_2.bmp,I01.BMP,95.25,0.07069596905300084
i01_07_3.bmp,I01.BMP,96.0,0.07635074420250021
i01_07_4.bmp,I01.BMP,96.77778,0.08786353111887972
i01_07_5.bmp,I01.BMP,97.80556,0.13759824843145907
i01_08_1.bmp,I01.BMP,94.81081,0.0850864711877269
i01_08_2.bmp,I01.BMP,95.52778,0.12586233182810247
i01_08_3.bmp,I01.BMP,96.51351,0.21716525126248598
i01_08_4.bmp,I01.BMP,97.0,0.3500754958949983
i01_08_5.bmp,I01.BMP,97.88889,0.5272638689881811
i01_09_1.bmp,I01.BMP,93.91667,0.06703619528949882
i01_09_2.bmp,I01.BMP,94.83333,0.06885747758982082
i01_09_3.bmp,I01.BMP,95.57143,0.07673670211806893
i01_09_4.bmp,I01.BMP,97.18919,0.11332315377270182
i01_09_5.bmp,I01.BMP,98.45946,0.3924436272742848
i01_10_1.bmp,I01.BMP,94.02703,0.06725315216560072
i01_10_2.bmp,I01.BMP,94.05405,0.0674989533193487
i01_10_3.bmp,I01.BMP,95.08333,0.06850913254796372
i01_10_4.bmp,I01.BMP,96.78378000000001,0.07937510787936237
i01_10_5.bmp,I01.BMP,97.91892,0.1267547613630692
I01_11_1.BMP,I01.BMP,94.08571,0.06730889301009786
i01_11_2.bmp,I01.BMP,94.32432,0.0676855919494604
i01_11_3.bmp,I01.BMP,95.30556,0.07133709772218329
i01_11_4.bmp,I01.BMP,96.32432,0.09686095387830089
i01_11_5.bmp,I01.BMP,98.54054,0.28002625044124824
i01_12_1.bmp,I01.BMP,94.05405,0.0670000492100371
i01_12_2.bmp,I01.BMP,94.13514,0.06691370646391685
i01_12_3.bmp,I01.BMP,95.78378000000001,0.08512584345104794
i01_12_4.bmp,I01.BMP,96.16667,0.09449802036397159
i01_12_5.bmp,I01.BMP,96.56757,0.10760372461906324
I01_13_1.BMP,I01.BMP,94.54054,0.06760183714989883
i01_13_2.bmp,I01.BMP,96.08571,0.07603954149332519
i01_13_3.bmp,I01.BMP,96.72222,0.07569225275074132
i01_13_4.bmp,I01.BMP,96.83333,0.08868183771846816
i01_13_5.bmp,I01.BMP,96.89189,0.12790597077885954
i01_14_1.bmp,I01.BMP,94.30556,0.06751722281236046
i01_14_2.bmp,I01.BMP,93.94595,0.06680904149834532
i01_14_3.bmp,I01.BMP,94.24324,0.07036171176393206
i01_14_4.bmp,I01.BMP,94.44444,0.07496989173038553
i01_14_5.bmp,I01.BMP,95.52941,0.08617946717034404
i01_15_1.bmp,I01.BMP,97.16667,0.28579782842037577
i01_15_2.bmp,I01.BMP,97.17143,0.26726476514401537
i01_15_3.bmp,I01.BMP,96.89189,0.22193180249693492
i01_15_4.bmp,I01.BMP,96.41667,0.23662883516711494
i01_15_5.bmp,I01.BMP,96.10811,0.41219809936592355
i01_16_1.bmp,I01.BMP,94.19444,0.06407605483642935
i01_16_2.bmp,I01.BMP,93.94595,0.07980368124359909
i01_16_3.bmp,I01.BMP,95.11111,0.07493446497634675
i01_16_4.bmp,I01.BMP,94.97222,0.13077688888491443
i01_16_5.bmp,I01.BMP,95.80556,0.15700839976004013
i01_17_1.bmp,I01.BMP,94.64865,0.09176121756900102
i01_17_2.bmp,I01.BMP,93.37837999999999,0.15509607130661607
