dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.06262566149234772
i01_01_2.bmp,I01.BMP,94.43243,0.0677492544054985
i01_01_3.bmp,I01.BMP,95.05556,0.07142078876495361
i01_01_4.bmp,I01.BMP,95.62162000000001,0.0753563717007637
i01_01_5.bmp,I01.BMP,96.13514,0.08698591589927673
i01_02_1.bmp,I01.BMP,93.97143,0.060892459005117416
i01_02_2.bmp,I01.BMP,93.89189,0.062257010489702225
i01_02_3.bmp,I01.BMP,94.61111,0.06827287375926971
i01_02_4.bmp,I01.BMP,95.28571,0.07268650084733963
i01_02_5.bmp,I01.BMP,95.63889,0.07999566197395325
i01_03_1.bmp,I01.BMP,95.22857,0.062258049845695496
i01_03_2.bmp,I01.BMP,95.72973,0.06957651674747467
i01_03_3.bmp,I01.BMP,96.2973,0.07675446569919586
i01_03_4.bmp,I01.BMP,96.80556,0.07384638488292694
i01_03_5.bmp,I01.BMP,97.28571,0.08263795077800751
i01_04_1.bmp,I01.BMP,94.02857,0.055639538913965225
i01_04_2.bmp,I01.BMP,94.24324,0.056384388357400894
i01_04_3.bmp,I01.BMP,94.72973,0.05912727117538452
i01_04_4.bmp,I01.BMP,94.75676,0.06335468590259552
i01_04_5.bmp,I01.BMP,95.28571,0.07030916213989258
i01_05_1.bmp,I01.BMP,94.08108,0.06216077506542206
i01_05_2.bmp,I01.BMP,94.2973,0.06678543984889984
i01_05_3.bmp,I01.BMP,94.91667,0.07631804794073105
i01_05_4.bmp,I01.BMP,95.86111,0.08531515300273895
i01_05_5.bmp,I01.BMP,96.86111,0.09131252020597458
i01_06_1.bmp,I01.BMP,96.0,0.07874873280525208
i01_06_2.bmp,I01.BMP,96.10811,0.08254490047693253
i01_06_3.bmp,I01.BMP,96.27027,0.08239918202161789
i01_06_4.bmp,I01.BMP,96.51429,0.08415376394987106
i01_06_5.bmp,I01.BMP,97.05556,0.08566029369831085
i01_07_1.bmp,I01.BMP,94.91667,0.06039398908615112
i01_07_2.bmp,I01.BMP,95.25,0.06873197108507156
i01_07_3.bmp,I01.BMP,96.0,0.07516343146562576
i01_07_4.bmp,I01.BMP,96.77778,0.07601703703403473
i01_07_5.bmp,I01.BMP,97.80556,0.0838453620672226
i01_08_1.bmp,I01.BMP,94.81081,0.06776276230812073
i01_08_2.bmp,I01.BMP,95.52778,0.0775841772556305
i01_08_3.bmp,I01.BMP,96.51351,0.08275951445102692
i01_08_4.bmp,I01.BMP,97.0,0.08668544143438339
i01_08_5.bmp,I01.BMP,97.88889,0.0900510773062706
i01_09_1.bmp,I01.BMP,93.91667,0.06440088897943497
i01_09_2.bmp,I01.BMP,94.83333,0.07100345194339752
i01_09_3.bmp,I01.BMP,95.57143,0.07959798723459244
i01_09_4.bmp,I01.BMP,97.18919,0.08904324471950531
i01_09_5.bmp,I01.BMP,98.45946,0.08861108869314194
i01_10_1.bmp,I01.BMP,94.02703,0.06160861998796463
i01_10_2.bmp,I01.BMP,94.05405,0.06417136639356613
i01_10_3.bmp,I01.BMP,95.08333,0.0738629400730133
i01_10_4.bmp,I01.BMP,96.78378000000001,0.08134472370147705
i01_10_5.bmp,I01.BMP,97.91892,0.09451921284198761
I01_11_1.BMP,I01.BMP,94.08571,0.05965837836265564
i01_11_2.bmp,I01.BMP,94.32432,0.06896186619997025
i01_11_3.bmp,I01.BMP,95.30556,0.08061748743057251
i01_11_4.bmp,I01.BMP,96.32432,0.08887327462434769
i01_11_5.bmp,I01.BMP,98.54054,0.08868777751922607
i01_12_1.bmp,I01.BMP,94.05405,0.058220453560352325
i01_12_2.bmp,I01.BMP,94.13514,0.05903589725494385
i01_12_3.bmp,I01.BMP,95.78378000000001,0.07286553829908371
i01_12_4.bmp,I01.BMP,96.16667,0.08018826693296432
i01_12_5.bmp,I01.BMP,96.56757,0.09134059399366379
I01_13_1.BMP,I01.BMP,94.54054,0.05778174847364426
i01_13_2.bmp,I01.BMP,96.08571,0.06906680762767792
i01_13_3.bmp,I01.BMP,96.72222,0.06944650411605835
i01_13_4.bmp,I01.BMP,96.83333,0.07715991139411926
i01_13_5.bmp,I01.BMP,96.89189,0.0762619823217392
i01_14_1.bmp,I01.BMP,94.30556,0.061566274613142014
i01_14_2.bmp,I01.BMP,93.94595,0.05599610507488251
i01_14_3.bmp,I01.BMP,94.24324,0.05961309373378754
i01_14_4.bmp,I01.BMP,94.44444,0.061247289180755615
i01_14_5.bmp,I01.BMP,95.52941,0.06755644083023071
i01_15_1.bmp,I01.BMP,97.16667,0.07041245698928833
i01_15_2.bmp,I01.BMP,97.17143,0.06998300552368164
i01_15_3.bmp,I01.BMP,96.89189,0.06940025091171265
i01_15_4.bmp,I01.BMP,96.41667,0.06768134981393814
i01_15_5.bmp,I01.BMP,96.10811,0.06408953666687012
i01_16_1.bmp,I01.BMP,94.19444,0.054307352751493454
i01_16_2.bmp,I01.BMP,93.94595,0.05354306101799011
i01_16_3.bmp,I01.BMP,95.11111,0.058916278183460236
i01_16_4.bmp,I01.BMP,94.97222,0.05825062841176987
i01_16_5.bmp,I01.BMP,95.80556,0.06540755927562714
i01_17_1.bmp,I01.BMP,94.64865,0.05543830618262291
i01_17_2.bmp,I01.BMP,93.37837999999999,0.05487809330224991
i01_17_3.bmp,I01.BMP,95.91892,0.06465594470500946
i01_17_4.bmp,I01.BMP,93.75676,0.05851829797029495
i01_17_5.bmp,I01.BMP,97.02857,0.0768011063337326
i01_18_1.bmp,I01.BMP,95.37837999999999,0.054763052612543106
i01_18_2.bmp,I01.BMP,95.77778,0.06007835268974304
i01_18_3.bmp,I01.BMP,96.22857,0.06759252399206161
i01_18_4.bmp,I01.BMP,96.52778,0.07329604774713516
i01_18_5.bmp,I01.BMP,96.58333,0.07270722091197968
i01_19_1.bmp,I01.BMP,94.05556,0.05673546344041824
i01_19_2.bmp,I01.BMP,94.52778,0.0644519105553627
i01_19_3.bmp,I01.BMP,94.91892,0.06837419420480728
i01_19_4.bmp,I01.BMP,95.47222,0.07348186522722244
i01_19_5.bmp,I01.BMP,96.05556,0.07988230139017105
i01_20_1.bmp,I01.BMP,94.14286,0.054916415363550186
i01_20_2.bmp,I01.BMP,94.16667,0.0643448531627655
i01_20_3.bmp,I01.BMP,93.97222,0.06256283819675446
i01_20_4.bmp,I01.BMP,94.91667,0.07646051049232483
i01_20_5.bmp,I01.BMP,95.66667,0.0789240151643753
i01_21_1.bmp,I01.BMP,94.2973,0.05949638783931732
i01_21_2.bmp,I01.BMP,94.72222,0.06660802662372589
i01_21_3.bmp,I01.BMP,95.32432,0.07275453209877014
i01_21_4.bmp,I01.BMP,95.94286,0.08168701082468033
i01_21_5.bmp,I01.BMP,96.94595,0.08561258018016815
i01_22_1.bmp,I01.BMP,94.44444,0.06073590740561485
i01_22_2.bmp,I01.BMP,94.81081,0.071468785405159
i01_22_3.bmp,I01.BMP,95.69444,0.07778985053300858
i01_22_4.bmp,I01.BMP,96.83784,0.08064110577106476
i01_22_5.bmp,I01.BMP,97.80556,0.0878179520368576
i01_23_1.bmp,I01.BMP,93.71429,0.05611317604780197
i01_23_2.bmp,I01.BMP,94.38889,0.05578209087252617
i01_23_3.bmp,I01.BMP,94.22222,0.056688517332077026
i01_23_4.bmp,I01.BMP,95.19444,0.06484706699848175
i01_23_5.bmp,I01.BMP,97.59459,0.08926139771938324
i01_24_1.bmp,I01.BMP,94.2973,0.05890198424458504
i01_24_2.bmp,I01.BMP,94.41667,0.07102559506893158
i01_24_3.bmp,I01.BMP,94.89189,0.08007825911045074
i01_24_4.bmp,I01.BMP,96.91892,0.08871489018201828
i01_24_5.bmp,I01.BMP,99.54054,0.08718167990446091
I02_01_1.bmp,I02.BMP,94.25713999999999,0.04378495365381241
