dis,ref,mos,pred
I01_01_1.bmp,I01.BMP,94.48571,0.1846553534269333
i01_01_2.bmp,I01.BMP,94.43243,0.2045740783214569
i01_01_3.bmp,I01.BMP,95.05556,0.23457008600234985
i01_01_4.bmp,I01.BMP,95.62162000000001,0.275767058134079
i01_01_5.bmp,I01.BMP,96.13514,0.34615013003349304
i01_02_1.bmp,I01.BMP,93.97143,0.17467284202575684
i01_02_2.bmp,I01.BMP,93.89189,0.19048845767974854
i01_02_3.bmp,I01.BMP,94.61111,0.21530526876449585
i01_02_4.bmp,I01.BMP,95.28571,0.2518051266670227
i01_02_5.bmp,I01.BMP,95.63889,0.3102203905582428
i01_03_1.bmp,I01.BMP,95.22857,0.1737598031759262
i01_03_2.bmp,I01.BMP,95.72973,0.18500715494155884
i01_03_3.bmp,I01.BMP,96.2973,0.2055838406085968
i01_03_4.bmp,I01.BMP,96.80556,0.25789129734039307
i01_03_5.bmp,I01.BMP,97.28571,0.40346115827560425
i01_04_1.bmp,I01.BMP,94.02857,0.1579282134771347
i01_04_2.bmp,I01.BMP,94.24324,0.15061628818511963
i01_04_3.bmp,I01.BMP,94.72973,0.1481223702430725
i01_04_4.bmp,I01.BMP,94.75676,0.1610729694366455
i01_04_5.bmp,I01.BMP,95.28571,0.21062669157981873
i01_05_1.bmp,I01.BMP,94.08108,0.18376438319683075
i01_05_2.bmp,I01.BMP,94.2973,0.2026209533214569
i01_05_3.bmp,I01.BMP,94.91667,0.25637128949165344
i01_05_4.bmp,I01.BMP,95.86111,0.35454416275024414
i01_05_5.bmp,I01.BMP,96.86111,0.6450613737106323
i01_06_1.bmp,I01.BMP,96.0,0.18131202459335327
i01_06_2.bmp,I01.BMP,96.10811,0.1846541166305542
i01_06_3.bmp,I01.BMP,96.27027,0.197052463889122
i01_06_4.bmp,I01.BMP,96.51429,0.22973927855491638
i01_06_5.bmp,I01.BMP,97.05556,0.32340067625045776
i01_07_1.bmp,I01.BMP,94.91667,0.1744006872177124
i01_07_2.bmp,I01.BMP,95.25,0.1957475244998932
i01_07_3.bmp,I01.BMP,96.0,0.20147591829299927
i01_07_4.bmp,I01.BMP,96.77778,0.2418709695339203
i01_07_5.bmp,I01.BMP,97.80556,0.35015869140625
